Eviction Algo,total_attempts, StrtgyTriggered,TriggeredByFailAlloc,FreeAllocAbvThrsld,FreeMemNotAlloc,invalid max or main ranks,Final Miss Ratio,minSlabs,movingAverageParam,maxFreeMemSlabs
Lru2Q,161,23,0,0,0,137,0.828211,2,0.300000,1
Lru2Q,168,9,0,0,0,158,0.837426,3,0.400000,5
Lru2Q,201,8,0,0,0,192,0.843241,4,0.050000,5
Lru2Q,188,36,0,0,0,151,0.829035,2,0.150000,1
Lru2Q,170,5,0,0,0,164,0.84813,5,0.450000,4
Lru2Q,181,38,0,0,0,142,0.829587,2,0.100000,4
Lru2Q,185,5,0,0,0,179,0.848245,5,0.150000,1
Lru2Q,179,29,0,0,0,149,0.829644,2,0.300000,3
Lru2Q,525,149,0,0,0,375,0.82036,1,0.400000,5
Lru2Q,176,32,0,0,0,143,0.8281689999999999,2,0.200000,2
Lru2Q,171,0,0,0,0,170,0.866662,4,0.050000,0
Lru2Q,180,5,0,0,0,174,0.848103,5,0.350000,4
Lru2Q,215,5,0,0,0,209,0.848716,5,0.100000,2
Lru2Q,167,5,0,0,0,161,0.840972,4,0.250000,3
Lru2Q,169,9,0,0,0,159,0.837112,3,0.250000,1
Lru2Q,173,28,0,0,0,144,0.828078,2,0.050000,2
Lru2Q,186,31,0,0,0,154,0.828064,2,0.100000,2
Lru2Q,173,0,0,0,0,172,0.866662,2,0.350000,0
Lru2Q,180,62,0,0,0,117,0.820727,1,0.300000,1
Lru2Q,171,0,0,0,0,170,0.866662,1,0.350000,0
Lru2Q,170,13,0,0,0,156,0.836749,3,0.450000,3
Lru2Q,437,5,0,0,0,431,0.8496,5,0.150000,2
Lru2Q,166,13,0,0,0,152,0.836817,3,0.300000,5
Lru2Q,705,5,0,0,0,699,0.850919,5,0.200000,2
Lru2Q,447,8,0,0,0,438,0.844964,4,0.150000,3
Lru2Q,203,6,0,0,0,196,0.844211,4,0.300000,5
Lru2Q,452,0,0,0,0,451,0.866662,3,0.100000,0
Lru2Q,176,22,0,0,0,153,0.829298,2,0.450000,4
Lru2Q,172,54,0,0,0,117,0.820424,1,0.400000,1
Lru2Q,428,5,0,0,0,422,0.849696,5,0.400000,3
Lru2Q,170,0,0,0,0,169,0.866662,2,0.250000,0
Lru2Q,169,0,0,0,0,168,0.866662,5,0.150000,0
Lru2Q,173,0,0,0,0,172,0.866662,2,0.400000,0
Lru2Q,167,5,0,0,0,161,0.848266,5,0.100000,3
Lru2Q,184,30,0,0,0,153,0.829309,2,0.150000,5
Lru2Q,184,11,0,0,0,172,0.837415,3,0.150000,3
Lru2Q,174,53,0,0,0,120,0.820451,1,0.400000,4
Lru2Q,238,8,0,0,0,229,0.8441879999999999,4,0.050000,4
Lru2Q,173,54,0,0,0,118,0.8203940000000001,1,0.050000,2
Lru2Q,736,0,0,0,0,735,0.866662,5,0.050000,0
Lru2Q,170,0,0,0,0,169,0.866662,1,0.050000,0
Lru2Q,189,5,0,0,0,183,0.8481339999999999,5,0.450000,2
Lru2Q,420,8,0,0,0,411,0.844983,4,0.250000,2
Lru2Q,179,0,0,0,0,178,0.866662,4,0.100000,0
Lru2Q,425,0,0,0,0,424,0.866662,3,0.050000,0
Lru2Q,215,4,0,0,0,210,0.846923,5,0.400000,2
Lru2Q,190,13,0,0,0,176,0.837512,3,0.200000,1
Lru2Q,181,11,0,0,0,169,0.837422,3,0.250000,2
Lru2Q,171,5,0,0,0,165,0.848164,5,0.450000,5
Lru2Q,166,45,0,0,0,120,0.820585,1,0.450000,1
Lru2Q,163,48,0,0,0,114,0.8205,1,0.300000,2
Lru2Q,612,0,0,0,0,611,0.866662,4,0.200000,0
Lru2Q,215,5,0,0,0,209,0.848113,5,0.150000,3
Lru2Q,177,22,0,0,0,154,0.829428,2,0.350000,1
Lru2Q,196,33,0,0,0,162,0.83082,2,0.400000,3
Lru2Q,169,27,0,0,0,141,0.82805,2,0.050000,5
Lru2Q,176,13,0,0,0,162,0.838256,3,0.350000,4
Lru2Q,167,0,0,0,0,166,0.866662,1,0.150000,0
Lru2Q,168,46,0,0,0,121,0.820478,1,0.350000,4
Lru2Q,199,13,0,0,0,185,0.837364,3,0.050000,4
Lru2Q,181,13,0,0,0,167,0.837442,3,0.100000,5
Lru2Q,553,83,0,0,0,469,0.832626,2,0.250000,4
Lru2Q,167,13,0,0,0,153,0.8367979999999999,3,0.450000,4
Lru2Q,519,0,0,0,0,518,0.866662,2,0.450000,0
Lru2Q,181,13,0,0,0,167,0.837369,3,0.100000,2
Lru2Q,169,5,0,0,0,163,0.848208,5,0.250000,3
Lru2Q,709,5,0,0,0,703,0.8509249999999999,5,0.250000,4
Lru2Q,182,5,0,0,0,176,0.848279,5,0.150000,5
Lru2Q,167,9,0,0,0,157,0.837146,3,0.200000,4
Lru2Q,180,0,0,0,0,179,0.866662,3,0.400000,0
Lru2Q,218,68,0,0,0,149,0.82066,1,0.450000,4
Lru2Q,173,5,0,0,0,167,0.8481730000000001,5,0.300000,2
Lru2Q,175,13,0,0,0,161,0.836782,3,0.250000,3
Lru2Q,170,0,0,0,0,169,0.866662,4,0.300000,0
Lru2Q,185,13,0,0,0,171,0.8367979999999999,3,0.400000,2
Lru2Q,179,57,0,0,0,121,0.82063,1,0.350000,5
Lru2Q,170,5,0,0,0,164,0.848133,5,0.350000,2
Lru2Q,191,5,0,0,0,185,0.848032,5,0.450000,1
Lru2Q,166,9,0,0,0,156,0.8371500000000001,3,0.350000,3
Lru2Q,169,5,0,0,0,163,0.848204,5,0.200000,4
Lru2Q,169,24,0,0,0,144,0.829432,2,0.250000,3
Lru2Q,170,8,0,0,0,161,0.84334,4,0.050000,3
Lru2Q,167,53,0,0,0,113,0.820614,1,0.250000,5
Lru2Q,187,7,0,0,0,179,0.845599,4,0.400000,5
Lru2Q,187,5,0,0,0,181,0.849192,5,0.250000,5
Lru2Q,557,14,0,0,0,542,0.845639,4,0.050000,2
Lru2Q,175,7,0,0,0,167,0.8456170000000001,4,0.400000,3
Lru2Q,175,26,0,0,0,148,0.828213,2,0.250000,1
Lru2Q,181,0,0,0,0,180,0.866662,0,0.300000,0
Lru2Q,458,9,0,0,0,448,0.848526,4,0.300000,1
Lru2Q,162,9,0,0,0,152,0.845672,4,0.100000,2
Lru2Q,180,7,0,0,0,172,0.8454740000000001,4,0.450000,5
Lru2Q,735,0,0,0,0,734,0.866662,2,0.200000,0
Lru2Q,169,9,0,0,0,159,0.837125,3,0.350000,5
Lru2Q,179,29,0,0,0,149,0.8281229999999999,2,0.450000,3
Lru2Q,182,55,0,0,0,126,0.820398,1,0.100000,1
Lru2Q,183,15,0,0,0,167,0.838239,3,0.300000,1
Lru2Q,186,34,0,0,0,151,0.829556,2,0.200000,5
Lru2Q,176,55,0,0,0,120,0.820539,1,0.350000,2
Lru2Q,189,63,0,0,0,125,0.820208,1,0.050000,5
Lru2Q,284,8,0,0,0,275,0.84361,4,0.250000,4
Lru2Q,181,8,0,0,0,172,0.843289,4,0.150000,5
Lru2Q,661,19,0,0,0,641,0.848403,4,0.150000,1
Lru2Q,559,29,0,0,0,529,0.840993,3,0.100000,1
Lru2Q,756,0,0,0,0,755,0.866662,3,0.150000,0
Lru2Q,299,15,0,0,0,283,0.83882,3,0.050000,5
Lru2Q,268,5,0,0,0,262,0.849081,5,0.300000,3
Lru2Q,442,0,0,0,0,441,0.866662,0,0.100000,0
Lru2Q,528,23,0,0,0,504,0.840936,3,0.200000,5
Lru2Q,278,95,0,0,0,182,0.8202780000000001,1,0.200000,5
Lru2Q,309,6,0,0,0,302,0.845113,4,0.350000,2
Lru2Q,287,52,0,0,0,234,0.829282,2,0.100000,5
Lru2Q,279,6,0,0,0,272,0.844539,4,0.100000,4
Lru2Q,269,80,0,0,0,188,0.820388,1,0.400000,3
Lru2Q,287,5,0,0,0,281,0.848561,5,0.300000,4
Lru2Q,290,11,0,0,0,278,0.837523,3,0.400000,1
Lru2Q,234,72,0,0,0,161,0.820025,1,0.100000,3
Lru2Q,286,90,0,0,0,195,0.8201350000000001,1,0.200000,3
Lru2Q,285,13,0,0,0,271,0.838356,3,0.200000,3
Lru2Q,279,6,0,0,0,272,0.844039,4,0.100000,1
Lru2Q,287,8,0,0,0,278,0.843063,4,0.200000,2
Lru2Q,299,5,0,0,0,293,0.849745,5,0.050000,2
Lru2Q,279,6,0,0,0,272,0.845207,4,0.350000,4
Lru2Q,285,0,0,0,0,284,0.866662,4,0.250000,0
Lru2Q,240,66,0,0,0,173,0.820178,1,0.150000,1
Lru2Q,282,0,0,0,0,281,0.866662,0,0.250000,0
Lru2Q,278,85,0,0,0,192,0.820199,1,0.200000,2
Lru2Q,283,0,0,0,0,282,0.866662,4,0.450000,0
Lru2Q,293,5,0,0,0,287,0.849118,5,0.300000,5
Lru2Q,196,32,0,0,0,163,0.82883,2,0.350000,3
Lru2Q,314,48,0,0,0,265,0.828504,2,0.200000,3
Lru2Q,330,96,0,0,0,233,0.819846,1,0.050000,3
Lru2Q,955,0,0,0,0,954,0.866662,5,0.400000,0
Lru2Q,289,15,0,0,0,273,0.839216,3,0.150000,4
Lru2Q,695,102,0,0,0,592,0.830956,2,0.200000,4
Lru2Q,287,4,0,0,0,282,0.846172,5,0.400000,5
Lru2Q,292,46,0,0,0,245,0.829253,2,0.100000,1
Lru2Q,322,6,0,0,0,315,0.845116,4,0.300000,3
Lru2Q,273,8,0,0,0,264,0.8442419999999999,4,0.050000,1
Lru2Q,289,19,0,0,0,269,0.839209,3,0.150000,1
Lru2Q,276,0,0,0,0,275,0.866662,0,0.150000,0
Lru2Q,311,19,0,0,0,291,0.8407290000000001,3,0.050000,1
Lru2Q,531,66,0,0,0,464,0.832614,2,0.250000,2
Lru2Q,274,7,0,0,0,266,0.848151,5,0.150000,4
Lru2Q,428,5,0,0,0,422,0.849648,5,0.100000,1
Lru2Q,281,57,0,0,0,223,0.828203,2,0.400000,4
Lru2Q,286,0,0,0,0,285,0.866662,3,0.200000,0
Lru2Q,280,85,0,0,0,194,0.820385,1,0.100000,5
Lru2Q,706,9,0,0,0,696,0.848538,4,0.450000,1
Lru2Q,287,8,0,0,0,278,0.844162,4,0.100000,3
Lru2Q,294,4,0,0,0,289,0.847417,5,0.350000,5
Lru2Q,686,31,0,0,0,654,0.840526,3,0.300000,4
Lru2Q,310,15,0,0,0,294,0.841173,3,0.350000,1
Lru2Q,306,93,0,0,0,212,0.820058,1,0.150000,2
Lru2Q,289,6,0,0,0,282,0.844054,4,0.200000,4
Lru2Q,288,6,0,0,0,281,0.84414,4,0.400000,2
Lru2Q,300,0,0,0,0,299,0.866662,4,0.350000,0
Lru2Q,678,88,0,0,0,589,0.835063,2,0.050000,3
Lru2Q,294,6,0,0,0,287,0.845217,4,0.250000,1
Lru2Q,304,49,0,0,0,254,0.82929,2,0.400000,5
Lru2Q,277,0,0,0,0,276,0.866662,5,0.350000,0
Lru2Q,597,168,0,0,0,428,0.82003,1,0.100000,4
Lru2Q,278,13,0,0,0,264,0.839209,3,0.450000,5
Lru2Q,476,55,0,0,0,420,0.830633,2,0.400000,2
Lru2Q,287,5,0,0,0,281,0.84918,5,0.350000,3
Lru2Q,281,0,0,0,0,280,0.866662,2,0.300000,0
Lru2Q,292,44,0,0,0,247,0.829172,2,0.350000,2
Lru2Q,459,65,0,0,0,393,0.831608,2,0.150000,4
Lru2Q,283,88,0,0,0,194,0.820152,1,0.250000,3
Lru2Q,284,86,0,0,0,197,0.820138,1,0.300000,3
Lru2Q,282,47,0,0,0,234,0.830864,2,0.150000,3
Lru2Q,332,0,0,0,0,331,0.866662,1,0.450000,0
Lru2Q,277,5,0,0,0,271,0.848589,5,0.300000,1
Lru2Q,285,8,0,0,0,276,0.8452040000000001,4,0.350000,5
Lru2Q,273,0,0,0,0,272,0.866662,3,0.300000,0
Lru2Q,289,19,0,0,0,269,0.837616,3,0.250000,4
Lru2Q,438,123,0,0,0,314,0.81982,1,0.050000,1
Lru2Q,287,13,0,0,0,273,0.837656,3,0.400000,4
Lru2Q,323,95,0,0,0,227,0.8200540000000001,1,0.250000,1
Lru2Q,577,0,0,0,0,576,0.866662,0,0.400000,0
Lru2Q,279,42,0,0,0,236,0.829245,2,0.300000,2
Lru2Q,529,8,0,0,0,520,0.844935,4,0.350000,1
Lru2Q,288,8,0,0,0,279,0.8431299999999999,4,0.200000,1
Lru2Q,293,19,0,0,0,273,0.839224,3,0.150000,2
Lru2Q,292,0,0,0,0,291,0.866662,4,0.400000,0
Lru2Q,787,27,0,0,0,759,0.848652,3,0.250000,5
Lru2Q,450,8,0,0,0,441,0.845011,4,0.250000,5
Lru2Q,286,53,0,0,0,232,0.830302,2,0.350000,4
Lru2Q,270,5,0,0,0,264,0.849156,5,0.400000,4
Lru2Q,283,99,0,0,0,183,0.820435,1,0.150000,5
Lru2Q,456,12,0,0,0,443,0.845653,4,0.100000,5
Lru2Q,247,5,0,0,0,241,0.848654,5,0.050000,4
Lru2Q,287,48,0,0,0,238,0.8293010000000001,2,0.150000,2
Lru2Q,278,5,0,0,0,272,0.848595,5,0.200000,1
Lru2Q,296,5,0,0,0,290,0.8485320000000001,5,0.100000,5
Lru2Q,278,0,0,0,0,277,0.866662,3,0.250000,0
Lru2Q,277,46,0,0,0,230,0.829228,2,0.250000,5
Lru2Q,332,0,0,0,0,331,0.866662,5,0.300000,0
Lru2Q,289,0,0,0,0,288,0.866662,4,0.150000,0
Lru2Q,275,8,0,0,0,266,0.845256,4,0.200000,5
Lru2Q,314,0,0,0,0,313,0.866662,5,0.250000,0
Lru2Q,282,5,0,0,0,276,0.849739,5,0.350000,1
Lru2Q,282,101,0,0,0,180,0.820156,1,0.200000,1
Lru2Q,290,88,0,0,0,201,0.820281,1,0.150000,3
Lru2Q,294,11,0,0,0,282,0.8387640000000001,3,0.450000,2
Lru2Q,282,85,0,0,0,196,0.8202389999999999,1,0.300000,4
Lru2Q,305,85,0,0,0,219,0.820254,1,0.300000,5
Lru2Q,309,0,0,0,0,308,0.866662,1,0.300000,0
Lru2Q,309,11,0,0,0,297,0.840682,3,0.400000,3
Lru2Q,286,0,0,0,0,285,0.866662,0,0.350000,0
Lru2Q,288,6,0,0,0,281,0.8440920000000001,4,0.300000,2
Lru2Q,551,155,0,0,0,395,0.820225,1,0.350000,1
Lru2Q,441,17,0,0,0,423,0.841186,3,0.450000,1
Lru2Q,293,8,0,0,0,284,0.84407,4,0.150000,4
Lru2Q,272,83,0,0,0,188,0.820429,1,0.450000,5
Lru2Q,324,5,0,0,0,318,0.851043,5,0.200000,3
Lru2Q,430,10,0,0,0,419,0.845712,4,0.300000,4
Lru2Q,233,0,0,0,0,232,0.866662,0,0.450000,0
Lru2Q,281,0,0,0,0,280,0.866662,3,0.450000,0
Lru2Q,292,5,0,0,0,286,0.849163,5,0.050000,3
Lru2Q,283,0,0,0,0,282,0.866662,1,0.100000,0
Lru2Q,287,82,0,0,0,204,0.820281,1,0.150000,4
Lru2Q,286,5,0,0,0,280,0.848103,5,0.450000,3
Lru2Q,303,47,0,0,0,255,0.830816,2,0.100000,3
Lru2Q,276,0,0,0,0,275,0.866662,5,0.450000,0
Lru2Q,271,38,0,0,0,232,0.829197,2,0.450000,1
Lru2Q,308,101,0,0,0,206,0.81997,1,0.100000,2
Lru2Q,930,0,0,0,0,929,0.866662,1,0.250000,0
Lru2Q,461,0,0,0,0,460,0.866662,5,0.200000,0
Lru2Q,285,88,0,0,0,196,0.82012,1,0.250000,4
Lru2Q,289,5,0,0,0,283,0.848587,5,0.250000,1
Lru2Q,282,7,0,0,0,274,0.840781,4,0.150000,2
Lru2Q,287,47,0,0,0,239,0.827956,2,0.450000,5
Lru2Q,448,122,0,0,0,325,0.820058,1,0.450000,2
Lru2Q,277,8,0,0,0,268,0.84413,4,0.200000,3
Lru2Q,340,5,0,0,0,334,0.851035,5,0.250000,2
Lru2Q,289,45,0,0,0,243,0.830917,2,0.050000,4
Lru2Q,306,58,0,0,0,247,0.829221,2,0.300000,4
Lru2Q,286,47,0,0,0,238,0.82934,2,0.450000,2
Lru2Q,344,5,0,0,0,338,0.851098,5,0.400000,1
Lru2Q,283,15,0,0,0,267,0.83872,3,0.150000,5
Lru2Q,681,86,0,0,0,594,0.833899,2,0.200000,1
