Initializing Cache...Hits Per Slab Rebalancing init. HPS.h-default configCache Initialized. size: 16GB
hit ratio:0.61658,time:3142
hit ratio:0.704335,time:6315
hit ratio:0.742197,time:8271
hit ratio:0.772995,time:10959
hit ratio:0.792598,time:13417
hit ratio:0.81057,time:13626
hit ratio:0.826686,time:14146
hit ratio:0.833353,time:15444
hit ratio:0.829966,time:16860
hit ratio:0.79639,time:17599
hit ratio:0.740306,time:17811
hit ratio:0.703402,time:18104
hit ratio:0.662167,time:18298
hit ratio:0.632335,time:18637
hit ratio:0.609365,time:19012
hit ratio:0.594261,time:19668
hit ratio:0.571245,time:20093
hit ratio:0.551577,time:20498
hit ratio:0.541924,time:20900
hit ratio:0.525447,time:21275
hit ratio:0.520619,time:21770
hit ratio:0.513091,time:22114
hit ratio:0.504038,time:22344
hit ratio:0.489718,time:22628
RebStrtgy-pickVAndR...hit ratio:0.477942,time:23150
hit ratio:0.496532,time:24908
hit ratio:0.50922,time:25188
hit ratio:0.523318,time:25300
hit ratio:0.537437,time:25488
hit ratio:0.550127,time:25818
hit ratio:0.562396,time:26351
hit ratio:0.574355,time:26764
hit ratio:0.584706,time:27358
hit ratio:0.595127,time:27776
hit ratio:0.604784,time:27946
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:24. r:9. HPS-hold off started.
hit ratio:0.613745,time:28327
hit ratio:0.622977,time:29096
hit ratio:0.631353,time:31791
hit ratio:0.639886,time:34810
hit ratio:0.648283,time:36806
hit ratio:0.656355,time:38555
hit ratio:0.663969,time:41543
hit ratio:0.671211,time:44101
hit ratio:0.678396,time:46589
hit ratio:0.684615,time:46755
hit ratio:0.690752,time:46891
hit ratio:0.696483,time:47233
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:24. r:9. HPS-hold off started.
hit ratio:0.70183,time:47559
hit ratio:0.707452,time:48072
hit ratio:0.712502,time:48705
hit ratio:0.717739,time:49375
hit ratio:0.722727,time:49560
hit ratio:0.727268,time:49998
hit ratio:0.731689,time:51848
hit ratio:0.736045,time:54270
hit ratio:0.740312,time:57254
hit ratio:0.744512,time:59008
hit ratio:0.748371,time:61527
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:43. r:9. HPS-hold off started.
hit ratio:0.750777,time:64243
hit ratio:0.754589,time:66877
hit ratio:0.758462,time:67739
hit ratio:0.761856,time:68372
hit ratio:0.765007,time:68595
hit ratio:0.768121,time:68809
hit ratio:0.770975,time:69074
hit ratio:0.773736,time:69532
hit ratio:0.776614,time:69927
hit ratio:0.779323,time:70488
hit ratio:0.782069,time:71159
hit ratio:0.784095,time:72863
