A Cloud Physics trace. Will sleep 1 sec every 100000 requests
Initializing Cache...Hits Per Slab Rebalancing init. HPS.h-default configCache Initialized. size: 8GB
sleeping...hit ratio:0.67122,time:8893
sleeping...hit ratio:0.8166,time:18679
sleeping...hit ratio:0.8707,time:24809
sleeping...hit ratio:0.898347,time:32000
sleeping...hit ratio:0.910052,time:72782
sleeping...hit ratio:0.921962,time:83441
sleeping...hit ratio:0.930341,time:90653
sleeping...hit ratio:0.937369,time:100524
sleeping...hit ratio:0.942521,time:107226
sleeping...hit ratio:0.947297,time:118158
sleeping...hit ratio:0.950176,time:119838
sleeping...hit ratio:0.953927,time:151668
sleeping...hit ratio:0.956675,time:158380
sleeping...hit ratio:0.959429,time:166145
sleeping...hit ratio:0.961715,time:175477
sleeping...hit ratio:0.963849,time:184724
sleeping...hit ratio:0.965672,time:191734
sleeping...hit ratio:0.967316,time:202944
sleeping...hit ratio:0.968717,time:243168
sleeping...hit ratio:0.969902,time:250320
sleeping...hit ratio:0.971004,time:256492
sleeping...hit ratio:0.972042,time:264488
sleeping...hit ratio:0.973033,time:275096
sleeping...hit ratio:0.97362,time:283073
sleeping...hit ratio:0.974336,time:323076
sleeping...hit ratio:0.97502,time:334227
sleeping...hit ratio:0.975744,time:341525
sleeping...hit ratio:0.976547,time:347712
sleeping...hit ratio:0.977252,time:355038
sleeping...hit ratio:0.977909,time:364013
sleeping...hit ratio:0.978459,time:372476
sleeping...hit ratio:0.978891,time:410745
sleeping...hit ratio:0.979323,time:417763
sleeping...hit ratio:0.979826,time:425501
sleeping...hit ratio:0.980304,time:432681
sleeping...hit ratio:0.980686,time:437621
sleeping...hit ratio:0.980997,time:441466
sleeping...hit ratio:0.981356,time:449598
sleeping...hit ratio:0.981766,time:457921
sleeping...hit ratio:0.982189,time:497393
sleeping...hit ratio:0.98246,time:505345
sleeping...hit ratio:0.982682,time:509612
sleeping...hit ratio:0.982835,time:518168
sleeping...hit ratio:0.98317,time:530353
sleeping...hit ratio:0.98345,time:539656
sleeping...hit ratio:0.983768,time:549341
sleeping...hit ratio:0.984016,time:588319
sleeping...hit ratio:0.984319,time:597229
sleeping...hit ratio:0.984546,time:606060
EOF
hit ratio:0.984593,time:606699
num_requests:4926610,throughput:8.12035reqs/sec,
