Initializing Cache...Cache Initialized. size: 32GB
hit ratio:0.65126,time:59498
hit ratio:0.43753,time:59972
hit ratio:0.300127,time:60925
hit ratio:0.22763,time:61589
hit ratio:0.23656,time:62935
hit ratio:0.199055,time:63741
hit ratio:0.218399,time:101305
hit ratio:0.312865,time:101998
hit ratio:0.388887,time:102765
hit ratio:0.449668,time:103568
hit ratio:0.499068,time:104468
hit ratio:0.540575,time:105524
hit ratio:0.571588,time:115391
hit ratio:0.591113,time:174985
hit ratio:0.618179,time:175523
hit ratio:0.64188,time:176501
hit ratio:0.662845,time:177136
hit ratio:0.681304,time:178532
hit ratio:0.697957,time:179412
hit ratio:0.707426,time:221587
hit ratio:0.712547,time:288244
hit ratio:0.72544,time:288846
hit ratio:0.737286,time:289777
hit ratio:0.748125,time:290602
hit ratio:0.75806,time:291982
hit ratio:0.767298,time:292868
hit ratio:0.772516,time:326023
hit ratio:0.776613,time:363814
hit ratio:0.784241,time:364488
hit ratio:0.791328,time:365614
hit ratio:0.798013,time:366195
hit ratio:0.804208,time:367692
hit ratio:0.810019,time:368654
hit ratio:0.811597,time:419645
hit ratio:0.814848,time:448810
hit ratio:0.819939,time:449510
hit ratio:0.824739,time:450612
hit ratio:0.829305,time:451330
hit ratio:0.833608,time:452569
hit ratio:0.837632,time:453361
hit ratio:0.837632,time:515771
hit ratio:0.840296,time:536508
hit ratio:0.843976,time:537154
hit ratio:0.847458,time:538203
hit ratio:0.850792,time:539027
hit ratio:0.853969,time:540529
hit ratio:0.856448,time:541487
EOF
hit ratio:0.855821,time:609831
num_requests:4790048,throughput:7.85471reqs/sec,
