Cache Initialized. size: 1GB
hit ratio:0.84315,time:26
hit ratio:0.81816,time:51
hit ratio:0.808057,time:77
hit ratio:0.806225,time:103
hit ratio:0.79681,time:129
hit ratio:0.798095,time:155
hit ratio:0.805953,time:180
hit ratio:0.81003,time:206
hit ratio:0.809876,time:232
hit ratio:0.811853,time:258
hit ratio:0.817505,time:284
hit ratio:0.820062,time:309
hit ratio:0.819948,time:335
hit ratio:0.821812,time:361
hit ratio:0.825008,time:387
hit ratio:0.826649,time:413
hit ratio:0.826716,time:439
hit ratio:0.828631,time:464
hit ratio:0.830952,time:490
hit ratio:0.832559,time:516
hit ratio:0.833252,time:542
hit ratio:0.835058,time:568
hit ratio:0.836704,time:593
hit ratio:0.837799,time:619
hit ratio:0.838126,time:645
hit ratio:0.839573,time:671
hit ratio:0.840838,time:696
hit ratio:0.841915,time:722
hit ratio:0.843129,time:748
hit ratio:0.844042,time:774
hit ratio:0.845445,time:800
hit ratio:0.846267,time:826
hit ratio:0.846649,time:851
hit ratio:0.84756,time:877
hit ratio:0.848555,time:903
hit ratio:0.849374,time:929
hit ratio:0.849806,time:954
hit ratio:0.850656,time:980
hit ratio:0.851702,time:1006
hit ratio:0.852331,time:1032
hit ratio:0.852824,time:1058
hit ratio:0.853642,time:1083
hit ratio:0.854743,time:1109
hit ratio:0.85548,time:1135
hit ratio:0.855946,time:1161
hit ratio:0.856797,time:1187
hit ratio:0.857645,time:1212
hit ratio:0.858306,time:1238
hit ratio:0.858719,time:1264
hit ratio:0.859361,time:1290
hit ratio:0.860259,time:1315
hit ratio:0.860928,time:1341
hit ratio:0.861946,time:1367
hit ratio:0.862693,time:1393
hit ratio:0.863541,time:1418
hit ratio:0.864449,time:1444
hit ratio:0.864612,time:1470
hit ratio:0.864977,time:1496
hit ratio:0.865788,time:1522
hit ratio:0.866286,time:1548
hit ratio:0.866751,time:1574
hit ratio:0.867103,time:1599
hit ratio:0.867694,time:1625
hit ratio:0.868374,time:1651
hit ratio:0.868846,time:1677
hit ratio:0.869183,time:1703
hit ratio:0.869686,time:1728
hit ratio:0.870229,time:1754
hit ratio:0.870716,time:1780
hit ratio:0.870988,time:1806
hit ratio:0.871425,time:1832
hit ratio:0.871944,time:1857
hit ratio:0.872356,time:1883
hit ratio:0.87256,time:1909
hit ratio:0.872915,time:1935
hit ratio:0.873471,time:1960
hit ratio:0.873756,time:1986
hit ratio:0.873894,time:2012
hit ratio:0.874234,time:2038
hit ratio:0.874599,time:2064
hit ratio:0.874651,time:2090
hit ratio:0.874589,time:2115
hit ratio:0.874691,time:2141
hit ratio:0.874881,time:2167
hit ratio:0.874952,time:2193
hit ratio:0.874853,time:2219
hit ratio:0.874887,time:2244
hit ratio:0.875032,time:2270
hit ratio:0.87504,time:2296
hit ratio:0.874986,time:2322
hit ratio:0.87507,time:2348
hit ratio:0.87521,time:2373
hit ratio:0.87521,time:2399
hit ratio:0.87513,time:2425
hit ratio:0.875232,time:2451
hit ratio:0.875425,time:2477
hit ratio:0.875471,time:2502
hit ratio:0.875415,time:2528
hit ratio:0.875498,time:2554
hit ratio:0.875759,time:2580
hit ratio:0.875812,time:2606
hit ratio:0.87571,time:2631
hit ratio:0.875721,time:2657
hit ratio:0.876038,time:2683
hit ratio:0.876115,time:2709
hit ratio:0.876038,time:2735
hit ratio:0.875959,time:2761
hit ratio:0.876222,time:2786
hit ratio:0.876323,time:2812
hit ratio:0.876292,time:2838
hit ratio:0.876246,time:2864
hit ratio:0.876396,time:2890
hit ratio:0.876541,time:2916
hit ratio:0.876581,time:2941
hit ratio:0.876568,time:2967
hit ratio:0.876716,time:2993
hit ratio:0.876972,time:3019
hit ratio:0.877076,time:3045
hit ratio:0.877067,time:3070
hit ratio:0.877207,time:3096
hit ratio:0.877372,time:3122
hit ratio:0.877474,time:3148
hit ratio:0.877486,time:3174
hit ratio:0.877605,time:3200
hit ratio:0.87791,time:3225
hit ratio:0.877976,time:3251
hit ratio:0.877965,time:3277
hit ratio:0.87796,time:3303
hit ratio:0.87805,time:3329
hit ratio:0.878252,time:3354
hit ratio:0.878313,time:3380
hit ratio:0.878302,time:3406
hit ratio:0.878408,time:3432
hit ratio:0.878555,time:3458
hit ratio:0.87866,time:3484
hit ratio:0.878617,time:3509
hit ratio:0.878631,time:3535
hit ratio:0.878874,time:3561
hit ratio:0.878959,time:3587
hit ratio:0.878956,time:3613
hit ratio:0.879004,time:3638
hit ratio:0.879139,time:3664
hit ratio:0.879317,time:3690
hit ratio:0.879393,time:3716
hit ratio:0.879411,time:3742
hit ratio:0.87952,time:3768
hit ratio:0.879685,time:3793
hit ratio:0.879782,time:3819
hit ratio:0.879766,time:3845
hit ratio:0.879785,time:3871
hit ratio:0.879981,time:3897
hit ratio:0.880049,time:3923
hit ratio:0.880062,time:3949
hit ratio:0.880067,time:3974
hit ratio:0.880145,time:4000
hit ratio:0.880321,time:4026
hit ratio:0.880373,time:4052
hit ratio:0.880417,time:4078
hit ratio:0.880494,time:4103
hit ratio:0.880684,time:4129
hit ratio:0.880741,time:4155
hit ratio:0.880743,time:4181
hit ratio:0.880806,time:4207
hit ratio:0.880955,time:4233
hit ratio:0.881007,time:4258
hit ratio:0.880949,time:4284
hit ratio:0.880894,time:4310
hit ratio:0.88089,time:4336
hit ratio:0.881014,time:4362
hit ratio:0.880976,time:4388
hit ratio:0.880943,time:4413
hit ratio:0.88092,time:4439
hit ratio:0.881024,time:4465
hit ratio:0.881017,time:4491
hit ratio:0.880965,time:4517
hit ratio:0.880955,time:4542
hit ratio:0.881025,time:4568
hit ratio:0.881012,time:4594
hit ratio:0.880944,time:4620
hit ratio:0.880942,time:4646
hit ratio:0.881068,time:4671
hit ratio:0.88108,time:4697
hit ratio:0.881043,time:4723
hit ratio:0.881014,time:4749
hit ratio:0.881072,time:4775
hit ratio:0.881165,time:4801
hit ratio:0.881171,time:4826
hit ratio:0.881158,time:4852
hit ratio:0.881169,time:4878
hit ratio:0.881272,time:4904
hit ratio:0.881281,time:4930
hit ratio:0.881239,time:4955
hit ratio:0.881282,time:4981
hit ratio:0.881392,time:5007
hit ratio:0.881426,time:5033
hit ratio:0.881391,time:5058
hit ratio:0.881353,time:5084
hit ratio:0.881402,time:5110
hit ratio:0.881523,time:5136
hit ratio:0.88155,time:5162
hit ratio:0.881553,time:5187
hit ratio:0.881589,time:5213
hit ratio:0.881694,time:5239
hit ratio:0.881733,time:5265
hit ratio:0.88169,time:5291
hit ratio:0.881643,time:5316
hit ratio:0.881722,time:5342
hit ratio:0.881856,time:5368
hit ratio:0.881899,time:5394
hit ratio:0.881856,time:5420
hit ratio:0.881902,time:5445
hit ratio:0.882017,time:5471
hit ratio:0.882057,time:5497
hit ratio:0.882013,time:5523
hit ratio:0.881975,time:5549
hit ratio:0.882037,time:5574
hit ratio:0.882142,time:5600
hit ratio:0.882187,time:5626
hit ratio:0.882163,time:5652
hit ratio:0.882183,time:5677
hit ratio:0.882319,time:5703
hit ratio:0.882325,time:5729
hit ratio:0.88236,time:5755
hit ratio:0.882343,time:5780
hit ratio:0.882392,time:5806
hit ratio:0.882505,time:5832
hit ratio:0.882537,time:5858
hit ratio:0.882528,time:5884
hit ratio:0.88248,time:5909
hit ratio:0.882542,time:5935
hit ratio:0.882663,time:5961
hit ratio:0.882692,time:5987
hit ratio:0.882683,time:6013
hit ratio:0.882721,time:6038
hit ratio:0.882853,time:6064
hit ratio:0.882895,time:6090
hit ratio:0.882855,time:6116
hit ratio:0.882839,time:6141
hit ratio:0.882904,time:6167
hit ratio:0.883005,time:6193
hit ratio:0.883047,time:6219
hit ratio:0.883032,time:6245
hit ratio:0.883035,time:6271
hit ratio:0.883142,time:6296
hit ratio:0.883197,time:6322
hit ratio:0.883224,time:6348
hit ratio:0.88322,time:6373
hit ratio:0.883264,time:6399
hit ratio:0.883369,time:6425
hit ratio:0.883404,time:6451
hit ratio:0.883386,time:6477
hit ratio:0.883352,time:6503
hit ratio:0.883384,time:6528
hit ratio:0.883481,time:6554
hit ratio:0.883499,time:6580
hit ratio:0.883475,time:6606
hit ratio:0.883489,time:6631
hit ratio:0.883607,time:6657
hit ratio:0.883586,time:6683
hit ratio:0.883556,time:6709
hit ratio:0.883529,time:6734
hit ratio:0.883544,time:6760
hit ratio:0.883633,time:6786
hit ratio:0.883639,time:6812
hit ratio:0.8836,time:6838
hit ratio:0.88355,time:6863
hit ratio:0.883574,time:6889
hit ratio:0.883665,time:6915
hit ratio:0.883685,time:6941
hit ratio:0.883669,time:6967
hit ratio:0.883653,time:6992
hit ratio:0.883733,time:7018
hit ratio:0.883764,time:7044
hit ratio:0.883785,time:7070
hit ratio:0.883762,time:7095
hit ratio:0.883797,time:7121
hit ratio:0.883886,time:7147
hit ratio:0.883912,time:7173
hit ratio:0.883879,time:7199
hit ratio:0.883849,time:7224
hit ratio:0.883893,time:7250
hit ratio:0.88399,time:7276
hit ratio:0.884011,time:7302
hit ratio:0.883986,time:7327
hit ratio:0.883978,time:7353
hit ratio:0.884038,time:7379
hit ratio:0.884086,time:7405
hit ratio:0.884118,time:7431
hit ratio:0.884101,time:7456
hit ratio:0.884126,time:7482
hit ratio:0.88422,time:7508
hit ratio:0.884232,time:7534
hit ratio:0.884221,time:7560
hit ratio:0.884187,time:7585
hit ratio:0.88422,time:7611
hit ratio:0.884314,time:7637
hit ratio:0.884332,time:7663
hit ratio:0.884307,time:7688
hit ratio:0.884286,time:7714
hit ratio:0.884346,time:7740
hit ratio:0.884418,time:7766
hit ratio:0.884418,time:7792
hit ratio:0.884408,time:7817
hit ratio:0.884426,time:7843
hit ratio:0.884521,time:7869
hit ratio:0.88453,time:7895
hit ratio:0.884505,time:7920
hit ratio:0.884461,time:7946
hit ratio:0.884493,time:7972
hit ratio:0.884578,time:7998
hit ratio:0.884589,time:8024
hit ratio:0.884559,time:8049
hit ratio:0.884557,time:8075
hit ratio:0.884631,time:8101
hit ratio:0.884632,time:8127
hit ratio:0.884643,time:8152
hit ratio:0.884621,time:8178
hit ratio:0.884649,time:8204
hit ratio:0.884731,time:8230
hit ratio:0.884741,time:8256
hit ratio:0.884714,time:8281
hit ratio:0.884698,time:8307
hit ratio:0.884749,time:8333
hit ratio:0.884793,time:8359
hit ratio:0.884808,time:8384
hit ratio:0.884792,time:8410
hit ratio:0.884821,time:8436
hit ratio:0.884915,time:8462
hit ratio:0.884933,time:8488
hit ratio:0.884902,time:8513
hit ratio:0.884865,time:8539
hit ratio:0.884887,time:8565
hit ratio:0.884967,time:8591
hit ratio:0.884987,time:8617
hit ratio:0.88496,time:8642
hit ratio:0.884946,time:8668
hit ratio:0.885014,time:8694
hit ratio:0.885027,time:8720
hit ratio:0.885039,time:8746
hit ratio:0.885006,time:8771
hit ratio:0.885018,time:8797
hit ratio:0.885092,time:8823
hit ratio:0.885096,time:8849
hit ratio:0.885059,time:8875
hit ratio:0.885017,time:8900
