Cache Initialized. size: 256MB
time,id,size
hit ratio:0.84315,time:26
hit ratio:0.81816,time:51
hit ratio:0.808057,time:77
hit ratio:0.806225,time:103
hit ratio:0.79681,time:129
hit ratio:0.798095,time:155
hit ratio:0.805953,time:180
hit ratio:0.81003,time:206
hit ratio:0.809876,time:232
hit ratio:0.811853,time:258
hit ratio:0.817309,time:284
hit ratio:0.818945,time:309
hit ratio:0.817457,time:335
hit ratio:0.818334,time:361
hit ratio:0.820819,time:387
hit ratio:0.821402,time:413
hit ratio:0.819982,time:439
hit ratio:0.820771,time:464
hit ratio:0.822057,time:490
hit ratio:0.822618,time:516
hit ratio:0.822106,time:542
hit ratio:0.822999,time:568
hit ratio:0.823713,time:593
hit ratio:0.824011,time:619
hit ratio:0.823324,time:645
hit ratio:0.824107,time:671
hit ratio:0.824697,time:696
hit ratio:0.825071,time:722
hit ratio:0.825668,time:748
hit ratio:0.825946,time:774
hit ratio:0.826855,time:800
hit ratio:0.827034,time:826
hit ratio:0.826588,time:851
hit ratio:0.826921,time:877
hit ratio:0.827375,time:903
hit ratio:0.827558,time:929
hit ratio:0.827321,time:954
hit ratio:0.827655,time:980
hit ratio:0.828269,time:1006
hit ratio:0.828324,time:1032
hit ratio:0.828254,time:1058
hit ratio:0.828646,time:1083
hit ratio:0.829412,time:1109
hit ratio:0.829637,time:1135
hit ratio:0.82956,time:1161
hit ratio:0.829983,time:1187
hit ratio:0.830477,time:1212
hit ratio:0.830684,time:1238
hit ratio:0.830567,time:1264
hit ratio:0.830791,time:1290
hit ratio:0.831411,time:1315
hit ratio:0.831733,time:1341
hit ratio:0.832571,time:1367
hit ratio:0.833035,time:1393
hit ratio:0.833653,time:1418
hit ratio:0.834395,time:1444
hit ratio:0.834096,time:1470
hit ratio:0.834081,time:1496
hit ratio:0.83473,time:1522
hit ratio:0.834958,time:1548
hit ratio:0.835129,time:1574
hit ratio:0.835132,time:1599
hit ratio:0.835506,time:1625
hit ratio:0.836013,time:1651
hit ratio:0.836212,time:1677
hit ratio:0.83621,time:1703
hit ratio:0.836473,time:1728
hit ratio:0.836814,time:1754
hit ratio:0.837071,time:1780
hit ratio:0.837015,time:1806
hit ratio:0.837224,time:1832
hit ratio:0.837578,time:1857
hit ratio:0.837758,time:1883
hit ratio:0.837619,time:1909
hit ratio:0.837717,time:1935
hit ratio:0.838118,time:1960
hit ratio:0.838112,time:1986
hit ratio:0.837904,time:2012
hit ratio:0.838043,time:2038
hit ratio:0.838305,time:2064
hit ratio:0.838281,time:2090
hit ratio:0.838173,time:2115
hit ratio:0.838283,time:2141
hit ratio:0.838539,time:2167
hit ratio:0.838593,time:2193
hit ratio:0.83845,time:2219
hit ratio:0.838448,time:2244
hit ratio:0.838604,time:2270
hit ratio:0.838571,time:2296
hit ratio:0.838461,time:2322
hit ratio:0.838553,time:2348
hit ratio:0.838725,time:2373
hit ratio:0.838725,time:2399
hit ratio:0.838585,time:2425
hit ratio:0.838671,time:2451
hit ratio:0.838881,time:2477
hit ratio:0.838905,time:2502
hit ratio:0.838766,time:2528
hit ratio:0.838841,time:2554
hit ratio:0.839154,time:2580
hit ratio:0.839192,time:2606
hit ratio:0.839048,time:2631
hit ratio:0.839046,time:2657
hit ratio:0.839434,time:2683
hit ratio:0.839483,time:2709
hit ratio:0.839353,time:2735
hit ratio:0.839254,time:2761
hit ratio:0.83958,time:2786
hit ratio:0.839691,time:2812
hit ratio:0.839639,time:2838
hit ratio:0.839566,time:2864
hit ratio:0.839746,time:2890
hit ratio:0.839914,time:2916
hit ratio:0.839943,time:2941
hit ratio:0.83991,time:2967
hit ratio:0.840071,time:2993
hit ratio:0.84038,time:3019
hit ratio:0.840505,time:3045
hit ratio:0.840479,time:3070
hit ratio:0.840639,time:3096
hit ratio:0.84082,time:3122
hit ratio:0.840907,time:3148
hit ratio:0.840877,time:3174
hit ratio:0.840985,time:3200
hit ratio:0.84135,time:3225
hit ratio:0.841402,time:3251
hit ratio:0.841344,time:3277
hit ratio:0.841285,time:3303
hit ratio:0.841381,time:3329
hit ratio:0.841608,time:3354
hit ratio:0.841649,time:3380
hit ratio:0.841592,time:3406
hit ratio:0.841703,time:3432
hit ratio:0.841863,time:3458
hit ratio:0.841965,time:3484
hit ratio:0.84185,time:3509
hit ratio:0.841822,time:3535
hit ratio:0.842096,time:3561
hit ratio:0.84215,time:3587
hit ratio:0.842091,time:3613
hit ratio:0.84211,time:3638
hit ratio:0.842235,time:3664
hit ratio:0.842426,time:3690
hit ratio:0.842474,time:3716
hit ratio:0.842442,time:3742
hit ratio:0.842532,time:3768
hit ratio:0.842699,time:3793
hit ratio:0.84277,time:3819
hit ratio:0.842695,time:3845
hit ratio:0.842664,time:3871
hit ratio:0.842878,time:3897
hit ratio:0.84291,time:3923
hit ratio:0.842862,time:3949
hit ratio:0.842805,time:3974
hit ratio:0.842843,time:4000
hit ratio:0.843024,time:4026
hit ratio:0.843028,time:4052
hit ratio:0.843019,time:4078
hit ratio:0.843064,time:4103
hit ratio:0.84326,time:4129
hit ratio:0.843287,time:4155
hit ratio:0.843221,time:4181
hit ratio:0.843251,time:4207
hit ratio:0.84341,time:4233
hit ratio:0.84343,time:4258
hit ratio:0.843338,time:4284
hit ratio:0.843262,time:4310
hit ratio:0.843267,time:4336
hit ratio:0.843433,time:4362
hit ratio:0.843411,time:4388
hit ratio:0.843379,time:4413
hit ratio:0.843357,time:4439
hit ratio:0.843499,time:4465
hit ratio:0.843498,time:4491
hit ratio:0.843437,time:4517
hit ratio:0.843427,time:4542
hit ratio:0.843521,time:4568
hit ratio:0.843509,time:4594
hit ratio:0.84342,time:4620
hit ratio:0.84341,time:4646
hit ratio:0.843573,time:4671
hit ratio:0.843577,time:4697
hit ratio:0.843512,time:4723
hit ratio:0.843461,time:4749
hit ratio:0.843532,time:4775
hit ratio:0.843645,time:4801
hit ratio:0.843641,time:4826
hit ratio:0.843612,time:4852
hit ratio:0.843621,time:4878
hit ratio:0.843755,time:4904
hit ratio:0.843759,time:4930
hit ratio:0.843692,time:4955
hit ratio:0.843737,time:4981
hit ratio:0.843864,time:5007
hit ratio:0.843896,time:5033
hit ratio:0.843838,time:5058
hit ratio:0.843773,time:5084
hit ratio:0.843826,time:5110
hit ratio:0.843973,time:5136
hit ratio:0.843978,time:5162
hit ratio:0.84397,time:5187
hit ratio:0.844001,time:5213
hit ratio:0.844119,time:5239
hit ratio:0.844148,time:5265
hit ratio:0.844068,time:5291
hit ratio:0.843983,time:5316
hit ratio:0.844071,time:5342
hit ratio:0.844224,time:5368
hit ratio:0.844271,time:5394
hit ratio:0.8442,time:5420
hit ratio:0.844243,time:5445
hit ratio:0.844378,time:5471
hit ratio:0.844416,time:5497
hit ratio:0.844339,time:5523
hit ratio:0.844273,time:5549
hit ratio:0.844339,time:5574
hit ratio:0.844461,time:5600
hit ratio:0.844499,time:5626
hit ratio:0.844457,time:5652
hit ratio:0.844462,time:5677
hit ratio:0.844626,time:5703
hit ratio:0.844614,time:5729
hit ratio:0.844632,time:5755
hit ratio:0.844584,time:5780
hit ratio:0.844628,time:5806
hit ratio:0.844759,time:5832
hit ratio:0.844786,time:5858
hit ratio:0.844751,time:5884
hit ratio:0.844664,time:5909
hit ratio:0.844727,time:5935
hit ratio:0.844867,time:5961
hit ratio:0.844883,time:5987
hit ratio:0.844846,time:6013
hit ratio:0.844867,time:6038
hit ratio:0.84502,time:6064
hit ratio:0.84506,time:6090
hit ratio:0.844977,time:6116
hit ratio:0.844929,time:6141
hit ratio:0.844989,time:6167
hit ratio:0.8451,time:6193
hit ratio:0.845129,time:6219
hit ratio:0.845087,time:6245
hit ratio:0.845066,time:6271
hit ratio:0.845183,time:6296
hit ratio:0.845232,time:6322
hit ratio:0.84524,time:6348
hit ratio:0.845201,time:6373
hit ratio:0.845233,time:6399
hit ratio:0.845353,time:6425
hit ratio:0.84537,time:6451
hit ratio:0.845327,time:6477
hit ratio:0.84527,time:6503
hit ratio:0.845309,time:6528
hit ratio:0.845431,time:6554
hit ratio:0.845454,time:6580
hit ratio:0.845424,time:6606
hit ratio:0.845439,time:6631
hit ratio:0.845594,time:6657
hit ratio:0.845565,time:6683
hit ratio:0.845533,time:6709
hit ratio:0.845502,time:6734
hit ratio:0.845519,time:6760
hit ratio:0.845642,time:6786
hit ratio:0.845647,time:6812
hit ratio:0.845588,time:6838
hit ratio:0.845518,time:6863
hit ratio:0.845547,time:6889
hit ratio:0.845662,time:6915
hit ratio:0.845683,time:6941
hit ratio:0.845653,time:6967
hit ratio:0.845627,time:6992
hit ratio:0.845723,time:7018
hit ratio:0.84576,time:7044
hit ratio:0.845782,time:7070
hit ratio:0.845745,time:7095
hit ratio:0.845789,time:7121
hit ratio:0.845904,time:7147
hit ratio:0.845926,time:7173
hit ratio:0.845868,time:7199
hit ratio:0.845812,time:7224
hit ratio:0.845853,time:7250
hit ratio:0.845964,time:7276
hit ratio:0.845978,time:7302
hit ratio:0.845927,time:7327
hit ratio:0.845902,time:7353
hit ratio:0.845967,time:7379
hit ratio:0.846016,time:7405
hit ratio:0.846045,time:7431
hit ratio:0.846007,time:7456
hit ratio:0.846022,time:7482
hit ratio:0.846137,time:7508
hit ratio:0.846139,time:7534
hit ratio:0.8461,time:7560
hit ratio:0.846038,time:7585
hit ratio:0.846067,time:7611
hit ratio:0.846181,time:7637
hit ratio:0.846187,time:7663
hit ratio:0.846135,time:7688
hit ratio:0.846087,time:7714
hit ratio:0.846154,time:7740
hit ratio:0.846238,time:7766
hit ratio:0.846229,time:7792
hit ratio:0.846203,time:7817
hit ratio:0.846216,time:7843
hit ratio:0.846337,time:7869
hit ratio:0.846339,time:7895
hit ratio:0.846293,time:7920
hit ratio:0.846218,time:7946
hit ratio:0.846244,time:7972
hit ratio:0.846349,time:7998
hit ratio:0.84635,time:8024
hit ratio:0.8463,time:8049
hit ratio:0.846284,time:8075
hit ratio:0.846373,time:8101
hit ratio:0.846364,time:8127
hit ratio:0.846364,time:8152
hit ratio:0.84632,time:8178
hit ratio:0.846349,time:8204
hit ratio:0.84645,time:8230
hit ratio:0.846454,time:8256
hit ratio:0.846401,time:8281
hit ratio:0.846366,time:8307
hit ratio:0.846425,time:8333
hit ratio:0.846475,time:8359
hit ratio:0.846486,time:8384
hit ratio:0.84645,time:8410
hit ratio:0.846476,time:8436
hit ratio:0.846591,time:8462
hit ratio:0.846597,time:8488
hit ratio:0.846542,time:8513
hit ratio:0.846478,time:8539
hit ratio:0.846498,time:8565
hit ratio:0.846598,time:8591
hit ratio:0.846613,time:8617
hit ratio:0.846567,time:8642
hit ratio:0.846536,time:8668
hit ratio:0.846617,time:8694
hit ratio:0.846631,time:8720
hit ratio:0.846649,time:8746
hit ratio:0.846608,time:8771
hit ratio:0.846626,time:8797
hit ratio:0.846725,time:8823
hit ratio:0.846735,time:8849
hit ratio:0.846689,time:8875
hit ratio:0.846633,time:8900
