Initializing Cache...Marginal Hits Rebalancing init. MHS-default config
reb. strategy config set. Cache Initialized. size: 512MB
hit ratio:0.84315,time:26
hit ratio:0.81816,time:51
hit ratio:0.808057,time:77
hit ratio:0.806225,time:103
hit ratio:0.79681,time:129
hit ratio:0.798095,time:155
hit ratio:0.805953,time:180
hit ratio:0.81003,time:206
hit ratio:0.809876,time:232
hit ratio:0.811853,time:258
hit ratio:0.817505,time:284
hit ratio:0.820062,time:309
hit ratio:0.819948,time:335
hit ratio:0.821812,time:361
hit ratio:0.825008,time:387
hit ratio:0.826649,time:413
hit ratio:0.826716,time:439
hit ratio:0.828631,time:464
hit ratio:0.830952,time:490
hit ratio:0.832559,time:516
hit ratio:0.833252,time:542
hit ratio:0.835058,time:568
hit ratio:0.836704,time:593
hit ratio:0.837799,time:619
hit ratio:0.838126,time:645
hit ratio:0.839573,time:671
hit ratio:0.840838,time:696
hit ratio:0.841915,time:722
hit ratio:0.843129,time:748
hit ratio:0.84404,time:774
hit ratio:0.84544,time:800
hit ratio:0.846191,time:826
RebStrtgy-pickVAndR...hit ratio:0.846331,time:851
hit ratio:0.846879,time:877
hit ratio:0.84739,time:903
hit ratio:0.847613,time:929
hit ratio:0.847411,time:954
hit ratio:0.847684,time:980
hit ratio:0.848233,time:1006
hit ratio:0.848309,time:1032
hit ratio:0.848287,time:1058
hit ratio:0.848685,time:1083
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:35 r:22 picked. 
hit ratio:0.849378,time:1109
hit ratio:0.849605,time:1135
hit ratio:0.849505,time:1161
hit ratio:0.849897,time:1187
hit ratio:0.850339,time:1212
hit ratio:0.850565,time:1238
hit ratio:0.850491,time:1264
hit ratio:0.850721,time:1290
hit ratio:0.851298,time:1315
hit ratio:0.8516,time:1341
hit ratio:0.852354,time:1367
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:35 r:22 picked. 
hit ratio:0.852778,time:1393
hit ratio:0.853338,time:1418
hit ratio:0.854002,time:1444
hit ratio:0.85375,time:1470
hit ratio:0.853748,time:1496
hit ratio:0.854348,time:1522
hit ratio:0.854572,time:1548
hit ratio:0.854747,time:1574
hit ratio:0.854784,time:1599
hit ratio:0.855145,time:1625
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:35 r:22 picked. 
hit ratio:0.855631,time:1651
hit ratio:0.855844,time:1677
hit ratio:0.855884,time:1703
hit ratio:0.856162,time:1728
hit ratio:0.856486,time:1754
hit ratio:0.85671,time:1780
hit ratio:0.856624,time:1806
hit ratio:0.856774,time:1832
hit ratio:0.857014,time:1857
hit ratio:0.857089,time:1883
hit ratio:0.856874,time:1909
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:24 r:21 picked. 
hit ratio:0.856863,time:1935
hit ratio:0.857145,time:1960
hit ratio:0.857041,time:1986
hit ratio:0.856784,time:2012
hit ratio:0.856841,time:2038
hit ratio:0.857017,time:2064
hit ratio:0.85694,time:2090
hit ratio:0.85678,time:2115
hit ratio:0.856842,time:2141
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:24 r:22 picked. 
hit ratio:0.857031,time:2167
hit ratio:0.857049,time:2193
hit ratio:0.856856,time:2219
hit ratio:0.856821,time:2244
hit ratio:0.856925,time:2270
hit ratio:0.856865,time:2296
hit ratio:0.856733,time:2322
hit ratio:0.856781,time:2348
hit ratio:0.856919,time:2373
hit ratio:0.856893,time:2399
hit ratio:0.856754,time:2425
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:25 r:21 picked. 
hit ratio:0.856827,time:2451
hit ratio:0.857005,time:2477
hit ratio:0.857012,time:2502
hit ratio:0.856885,time:2528
hit ratio:0.856954,time:2554
hit ratio:0.857229,time:2580
hit ratio:0.857274,time:2606
hit ratio:0.857131,time:2631
hit ratio:0.857117,time:2657
hit ratio:0.85744,time:2683
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:25 r:22 picked. 
hit ratio:0.857465,time:2709
hit ratio:0.857306,time:2735
hit ratio:0.85714,time:2761
hit ratio:0.857372,time:2786
hit ratio:0.857407,time:2812
hit ratio:0.857279,time:2838
hit ratio:0.857135,time:2864
hit ratio:0.857237,time:2890
hit ratio:0.857339,time:2916
hit ratio:0.857321,time:2941
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:26 r:21 picked. 
hit ratio:0.857228,time:2967
hit ratio:0.857338,time:2993
hit ratio:0.857575,time:3019
hit ratio:0.85763,time:3045
hit ratio:0.857555,time:3070
hit ratio:0.857658,time:3096
hit ratio:0.857791,time:3122
hit ratio:0.857839,time:3148
hit ratio:0.857775,time:3174
hit ratio:0.857847,time:3200
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:26 r:22 picked. 
hit ratio:0.858149,time:3225
hit ratio:0.858164,time:3251
hit ratio:0.85809,time:3277
hit ratio:0.858024,time:3303
hit ratio:0.858087,time:3329
hit ratio:0.858284,time:3354
hit ratio:0.858311,time:3380
hit ratio:0.85825,time:3406
hit ratio:0.858334,time:3432
hit ratio:0.858469,time:3458
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:27 r:21 picked. 
hit ratio:0.858563,time:3484
hit ratio:0.858456,time:3509
hit ratio:0.858419,time:3535
hit ratio:0.858668,time:3561
hit ratio:0.858715,time:3587
hit ratio:0.858643,time:3613
hit ratio:0.858615,time:3638
hit ratio:0.858685,time:3664
hit ratio:0.858824,time:3690
hit ratio:0.85882,time:3716
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:27 r:21 picked. 
hit ratio:0.858736,time:3742
hit ratio:0.858766,time:3768
hit ratio:0.858884,time:3793
hit ratio:0.85891,time:3819
hit ratio:0.858799,time:3845
hit ratio:0.858724,time:3871
hit ratio:0.858875,time:3897
hit ratio:0.858858,time:3923
hit ratio:0.858776,time:3949
hit ratio:0.858685,time:3974
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:28 r:22 picked. 
hit ratio:0.858693,time:4000
hit ratio:0.858831,time:4026
hit ratio:0.858813,time:4052
hit ratio:0.858782,time:4078
hit ratio:0.858796,time:4103
hit ratio:0.858953,time:4129
hit ratio:0.858949,time:4155
hit ratio:0.858862,time:4181
hit ratio:0.858862,time:4207
hit ratio:0.858976,time:4233
hit ratio:0.858978,time:4258
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:28 r:21 picked. 
hit ratio:0.858881,time:4284
hit ratio:0.858801,time:4310
hit ratio:0.858797,time:4336
hit ratio:0.858941,time:4362
hit ratio:0.85891,time:4388
hit ratio:0.858872,time:4413
hit ratio:0.858849,time:4439
hit ratio:0.858975,time:4465
hit ratio:0.858963,time:4491
hit ratio:0.858893,time:4517
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:29 r:22 picked. 
hit ratio:0.858869,time:4542
hit ratio:0.858938,time:4568
hit ratio:0.858914,time:4594
hit ratio:0.858824,time:4620
hit ratio:0.8588,time:4646
hit ratio:0.85893,time:4671
hit ratio:0.858922,time:4697
hit ratio:0.858853,time:4723
hit ratio:0.858786,time:4749
hit ratio:0.858833,time:4775
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:29 r:21 picked. 
hit ratio:0.858917,time:4801
hit ratio:0.858892,time:4826
hit ratio:0.85885,time:4852
hit ratio:0.858843,time:4878
hit ratio:0.858947,time:4904
hit ratio:0.858934,time:4930
hit ratio:0.858864,time:4955
hit ratio:0.858893,time:4981
hit ratio:0.859002,time:5007
hit ratio:0.859027,time:5033
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:30 r:21 picked. 
hit ratio:0.858961,time:5058
hit ratio:0.85888,time:5084
hit ratio:0.858901,time:5110
hit ratio:0.859016,time:5136
hit ratio:0.859016,time:5162
hit ratio:0.858993,time:5187
hit ratio:0.859012,time:5213
hit ratio:0.85911,time:5239
hit ratio:0.85913,time:5265
hit ratio:0.859045,time:5291
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:30 r:22 picked. 
hit ratio:0.858959,time:5316
hit ratio:0.859029,time:5342
hit ratio:0.859159,time:5368
hit ratio:0.859191,time:5394
hit ratio:0.859106,time:5420
hit ratio:0.859133,time:5445
hit ratio:0.859247,time:5471
hit ratio:0.859272,time:5497
hit ratio:0.859184,time:5523
hit ratio:0.859114,time:5549
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:30 r:20 picked. 
hit ratio:0.859159,time:5574
hit ratio:0.859255,time:5600
hit ratio:0.859278,time:5626
hit ratio:0.859219,time:5652
hit ratio:0.859205,time:5677
hit ratio:0.859346,time:5703
hit ratio:0.859325,time:5729
hit ratio:0.859334,time:5755
hit ratio:0.859287,time:5780
hit ratio:0.85932,time:5806
hit ratio:0.859431,time:5832
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:31 r:22 picked. 
hit ratio:0.859444,time:5858
hit ratio:0.859408,time:5884
hit ratio:0.859325,time:5909
hit ratio:0.859375,time:5935
hit ratio:0.859501,time:5961
hit ratio:0.859514,time:5987
hit ratio:0.859476,time:6013
hit ratio:0.859497,time:6038
hit ratio:0.859632,time:6064
hit ratio:0.859664,time:6090
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...MHS-pickVAndRImpl...MHS-pickVAndRFRnk...MHS-v:31 r:21 picked. 
hit ratio:0.859585,time:6116
hit ratio:0.859544,time:6141
hit ratio:0.8596,time:6167
hit ratio:0.859698,time:6193
hit ratio:0.859718,time:6219
hit ratio:0.859672,time:6245
