LruTailAge Rebalancing init. Cache Initialized. size: 512MB
hit ratio:0.84315,time:26
hit ratio:0.81816,time:51
hit ratio:0.808057,time:77
hit ratio:0.806225,time:103
hit ratio:0.79681,time:129
hit ratio:0.798095,time:155
hit ratio:0.805953,time:180
hit ratio:0.81003,time:206
hit ratio:0.809876,time:232
hit ratio:0.811853,time:258
hit ratio:0.817505,time:284
hit ratio:0.820062,time:309
hit ratio:0.819948,time:335
hit ratio:0.821812,time:361
hit ratio:0.825008,time:387
hit ratio:0.826649,time:413
hit ratio:0.826716,time:439
hit ratio:0.828631,time:464
hit ratio:0.830952,time:490
hit ratio:0.832559,time:516
hit ratio:0.833252,time:542
hit ratio:0.835058,time:568
hit ratio:0.836704,time:593
hit ratio:0.837799,time:619
hit ratio:0.838126,time:645
hit ratio:0.839573,time:671
hit ratio:0.840838,time:696
hit ratio:0.841915,time:722
hit ratio:0.843129,time:748
hit ratio:0.84404,time:774
hit ratio:0.84544,time:800
hit ratio:0.846191,time:826
hit ratio:0.846331,time:851
hit ratio:0.846879,time:877
hit ratio:0.84739,time:903
hit ratio:0.847613,time:929
hit ratio:0.847411,time:954
hit ratio:0.847684,time:980
hit ratio:0.848233,time:1006
hit ratio:0.848309,time:1032
hit ratio:0.848287,time:1058
hit ratio:0.848685,time:1083
hit ratio:0.849378,time:1109
hit ratio:0.849605,time:1135
hit ratio:0.849505,time:1161
hit ratio:0.849896,time:1187
hit ratio:0.850337,time:1212
hit ratio:0.850563,time:1238
hit ratio:0.850489,time:1264
hit ratio:0.850718,time:1290
hit ratio:0.851294,time:1315
hit ratio:0.851595,time:1341
hit ratio:0.852348,time:1367
hit ratio:0.852771,time:1393
hit ratio:0.853331,time:1418
hit ratio:0.853995,time:1444
hit ratio:0.853741,time:1470
hit ratio:0.853739,time:1496
hit ratio:0.854339,time:1522
hit ratio:0.854561,time:1548
hit ratio:0.854736,time:1574
hit ratio:0.854771,time:1599
hit ratio:0.855132,time:1625
hit ratio:0.855618,time:1651
hit ratio:0.85583,time:1677
hit ratio:0.85587,time:1703
hit ratio:0.856147,time:1728
hit ratio:0.856471,time:1754
hit ratio:0.856695,time:1780
hit ratio:0.856609,time:1806
hit ratio:0.856758,time:1832
hit ratio:0.856998,time:1857
hit ratio:0.857073,time:1883
hit ratio:0.856857,time:1909
hit ratio:0.856847,time:1935
hit ratio:0.857128,time:1960
hit ratio:0.857024,time:1986
hit ratio:0.856765,time:2012
hit ratio:0.856821,time:2038
hit ratio:0.856996,time:2064
hit ratio:0.85692,time:2090
hit ratio:0.856759,time:2115
hit ratio:0.85682,time:2141
hit ratio:0.857008,time:2167
hit ratio:0.857025,time:2193
hit ratio:0.856832,time:2219
hit ratio:0.856797,time:2244
hit ratio:0.856901,time:2270
hit ratio:0.856839,time:2296
hit ratio:0.856707,time:2322
hit ratio:0.856754,time:2348
hit ratio:0.856891,time:2373
hit ratio:0.856865,time:2399
hit ratio:0.856726,time:2425
hit ratio:0.856799,time:2451
hit ratio:0.856978,time:2477
hit ratio:0.856985,time:2502
hit ratio:0.85686,time:2528
hit ratio:0.856928,time:2554
hit ratio:0.857203,time:2580
hit ratio:0.857248,time:2606
hit ratio:0.857105,time:2631
hit ratio:0.857091,time:2657
hit ratio:0.857414,time:2683
hit ratio:0.857439,time:2709
hit ratio:0.857281,time:2735
hit ratio:0.857115,time:2761
hit ratio:0.857348,time:2786
hit ratio:0.857382,time:2812
hit ratio:0.857255,time:2838
hit ratio:0.857111,time:2864
hit ratio:0.857214,time:2890
hit ratio:0.857316,time:2916
hit ratio:0.857298,time:2941
hit ratio:0.857205,time:2967
hit ratio:0.857316,time:2993
hit ratio:0.857553,time:3019
hit ratio:0.857609,time:3045
hit ratio:0.857533,time:3070
hit ratio:0.857636,time:3096
hit ratio:0.85777,time:3122
hit ratio:0.857818,time:3148
hit ratio:0.857754,time:3174
hit ratio:0.857826,time:3200
hit ratio:0.858129,time:3225
hit ratio:0.858143,time:3251
hit ratio:0.858069,time:3277
hit ratio:0.858004,time:3303
hit ratio:0.858066,time:3329
hit ratio:0.858264,time:3354
hit ratio:0.85829,time:3380
hit ratio:0.858229,time:3406
hit ratio:0.858314,time:3432
hit ratio:0.858449,time:3458
hit ratio:0.858544,time:3484
hit ratio:0.858437,time:3509
hit ratio:0.858401,time:3535
hit ratio:0.85865,time:3561
hit ratio:0.858697,time:3587
hit ratio:0.858626,time:3613
hit ratio:0.858599,time:3638
hit ratio:0.85867,time:3664
hit ratio:0.85881,time:3690
hit ratio:0.858806,time:3716
hit ratio:0.858723,time:3742
hit ratio:0.858754,time:3768
hit ratio:0.858873,time:3793
hit ratio:0.858899,time:3819
hit ratio:0.85879,time:3845
hit ratio:0.858718,time:3871
hit ratio:0.85887,time:3897
hit ratio:0.858854,time:3923
hit ratio:0.858774,time:3949
hit ratio:0.858686,time:3974
hit ratio:0.858695,time:4000
hit ratio:0.858834,time:4026
hit ratio:0.858817,time:4052
hit ratio:0.858788,time:4078
hit ratio:0.858803,time:4103
hit ratio:0.85896,time:4129
hit ratio:0.858958,time:4155
hit ratio:0.858873,time:4181
hit ratio:0.858875,time:4207
hit ratio:0.85899,time:4233
hit ratio:0.858992,time:4258
hit ratio:0.858896,time:4284
hit ratio:0.858819,time:4310
hit ratio:0.858816,time:4336
hit ratio:0.85896,time:4362
hit ratio:0.858932,time:4388
hit ratio:0.858896,time:4413
hit ratio:0.858874,time:4439
hit ratio:0.859002,time:4465
hit ratio:0.858993,time:4491
hit ratio:0.858923,time:4517
hit ratio:0.858902,time:4542
hit ratio:0.858972,time:4568
hit ratio:0.85895,time:4594
hit ratio:0.858861,time:4620
hit ratio:0.858839,time:4646
hit ratio:0.858971,time:4671
hit ratio:0.858964,time:4697
hit ratio:0.858896,time:4723
hit ratio:0.858831,time:4749
hit ratio:0.858879,time:4775
hit ratio:0.858964,time:4801
hit ratio:0.858941,time:4826
hit ratio:0.8589,time:4852
hit ratio:0.858894,time:4878
hit ratio:0.858998,time:4904
hit ratio:0.858987,time:4930
hit ratio:0.858918,time:4955
hit ratio:0.858948,time:4981
hit ratio:0.859058,time:5007
hit ratio:0.859084,time:5033
hit ratio:0.859018,time:5058
hit ratio:0.858937,time:5084
hit ratio:0.858959,time:5110
hit ratio:0.859075,time:5136
hit ratio:0.859075,time:5162
hit ratio:0.859052,time:5187
hit ratio:0.859071,time:5213
hit ratio:0.859171,time:5239
hit ratio:0.859191,time:5265
hit ratio:0.859106,time:5291
hit ratio:0.859021,time:5316
hit ratio:0.859091,time:5342
hit ratio:0.859222,time:5368
hit ratio:0.859254,time:5394
hit ratio:0.859171,time:5420
hit ratio:0.859198,time:5445
hit ratio:0.859313,time:5471
hit ratio:0.859339,time:5497
hit ratio:0.859252,time:5523
hit ratio:0.859184,time:5549
hit ratio:0.859228,time:5574
hit ratio:0.859325,time:5600
hit ratio:0.859349,time:5626
hit ratio:0.85929,time:5652
hit ratio:0.859277,time:5677
hit ratio:0.859418,time:5703
hit ratio:0.859397,time:5729
hit ratio:0.859407,time:5755
hit ratio:0.859361,time:5780
hit ratio:0.859394,time:5806
hit ratio:0.859505,time:5832
hit ratio:0.859519,time:5858
hit ratio:0.859483,time:5884
hit ratio:0.859402,time:5909
hit ratio:0.859452,time:5935
hit ratio:0.85958,time:5961
hit ratio:0.859593,time:5987
hit ratio:0.859556,time:6013
hit ratio:0.859577,time:6038
hit ratio:0.859712,time:6064
hit ratio:0.859744,time:6090
hit ratio:0.859667,time:6116
hit ratio:0.859627,time:6141
hit ratio:0.859684,time:6167
hit ratio:0.859781,time:6193
hit ratio:0.859802,time:6219
hit ratio:0.859756,time:6245
hit ratio:0.859728,time:6271
hit ratio:0.85983,time:6296
hit ratio:0.859872,time:6322
hit ratio:0.859872,time:6348
hit ratio:0.859828,time:6373
hit ratio:0.859848,time:6399
hit ratio:0.859946,time:6425
hit ratio:0.85995,time:6451
hit ratio:0.859902,time:6477
hit ratio:0.85984,time:6503
hit ratio:0.859863,time:6528
hit ratio:0.859967,time:6554
hit ratio:0.859977,time:6580
hit ratio:0.859937,time:6606
hit ratio:0.859942,time:6631
hit ratio:0.860072,time:6657
hit ratio:0.860035,time:6683
hit ratio:0.859993,time:6709
hit ratio:0.859954,time:6734
hit ratio:0.859964,time:6760
hit ratio:0.860065,time:6786
hit ratio:0.860059,time:6812
hit ratio:0.860002,time:6838
hit ratio:0.859934,time:6863
hit ratio:0.859954,time:6889
hit ratio:0.860056,time:6915
hit ratio:0.860071,time:6941
hit ratio:0.860038,time:6967
hit ratio:0.860008,time:6992
hit ratio:0.860092,time:7018
hit ratio:0.860119,time:7044
hit ratio:0.860131,time:7070
hit ratio:0.860092,time:7095
hit ratio:0.860122,time:7121
hit ratio:0.860218,time:7147
hit ratio:0.860232,time:7173
hit ratio:0.860177,time:7199
hit ratio:0.860119,time:7224
hit ratio:0.86015,time:7250
hit ratio:0.86025,time:7276
hit ratio:0.860261,time:7302
hit ratio:0.86021,time:7327
hit ratio:0.860184,time:7353
hit ratio:0.860243,time:7379
hit ratio:0.860284,time:7405
hit ratio:0.860305,time:7431
hit ratio:0.860263,time:7456
hit ratio:0.860273,time:7482
hit ratio:0.860372,time:7508
hit ratio:0.860368,time:7534
hit ratio:0.860327,time:7560
hit ratio:0.860262,time:7585
hit ratio:0.860284,time:7611
hit ratio:0.860385,time:7637
hit ratio:0.86039,time:7663
hit ratio:0.860339,time:7688
hit ratio:0.860297,time:7714
hit ratio:0.860354,time:7740
hit ratio:0.860428,time:7766
hit ratio:0.860414,time:7792
hit ratio:0.860389,time:7817
hit ratio:0.860397,time:7843
hit ratio:0.860504,time:7869
hit ratio:0.860503,time:7895
hit ratio:0.860454,time:7920
hit ratio:0.860383,time:7946
hit ratio:0.860403,time:7972
hit ratio:0.860493,time:7998
hit ratio:0.860491,time:8024
hit ratio:0.86044,time:8049
hit ratio:0.860422,time:8075
hit ratio:0.860499,time:8101
hit ratio:0.860486,time:8127
hit ratio:0.860482,time:8152
hit ratio:0.860438,time:8178
hit ratio:0.860456,time:8204
hit ratio:0.86054,time:8230
hit ratio:0.860533,time:8256
hit ratio:0.860479,time:8281
hit ratio:0.860439,time:8307
hit ratio:0.860484,time:8333
hit ratio:0.860521,time:8359
hit ratio:0.860522,time:8384
hit ratio:0.860481,time:8410
hit ratio:0.860494,time:8436
hit ratio:0.860589,time:8462
hit ratio:0.860585,time:8488
hit ratio:0.860525,time:8513
hit ratio:0.860454,time:8539
hit ratio:0.860463,time:8565
hit ratio:0.860545,time:8591
hit ratio:0.860549,time:8617
hit ratio:0.860493,time:8642
hit ratio:0.860456,time:8668
hit ratio:0.860525,time:8694
hit ratio:0.860532,time:8720
hit ratio:0.860545,time:8746
hit ratio:0.860501,time:8771
hit ratio:0.860515,time:8797
hit ratio:0.860606,time:8823
hit ratio:0.860611,time:8849
hit ratio:0.860562,time:8875
hit ratio:0.860502,time:8900
