Initializing Cache...Hits Per Slab Rebalancing init. HPS.h-default configCache Initialized. size: 1GB
hit ratio:0.84315,time:26
hit ratio:0.81816,time:51
hit ratio:0.808057,time:77
hit ratio:0.806225,time:103
hit ratio:0.79681,time:129
hit ratio:0.798095,time:155
hit ratio:0.805953,time:180
hit ratio:0.81003,time:206
hit ratio:0.809876,time:232
hit ratio:0.811853,time:258
hit ratio:0.817505,time:284
hit ratio:0.820062,time:309
hit ratio:0.819948,time:335
hit ratio:0.821812,time:361
hit ratio:0.825008,time:387
hit ratio:0.826649,time:413
hit ratio:0.826716,time:439
hit ratio:0.828631,time:464
hit ratio:0.830952,time:490
hit ratio:0.832559,time:516
hit ratio:0.833252,time:542
hit ratio:0.835058,time:568
hit ratio:0.836704,time:593
hit ratio:0.837799,time:619
hit ratio:0.838126,time:645
hit ratio:0.839573,time:671
hit ratio:0.840838,time:696
hit ratio:0.841915,time:722
hit ratio:0.843129,time:748
hit ratio:0.844042,time:774
hit ratio:0.845445,time:800
hit ratio:0.846267,time:826
hit ratio:0.846649,time:851
hit ratio:0.84756,time:877
hit ratio:0.848555,time:903
hit ratio:0.849374,time:929
hit ratio:0.849806,time:954
hit ratio:0.850656,time:980
hit ratio:0.851702,time:1006
hit ratio:0.852331,time:1032
hit ratio:0.852824,time:1058
hit ratio:0.853642,time:1083
hit ratio:0.854743,time:1109
hit ratio:0.85548,time:1135
hit ratio:0.855946,time:1161
hit ratio:0.856797,time:1187
hit ratio:0.857645,time:1212
hit ratio:0.858306,time:1238
hit ratio:0.858719,time:1264
hit ratio:0.859361,time:1290
hit ratio:0.860259,time:1315
hit ratio:0.860928,time:1341
hit ratio:0.861946,time:1367
hit ratio:0.862693,time:1393
hit ratio:0.863541,time:1418
hit ratio:0.864449,time:1444
hit ratio:0.864612,time:1470
hit ratio:0.864977,time:1496
hit ratio:0.865788,time:1522
hit ratio:0.866286,time:1548
hit ratio:0.866751,time:1574
hit ratio:0.867103,time:1599
hit ratio:0.867694,time:1625
hit ratio:0.868374,time:1651
hit ratio:0.868846,time:1677
hit ratio:0.869183,time:1703
hit ratio:0.869686,time:1728
hit ratio:0.870229,time:1754
hit ratio:0.870716,time:1780
hit ratio:0.870988,time:1806
hit ratio:0.871425,time:1832
hit ratio:0.871944,time:1857
hit ratio:0.872356,time:1883
hit ratio:0.87256,time:1909
hit ratio:0.872915,time:1935
hit ratio:0.873471,time:1960
hit ratio:0.873755,time:1986
hit ratio:0.873894,time:2012
hit ratio:0.874232,time:2038
hit ratio:0.874586,time:2064
hit ratio:0.874647,time:2090
hit ratio:0.874624,time:2115
hit ratio:0.874783,time:2141
hit ratio:0.875043,time:2167
hit ratio:0.875181,time:2193
hit ratio:0.875142,time:2219
RebStrtgy-pickVAndR...hit ratio:0.875226,time:2244
hit ratio:0.875416,time:2270
hit ratio:0.87547,time:2296
hit ratio:0.875464,time:2322
hit ratio:0.875591,time:2348
hit ratio:0.875772,time:2373
hit ratio:0.875825,time:2399
hit ratio:0.87579,time:2425
hit ratio:0.875933,time:2451
hit ratio:0.876151,time:2477
hit ratio:0.876227,time:2502
hit ratio:0.876197,time:2528
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:38. r:3. HPS-hold off started.
hit ratio:0.87631,time:2554
hit ratio:0.876595,time:2580
hit ratio:0.876702,time:2606
hit ratio:0.876652,time:2631
hit ratio:0.876719,time:2657
hit ratio:0.877072,time:2683
hit ratio:0.877206,time:2709
hit ratio:0.877191,time:2735
hit ratio:0.877174,time:2761
hit ratio:0.877468,time:2786
hit ratio:0.87761,time:2812
hit ratio:0.877622,time:2838
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:39. r:3. HPS-hold off started.
hit ratio:0.877621,time:2864
hit ratio:0.877808,time:2890
hit ratio:0.877992,time:2916
hit ratio:0.878078,time:2941
hit ratio:0.878107,time:2967
hit ratio:0.878292,time:2993
hit ratio:0.878582,time:3019
hit ratio:0.878721,time:3045
hit ratio:0.878755,time:3070
hit ratio:0.878928,time:3096
hit ratio:0.879123,time:3122
hit ratio:0.879245,time:3148
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:40. r:2. HPS-hold off started.
hit ratio:0.879279,time:3174
hit ratio:0.879417,time:3200
hit ratio:0.879736,time:3225
hit ratio:0.879827,time:3251
hit ratio:0.87984,time:3277
hit ratio:0.879852,time:3303
hit ratio:0.879959,time:3329
hit ratio:0.880162,time:3354
hit ratio:0.880238,time:3380
hit ratio:0.880242,time:3406
hit ratio:0.880353,time:3432
hit ratio:0.880508,time:3458
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:40. r:3. HPS-hold off started.
hit ratio:0.880621,time:3484
hit ratio:0.880587,time:3509
hit ratio:0.880615,time:3535
hit ratio:0.880863,time:3561
hit ratio:0.880954,time:3587
hit ratio:0.880969,time:3613
hit ratio:0.881029,time:3638
hit ratio:0.881175,time:3664
hit ratio:0.881362,time:3690
hit ratio:0.881449,time:3716
hit ratio:0.88148,time:3742
hit ratio:0.881596,time:3768
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:39. r:3. HPS-hold off started.
hit ratio:0.881768,time:3793
hit ratio:0.881876,time:3819
hit ratio:0.881879,time:3845
hit ratio:0.881912,time:3871
hit ratio:0.882116,time:3897
hit ratio:0.882198,time:3923
hit ratio:0.882228,time:3949
hit ratio:0.882255,time:3974
hit ratio:0.882351,time:4000
hit ratio:0.882536,time:4026
hit ratio:0.882604,time:4052
hit ratio:0.882663,time:4078
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:40. r:3. HPS-hold off started.
hit ratio:0.882749,time:4103
hit ratio:0.882943,time:4129
hit ratio:0.883011,time:4155
hit ratio:0.883014,time:4181
hit ratio:0.88307,time:4207
hit ratio:0.883207,time:4233
hit ratio:0.88326,time:4258
hit ratio:0.883221,time:4284
hit ratio:0.883203,time:4310
hit ratio:0.883235,time:4336
hit ratio:0.883387,time:4362
hit ratio:0.883396,time:4388
hit ratio:0.88341,time:4413
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:40. r:3. HPS-hold off started.
hit ratio:0.883429,time:4439
hit ratio:0.883565,time:4465
hit ratio:0.883599,time:4491
hit ratio:0.883593,time:4517
hit ratio:0.883623,time:4542
hit ratio:0.883728,time:4568
hit ratio:0.88376,time:4594
hit ratio:0.883736,time:4620
hit ratio:0.883774,time:4646
hit ratio:0.883926,time:4671
hit ratio:0.883971,time:4697
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:40. r:3. HPS-hold off started.
hit ratio:0.883972,time:4723
hit ratio:0.883974,time:4749
hit ratio:0.884061,time:4775
hit ratio:0.88418,time:4801
hit ratio:0.884212,time:4826
hit ratio:0.884232,time:4852
hit ratio:0.884274,time:4878
hit ratio:0.884408,time:4904
hit ratio:0.88445,time:4930
hit ratio:0.884445,time:4955
hit ratio:0.884521,time:4981
hit ratio:0.884655,time:5007
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:40. r:3. HPS-hold off started.
hit ratio:0.884718,time:5033
hit ratio:0.88472,time:5058
hit ratio:0.884714,time:5084
hit ratio:0.884795,time:5110
hit ratio:0.88494,time:5136
hit ratio:0.884997,time:5162
hit ratio:0.885031,time:5187
hit ratio:0.8851,time:5213
hit ratio:0.885225,time:5239
hit ratio:0.88529,time:5265
hit ratio:0.885282,time:5291
hit ratio:0.885271,time:5316
hit ratio:0.885371,time:5342
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:40. r:4. HPS-hold off started.
hit ratio:0.885525,time:5368
hit ratio:0.885594,time:5394
hit ratio:0.885581,time:5420
hit ratio:0.885649,time:5445
hit ratio:0.885782,time:5471
hit ratio:0.885846,time:5497
hit ratio:0.885831,time:5523
hit ratio:0.885825,time:5549
hit ratio:0.885911,time:5574
hit ratio:0.886032,time:5600
hit ratio:0.886101,time:5626
hit ratio:0.886105,time:5652
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:40. r:3. HPS-hold off started.
hit ratio:0.886145,time:5677
hit ratio:0.886295,time:5703
hit ratio:0.886327,time:5729
hit ratio:0.886382,time:5755
hit ratio:0.886392,time:5780
hit ratio:0.88646,time:5806
hit ratio:0.886588,time:5832
hit ratio:0.886638,time:5858
hit ratio:0.886653,time:5884
hit ratio:0.88663,time:5909
hit ratio:0.886711,time:5935
hit ratio:0.886846,time:5961
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:40. r:3. HPS-hold off started.
hit ratio:0.886896,time:5987
hit ratio:0.886908,time:6013
hit ratio:0.886962,time:6038
hit ratio:0.887105,time:6064
hit ratio:0.887166,time:6090
hit ratio:0.887146,time:6116
hit ratio:0.887153,time:6141
hit ratio:0.887235,time:6167
hit ratio:0.887349,time:6193
hit ratio:0.887406,time:6219
hit ratio:0.887411,time:6245
hit ratio:0.887429,time:6271
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:40. r:4. HPS-hold off started.
hit ratio:0.887544,time:6296
hit ratio:0.887614,time:6322
hit ratio:0.887656,time:6348
hit ratio:0.887668,time:6373
hit ratio:0.887724,time:6399
hit ratio:0.887836,time:6425
hit ratio:0.887881,time:6451
hit ratio:0.887879,time:6477
hit ratio:0.887867,time:6503
hit ratio:0.887917,time:6528
hit ratio:0.888026,time:6554
hit ratio:0.888062,time:6580
hit ratio:0.888064,time:6606
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:35. r:3. HPS-hold off started.
hit ratio:0.888101,time:6631
hit ratio:0.888238,time:6657
hit ratio:0.888251,time:6683
hit ratio:0.888257,time:6709
hit ratio:0.888267,time:6734
hit ratio:0.888311,time:6760
hit ratio:0.888426,time:6786
hit ratio:0.88846,time:6812
hit ratio:0.88845,time:6838
hit ratio:0.888434,time:6863
hit ratio:0.888475,time:6889
hit ratio:0.888577,time:6915
RebStrtgy-pickVAndR...RebStrtgy-triggering pickVandRImp...HPS-pickVAndRImpl...HPS-v:40. r:3. HPS-hold off started.
hit ratio:0.888612,time:6941
hit ratio:0.888617,time:6967
hit ratio:0.888622,time:6992
hit ratio:0.888714,time:7018
hit ratio:0.888765,time:7044
hit ratio:0.888808,time:7070
hit ratio:0.888813,time:7095
hit ratio:0.888871,time:7121
hit ratio:0.888972,time:7147
