Hits Per Slab Rebalancing init. Cache Initialized. size: 256MB
hit ratio:0.84315,time:26
hit ratio:0.81816,time:51
hit ratio:0.808057,time:77
hit ratio:0.806225,time:103
hit ratio:0.79681,time:129
hit ratio:0.798095,time:155
hit ratio:0.805953,time:180
hit ratio:0.81003,time:206
hit ratio:0.809876,time:232
hit ratio:0.811853,time:258
hit ratio:0.81731,time:284
hit ratio:0.81891,time:309
hit ratio:0.817405,time:335
hit ratio:0.818276,time:361
hit ratio:0.820769,time:387
hit ratio:0.821336,time:413
hit ratio:0.819932,time:439
hit ratio:0.820747,time:464
hit ratio:0.822044,time:490
hit ratio:0.822625,time:516
hit ratio:0.822156,time:542
hit ratio:0.822972,time:568
hit ratio:0.823518,time:593
hit ratio:0.823655,time:619
hit ratio:0.82276,time:645
hit ratio:0.823414,time:671
hit ratio:0.823905,time:696
hit ratio:0.82419,time:722
hit ratio:0.82471,time:748
hit ratio:0.824883,time:774
hit ratio:0.825684,time:800
hit ratio:0.825662,time:826
hit ratio:0.824945,time:851
hit ratio:0.825025,time:877
hit ratio:0.825255,time:903
hit ratio:0.825229,time:929
hit ratio:0.824736,time:954
hit ratio:0.824862,time:980
hit ratio:0.825288,time:1006
hit ratio:0.82517,time:1032
hit ratio:0.824868,time:1058
hit ratio:0.825074,time:1083
hit ratio:0.825645,time:1109
hit ratio:0.825642,time:1135
hit ratio:0.825311,time:1161
hit ratio:0.825528,time:1187
hit ratio:0.825819,time:1212
hit ratio:0.825828,time:1238
hit ratio:0.825478,time:1264
hit ratio:0.825527,time:1290
hit ratio:0.826033,time:1315
hit ratio:0.826204,time:1341
hit ratio:0.826917,time:1367
hit ratio:0.827219,time:1393
hit ratio:0.827708,time:1418
hit ratio:0.828342,time:1444
hit ratio:0.827863,time:1470
hit ratio:0.827704,time:1496
hit ratio:0.828271,time:1522
hit ratio:0.828379,time:1548
hit ratio:0.828437,time:1574
hit ratio:0.828299,time:1599
hit ratio:0.828537,time:1625
hit ratio:0.828924,time:1651
hit ratio:0.828961,time:1677
hit ratio:0.828765,time:1703
hit ratio:0.828894,time:1728
hit ratio:0.829116,time:1754
hit ratio:0.829248,time:1780
hit ratio:0.829028,time:1806
hit ratio:0.829121,time:1832
hit ratio:0.82935,time:1857
hit ratio:0.829391,time:1883
hit ratio:0.829086,time:1909
hit ratio:0.829024,time:1935
hit ratio:0.829288,time:1960
hit ratio:0.829108,time:1986
hit ratio:0.828697,time:2012
hit ratio:0.828704,time:2038
hit ratio:0.828853,time:2064
hit ratio:0.828691,time:2090
hit ratio:0.828422,time:2115
hit ratio:0.828438,time:2141
hit ratio:0.828608,time:2167
hit ratio:0.828556,time:2193
hit ratio:0.828282,time:2219
hit ratio:0.828205,time:2244
hit ratio:0.828279,time:2270
hit ratio:0.828157,time:2296
hit ratio:0.827944,time:2322
hit ratio:0.827935,time:2348
hit ratio:0.828014,time:2373
hit ratio:0.827904,time:2399
hit ratio:0.827648,time:2425
hit ratio:0.827659,time:2451
hit ratio:0.827782,time:2477
hit ratio:0.827693,time:2502
hit ratio:0.827426,time:2528
hit ratio:0.827396,time:2554
hit ratio:0.82764,time:2580
hit ratio:0.827581,time:2606
hit ratio:0.827294,time:2631
hit ratio:0.827184,time:2657
hit ratio:0.827527,time:2683
hit ratio:0.827493,time:2709
hit ratio:0.82724,time:2735
hit ratio:0.826993,time:2761
hit ratio:0.827245,time:2786
hit ratio:0.82726,time:2812
hit ratio:0.827079,time:2838
hit ratio:0.826881,time:2864
hit ratio:0.826979,time:2890
hit ratio:0.827071,time:2916
hit ratio:0.827001,time:2941
hit ratio:0.826867,time:2967
hit ratio:0.826967,time:2993
hit ratio:0.827232,time:3019
hit ratio:0.827289,time:3045
hit ratio:0.827183,time:3070
hit ratio:0.827298,time:3096
hit ratio:0.827435,time:3122
hit ratio:0.827471,time:3148
hit ratio:0.827346,time:3174
hit ratio:0.827397,time:3200
hit ratio:0.827738,time:3225
hit ratio:0.827728,time:3251
hit ratio:0.82758,time:3277
hit ratio:0.82745,time:3303
hit ratio:0.827501,time:3329
hit ratio:0.827702,time:3354
hit ratio:0.827697,time:3380
hit ratio:0.82757,time:3406
hit ratio:0.82764,time:3432
hit ratio:0.827767,time:3458
hit ratio:0.827832,time:3484
hit ratio:0.827659,time:3509
hit ratio:0.827573,time:3535
hit ratio:0.827837,time:3561
hit ratio:0.827842,time:3587
hit ratio:0.827721,time:3613
hit ratio:0.827635,time:3638
hit ratio:0.827681,time:3664
hit ratio:0.82782,time:3690
hit ratio:0.827796,time:3716
hit ratio:0.827688,time:3742
hit ratio:0.827728,time:3768
hit ratio:0.82786,time:3793
hit ratio:0.827877,time:3819
hit ratio:0.827719,time:3845
hit ratio:0.827611,time:3871
hit ratio:0.827787,time:3897
hit ratio:0.827747,time:3923
hit ratio:0.82762,time:3949
hit ratio:0.827492,time:3974
hit ratio:0.827476,time:4000
hit ratio:0.827625,time:4026
hit ratio:0.82758,time:4052
hit ratio:0.827508,time:4078
hit ratio:0.8275,time:4103
hit ratio:0.827675,time:4129
hit ratio:0.827634,time:4155
hit ratio:0.827496,time:4181
hit ratio:0.827474,time:4207
hit ratio:0.827602,time:4233
hit ratio:0.827577,time:4258
hit ratio:0.827428,time:4284
hit ratio:0.827298,time:4310
hit ratio:0.827254,time:4336
hit ratio:0.827406,time:4362
hit ratio:0.827332,time:4388
hit ratio:0.827236,time:4413
hit ratio:0.827173,time:4439
hit ratio:0.827289,time:4465
hit ratio:0.827245,time:4491
hit ratio:0.827137,time:4517
hit ratio:0.827093,time:4542
hit ratio:0.827159,time:4568
hit ratio:0.827108,time:4594
hit ratio:0.826973,time:4620
hit ratio:0.826927,time:4646
hit ratio:0.827077,time:4671
hit ratio:0.82705,time:4697
hit ratio:0.826939,time:4723
hit ratio:0.826835,time:4749
hit ratio:0.826869,time:4775
hit ratio:0.826946,time:4801
hit ratio:0.826888,time:4826
hit ratio:0.826811,time:4852
hit ratio:0.826782,time:4878
hit ratio:0.826882,time:4904
hit ratio:0.826846,time:4930
hit ratio:0.826733,time:4955
hit ratio:0.826745,time:4981
hit ratio:0.826855,time:5007
hit ratio:0.826859,time:5033
hit ratio:0.826754,time:5058
hit ratio:0.826635,time:5084
hit ratio:0.826648,time:5110
hit ratio:0.826775,time:5136
hit ratio:0.82676,time:5162
hit ratio:0.826711,time:5187
hit ratio:0.826717,time:5213
hit ratio:0.826828,time:5239
hit ratio:0.826829,time:5265
hit ratio:0.826706,time:5291
hit ratio:0.826583,time:5316
hit ratio:0.826649,time:5342
hit ratio:0.8268,time:5368
hit ratio:0.826822,time:5394
hit ratio:0.82672,time:5420
hit ratio:0.826745,time:5445
hit ratio:0.82688,time:5471
hit ratio:0.826903,time:5497
hit ratio:0.826783,time:5523
hit ratio:0.826683,time:5549
hit ratio:0.826733,time:5574
hit ratio:0.826855,time:5600
hit ratio:0.826875,time:5626
hit ratio:0.826798,time:5652
hit ratio:0.826775,time:5677
hit ratio:0.826937,time:5703
hit ratio:0.826896,time:5729
hit ratio:0.826894,time:5755
hit ratio:0.826822,time:5780
hit ratio:0.826843,time:5806
hit ratio:0.826969,time:5832
hit ratio:0.826965,time:5858
hit ratio:0.826901,time:5884
hit ratio:0.826777,time:5909
hit ratio:0.82681,time:5935
hit ratio:0.826947,time:5961
hit ratio:0.826942,time:5987
hit ratio:0.826872,time:6013
hit ratio:0.826876,time:6038
hit ratio:0.827029,time:6064
hit ratio:0.827042,time:6090
hit ratio:0.826919,time:6116
hit ratio:0.826839,time:6141
hit ratio:0.82688,time:6167
hit ratio:0.826979,time:6193
hit ratio:0.826982,time:6219
hit ratio:0.826902,time:6245
hit ratio:0.826843,time:6271
hit ratio:0.826953,time:6296
hit ratio:0.826984,time:6322
hit ratio:0.826968,time:6348
hit ratio:0.826897,time:6373
hit ratio:0.826913,time:6399
hit ratio:0.827022,time:6425
hit ratio:0.827022,time:6451
hit ratio:0.826951,time:6477
hit ratio:0.826856,time:6503
hit ratio:0.82688,time:6528
hit ratio:0.826999,time:6554
hit ratio:0.827008,time:6580
hit ratio:0.826952,time:6606
hit ratio:0.826949,time:6631
hit ratio:0.827105,time:6657
hit ratio:0.827045,time:6683
hit ratio:0.826976,time:6709
hit ratio:0.826918,time:6734
hit ratio:0.826919,time:6760
hit ratio:0.827032,time:6786
hit ratio:0.827019,time:6812
hit ratio:0.826935,time:6838
hit ratio:0.82683,time:6863
hit ratio:0.826837,time:6889
hit ratio:0.826949,time:6915
hit ratio:0.82695,time:6941
hit ratio:0.826891,time:6967
hit ratio:0.826838,time:6992
hit ratio:0.826926,time:7018
hit ratio:0.826944,time:7044
hit ratio:0.826943,time:7070
hit ratio:0.826875,time:7095
hit ratio:0.826897,time:7121
hit ratio:0.827004,time:7147
hit ratio:0.827005,time:7173
hit ratio:0.826921,time:7199
hit ratio:0.826836,time:7224
hit ratio:0.826867,time:7250
hit ratio:0.826981,time:7276
hit ratio:0.82698,time:7302
hit ratio:0.826905,time:7327
hit ratio:0.82686,time:7353
hit ratio:0.826923,time:7379
hit ratio:0.82696,time:7405
hit ratio:0.826979,time:7431
hit ratio:0.826916,time:7456
hit ratio:0.826921,time:7482
hit ratio:0.827036,time:7508
hit ratio:0.827024,time:7534
hit ratio:0.826969,time:7560
hit ratio:0.826885,time:7585
hit ratio:0.826908,time:7611
hit ratio:0.827023,time:7637
hit ratio:0.827018,time:7663
hit ratio:0.826946,time:7688
hit ratio:0.826879,time:7714
hit ratio:0.82694,time:7740
hit ratio:0.827021,time:7766
hit ratio:0.826995,time:7792
hit ratio:0.826949,time:7817
hit ratio:0.826947,time:7843
hit ratio:0.827071,time:7869
hit ratio:0.827058,time:7895
hit ratio:0.826987,time:7920
hit ratio:0.826888,time:7946
hit ratio:0.826905,time:7972
hit ratio:0.82701,time:7998
hit ratio:0.826995,time:8024
hit ratio:0.826921,time:8049
hit ratio:0.826891,time:8075
hit ratio:0.826981,time:8101
hit ratio:0.826953,time:8127
hit ratio:0.826935,time:8152
hit ratio:0.826872,time:8178
hit ratio:0.826885,time:8204
hit ratio:0.826985,time:8230
hit ratio:0.826971,time:8256
hit ratio:0.826901,time:8281
hit ratio:0.826843,time:8307
hit ratio:0.826893,time:8333
hit ratio:0.82693,time:8359
hit ratio:0.826923,time:8384
hit ratio:0.826869,time:8410
hit ratio:0.826879,time:8436
hit ratio:0.826997,time:8462
hit ratio:0.82699,time:8488
hit ratio:0.826915,time:8513
hit ratio:0.826819,time:8539
hit ratio:0.826823,time:8565
hit ratio:0.826921,time:8591
hit ratio:0.826917,time:8617
hit ratio:0.826841,time:8642
hit ratio:0.826785,time:8668
hit ratio:0.826862,time:8694
hit ratio:0.826866,time:8720
hit ratio:0.826868,time:8746
hit ratio:0.826807,time:8771
hit ratio:0.826811,time:8797
hit ratio:0.826913,time:8823
hit ratio:0.826911,time:8849
hit ratio:0.826842,time:8875
