total_attempts,StrtgyTriggered,TriggeredByFailAlloc,FreeAllocAbvThrsld,FreeMemNotAlloc,invalid class id,rDHpS < vPDHpS,improv.< minDiff,improv.< diffRatio * vPDHpS,Final Miss Ratio,minDiff,diffRatio,minSlabs,numSlabsFreeMem,minLTA,maxLTA
260,244,1,0,14,0,0,0,0,0.06188899999999997,10,0.250000,2,3,0,0
266,250,1,0,14,0,0,0,0,0.06163799999999997,20,0.200000,5,5,0,0
266,250,1,0,14,0,0,0,0,0.061640999999999946,70,0.250000,2,3,0,0
246,231,1,0,13,0,0,0,0,0.06257900000000005,20,0.100000,5,1,0,0
246,231,1,0,13,0,0,0,0,0.06255599999999994,30,0.250000,4,5,0,0
250,234,1,0,14,0,0,0,0,0.06250800000000001,10,0.100000,5,4,0,0
245,230,1,0,13,0,0,0,0,0.062639,20,0.100000,2,3,0,0
244,229,1,0,13,0,0,0,0,0.06264499999999995,50,0.100000,3,3,0,0
266,250,1,0,14,0,0,0,0,0.06160299999999996,30,0.200000,3,1,0,0
256,240,1,0,14,0,0,0,0,0.06212300000000004,70,0.150000,4,4,0,0
244,229,1,0,13,0,0,0,0,0.06254499999999996,20,0.200000,4,5,0,0
249,234,1,0,13,0,0,0,0,0.06227700000000003,60,0.100000,4,1,0,0
253,237,1,0,14,0,0,0,0,0.06223299999999998,50,0.250000,5,4,0,0
246,231,1,0,13,0,0,0,0,0.06253799999999998,20,0.100000,3,3,0,0
261,245,1,0,14,0,0,0,0,0.06183499999999997,10,0.100000,4,2,0,0
245,230,1,0,13,0,0,0,0,0.06260200000000005,90,0.150000,3,2,0,0
245,230,1,0,13,0,0,0,0,0.062558,100,0.050000,5,3,0,0
249,233,1,0,14,0,0,0,0,0.06246200000000002,40,0.200000,3,4,0,0
246,231,1,0,13,0,0,0,0,0.06254400000000004,80,0.050000,4,3,0,0
257,241,1,0,14,0,0,0,0,0.062105999999999995,30,0.250000,4,2,0,0
245,230,1,0,13,0,0,0,0,0.06261899999999998,90,0.250000,1,4,0,0
265,249,1,0,14,0,0,0,0,0.06169800000000003,80,0.250000,3,2,0,0
265,249,1,0,14,0,0,0,0,0.061697,30,0.200000,3,5,0,0
243,228,1,0,13,0,0,0,0,0.06274100000000005,90,0.200000,3,2,0,0
245,230,1,0,13,0,0,0,0,0.062577,40,0.150000,1,1,0,0
246,230,1,0,14,0,0,0,0,0.06260399999999999,40,0.050000,1,2,0,0
244,229,1,0,13,0,0,0,0,0.06260699999999997,40,0.200000,1,5,0,0
247,231,1,0,14,0,0,0,0,0.06255100000000002,70,0.050000,1,4,0,0
259,243,1,0,14,0,0,0,0,0.06191800000000003,20,0.250000,2,2,0,0
251,236,1,0,13,0,0,0,0,0.06220000000000003,100,0.150000,3,4,0,0
259,243,1,0,14,0,0,0,0,0.06196199999999996,80,0.250000,3,3,0,0
247,232,1,0,13,0,0,0,0,0.062450000000000006,70,0.050000,4,2,0,0
249,233,1,0,14,0,0,0,0,0.06246700000000005,80,0.200000,1,2,0,0
259,243,1,0,14,0,0,0,0,0.06202099999999999,10,0.150000,4,2,0,0
273,257,1,0,14,0,0,0,0,0.06134200000000001,30,0.200000,4,1,0,0
249,234,1,0,13,0,0,0,0,0.06245199999999995,10,0.100000,1,1,0,0
250,234,1,0,14,0,0,0,0,0.06244099999999997,100,0.200000,1,5,0,0
248,232,1,0,14,0,0,0,0,0.06249099999999996,80,0.050000,1,2,0,0
267,251,1,0,14,0,0,0,0,0.061514999999999986,50,0.100000,4,5,0,0
249,234,1,0,13,0,0,0,0,0.06238600000000005,70,0.250000,3,3,0,0
249,234,1,0,13,0,0,0,0,0.06235900000000005,50,0.200000,4,1,0,0
245,230,1,0,13,0,0,0,0,0.06255900000000003,50,0.200000,3,5,0,0
247,231,1,0,14,0,0,0,0,0.06257599999999996,70,0.050000,3,1,0,0
247,232,1,0,13,0,0,0,0,0.062382999999999966,40,0.100000,3,1,0,0
244,229,1,0,13,0,0,0,0,0.06261499999999998,90,0.100000,4,3,0,0
250,234,1,0,14,0,0,0,0,0.06237400000000004,50,0.200000,5,5,0,0
245,230,1,0,13,0,0,0,0,0.06260600000000005,20,0.050000,5,4,0,0
260,245,1,0,13,0,0,0,0,0.06181800000000004,10,0.250000,5,1,0,0
253,238,1,0,13,0,0,0,0,0.06220999999999999,80,0.100000,2,3,0,0
268,251,1,0,15,0,0,0,0,0.06163799999999997,50,0.050000,1,5,0,0
267,251,1,0,14,0,0,0,0,0.061610000000000054,70,0.100000,3,5,0,0
245,230,1,0,13,0,0,0,0,0.06258799999999998,80,0.200000,5,4,0,0
258,242,1,0,14,0,0,0,0,0.06206999999999996,30,0.100000,4,4,0,0
249,233,1,0,14,0,0,0,0,0.06252400000000002,100,0.100000,3,5,0,0
244,229,1,0,13,0,0,0,0,0.06261899999999998,30,0.250000,4,4,0,0
257,241,1,0,14,0,0,0,0,0.06208400000000003,60,0.050000,3,3,0,0
248,233,1,0,13,0,0,0,0,0.062329999999999997,60,0.200000,1,1,0,0
246,231,1,0,13,0,0,0,0,0.062554,50,0.200000,2,1,0,0
248,232,1,0,14,0,0,0,0,0.062475999999999976,100,0.250000,4,2,0,0
246,230,1,0,14,0,0,0,0,0.06260299999999996,60,0.050000,4,4,0,0
245,230,1,0,13,0,0,0,0,0.06257299999999999,30,0.250000,5,2,0,0
244,229,1,0,13,0,0,0,0,0.06264700000000001,50,0.250000,1,1,0,0
247,231,1,0,14,0,0,0,0,0.06257599999999996,50,0.200000,3,4,0,0
267,250,1,0,15,0,0,0,0,0.06163300000000005,70,0.250000,2,4,0,0
245,230,1,0,13,0,0,0,0,0.06262299999999998,40,0.100000,2,2,0,0
246,230,1,0,14,0,0,0,0,0.06256300000000004,50,0.150000,2,2,0,0
254,238,1,0,14,0,0,0,0,0.06215499999999996,100,0.200000,3,2,0,0
265,249,1,0,14,0,0,0,0,0.061701000000000006,70,0.100000,2,2,0,0
244,229,1,0,13,0,0,0,0,0.06258399999999997,50,0.050000,2,3,0,0
245,230,1,0,13,0,0,0,0,0.06259999999999999,80,0.200000,3,3,0,0
246,231,1,0,13,0,0,0,0,0.06261300000000003,40,0.100000,2,4,0,0
253,238,1,0,13,0,0,0,0,0.062141,30,0.250000,3,2,0,0
262,245,1,0,15,0,0,0,0,0.06189699999999998,30,0.250000,5,1,0,0
247,232,1,0,13,0,0,0,0,0.06259400000000004,10,0.150000,3,2,0,0
246,231,1,0,13,0,0,0,0,0.06250699999999998,60,0.050000,3,2,0,0
269,253,1,0,14,0,0,0,0,0.06147999999999998,10,0.250000,5,5,0,0
245,230,1,0,13,0,0,0,0,0.06261700000000003,70,0.250000,5,4,0,0
248,232,1,0,14,0,0,0,0,0.06254099999999996,20,0.150000,3,4,0,0
265,249,1,0,14,0,0,0,0,0.061687999999999965,50,0.250000,3,5,0,0
252,236,1,0,14,0,0,0,0,0.06226900000000002,100,0.050000,4,4,0,0
246,231,1,0,13,0,0,0,0,0.06255599999999994,90,0.050000,3,4,0,0
244,229,1,0,13,0,0,0,0,0.06259899999999996,90,0.250000,2,5,0,0
246,231,1,0,13,0,0,0,0,0.06242099999999995,40,0.200000,1,4,0,0
249,233,1,0,14,0,0,0,0,0.06247899999999995,90,0.150000,2,4,0,0
269,253,1,0,14,0,0,0,0,0.06161099999999997,90,0.200000,4,2,0,0
246,231,1,0,13,0,0,0,0,0.06254000000000004,20,0.150000,2,2,0,0
250,234,1,0,14,0,0,0,0,0.062344999999999984,60,0.150000,4,4,0,0
246,231,1,0,13,0,0,0,0,0.06246799999999997,50,0.050000,2,4,0,0
245,230,1,0,13,0,0,0,0,0.06257800000000002,40,0.050000,5,5,0,0
249,233,1,0,14,0,0,0,0,0.06252899999999995,60,0.100000,2,4,0,0
249,234,1,0,13,0,0,0,0,0.06248200000000004,100,0.050000,4,3,0,0
246,231,1,0,13,0,0,0,0,0.06255900000000003,60,0.050000,5,4,0,0
246,231,1,0,13,0,0,0,0,0.062463000000000046,100,0.150000,4,2,0,0
698,464,1,0,35,0,0,21,191,0.05671999999999999,100,0.100000,1,3,0,0
269,252,1,0,15,0,0,0,0,0.06162000000000001,70,0.200000,1,4,0,0
248,232,1,0,14,0,0,0,0,0.06255500000000003,60,0.050000,2,2,0,0
246,231,1,0,13,0,0,0,0,0.062531,10,0.150000,3,1,0,0
248,233,1,0,13,0,0,0,0,0.06241300000000005,60,0.200000,5,2,0,0
247,231,1,0,14,0,0,0,0,0.062495999999999996,60,0.250000,5,1,0,0
266,250,1,0,14,0,0,0,0,0.061634999999999995,60,0.150000,2,4,0,0
261,245,1,0,14,0,0,0,0,0.06186899999999995,50,0.250000,5,3,0,0
246,231,1,0,13,0,0,0,0,0.06260600000000005,90,0.200000,1,4,0,0
244,229,1,0,13,0,0,0,0,0.06261399999999995,80,0.050000,4,1,0,0
251,235,1,0,14,0,0,0,0,0.062276,10,0.100000,1,3,0,0
250,235,1,0,13,0,0,0,0,0.06225599999999998,90,0.250000,4,5,0,0
245,230,1,0,13,0,0,0,0,0.06252899999999995,100,0.100000,2,5,0,0
259,243,1,0,14,0,0,0,0,0.061919999999999975,30,0.250000,2,4,0,0
246,231,1,0,13,0,0,0,0,0.062498000000000054,20,0.050000,1,2,0,0
245,230,1,0,13,0,0,0,0,0.06254499999999996,20,0.050000,1,4,0,0
248,232,1,0,14,0,0,0,0,0.06249899999999997,90,0.200000,3,1,0,0
244,229,1,0,13,0,0,0,0,0.06259700000000001,50,0.250000,1,3,0,0
246,231,1,0,13,0,0,0,0,0.06253900000000001,90,0.250000,3,1,0,0
246,231,1,0,13,0,0,0,0,0.06256399999999995,100,0.150000,3,3,0,0
255,240,1,0,13,0,0,0,0,0.062054000000000054,30,0.250000,5,4,0,0
250,235,1,0,13,0,0,0,0,0.06228199999999995,80,0.250000,2,1,0,0
260,244,1,0,14,0,0,0,0,0.06192900000000001,30,0.150000,2,3,0,0
248,233,1,0,13,0,0,0,0,0.06238699999999997,20,0.150000,4,3,0,0
244,229,1,0,13,0,0,0,0,0.06258200000000003,30,0.150000,2,4,0,0
256,240,1,0,14,0,0,0,0,0.06201699999999999,90,0.100000,1,5,0,0
248,232,1,0,14,0,0,0,0,0.06257299999999999,80,0.150000,3,1,0,0
259,243,1,0,14,0,0,0,0,0.061912999999999996,30,0.050000,1,1,0,0
264,247,1,0,15,0,0,0,0,0.06178899999999998,30,0.150000,4,1,0,0
253,237,1,0,14,0,0,0,0,0.062331000000000025,70,0.200000,5,5,0,0
263,247,1,0,14,0,0,0,0,0.061767000000000016,80,0.250000,2,5,0,0
260,244,1,0,14,0,0,0,0,0.061892999999999976,100,0.250000,2,1,0,0
244,229,1,0,13,0,0,0,0,0.06266700000000003,20,0.250000,3,1,0,0
249,234,1,0,13,0,0,0,0,0.06235299999999999,10,0.100000,5,1,0,0
256,240,1,0,14,0,0,0,0,0.06214299999999995,50,0.100000,5,4,0,0
262,246,1,0,14,0,0,0,0,0.06171800000000005,90,0.100000,4,4,0,0
245,230,1,0,13,0,0,0,0,0.06266000000000005,50,0.100000,3,4,0,0
245,230,1,0,13,0,0,0,0,0.06258300000000006,30,0.150000,5,3,0,0
244,229,1,0,13,0,0,0,0,0.06262699999999999,20,0.150000,1,5,0,0
261,245,1,0,14,0,0,0,0,0.06180399999999997,60,0.200000,4,3,0,0
247,232,1,0,13,0,0,0,0,0.06243500000000002,50,0.200000,1,3,0,0
269,253,1,0,14,0,0,0,0,0.06160100000000002,90,0.050000,3,5,0,0
247,232,1,0,13,0,0,0,0,0.06255299999999997,10,0.050000,5,1,0,0
248,232,1,0,14,0,0,0,0,0.062554,90,0.150000,4,3,0,0
258,242,1,0,14,0,0,0,0,0.06198099999999995,60,0.100000,5,4,0,0
246,231,1,0,13,0,0,0,0,0.062531,20,0.250000,5,5,0,0
246,231,1,0,13,0,0,0,0,0.06259499999999996,80,0.200000,2,3,0,0
247,232,1,0,13,0,0,0,0,0.06244899999999998,10,0.250000,2,2,0,0
244,229,1,0,13,0,0,0,0,0.06257999999999997,80,0.250000,3,5,0,0
