FreeMem Rebalancing init. Cache Initialized. size: 1GB
alloc failed. 702,8660032563896415927,203,9223372036854775807
alloc failed. 710,12338193624465263886,138,9223372036854775807
hit ratio:0.205,time:716
alloc failed. 863,2796213817282257923,82,5019480
alloc failed. 892,13866942968859578475,160,278101
hit ratio:0.230165,time:944
hit ratio:0.241213,time:1130
alloc failed. 1275,17806976439405088252,44,9223372036854775807
hit ratio:0.246895,time:1320
hit ratio:0.250936,time:1514
hit ratio:0.253328,time:1701
hit ratio:0.255037,time:1889
hit ratio:0.255291,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.256432,time:2263
hit ratio:0.257082,time:2449
hit ratio:0.258123,time:2632
hit ratio:0.259159,time:2819
hit ratio:0.260512,time:3010
hit ratio:0.261311,time:3207
hit ratio:0.262189,time:3400
hit ratio:0.262691,time:3592
hit ratio:0.263194,time:3785
hit ratio:0.263661,time:3976
hit ratio:0.264119,time:4166
hit ratio:0.264587,time:4351
hit ratio:0.264678,time:4541
hit ratio:0.264886,time:4730
hit ratio:0.265287,time:4921
hit ratio:0.265921,time:5115
hit ratio:0.266729,time:5307
hit ratio:0.267247,time:5496
hit ratio:0.267781,time:5685
hit ratio:0.268145,time:5870
hit ratio:0.268798,time:6054
hit ratio:0.269288,time:6237
hit ratio:0.26954,time:6419
hit ratio:0.270023,time:6602
hit ratio:0.27029,time:6781
hit ratio:0.270469,time:6961
hit ratio:0.270622,time:7139
hit ratio:0.270633,time:7316
hit ratio:0.270801,time:7491
hit ratio:0.271017,time:7666
hit ratio:0.271058,time:7837
hit ratio:0.270958,time:8007
hit ratio:0.270981,time:8178
hit ratio:0.270981,time:8349
hit ratio:0.270941,time:8516
hit ratio:0.27098,time:8681
hit ratio:0.271055,time:8845
hit ratio:0.271074,time:9009
hit ratio:0.271059,time:9172
hit ratio:0.270997,time:9334
hit ratio:0.270909,time:9496
hit ratio:0.27092,time:9657
hit ratio:0.270896,time:9814
hit ratio:0.270929,time:9973
hit ratio:0.270931,time:10129
hit ratio:0.270933,time:10286
hit ratio:0.270892,time:10445
hit ratio:0.270857,time:10605
hit ratio:0.270707,time:10762
hit ratio:0.270617,time:10919
hit ratio:0.270526,time:11079
hit ratio:0.270329,time:11239
hit ratio:0.270215,time:11400
hit ratio:0.270094,time:11561
hit ratio:0.269973,time:11723
hit ratio:0.26993,time:11887
hit ratio:0.269932,time:12048
hit ratio:0.269767,time:12212
hit ratio:0.26964,time:12372
hit ratio:0.269508,time:12532
hit ratio:0.269431,time:12691
hit ratio:0.269246,time:12851
hit ratio:0.269146,time:13008
hit ratio:0.269024,time:13164
hit ratio:0.268912,time:13319
hit ratio:0.268847,time:13473
hit ratio:0.268729,time:13626
hit ratio:0.268626,time:13781
hit ratio:0.268492,time:13935
hit ratio:0.268395,time:14090
hit ratio:0.268285,time:14240
hit ratio:0.268152,time:14391
hit ratio:0.267997,time:14542
hit ratio:0.26781,time:14693
hit ratio:0.267596,time:14845
hit ratio:0.26744,time:15000
hit ratio:0.26723,time:15155
hit ratio:0.26702,time:15315
hit ratio:0.26686,time:15478
hit ratio:0.266673,time:15635
hit ratio:0.266539,time:15800
hit ratio:0.266388,time:15951
hit ratio:0.266242,time:16104
hit ratio:0.266113,time:16256
hit ratio:0.265965,time:16407
hit ratio:0.265857,time:16558
hit ratio:0.265729,time:16710
hit ratio:0.265567,time:16862
hit ratio:0.265399,time:17015
hit ratio:0.265269,time:17165
hit ratio:0.265162,time:17314
hit ratio:0.265033,time:17467
hit ratio:0.264914,time:17619
hit ratio:0.26477,time:17771
hit ratio:0.264619,time:17923
hit ratio:0.264454,time:18073
hit ratio:0.264324,time:18222
hit ratio:0.264148,time:18371
hit ratio:0.264008,time:18519
hit ratio:0.26385,time:18668
hit ratio:0.263723,time:18816
hit ratio:0.263593,time:18963
hit ratio:0.263493,time:19111
hit ratio:0.263302,time:19259
hit ratio:0.263096,time:19424
hit ratio:0.263016,time:19573
hit ratio:0.262928,time:19721
hit ratio:0.26282,time:19869
hit ratio:0.262714,time:20018
hit ratio:0.262561,time:20166
hit ratio:0.262384,time:20317
hit ratio:0.26225,time:20466
hit ratio:0.262129,time:20617
hit ratio:0.262056,time:20768
hit ratio:0.261977,time:20917
hit ratio:0.261902,time:21067
hit ratio:0.261783,time:21218
hit ratio:0.261706,time:21371
hit ratio:0.261615,time:21522
hit ratio:0.261535,time:21674
hit ratio:0.261389,time:21829
hit ratio:0.261278,time:21984
hit ratio:0.261164,time:22139
hit ratio:0.261046,time:22294
hit ratio:0.260905,time:22451
hit ratio:0.260799,time:22609
hit ratio:0.260703,time:22769
hit ratio:0.260649,time:22930
hit ratio:0.260586,time:23093
hit ratio:0.2605,time:23255
hit ratio:0.260392,time:23418
hit ratio:0.260279,time:23585
hit ratio:0.26016,time:23752
hit ratio:0.260056,time:23919
hit ratio:0.259931,time:24091
hit ratio:0.259795,time:24264
hit ratio:0.259726,time:24439
hit ratio:0.259632,time:24616
hit ratio:0.259503,time:24797
hit ratio:0.259373,time:24982
hit ratio:0.259246,time:25166
hit ratio:0.259136,time:25353
hit ratio:0.259002,time:25544
hit ratio:0.258902,time:25738
hit ratio:0.258777,time:25937
hit ratio:0.258717,time:26138
hit ratio:0.258697,time:26343
hit ratio:0.258699,time:26572
hit ratio:0.258675,time:26778
hit ratio:0.258631,time:27002
hit ratio:0.258563,time:27235
hit ratio:0.258526,time:27478
hit ratio:0.258513,time:27729
hit ratio:0.258472,time:27987
hit ratio:0.258396,time:28264
hit ratio:0.258321,time:28554
hit ratio:0.25821,time:28853
hit ratio:0.258101,time:29163
hit ratio:0.258013,time:29494
hit ratio:0.257889,time:29848
hit ratio:0.257764,time:30215
hit ratio:0.257633,time:30605
hit ratio:0.257508,time:31018
hit ratio:0.257381,time:31456
hit ratio:0.25726,time:31942
hit ratio:0.257122,time:32465
hit ratio:0.256945,time:33040
hit ratio:0.256752,time:33673
hit ratio:0.256564,time:34375
hit ratio:0.256365,time:35152
hit ratio:0.256172,time:36005
hit ratio:0.256014,time:37013
hit ratio:0.255845,time:38144
hit ratio:0.255666,time:39435
hit ratio:0.25545,time:40952
hit ratio:0.255232,time:42716
hit ratio:0.255025,time:44761
hit ratio:0.254825,time:46894
hit ratio:0.254606,time:48872
hit ratio:0.254395,time:50470
hit ratio:0.254231,time:51687
hit ratio:0.254071,time:52613
hit ratio:0.253904,time:53355
hit ratio:0.253752,time:53987
hit ratio:0.253596,time:54559
hit ratio:0.253469,time:55052
hit ratio:0.25338,time:55493
hit ratio:0.253277,time:55891
hit ratio:0.253164,time:56275
hit ratio:0.253054,time:56645
hit ratio:0.252921,time:56996
hit ratio:0.252805,time:57329
hit ratio:0.25267,time:57658
hit ratio:0.252546,time:57979
hit ratio:0.252448,time:58293
hit ratio:0.252327,time:58600
hit ratio:0.252235,time:58904
hit ratio:0.252147,time:59204
hit ratio:0.252126,time:59501
hit ratio:0.25211,time:59793
hit ratio:0.252113,time:60086
hit ratio:0.25214,time:60378
hit ratio:0.252159,time:60666
hit ratio:0.252147,time:60994
hit ratio:0.252099,time:61361
hit ratio:0.251934,time:63846
hit ratio:0.251835,time:64520
hit ratio:0.251882,time:64796
hit ratio:0.25196,time:65044
hit ratio:0.252034,time:65290
hit ratio:0.252103,time:65537
hit ratio:0.252181,time:65785
hit ratio:0.25229,time:66027
hit ratio:0.252444,time:66266
hit ratio:0.252555,time:66502
hit ratio:0.252701,time:66739
hit ratio:0.252815,time:66971
hit ratio:0.252912,time:67201
hit ratio:0.253026,time:67431
hit ratio:0.253148,time:67658
hit ratio:0.25329,time:67887
hit ratio:0.253435,time:68112
hit ratio:0.253571,time:68339
hit ratio:0.25369,time:68563
hit ratio:0.253796,time:68789
hit ratio:0.253905,time:69016
hit ratio:0.25402,time:69248
hit ratio:0.25427,time:69471
