Hits Per Slab Rebalancing init. Cache Initialized. size: 4GB
hit ratio:0.23806,time:716
hit ratio:0.305035,time:944
hit ratio:0.331097,time:1130
alloc failed. 1275,17806976439405088252,44,9223372036854775807
hit ratio:0.344878,time:1320
hit ratio:0.353768,time:1514
hit ratio:0.359683,time:1701
hit ratio:0.364173,time:1889
hit ratio:0.366406,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.368972,time:2263
hit ratio:0.371059,time:2449
hit ratio:0.373149,time:2632
hit ratio:0.374915,time:2819
hit ratio:0.376985,time:3010
hit ratio:0.378641,time:3207
hit ratio:0.380329,time:3400
hit ratio:0.381519,time:3592
hit ratio:0.382506,time:3785
hit ratio:0.383519,time:3976
hit ratio:0.38431,time:4166
hit ratio:0.385098,time:4351
hit ratio:0.385593,time:4541
hit ratio:0.386167,time:4730
hit ratio:0.386897,time:4921
hit ratio:0.387834,time:5115
hit ratio:0.38896,time:5307
hit ratio:0.389673,time:5496
hit ratio:0.390389,time:5685
hit ratio:0.390983,time:5870
hit ratio:0.391825,time:6054
hit ratio:0.392517,time:6237
hit ratio:0.393033,time:6419
hit ratio:0.393672,time:6602
hit ratio:0.394136,time:6781
hit ratio:0.39459,time:6961
hit ratio:0.394914,time:7139
hit ratio:0.3951,time:7316
hit ratio:0.395436,time:7491
hit ratio:0.39589,time:7666
hit ratio:0.396099,time:7837
hit ratio:0.396181,time:8007
hit ratio:0.39627,time:8178
hit ratio:0.396386,time:8349
hit ratio:0.396482,time:8516
hit ratio:0.396647,time:8681
hit ratio:0.396853,time:8845
hit ratio:0.39697,time:9009
hit ratio:0.397052,time:9172
hit ratio:0.397079,time:9334
hit ratio:0.397078,time:9496
hit ratio:0.397156,time:9657
hit ratio:0.397216,time:9814
hit ratio:0.397309,time:9973
hit ratio:0.397397,time:10129
hit ratio:0.397472,time:10286
hit ratio:0.397495,time:10445
hit ratio:0.397479,time:10605
hit ratio:0.397363,time:10762
hit ratio:0.397299,time:10919
hit ratio:0.397207,time:11079
hit ratio:0.396984,time:11239
hit ratio:0.396861,time:11400
hit ratio:0.396761,time:11561
hit ratio:0.396653,time:11723
hit ratio:0.396616,time:11887
hit ratio:0.396631,time:12048
hit ratio:0.396521,time:12212
hit ratio:0.396417,time:12372
hit ratio:0.396302,time:12532
hit ratio:0.396214,time:12691
