Cache Initialized. size: 32GB
hit ratio:0.23806,time:716
hit ratio:0.305035,time:944
hit ratio:0.346203,time:1130
hit ratio:0.375135,time:1320
hit ratio:0.39802,time:1514
hit ratio:0.416042,time:1701
hit ratio:0.43166,time:1889
hit ratio:0.44399,time:2077
hit ratio:0.455599,time:2263
hit ratio:0.465974,time:2449
hit ratio:0.475518,time:2632
hit ratio:0.484118,time:2819
hit ratio:0.492304,time:3010
hit ratio:0.49992,time:3207
hit ratio:0.507032,time:3400
hit ratio:0.513421,time:3592
hit ratio:0.519372,time:3785
hit ratio:0.524794,time:3976
hit ratio:0.529891,time:4166
hit ratio:0.534794,time:4351
hit ratio:0.539326,time:4541
hit ratio:0.543642,time:4730
hit ratio:0.547893,time:4921
hit ratio:0.552223,time:5115
hit ratio:0.556362,time:5307
hit ratio:0.560195,time:5496
hit ratio:0.563842,time:5685
hit ratio:0.56724,time:5870
hit ratio:0.57081,time:6054
hit ratio:0.574195,time:6237
hit ratio:0.577187,time:6419
hit ratio:0.579895,time:6602
hit ratio:0.582125,time:6781
hit ratio:0.584201,time:6961
hit ratio:0.586045,time:7139
hit ratio:0.587533,time:7316
hit ratio:0.589009,time:7491
hit ratio:0.590496,time:7666
hit ratio:0.591657,time:7837
hit ratio:0.592695,time:8007
hit ratio:0.593611,time:8178
hit ratio:0.594587,time:8349
hit ratio:0.595441,time:8516
hit ratio:0.596291,time:8681
hit ratio:0.597144,time:8845
hit ratio:0.597953,time:9009
hit ratio:0.598746,time:9172
hit ratio:0.59944,time:9334
hit ratio:0.600037,time:9496
hit ratio:0.600744,time:9657
hit ratio:0.601295,time:9814
hit ratio:0.601889,time:9973
hit ratio:0.60247,time:10129
hit ratio:0.603101,time:10286
hit ratio:0.603589,time:10445
hit ratio:0.604059,time:10605
hit ratio:0.604455,time:10762
hit ratio:0.604885,time:10919
hit ratio:0.605274,time:11079
hit ratio:0.605532,time:11239
hit ratio:0.605862,time:11400
hit ratio:0.606171,time:11561
hit ratio:0.606462,time:11723
hit ratio:0.606827,time:11887
hit ratio:0.60717,time:12048
hit ratio:0.6075,time:12212
hit ratio:0.607682,time:12372
hit ratio:0.607897,time:12532
hit ratio:0.608092,time:12691
hit ratio:0.608202,time:12851
hit ratio:0.608361,time:13008
hit ratio:0.608526,time:13164
hit ratio:0.608577,time:13319
hit ratio:0.608693,time:13473
hit ratio:0.608778,time:13626
hit ratio:0.608846,time:13781
hit ratio:0.608958,time:13935
hit ratio:0.609037,time:14090
hit ratio:0.609094,time:14240
hit ratio:0.609141,time:14391
hit ratio:0.609202,time:14542
hit ratio:0.609173,time:14693
hit ratio:0.609157,time:14845
hit ratio:0.60921,time:15000
hit ratio:0.609229,time:15155
hit ratio:0.609162,time:15315
hit ratio:0.609173,time:15478
hit ratio:0.609166,time:15635
hit ratio:0.609223,time:15800
hit ratio:0.609273,time:15951
hit ratio:0.609339,time:16104
hit ratio:0.609419,time:16256
hit ratio:0.609484,time:16407
hit ratio:0.609543,time:16558
hit ratio:0.609562,time:16710
hit ratio:0.609572,time:16862
hit ratio:0.609573,time:17015
hit ratio:0.609557,time:17165
hit ratio:0.609536,time:17314
hit ratio:0.609489,time:17467
hit ratio:0.609434,time:17619
hit ratio:0.609413,time:17771
hit ratio:0.609359,time:17923
hit ratio:0.609318,time:18073
hit ratio:0.60931,time:18222
hit ratio:0.609255,time:18371
hit ratio:0.609218,time:18519
