FreeMem Rebalancing init. Cache Initialized. size: 512MB
alloc failed. 218,3341776155824235211,317,24620
alloc failed. 286,3341776155824235211,317,52364
alloc failed. 702,8660032563896415927,203,9223372036854775807
alloc failed. 710,12338193624465263886,138,9223372036854775807
hit ratio:0.17627,time:716
alloc failed. 863,2796213817282257923,82,5019480
alloc failed. 892,13866942968859578475,160,278101
hit ratio:0.19316,time:944
hit ratio:0.200127,time:1130
alloc failed. 1275,17806976439405088252,44,9223372036854775807
hit ratio:0.203647,time:1320
hit ratio:0.206044,time:1514
hit ratio:0.207468,time:1701
hit ratio:0.208473,time:1889
hit ratio:0.208294,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.209108,time:2263
hit ratio:0.20947,time:2449
hit ratio:0.210166,time:2632
hit ratio:0.211041,time:2819
hit ratio:0.212107,time:3010
hit ratio:0.212541,time:3207
hit ratio:0.213152,time:3400
hit ratio:0.213463,time:3592
hit ratio:0.213777,time:3785
hit ratio:0.214071,time:3976
hit ratio:0.214368,time:4166
hit ratio:0.214721,time:4351
hit ratio:0.214661,time:4541
hit ratio:0.214698,time:4730
hit ratio:0.214949,time:4921
hit ratio:0.215486,time:5115
hit ratio:0.216241,time:5307
hit ratio:0.216684,time:5496
hit ratio:0.217159,time:5685
hit ratio:0.217434,time:5870
hit ratio:0.217941,time:6054
hit ratio:0.218353,time:6237
hit ratio:0.218557,time:6419
hit ratio:0.218918,time:6602
hit ratio:0.2191,time:6781
hit ratio:0.219185,time:6961
hit ratio:0.219278,time:7139
hit ratio:0.2192,time:7316
hit ratio:0.219313,time:7491
hit ratio:0.219458,time:7666
hit ratio:0.219426,time:7837
hit ratio:0.219303,time:8007
hit ratio:0.219271,time:8178
hit ratio:0.219211,time:8349
hit ratio:0.219137,time:8516
hit ratio:0.219119,time:8681
hit ratio:0.219136,time:8845
hit ratio:0.219111,time:9009
hit ratio:0.219053,time:9172
hit ratio:0.218972,time:9334
hit ratio:0.218871,time:9496
hit ratio:0.218849,time:9657
hit ratio:0.218786,time:9814
hit ratio:0.218774,time:9973
hit ratio:0.218745,time:10129
hit ratio:0.218737,time:10286
hit ratio:0.218649,time:10445
hit ratio:0.218626,time:10605
hit ratio:0.218459,time:10762
hit ratio:0.218354,time:10919
hit ratio:0.218244,time:11079
hit ratio:0.218037,time:11239
hit ratio:0.217907,time:11400
hit ratio:0.217779,time:11561
hit ratio:0.217683,time:11723
hit ratio:0.217656,time:11887
hit ratio:0.217652,time:12048
hit ratio:0.217465,time:12212
hit ratio:0.217313,time:12372
hit ratio:0.21717,time:12532
hit ratio:0.217096,time:12691
hit ratio:0.216898,time:12851
hit ratio:0.216788,time:13008
hit ratio:0.216644,time:13164
hit ratio:0.216505,time:13319
hit ratio:0.21643,time:13473
hit ratio:0.216314,time:13626
hit ratio:0.216217,time:13781
hit ratio:0.216074,time:13935
hit ratio:0.21597,time:14090
hit ratio:0.215847,time:14240
hit ratio:0.215697,time:14391
hit ratio:0.215514,time:14542
hit ratio:0.215337,time:14693
hit ratio:0.215137,time:14845
hit ratio:0.214981,time:15000
hit ratio:0.214785,time:15155
hit ratio:0.214597,time:15315
hit ratio:0.214434,time:15478
hit ratio:0.214238,time:15635
hit ratio:0.214093,time:15800
hit ratio:0.213914,time:15951
hit ratio:0.213736,time:16104
hit ratio:0.213604,time:16256
hit ratio:0.213442,time:16407
hit ratio:0.213325,time:16558
hit ratio:0.213187,time:16710
hit ratio:0.21302,time:16862
hit ratio:0.212845,time:17015
hit ratio:0.212719,time:17165
hit ratio:0.212623,time:17314
hit ratio:0.212507,time:17467
hit ratio:0.212372,time:17619
hit ratio:0.212241,time:17771
hit ratio:0.212083,time:17923
hit ratio:0.211915,time:18073
hit ratio:0.211782,time:18222
hit ratio:0.211597,time:18371
hit ratio:0.211454,time:18519
hit ratio:0.211286,time:18668
hit ratio:0.211141,time:18816
hit ratio:0.211014,time:18963
hit ratio:0.210903,time:19111
hit ratio:0.210712,time:19259
hit ratio:0.210511,time:19424
hit ratio:0.210425,time:19573
hit ratio:0.210328,time:19721
hit ratio:0.210211,time:19869
hit ratio:0.210107,time:20018
hit ratio:0.20996,time:20166
hit ratio:0.209784,time:20317
hit ratio:0.209642,time:20466
hit ratio:0.209512,time:20617
hit ratio:0.20942,time:20768
hit ratio:0.209334,time:20917
hit ratio:0.209255,time:21067
hit ratio:0.209128,time:21218
hit ratio:0.209028,time:21371
hit ratio:0.208917,time:21522
hit ratio:0.208829,time:21674
hit ratio:0.208683,time:21829
hit ratio:0.20857,time:21984
hit ratio:0.208452,time:22139
hit ratio:0.208319,time:22294
hit ratio:0.208179,time:22451
hit ratio:0.208069,time:22609
hit ratio:0.20797,time:22769
hit ratio:0.207907,time:22930
hit ratio:0.207826,time:23093
hit ratio:0.207726,time:23255
hit ratio:0.20761,time:23418
hit ratio:0.207488,time:23585
hit ratio:0.207366,time:23752
hit ratio:0.207256,time:23919
hit ratio:0.207131,time:24091
hit ratio:0.206999,time:24264
hit ratio:0.206931,time:24439
hit ratio:0.206845,time:24616
hit ratio:0.206714,time:24797
hit ratio:0.206596,time:24982
hit ratio:0.206485,time:25166
hit ratio:0.206377,time:25353
hit ratio:0.206262,time:25544
hit ratio:0.206167,time:25738
hit ratio:0.206052,time:25937
hit ratio:0.206009,time:26138
hit ratio:0.206,time:26343
hit ratio:0.206019,time:26572
hit ratio:0.206007,time:26778
hit ratio:0.205972,time:27002
hit ratio:0.205932,time:27235
hit ratio:0.205919,time:27478
hit ratio:0.205929,time:27729
hit ratio:0.205906,time:27987
hit ratio:0.205867,time:28264
hit ratio:0.205826,time:28554
hit ratio:0.20575,time:28853
hit ratio:0.205691,time:29163
hit ratio:0.205649,time:29494
hit ratio:0.205576,time:29848
hit ratio:0.205505,time:30215
hit ratio:0.205433,time:30605
hit ratio:0.205378,time:31018
hit ratio:0.20531,time:31456
hit ratio:0.20527,time:31942
hit ratio:0.205214,time:32465
hit ratio:0.205128,time:33040
hit ratio:0.205028,time:33673
hit ratio:0.20494,time:34375
hit ratio:0.204844,time:35152
hit ratio:0.204763,time:36005
hit ratio:0.204717,time:37013
hit ratio:0.204656,time:38144
hit ratio:0.204599,time:39435
hit ratio:0.204508,time:40952
hit ratio:0.204419,time:42716
hit ratio:0.204347,time:44761
hit ratio:0.20428,time:46894
hit ratio:0.204195,time:48872
hit ratio:0.204111,time:50470
hit ratio:0.204061,time:51687
hit ratio:0.203988,time:52613
hit ratio:0.203892,time:53355
hit ratio:0.20381,time:53987
hit ratio:0.203718,time:54559
hit ratio:0.203653,time:55052
hit ratio:0.203618,time:55493
hit ratio:0.20356,time:55891
hit ratio:0.203492,time:56275
hit ratio:0.203424,time:56645
hit ratio:0.203331,time:56996
hit ratio:0.203251,time:57329
hit ratio:0.203155,time:57658
hit ratio:0.203061,time:57979
hit ratio:0.203005,time:58293
hit ratio:0.202919,time:58600
hit ratio:0.202852,time:58904
hit ratio:0.202798,time:59204
hit ratio:0.202807,time:59501
hit ratio:0.202831,time:59793
hit ratio:0.202862,time:60086
hit ratio:0.202918,time:60378
hit ratio:0.202965,time:60666
hit ratio:0.202988,time:60994
hit ratio:0.20298,time:61361
hit ratio:0.20288,time:63846
hit ratio:0.202843,time:64520
hit ratio:0.202916,time:64796
hit ratio:0.203003,time:65044
hit ratio:0.203089,time:65290
hit ratio:0.203168,time:65537
hit ratio:0.203257,time:65785
hit ratio:0.203376,time:66027
hit ratio:0.203537,time:66266
hit ratio:0.203659,time:66502
hit ratio:0.203812,time:66739
hit ratio:0.203933,time:66971
hit ratio:0.204038,time:67201
hit ratio:0.204162,time:67431
hit ratio:0.204296,time:67658
hit ratio:0.204441,time:67887
hit ratio:0.204586,time:68112
hit ratio:0.204721,time:68339
hit ratio:0.204839,time:68563
hit ratio:0.204946,time:68789
