Cache Initialized. size: 1GB
time,id,size
alloc failed. 702,8660032563896415927,203,9223372036854775807
alloc failed. 710,12338193624465263886,138,9223372036854775807
hit ratio:0.21035,time:716
alloc failed. 863,2796213817282257923,82,5019480
alloc failed. 892,13866942968859578475,160,278101
hit ratio:0.242335,time:944
hit ratio:0.257137,time:1130
alloc failed. 1275,17806976439405088252,44,9223372036854775807
hit ratio:0.265058,time:1320
hit ratio:0.270888,time:1514
hit ratio:0.275023,time:1701
hit ratio:0.278106,time:1889
hit ratio:0.279371,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.281343,time:2263
hit ratio:0.282774,time:2449
hit ratio:0.284358,time:2632
hit ratio:0.285967,time:2819
hit ratio:0.287533,time:3010
hit ratio:0.288714,time:3207
hit ratio:0.290143,time:3400
hit ratio:0.291224,time:3592
hit ratio:0.292025,time:3785
hit ratio:0.292834,time:3976
hit ratio:0.293594,time:4166
hit ratio:0.294351,time:4351
hit ratio:0.294726,time:4541
hit ratio:0.295186,time:4730
hit ratio:0.295887,time:4921
hit ratio:0.296814,time:5115
hit ratio:0.297816,time:5307
hit ratio:0.298471,time:5496
hit ratio:0.299154,time:5685
hit ratio:0.299745,time:5870
hit ratio:0.300441,time:6054
hit ratio:0.301078,time:6237
hit ratio:0.301428,time:6419
hit ratio:0.302006,time:6602
hit ratio:0.302519,time:6781
hit ratio:0.302911,time:6961
hit ratio:0.303195,time:7139
hit ratio:0.30339,time:7316
hit ratio:0.303742,time:7491
hit ratio:0.304144,time:7666
hit ratio:0.304331,time:7837
hit ratio:0.304423,time:8007
hit ratio:0.304503,time:8178
hit ratio:0.304602,time:8349
hit ratio:0.304706,time:8516
hit ratio:0.304881,time:8681
hit ratio:0.30511,time:8845
hit ratio:0.305227,time:9009
hit ratio:0.30528,time:9172
hit ratio:0.305318,time:9334
hit ratio:0.305341,time:9496
hit ratio:0.305374,time:9657
hit ratio:0.305447,time:9814
hit ratio:0.305518,time:9973
hit ratio:0.305649,time:10129
hit ratio:0.305741,time:10286
hit ratio:0.305704,time:10445
hit ratio:0.30575,time:10605
hit ratio:0.305673,time:10762
hit ratio:0.305657,time:10919
hit ratio:0.305618,time:11079
hit ratio:0.305439,time:11239
hit ratio:0.305347,time:11400
hit ratio:0.30527,time:11561
hit ratio:0.305197,time:11723
hit ratio:0.305182,time:11887
hit ratio:0.305183,time:12048
hit ratio:0.305048,time:12212
hit ratio:0.304874,time:12372
hit ratio:0.304749,time:12532
hit ratio:0.304703,time:12691
hit ratio:0.304555,time:12851
hit ratio:0.304464,time:13008
hit ratio:0.304332,time:13164
hit ratio:0.304211,time:13319
hit ratio:0.304155,time:13473
hit ratio:0.304019,time:13626
hit ratio:0.303934,time:13781
hit ratio:0.303846,time:13935
hit ratio:0.30375,time:14090
hit ratio:0.303663,time:14240
hit ratio:0.303549,time:14391
hit ratio:0.303423,time:14542
hit ratio:0.303263,time:14693
hit ratio:0.303082,time:14845
hit ratio:0.302945,time:15000
hit ratio:0.302771,time:15155
hit ratio:0.302544,time:15315
hit ratio:0.302385,time:15478
hit ratio:0.302228,time:15635
hit ratio:0.302115,time:15800
hit ratio:0.302006,time:15951
hit ratio:0.301871,time:16104
hit ratio:0.301748,time:16256
hit ratio:0.301625,time:16407
hit ratio:0.301535,time:16558
hit ratio:0.301404,time:16710
hit ratio:0.301259,time:16862
hit ratio:0.301099,time:17015
hit ratio:0.300995,time:17165
hit ratio:0.300912,time:17314
hit ratio:0.300773,time:17467
hit ratio:0.300643,time:17619
hit ratio:0.300508,time:17771
hit ratio:0.300397,time:17923
hit ratio:0.300275,time:18073
hit ratio:0.300154,time:18222
hit ratio:0.29999,time:18371
hit ratio:0.299857,time:18519
hit ratio:0.299699,time:18668
hit ratio:0.299582,time:18816
hit ratio:0.299463,time:18963
hit ratio:0.299376,time:19111
hit ratio:0.299211,time:19259
hit ratio:0.299047,time:19424
hit ratio:0.298957,time:19573
hit ratio:0.298866,time:19721
hit ratio:0.298757,time:19869
hit ratio:0.298669,time:20018
hit ratio:0.298552,time:20166
hit ratio:0.298379,time:20317
hit ratio:0.298241,time:20466
hit ratio:0.298135,time:20617
hit ratio:0.298071,time:20768
hit ratio:0.297993,time:20917
hit ratio:0.297915,time:21067
hit ratio:0.297816,time:21218
hit ratio:0.297729,time:21371
hit ratio:0.297644,time:21522
hit ratio:0.29757,time:21674
hit ratio:0.297428,time:21829
hit ratio:0.29734,time:21984
hit ratio:0.297232,time:22139
hit ratio:0.29713,time:22294
hit ratio:0.297012,time:22451
hit ratio:0.296888,time:22609
hit ratio:0.296791,time:22769
hit ratio:0.296752,time:22930
hit ratio:0.296695,time:23093
hit ratio:0.296605,time:23255
hit ratio:0.296508,time:23418
hit ratio:0.296393,time:23585
hit ratio:0.296269,time:23752
hit ratio:0.296163,time:23919
hit ratio:0.296034,time:24091
hit ratio:0.295912,time:24264
hit ratio:0.295816,time:24439
hit ratio:0.295709,time:24616
hit ratio:0.295577,time:24797
hit ratio:0.295448,time:24982
hit ratio:0.295303,time:25166
hit ratio:0.295186,time:25353
hit ratio:0.295035,time:25544
hit ratio:0.294909,time:25738
hit ratio:0.294756,time:25937
hit ratio:0.294646,time:26138
hit ratio:0.294592,time:26343
hit ratio:0.29457,time:26572
hit ratio:0.294521,time:26778
hit ratio:0.294452,time:27002
hit ratio:0.294355,time:27235
hit ratio:0.294288,time:27478
hit ratio:0.294239,time:27729
hit ratio:0.29417,time:27987
hit ratio:0.294046,time:28264
hit ratio:0.293939,time:28554
hit ratio:0.29379,time:28853
hit ratio:0.293622,time:29163
hit ratio:0.293464,time:29494
hit ratio:0.293282,time:29848
hit ratio:0.293086,time:30215
hit ratio:0.29287,time:30605
hit ratio:0.29265,time:31018
hit ratio:0.292445,time:31456
hit ratio:0.292226,time:31942
hit ratio:0.291987,time:32465
hit ratio:0.291706,time:33040
hit ratio:0.291402,time:33673
hit ratio:0.291107,time:34375
hit ratio:0.290789,time:35152
hit ratio:0.290468,time:36005
hit ratio:0.29019,time:37013
hit ratio:0.289882,time:38144
hit ratio:0.289553,time:39435
hit ratio:0.289212,time:40952
hit ratio:0.288884,time:42716
hit ratio:0.288548,time:44761
hit ratio:0.288207,time:46894
hit ratio:0.287866,time:48872
hit ratio:0.287524,time:50470
hit ratio:0.287233,time:51687
hit ratio:0.286969,time:52613
hit ratio:0.286726,time:53355
hit ratio:0.286502,time:53987
hit ratio:0.286273,time:54559
hit ratio:0.286086,time:55052
hit ratio:0.285936,time:55493
hit ratio:0.285779,time:55891
hit ratio:0.285617,time:56275
hit ratio:0.285449,time:56645
hit ratio:0.285272,time:56996
hit ratio:0.285116,time:57329
hit ratio:0.284951,time:57658
hit ratio:0.284777,time:57979
hit ratio:0.28464,time:58293
hit ratio:0.284479,time:58600
hit ratio:0.284349,time:58904
hit ratio:0.284242,time:59204
hit ratio:0.284184,time:59501
hit ratio:0.28415,time:59793
hit ratio:0.284118,time:60086
hit ratio:0.284118,time:60378
hit ratio:0.284109,time:60666
hit ratio:0.284077,time:60994
hit ratio:0.284043,time:61361
hit ratio:0.283924,time:63846
hit ratio:0.283799,time:64520
hit ratio:0.283783,time:64796
hit ratio:0.283814,time:65044
hit ratio:0.283856,time:65290
hit ratio:0.283907,time:65537
hit ratio:0.283967,time:65785
hit ratio:0.284073,time:66027
hit ratio:0.284214,time:66266
hit ratio:0.284325,time:66502
hit ratio:0.284464,time:66739
hit ratio:0.28458,time:66971
hit ratio:0.284671,time:67201
hit ratio:0.284777,time:67431
hit ratio:0.284901,time:67658
hit ratio:0.285054,time:67887
hit ratio:0.285196,time:68112
hit ratio:0.28534,time:68339
hit ratio:0.285463,time:68563
hit ratio:0.285574,time:68789
hit ratio:0.285699,time:69016
hit ratio:0.285824,time:69248
hit ratio:0.286081,time:69471
