Hits Per Slab Rebalancing init. Cache Initialized. size: 256MB
alloc failed. 67,11025283874625056042,4690414,5906
alloc failed. 67,11025283874625056042,4690414,7538
alloc failed. 81,6000385553305814611,432,9223372036854775807
alloc failed. 87,11025283874625056042,4690414,20591
alloc failed. 163,8628608183558092006,4734802,2750014
alloc failed. 164,11851004379361116124,337,1622594
alloc failed. 218,3341776155824235211,317,24620
alloc failed. 452,3974051271270075602,424,205354338
alloc failed. 702,8660032563896415927,203,9223372036854775807
alloc failed. 710,12338193624465263886,138,9223372036854775807
hit ratio:0.15618,time:716
alloc failed. 863,2796213817282257923,82,5019480
alloc failed. 892,13866942968859578475,160,278101
hit ratio:0.17209,time:944
alloc failed. 998,12682468557924405921,8141905,230583
hit ratio:0.17727,time:1130
alloc failed. 1275,17806976439405088252,44,9223372036854775807
hit ratio:0.17966,time:1320
hit ratio:0.181824,time:1514
hit ratio:0.182882,time:1701
hit ratio:0.183603,time:1889
hit ratio:0.18337,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.18391,time:2263
hit ratio:0.184335,time:2449
hit ratio:0.184867,time:2632
hit ratio:0.185721,time:2819
hit ratio:0.186561,time:3010
hit ratio:0.186965,time:3207
hit ratio:0.187619,time:3400
hit ratio:0.187966,time:3592
hit ratio:0.188165,time:3785
hit ratio:0.188411,time:3976
hit ratio:0.18885,time:4166
hit ratio:0.189176,time:4351
hit ratio:0.189152,time:4541
hit ratio:0.189175,time:4730
hit ratio:0.189476,time:4921
hit ratio:0.190038,time:5115
hit ratio:0.190788,time:5307
hit ratio:0.191233,time:5496
hit ratio:0.191707,time:5685
alloc failed. 5761,12682468557924405921,8141905,2743210
hit ratio:0.191993,time:5870
hit ratio:0.192467,time:6054
hit ratio:0.19289,time:6237
hit ratio:0.193124,time:6419
hit ratio:0.193486,time:6602
hit ratio:0.193705,time:6781
hit ratio:0.193843,time:6961
hit ratio:0.193982,time:7139
hit ratio:0.193978,time:7316
hit ratio:0.194126,time:7491
hit ratio:0.194358,time:7666
hit ratio:0.194347,time:7837
hit ratio:0.194323,time:8007
hit ratio:0.194338,time:8178
hit ratio:0.19435,time:8349
hit ratio:0.194319,time:8516
hit ratio:0.194387,time:8681
hit ratio:0.194488,time:8845
hit ratio:0.194545,time:9009
hit ratio:0.194586,time:9172
hit ratio:0.194544,time:9334
hit ratio:0.19455,time:9496
hit ratio:0.194551,time:9657
hit ratio:0.194591,time:9814
hit ratio:0.194617,time:9973
hit ratio:0.194662,time:10129
hit ratio:0.194739,time:10286
hit ratio:0.194703,time:10445
hit ratio:0.194731,time:10605
hit ratio:0.194662,time:10762
hit ratio:0.194603,time:10919
hit ratio:0.194562,time:11079
hit ratio:0.194415,time:11239
hit ratio:0.194344,time:11400
hit ratio:0.194259,time:11561
hit ratio:0.194191,time:11723
hit ratio:0.194197,time:11887
hit ratio:0.194204,time:12048
hit ratio:0.194047,time:12212
hit ratio:0.193901,time:12372
hit ratio:0.19377,time:12532
hit ratio:0.193723,time:12691
hit ratio:0.193573,time:12851
hit ratio:0.193503,time:13008
hit ratio:0.193385,time:13164
hit ratio:0.193283,time:13319
hit ratio:0.193213,time:13473
hit ratio:0.19313,time:13626
hit ratio:0.193079,time:13781
hit ratio:0.193007,time:13935
hit ratio:0.192939,time:14090
hit ratio:0.192869,time:14240
hit ratio:0.192768,time:14391
hit ratio:0.192623,time:14542
hit ratio:0.192495,time:14693
hit ratio:0.192314,time:14845
hit ratio:0.192185,time:15000
hit ratio:0.191992,time:15155
hit ratio:0.191818,time:15315
hit ratio:0.191682,time:15478
hit ratio:0.191516,time:15635
hit ratio:0.191408,time:15800
hit ratio:0.191284,time:15951
hit ratio:0.191145,time:16104
hit ratio:0.191027,time:16256
hit ratio:0.1909,time:16407
hit ratio:0.190809,time:16558
hit ratio:0.190683,time:16710
hit ratio:0.190541,time:16862
hit ratio:0.190387,time:17015
hit ratio:0.190292,time:17165
hit ratio:0.190227,time:17314
hit ratio:0.190129,time:17467
hit ratio:0.190026,time:17619
hit ratio:0.189904,time:17771
hit ratio:0.189776,time:17923
hit ratio:0.189639,time:18073
hit ratio:0.189523,time:18222
hit ratio:0.189377,time:18371
hit ratio:0.189253,time:18519
hit ratio:0.189099,time:18668
hit ratio:0.18898,time:18816
hit ratio:0.188857,time:18963
hit ratio:0.188765,time:19111
hit ratio:0.188624,time:19259
hit ratio:0.188439,time:19424
hit ratio:0.188374,time:19573
hit ratio:0.188307,time:19721
hit ratio:0.188207,time:19869
hit ratio:0.188133,time:20018
hit ratio:0.188012,time:20166
hit ratio:0.187839,time:20317
hit ratio:0.187713,time:20466
hit ratio:0.187594,time:20617
hit ratio:0.18752,time:20768
hit ratio:0.187448,time:20917
hit ratio:0.187376,time:21067
hit ratio:0.187272,time:21218
hit ratio:0.187197,time:21371
hit ratio:0.187096,time:21522
hit ratio:0.18702,time:21674
hit ratio:0.186875,time:21829
hit ratio:0.186775,time:21984
hit ratio:0.186661,time:22139
hit ratio:0.18655,time:22294
hit ratio:0.186424,time:22451
hit ratio:0.186305,time:22609
hit ratio:0.186195,time:22769
hit ratio:0.186143,time:22930
hit ratio:0.186081,time:23093
hit ratio:0.185987,time:23255
hit ratio:0.185884,time:23418
hit ratio:0.185744,time:23585
hit ratio:0.185616,time:23752
hit ratio:0.185502,time:23919
hit ratio:0.185372,time:24091
hit ratio:0.185231,time:24264
hit ratio:0.185134,time:24439
hit ratio:0.185043,time:24616
hit ratio:0.184915,time:24797
hit ratio:0.184778,time:24982
hit ratio:0.184641,time:25166
hit ratio:0.184517,time:25353
hit ratio:0.184384,time:25544
hit ratio:0.184269,time:25738
hit ratio:0.184119,time:25937
hit ratio:0.184042,time:26138
hit ratio:0.184026,time:26343
hit ratio:0.184017,time:26572
hit ratio:0.183987,time:26778
hit ratio:0.18393,time:27002
hit ratio:0.183866,time:27235
hit ratio:0.183819,time:27478
hit ratio:0.18378,time:27729
hit ratio:0.183725,time:27987
hit ratio:0.18365,time:28264
hit ratio:0.183564,time:28554
hit ratio:0.183431,time:28853
hit ratio:0.183307,time:29163
hit ratio:0.183194,time:29494
hit ratio:0.183055,time:29848
hit ratio:0.18291,time:30215
hit ratio:0.182756,time:30605
hit ratio:0.182613,time:31018
hit ratio:0.182458,time:31456
hit ratio:0.182319,time:31942
hit ratio:0.182165,time:32465
hit ratio:0.181976,time:33040
hit ratio:0.181771,time:33673
hit ratio:0.181587,time:34375
hit ratio:0.181382,time:35152
hit ratio:0.181185,time:36005
hit ratio:0.181014,time:37013
hit ratio:0.180835,time:38144
hit ratio:0.180648,time:39435
hit ratio:0.180447,time:40952
hit ratio:0.18024,time:42716
hit ratio:0.18006,time:44761
hit ratio:0.179881,time:46894
hit ratio:0.179696,time:48872
hit ratio:0.179503,time:50470
hit ratio:0.179359,time:51687
hit ratio:0.179199,time:52613
hit ratio:0.179024,time:53355
hit ratio:0.178867,time:53987
hit ratio:0.178711,time:54559
hit ratio:0.178591,time:55052
hit ratio:0.178501,time:55493
hit ratio:0.178404,time:55891
hit ratio:0.178299,time:56275
hit ratio:0.178192,time:56645
hit ratio:0.178066,time:56996
hit ratio:0.177957,time:57329
hit ratio:0.177837,time:57658
hit ratio:0.177722,time:57979
hit ratio:0.177644,time:58293
hit ratio:0.177539,time:58600
hit ratio:0.177451,time:58904
hit ratio:0.177382,time:59204
hit ratio:0.177379,time:59501
hit ratio:0.177389,time:59793
hit ratio:0.177408,time:60086
hit ratio:0.177459,time:60378
hit ratio:0.177498,time:60666
hit ratio:0.177521,time:60994
hit ratio:0.177526,time:61361
hit ratio:0.177473,time:63846
hit ratio:0.177469,time:64520
hit ratio:0.177531,time:64796
hit ratio:0.177618,time:65044
hit ratio:0.177705,time:65290
hit ratio:0.177784,time:65537
hit ratio:0.177868,time:65785
hit ratio:0.177997,time:66027
