Cache Initialized. size: 256MB
alloc failed. 67,11025283874625056042,4690414,5906
alloc failed. 67,11025283874625056042,4690414,7538
alloc failed. 81,6000385553305814611,432,9223372036854775807
alloc failed. 87,11025283874625056042,4690414,20591
alloc failed. 163,8628608183558092006,4734802,2750014
alloc failed. 164,11851004379361116124,337,1622594
alloc failed. 218,3341776155824235211,317,24620
alloc failed. 452,3974051271270075602,424,205354338
alloc failed. 702,8660032563896415927,203,9223372036854775807
alloc failed. 710,12338193624465263886,138,9223372036854775807
hit ratio:0.15616,time:716
alloc failed. 863,2796213817282257923,82,5019480
alloc failed. 892,13866942968859578475,160,278101
hit ratio:0.171785,time:944
alloc failed. 998,12682468557924405921,8141905,230583
hit ratio:0.177,time:1130
alloc failed. 1275,17806976439405088252,44,9223372036854775807
hit ratio:0.179405,time:1320
hit ratio:0.18153,time:1514
hit ratio:0.182632,time:1701
hit ratio:0.183383,time:1889
hit ratio:0.183201,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.183763,time:2263
hit ratio:0.184194,time:2449
hit ratio:0.184712,time:2632
hit ratio:0.185587,time:2819
hit ratio:0.186451,time:3010
hit ratio:0.186869,time:3207
hit ratio:0.187493,time:3400
hit ratio:0.187843,time:3592
hit ratio:0.188061,time:3785
hit ratio:0.18831,time:3976
hit ratio:0.188739,time:4166
hit ratio:0.189064,time:4351
hit ratio:0.18903,time:4541
hit ratio:0.189061,time:4730
hit ratio:0.189337,time:4921
hit ratio:0.189912,time:5115
hit ratio:0.19067,time:5307
hit ratio:0.191128,time:5496
hit ratio:0.191605,time:5685
alloc failed. 5761,12682468557924405921,8141905,2743210
hit ratio:0.191885,time:5870
hit ratio:0.192366,time:6054
hit ratio:0.192801,time:6237
hit ratio:0.193042,time:6419
hit ratio:0.193391,time:6602
hit ratio:0.193626,time:6781
hit ratio:0.193776,time:6961
hit ratio:0.193927,time:7139
hit ratio:0.19393,time:7316
hit ratio:0.194067,time:7491
hit ratio:0.194312,time:7666
hit ratio:0.194313,time:7837
hit ratio:0.194292,time:8007
hit ratio:0.194301,time:8178
hit ratio:0.194311,time:8349
hit ratio:0.194284,time:8516
hit ratio:0.194341,time:8681
hit ratio:0.19444,time:8845
hit ratio:0.194497,time:9009
hit ratio:0.194535,time:9172
hit ratio:0.194487,time:9334
hit ratio:0.194493,time:9496
hit ratio:0.194493,time:9657
hit ratio:0.194538,time:9814
hit ratio:0.194564,time:9973
hit ratio:0.194607,time:10129
hit ratio:0.194694,time:10286
hit ratio:0.194658,time:10445
hit ratio:0.194685,time:10605
hit ratio:0.194618,time:10762
hit ratio:0.194562,time:10919
hit ratio:0.19452,time:11079
hit ratio:0.194375,time:11239
hit ratio:0.1943,time:11400
hit ratio:0.19422,time:11561
hit ratio:0.194148,time:11723
hit ratio:0.194145,time:11887
hit ratio:0.194154,time:12048
hit ratio:0.193994,time:12212
hit ratio:0.193852,time:12372
hit ratio:0.193718,time:12532
hit ratio:0.19367,time:12691
hit ratio:0.193523,time:12851
hit ratio:0.193453,time:13008
hit ratio:0.193334,time:13164
hit ratio:0.19323,time:13319
hit ratio:0.193172,time:13473
hit ratio:0.193088,time:13626
hit ratio:0.193036,time:13781
hit ratio:0.192957,time:13935
hit ratio:0.192886,time:14090
hit ratio:0.192816,time:14240
hit ratio:0.192718,time:14391
hit ratio:0.192576,time:14542
hit ratio:0.192449,time:14693
hit ratio:0.192273,time:14845
hit ratio:0.192139,time:15000
hit ratio:0.191949,time:15155
hit ratio:0.191775,time:15315
hit ratio:0.191638,time:15478
hit ratio:0.191472,time:15635
hit ratio:0.191365,time:15800
hit ratio:0.191239,time:15951
hit ratio:0.191098,time:16104
hit ratio:0.190975,time:16256
hit ratio:0.19085,time:16407
hit ratio:0.190761,time:16558
hit ratio:0.190632,time:16710
hit ratio:0.190494,time:16862
hit ratio:0.190338,time:17015
hit ratio:0.190248,time:17165
hit ratio:0.19018,time:17314
hit ratio:0.190084,time:17467
hit ratio:0.189983,time:17619
hit ratio:0.18986,time:17771
hit ratio:0.189735,time:17923
hit ratio:0.189594,time:18073
hit ratio:0.189478,time:18222
hit ratio:0.189334,time:18371
hit ratio:0.189211,time:18519
hit ratio:0.18906,time:18668
hit ratio:0.188949,time:18816
hit ratio:0.188825,time:18963
hit ratio:0.188732,time:19111
hit ratio:0.188591,time:19259
hit ratio:0.188406,time:19424
hit ratio:0.188341,time:19573
hit ratio:0.188268,time:19721
hit ratio:0.188169,time:19869
hit ratio:0.188094,time:20018
hit ratio:0.187974,time:20166
hit ratio:0.187804,time:20317
hit ratio:0.187676,time:20466
hit ratio:0.187558,time:20617
hit ratio:0.187488,time:20768
hit ratio:0.187414,time:20917
hit ratio:0.187343,time:21067
hit ratio:0.187236,time:21218
hit ratio:0.187159,time:21371
hit ratio:0.187057,time:21522
hit ratio:0.186983,time:21674
hit ratio:0.186837,time:21829
hit ratio:0.186736,time:21984
hit ratio:0.18662,time:22139
hit ratio:0.186511,time:22294
hit ratio:0.186382,time:22451
hit ratio:0.18626,time:22609
hit ratio:0.186151,time:22769
hit ratio:0.1861,time:22930
hit ratio:0.186039,time:23093
hit ratio:0.185946,time:23255
hit ratio:0.185844,time:23418
hit ratio:0.185704,time:23585
hit ratio:0.185577,time:23752
hit ratio:0.185465,time:23919
hit ratio:0.185336,time:24091
hit ratio:0.185198,time:24264
hit ratio:0.185103,time:24439
hit ratio:0.185013,time:24616
hit ratio:0.184884,time:24797
hit ratio:0.184747,time:24982
hit ratio:0.184609,time:25166
hit ratio:0.184483,time:25353
hit ratio:0.18435,time:25544
hit ratio:0.184233,time:25738
hit ratio:0.184087,time:25937
hit ratio:0.184006,time:26138
hit ratio:0.183989,time:26343
hit ratio:0.183981,time:26572
hit ratio:0.183951,time:26778
hit ratio:0.183893,time:27002
hit ratio:0.183828,time:27235
hit ratio:0.18378,time:27478
hit ratio:0.183744,time:27729
hit ratio:0.183688,time:27987
hit ratio:0.183615,time:28264
hit ratio:0.183531,time:28554
hit ratio:0.183397,time:28853
hit ratio:0.183276,time:29163
hit ratio:0.183163,time:29494
hit ratio:0.183024,time:29848
hit ratio:0.18288,time:30215
hit ratio:0.182722,time:30605
hit ratio:0.182581,time:31018
hit ratio:0.182425,time:31456
hit ratio:0.182287,time:31942
hit ratio:0.182132,time:32465
hit ratio:0.181945,time:33040
hit ratio:0.181743,time:33673
hit ratio:0.181558,time:34375
hit ratio:0.181354,time:35152
hit ratio:0.181158,time:36005
hit ratio:0.180987,time:37013
hit ratio:0.180806,time:38144
hit ratio:0.18062,time:39435
hit ratio:0.180418,time:40952
hit ratio:0.180214,time:42716
hit ratio:0.180037,time:44761
hit ratio:0.179858,time:46894
hit ratio:0.179675,time:48872
hit ratio:0.179483,time:50470
hit ratio:0.179335,time:51687
hit ratio:0.179174,time:52613
hit ratio:0.178999,time:53355
hit ratio:0.178841,time:53987
hit ratio:0.178685,time:54559
hit ratio:0.178567,time:55052
hit ratio:0.178478,time:55493
hit ratio:0.178383,time:55891
hit ratio:0.178277,time:56275
hit ratio:0.17817,time:56645
hit ratio:0.178044,time:56996
hit ratio:0.177936,time:57329
hit ratio:0.177816,time:57658
hit ratio:0.177703,time:57979
hit ratio:0.177623,time:58293
hit ratio:0.177519,time:58600
hit ratio:0.17743,time:58904
hit ratio:0.17736,time:59204
hit ratio:0.177357,time:59501
hit ratio:0.177369,time:59793
hit ratio:0.177388,time:60086
hit ratio:0.177439,time:60378
hit ratio:0.17748,time:60666
hit ratio:0.177503,time:60994
hit ratio:0.177509,time:61361
hit ratio:0.177455,time:63846
hit ratio:0.17745,time:64520
hit ratio:0.177512,time:64796
hit ratio:0.1776,time:65044
hit ratio:0.177689,time:65290
hit ratio:0.177768,time:65537
hit ratio:0.177852,time:65785
hit ratio:0.177982,time:66027
hit ratio:0.178131,time:66266
