FreeMem Rebalancing init. Cache Initialized. size: 2GB
alloc failed. 702,8660032563896415927,203,9223372036854775807
alloc failed. 710,12338193624465263886,138,9223372036854775807
hit ratio:0.23554,time:716
alloc failed. 863,2796213817282257923,82,5019480
alloc failed. 892,13866942968859578475,160,278101
hit ratio:0.275615,time:944
hit ratio:0.295767,time:1130
alloc failed. 1275,17806976439405088252,44,9223372036854775807
hit ratio:0.307325,time:1320
alloc failed. 1440,13125627811827450956,203,151580577
hit ratio:0.315422,time:1514
hit ratio:0.320835,time:1701
hit ratio:0.325119,time:1889
hit ratio:0.327673,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.330741,time:2263
hit ratio:0.333349,time:2449
hit ratio:0.335865,time:2632
hit ratio:0.338383,time:2819
hit ratio:0.340869,time:3010
hit ratio:0.342949,time:3207
hit ratio:0.345067,time:3400
hit ratio:0.346812,time:3592
hit ratio:0.348175,time:3785
hit ratio:0.349384,time:3976
hit ratio:0.350402,time:4166
hit ratio:0.3514,time:4351
hit ratio:0.352135,time:4541
hit ratio:0.352918,time:4730
hit ratio:0.353787,time:4921
hit ratio:0.354884,time:5115
hit ratio:0.356054,time:5307
hit ratio:0.356937,time:5496
hit ratio:0.357783,time:5685
hit ratio:0.358517,time:5870
hit ratio:0.359395,time:6054
hit ratio:0.360191,time:6237
hit ratio:0.360711,time:6419
hit ratio:0.361491,time:6602
hit ratio:0.36212,time:6781
hit ratio:0.362606,time:6961
hit ratio:0.36306,time:7139
hit ratio:0.363348,time:7316
hit ratio:0.363718,time:7491
hit ratio:0.364244,time:7666
hit ratio:0.364537,time:7837
hit ratio:0.364733,time:8007
hit ratio:0.364904,time:8178
hit ratio:0.365112,time:8349
hit ratio:0.365316,time:8516
hit ratio:0.365558,time:8681
hit ratio:0.365878,time:8845
hit ratio:0.366092,time:9009
hit ratio:0.366261,time:9172
hit ratio:0.366311,time:9334
hit ratio:0.366365,time:9496
hit ratio:0.36647,time:9657
hit ratio:0.366575,time:9814
hit ratio:0.366693,time:9973
hit ratio:0.366841,time:10129
hit ratio:0.366964,time:10286
hit ratio:0.36698,time:10445
hit ratio:0.367055,time:10605
hit ratio:0.366986,time:10762
hit ratio:0.366972,time:10919
hit ratio:0.366914,time:11079
hit ratio:0.366781,time:11239
hit ratio:0.366704,time:11400
hit ratio:0.36665,time:11561
hit ratio:0.366584,time:11723
hit ratio:0.366548,time:11887
hit ratio:0.366546,time:12048
hit ratio:0.366434,time:12212
hit ratio:0.366251,time:12372
hit ratio:0.366144,time:12532
hit ratio:0.366114,time:12691
hit ratio:0.365991,time:12851
hit ratio:0.365933,time:13008
hit ratio:0.365819,time:13164
hit ratio:0.36573,time:13319
hit ratio:0.365635,time:13473
hit ratio:0.365485,time:13626
hit ratio:0.365398,time:13781
hit ratio:0.365295,time:13935
hit ratio:0.365221,time:14090
hit ratio:0.365135,time:14240
hit ratio:0.365037,time:14391
hit ratio:0.364911,time:14542
hit ratio:0.364718,time:14693
hit ratio:0.364517,time:14845
hit ratio:0.364382,time:15000
hit ratio:0.36418,time:15155
hit ratio:0.363931,time:15315
hit ratio:0.363803,time:15478
hit ratio:0.363656,time:15635
hit ratio:0.363552,time:15800
hit ratio:0.363445,time:15951
hit ratio:0.363321,time:16104
hit ratio:0.363219,time:16256
hit ratio:0.363108,time:16407
hit ratio:0.363003,time:16558
hit ratio:0.362871,time:16710
hit ratio:0.362732,time:16862
hit ratio:0.362564,time:17015
hit ratio:0.362449,time:17165
hit ratio:0.362355,time:17314
hit ratio:0.362222,time:17467
hit ratio:0.362093,time:17619
hit ratio:0.361987,time:17771
hit ratio:0.361862,time:17923
hit ratio:0.36171,time:18073
hit ratio:0.361582,time:18222
hit ratio:0.361408,time:18371
hit ratio:0.361278,time:18519
hit ratio:0.361108,time:18668
hit ratio:0.360984,time:18816
hit ratio:0.360862,time:18963
hit ratio:0.360766,time:19111
hit ratio:0.360618,time:19259
hit ratio:0.360447,time:19424
hit ratio:0.360349,time:19573
hit ratio:0.360238,time:19721
hit ratio:0.360131,time:19869
hit ratio:0.360037,time:20018
hit ratio:0.359927,time:20166
hit ratio:0.359748,time:20317
hit ratio:0.359622,time:20466
hit ratio:0.35952,time:20617
hit ratio:0.359445,time:20768
hit ratio:0.359379,time:20917
hit ratio:0.359315,time:21067
hit ratio:0.359202,time:21218
hit ratio:0.359114,time:21371
hit ratio:0.35902,time:21522
hit ratio:0.358948,time:21674
hit ratio:0.358823,time:21829
hit ratio:0.358734,time:21984
hit ratio:0.358629,time:22139
hit ratio:0.358536,time:22294
hit ratio:0.358425,time:22451
hit ratio:0.358314,time:22609
hit ratio:0.358211,time:22769
hit ratio:0.358166,time:22930
hit ratio:0.358113,time:23093
hit ratio:0.358022,time:23255
hit ratio:0.357928,time:23418
hit ratio:0.357803,time:23585
hit ratio:0.357689,time:23752
hit ratio:0.357574,time:23919
hit ratio:0.357439,time:24091
hit ratio:0.357321,time:24264
hit ratio:0.357236,time:24439
hit ratio:0.357127,time:24616
hit ratio:0.35699,time:24797
hit ratio:0.356844,time:24982
hit ratio:0.3567,time:25166
hit ratio:0.356569,time:25353
hit ratio:0.356421,time:25544
hit ratio:0.356302,time:25738
hit ratio:0.356153,time:25937
hit ratio:0.35602,time:26138
hit ratio:0.355944,time:26343
hit ratio:0.355918,time:26572
hit ratio:0.355852,time:26778
hit ratio:0.355767,time:27002
hit ratio:0.355673,time:27235
hit ratio:0.355606,time:27478
hit ratio:0.355546,time:27729
hit ratio:0.355463,time:27987
hit ratio:0.355332,time:28264
hit ratio:0.355195,time:28554
hit ratio:0.355018,time:28853
hit ratio:0.354839,time:29163
hit ratio:0.354686,time:29494
hit ratio:0.354502,time:29848
hit ratio:0.3543,time:30215
hit ratio:0.354075,time:30605
hit ratio:0.353837,time:31018
hit ratio:0.353596,time:31456
hit ratio:0.353346,time:31942
hit ratio:0.353093,time:32465
hit ratio:0.35281,time:33040
hit ratio:0.352506,time:33673
hit ratio:0.352215,time:34375
hit ratio:0.351903,time:35152
hit ratio:0.351578,time:36005
hit ratio:0.351287,time:37013
hit ratio:0.35097,time:38144
hit ratio:0.350646,time:39435
hit ratio:0.350297,time:40952
hit ratio:0.349958,time:42716
hit ratio:0.349632,time:44761
hit ratio:0.349311,time:46894
hit ratio:0.348981,time:48872
hit ratio:0.348642,time:50470
hit ratio:0.348344,time:51687
hit ratio:0.348087,time:52613
hit ratio:0.347863,time:53355
hit ratio:0.347662,time:53987
hit ratio:0.347465,time:54559
hit ratio:0.347294,time:55052
hit ratio:0.347183,time:55493
hit ratio:0.347056,time:55891
hit ratio:0.346909,time:56275
hit ratio:0.346761,time:56645
hit ratio:0.346593,time:56996
hit ratio:0.346433,time:57329
hit ratio:0.346281,time:57658
hit ratio:0.34612,time:57979
hit ratio:0.345996,time:58293
hit ratio:0.345849,time:58600
hit ratio:0.345724,time:58904
hit ratio:0.345634,time:59204
hit ratio:0.345588,time:59501
hit ratio:0.345539,time:59793
hit ratio:0.345495,time:60086
hit ratio:0.345494,time:60378
hit ratio:0.345481,time:60666
hit ratio:0.345445,time:60994
hit ratio:0.345405,time:61361
hit ratio:0.345279,time:63846
hit ratio:0.345103,time:64520
hit ratio:0.34504,time:64796
hit ratio:0.345031,time:65044
hit ratio:0.345036,time:65290
hit ratio:0.345047,time:65537
hit ratio:0.345078,time:65785
hit ratio:0.345159,time:66027
hit ratio:0.345273,time:66266
hit ratio:0.345377,time:66502
hit ratio:0.345507,time:66739
hit ratio:0.345605,time:66971
hit ratio:0.345688,time:67201
hit ratio:0.345782,time:67431
hit ratio:0.345884,time:67658
hit ratio:0.346031,time:67887
hit ratio:0.346172,time:68112
hit ratio:0.346315,time:68339
hit ratio:0.346434,time:68563
hit ratio:0.346531,time:68789
hit ratio:0.346647,time:69016
