Cache Initialized. size: 2GB
alloc failed. 702,8660032563896415927,203,9223372036854775807
alloc failed. 710,12338193624465263886,138,9223372036854775807
hit ratio:0.23552,time:716
alloc failed. 863,2796213817282257923,82,5019480
alloc failed. 892,13866942968859578475,160,278101
hit ratio:0.27563,time:944
hit ratio:0.295827,time:1130
alloc failed. 1275,17806976439405088252,44,9223372036854775807
hit ratio:0.307345,time:1320
hit ratio:0.31543,time:1514
hit ratio:0.320797,time:1701
hit ratio:0.325086,time:1889
hit ratio:0.327654,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.330736,time:2263
hit ratio:0.33334,time:2449
hit ratio:0.335856,time:2632
hit ratio:0.338378,time:2819
hit ratio:0.340898,time:3010
hit ratio:0.342964,time:3207
hit ratio:0.345071,time:3400
hit ratio:0.346816,time:3592
hit ratio:0.348171,time:3785
hit ratio:0.349385,time:3976
hit ratio:0.350403,time:4166
hit ratio:0.351394,time:4351
hit ratio:0.35212,time:4541
hit ratio:0.352898,time:4730
hit ratio:0.353772,time:4921
hit ratio:0.354876,time:5115
hit ratio:0.356047,time:5307
hit ratio:0.356929,time:5496
hit ratio:0.357781,time:5685
hit ratio:0.358514,time:5870
hit ratio:0.359393,time:6054
hit ratio:0.360191,time:6237
hit ratio:0.360746,time:6419
hit ratio:0.361575,time:6602
hit ratio:0.362215,time:6781
hit ratio:0.362708,time:6961
hit ratio:0.363176,time:7139
hit ratio:0.363463,time:7316
hit ratio:0.363819,time:7491
hit ratio:0.364382,time:7666
hit ratio:0.364636,time:7837
hit ratio:0.36483,time:8007
hit ratio:0.365035,time:8178
hit ratio:0.36525,time:8349
hit ratio:0.365447,time:8516
hit ratio:0.365697,time:8681
hit ratio:0.366019,time:8845
hit ratio:0.366217,time:9009
hit ratio:0.366354,time:9172
hit ratio:0.366388,time:9334
hit ratio:0.366454,time:9496
hit ratio:0.366558,time:9657
hit ratio:0.366655,time:9814
hit ratio:0.366773,time:9973
hit ratio:0.366925,time:10129
hit ratio:0.367028,time:10286
hit ratio:0.367053,time:10445
hit ratio:0.367127,time:10605
hit ratio:0.367059,time:10762
hit ratio:0.367043,time:10919
hit ratio:0.366972,time:11079
hit ratio:0.366836,time:11239
hit ratio:0.366775,time:11400
hit ratio:0.366725,time:11561
hit ratio:0.366667,time:11723
hit ratio:0.366638,time:11887
hit ratio:0.366643,time:12048
hit ratio:0.36653,time:12212
hit ratio:0.366344,time:12372
hit ratio:0.366225,time:12532
hit ratio:0.366202,time:12691
hit ratio:0.366088,time:12851
hit ratio:0.366031,time:13008
hit ratio:0.365923,time:13164
hit ratio:0.365827,time:13319
hit ratio:0.365736,time:13473
hit ratio:0.365567,time:13626
hit ratio:0.365478,time:13781
hit ratio:0.365371,time:13935
hit ratio:0.365275,time:14090
hit ratio:0.365183,time:14240
hit ratio:0.365083,time:14391
hit ratio:0.364965,time:14542
hit ratio:0.364773,time:14693
hit ratio:0.364574,time:14845
hit ratio:0.364439,time:15000
hit ratio:0.364254,time:15155
hit ratio:0.364006,time:15315
hit ratio:0.363888,time:15478
hit ratio:0.36373,time:15635
hit ratio:0.363636,time:15800
hit ratio:0.363519,time:15951
hit ratio:0.363394,time:16104
hit ratio:0.36328,time:16256
hit ratio:0.363159,time:16407
hit ratio:0.363051,time:16558
hit ratio:0.36291,time:16710
hit ratio:0.362776,time:16862
hit ratio:0.362617,time:17015
hit ratio:0.362498,time:17165
hit ratio:0.362409,time:17314
hit ratio:0.362283,time:17467
hit ratio:0.362157,time:17619
hit ratio:0.362059,time:17771
hit ratio:0.361933,time:17923
hit ratio:0.361792,time:18073
hit ratio:0.361669,time:18222
hit ratio:0.3615,time:18371
hit ratio:0.361372,time:18519
hit ratio:0.3612,time:18668
hit ratio:0.361088,time:18816
hit ratio:0.360972,time:18963
hit ratio:0.360871,time:19111
hit ratio:0.360731,time:19259
hit ratio:0.360553,time:19424
hit ratio:0.360456,time:19573
hit ratio:0.360345,time:19721
hit ratio:0.360227,time:19869
hit ratio:0.360129,time:20018
hit ratio:0.360015,time:20166
hit ratio:0.359842,time:20317
hit ratio:0.359712,time:20466
hit ratio:0.359605,time:20617
hit ratio:0.359525,time:20768
hit ratio:0.359467,time:20917
hit ratio:0.359404,time:21067
hit ratio:0.359287,time:21218
hit ratio:0.359196,time:21371
hit ratio:0.359105,time:21522
hit ratio:0.359034,time:21674
hit ratio:0.35891,time:21829
hit ratio:0.358821,time:21984
hit ratio:0.358721,time:22139
hit ratio:0.358632,time:22294
hit ratio:0.358519,time:22451
hit ratio:0.358407,time:22609
hit ratio:0.3583,time:22769
hit ratio:0.35825,time:22930
hit ratio:0.358195,time:23093
hit ratio:0.3581,time:23255
hit ratio:0.358004,time:23418
hit ratio:0.357878,time:23585
hit ratio:0.357771,time:23752
hit ratio:0.357656,time:23919
hit ratio:0.357521,time:24091
hit ratio:0.35741,time:24264
hit ratio:0.357324,time:24439
hit ratio:0.357204,time:24616
hit ratio:0.35706,time:24797
hit ratio:0.356917,time:24982
hit ratio:0.356763,time:25166
hit ratio:0.356637,time:25353
hit ratio:0.356487,time:25544
hit ratio:0.35637,time:25738
hit ratio:0.356215,time:25937
hit ratio:0.356084,time:26138
hit ratio:0.356011,time:26343
hit ratio:0.355991,time:26572
hit ratio:0.355923,time:26778
hit ratio:0.355841,time:27002
hit ratio:0.355749,time:27235
hit ratio:0.355678,time:27478
hit ratio:0.355616,time:27729
hit ratio:0.355532,time:27987
hit ratio:0.355401,time:28264
hit ratio:0.355267,time:28554
hit ratio:0.35509,time:28853
hit ratio:0.35491,time:29163
hit ratio:0.354752,time:29494
hit ratio:0.35457,time:29848
hit ratio:0.354359,time:30215
hit ratio:0.354131,time:30605
hit ratio:0.353895,time:31018
hit ratio:0.353663,time:31456
hit ratio:0.353413,time:31942
hit ratio:0.353159,time:32465
hit ratio:0.352878,time:33040
hit ratio:0.352578,time:33673
hit ratio:0.352289,time:34375
hit ratio:0.351975,time:35152
hit ratio:0.35165,time:36005
hit ratio:0.351357,time:37013
hit ratio:0.351034,time:38144
hit ratio:0.350712,time:39435
hit ratio:0.350366,time:40952
hit ratio:0.350025,time:42716
hit ratio:0.349707,time:44761
hit ratio:0.349384,time:46894
hit ratio:0.349055,time:48872
hit ratio:0.348712,time:50470
hit ratio:0.34841,time:51687
hit ratio:0.348155,time:52613
hit ratio:0.347939,time:53355
hit ratio:0.34774,time:53987
hit ratio:0.347541,time:54559
hit ratio:0.347364,time:55052
hit ratio:0.347243,time:55493
hit ratio:0.347117,time:55891
hit ratio:0.346967,time:56275
hit ratio:0.346813,time:56645
hit ratio:0.346644,time:56996
hit ratio:0.346483,time:57329
hit ratio:0.346326,time:57658
hit ratio:0.346164,time:57979
hit ratio:0.346037,time:58293
hit ratio:0.345888,time:58600
hit ratio:0.345768,time:58904
hit ratio:0.345676,time:59204
hit ratio:0.345626,time:59501
hit ratio:0.345583,time:59793
hit ratio:0.345539,time:60086
hit ratio:0.345536,time:60378
hit ratio:0.345527,time:60666
hit ratio:0.345491,time:60994
hit ratio:0.345448,time:61361
hit ratio:0.345323,time:63846
hit ratio:0.345146,time:64520
hit ratio:0.345082,time:64796
hit ratio:0.345072,time:65044
hit ratio:0.345081,time:65290
hit ratio:0.345093,time:65537
hit ratio:0.345125,time:65785
hit ratio:0.345209,time:66027
hit ratio:0.345323,time:66266
hit ratio:0.345429,time:66502
hit ratio:0.345562,time:66739
hit ratio:0.345662,time:66971
hit ratio:0.345746,time:67201
hit ratio:0.34584,time:67431
hit ratio:0.345943,time:67658
hit ratio:0.346084,time:67887
hit ratio:0.346225,time:68112
hit ratio:0.346364,time:68339
hit ratio:0.346485,time:68563
hit ratio:0.346585,time:68789
hit ratio:0.346699,time:69016
hit ratio:0.346825,time:69248
hit ratio:0.34708,time:69471
hit ratio:0.347328,time:69699
