Marginal Hits init.Cache Initialized. size: 4GB
hit ratio:0.23806,time:716
hit ratio:0.305035,time:944
hit ratio:0.3354,time:1130
alloc failed. 1275,17806976439405088252,44,9223372036854775807
hit ratio:0.3503,time:1320
hit ratio:0.36067,time:1514
hit ratio:0.368503,time:1701
hit ratio:0.37492,time:1889
hit ratio:0.379241,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.38358,time:2263
hit ratio:0.387256,time:2449
hit ratio:0.390842,time:2632
hit ratio:0.394028,time:2819
hit ratio:0.397238,time:3010
hit ratio:0.400109,time:3207
hit ratio:0.402844,time:3400
hit ratio:0.405234,time:3592
hit ratio:0.407336,time:3785
hit ratio:0.409378,time:3976
hit ratio:0.411058,time:4166
hit ratio:0.4128,time:4351
hit ratio:0.414284,time:4541
hit ratio:0.415828,time:4730
hit ratio:0.417382,time:4921
hit ratio:0.419086,time:5115
hit ratio:0.420793,time:5307
hit ratio:0.422206,time:5496
hit ratio:0.423512,time:5685
hit ratio:0.4247,time:5870
hit ratio:0.426084,time:6054
hit ratio:0.427305,time:6237
hit ratio:0.42824,time:6419
hit ratio:0.429283,time:6602
hit ratio:0.43016,time:6781
hit ratio:0.430937,time:6961
hit ratio:0.431688,time:7139
hit ratio:0.432218,time:7316
hit ratio:0.432853,time:7491
hit ratio:0.433668,time:7666
hit ratio:0.434164,time:7837
hit ratio:0.434586,time:8007
hit ratio:0.434941,time:8178
hit ratio:0.435351,time:8349
hit ratio:0.435635,time:8516
hit ratio:0.435968,time:8681
hit ratio:0.43637,time:8845
hit ratio:0.436708,time:9009
hit ratio:0.437035,time:9172
hit ratio:0.437217,time:9334
hit ratio:0.43737,time:9496
hit ratio:0.437561,time:9657
hit ratio:0.437682,time:9814
hit ratio:0.437838,time:9973
hit ratio:0.438035,time:10129
hit ratio:0.438223,time:10286
hit ratio:0.438303,time:10445
hit ratio:0.438405,time:10605
hit ratio:0.43835,time:10762
hit ratio:0.438351,time:10919
hit ratio:0.438332,time:11079
hit ratio:0.438183,time:11239
hit ratio:0.438131,time:11400
hit ratio:0.438059,time:11561
hit ratio:0.437968,time:11723
hit ratio:0.437981,time:11887
hit ratio:0.437978,time:12048
hit ratio:0.43794,time:12212
hit ratio:0.437783,time:12372
hit ratio:0.437698,time:12532
hit ratio:0.437658,time:12691
hit ratio:0.437532,time:12851
hit ratio:0.437466,time:13008
hit ratio:0.437359,time:13164
hit ratio:0.437225,time:13319
hit ratio:0.43713,time:13473
hit ratio:0.436984,time:13626
hit ratio:0.436876,time:13781
hit ratio:0.436782,time:13935
hit ratio:0.436677,time:14090
hit ratio:0.436548,time:14240
hit ratio:0.436408,time:14391
hit ratio:0.436281,time:14542
hit ratio:0.436074,time:14693
hit ratio:0.435871,time:14845
hit ratio:0.43573,time:15000
hit ratio:0.435542,time:15155
hit ratio:0.435296,time:15315
hit ratio:0.435145,time:15478
hit ratio:0.434979,time:15635
hit ratio:0.434874,time:15800
hit ratio:0.434739,time:15951
hit ratio:0.434642,time:16104
hit ratio:0.434565,time:16256
hit ratio:0.434472,time:16407
hit ratio:0.434399,time:16558
hit ratio:0.434278,time:16710
hit ratio:0.43417,time:16862
hit ratio:0.434029,time:17015
hit ratio:0.433922,time:17165
hit ratio:0.433816,time:17314
hit ratio:0.433661,time:17467
hit ratio:0.433537,time:17619
hit ratio:0.433415,time:17771
hit ratio:0.43327,time:17923
hit ratio:0.433124,time:18073
hit ratio:0.433016,time:18222
hit ratio:0.432855,time:18371
hit ratio:0.432731,time:18519
hit ratio:0.432582,time:18668
hit ratio:0.432456,time:18816
hit ratio:0.432338,time:18963
hit ratio:0.432241,time:19111
hit ratio:0.432078,time:19259
hit ratio:0.431942,time:19424
hit ratio:0.431875,time:19573
hit ratio:0.431783,time:19721
hit ratio:0.431666,time:19869
hit ratio:0.431571,time:20018
hit ratio:0.431438,time:20166
hit ratio:0.431246,time:20317
hit ratio:0.431093,time:20466
hit ratio:0.430985,time:20617
hit ratio:0.430895,time:20768
hit ratio:0.430827,time:20917
hit ratio:0.430767,time:21067
hit ratio:0.430666,time:21218
hit ratio:0.43058,time:21371
hit ratio:0.430502,time:21522
hit ratio:0.430436,time:21674
hit ratio:0.430309,time:21829
hit ratio:0.430224,time:21984
hit ratio:0.430121,time:22139
hit ratio:0.430026,time:22294
hit ratio:0.42994,time:22451
hit ratio:0.429823,time:22609
hit ratio:0.429726,time:22769
hit ratio:0.42968,time:22930
hit ratio:0.429614,time:23093
hit ratio:0.42951,time:23255
hit ratio:0.429417,time:23418
hit ratio:0.429305,time:23585
hit ratio:0.429211,time:23752
hit ratio:0.42909,time:23919
hit ratio:0.428947,time:24091
hit ratio:0.428837,time:24264
hit ratio:0.428737,time:24439
hit ratio:0.428632,time:24616
hit ratio:0.428512,time:24797
hit ratio:0.428389,time:24982
