Hits Per Slab Rebalancing init. Cache Initialized. size: 512MB
alloc failed. 218,3341776155824235211,317,24620
alloc failed. 286,3341776155824235211,317,52364
alloc failed. 702,8660032563896415927,203,9223372036854775807
alloc failed. 710,12338193624465263886,138,9223372036854775807
hit ratio:0.18509,time:716
alloc failed. 863,2796213817282257923,82,5019480
alloc failed. 892,13866942968859578475,160,278101
hit ratio:0.208745,time:944
hit ratio:0.21939,time:1130
alloc failed. 1275,17806976439405088252,44,9223372036854775807
hit ratio:0.225032,time:1320
hit ratio:0.228592,time:1514
hit ratio:0.230658,time:1701
hit ratio:0.232156,time:1889
hit ratio:0.232342,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.233521,time:2263
hit ratio:0.234408,time:2449
hit ratio:0.235172,time:2632
hit ratio:0.236236,time:2819
hit ratio:0.23739,time:3010
hit ratio:0.238275,time:3207
hit ratio:0.239251,time:3400
hit ratio:0.239977,time:3592
hit ratio:0.240333,time:3785
hit ratio:0.240878,time:3976
hit ratio:0.241426,time:4166
hit ratio:0.241886,time:4351
hit ratio:0.24207,time:4541
hit ratio:0.242308,time:4730
hit ratio:0.242817,time:4921
hit ratio:0.243522,time:5115
hit ratio:0.244349,time:5307
hit ratio:0.244865,time:5496
hit ratio:0.245471,time:5685
hit ratio:0.245936,time:5870
hit ratio:0.246519,time:6054
hit ratio:0.24704,time:6237
hit ratio:0.247287,time:6419
hit ratio:0.247734,time:6602
hit ratio:0.24799,time:6781
hit ratio:0.248228,time:6961
hit ratio:0.248463,time:7139
hit ratio:0.248528,time:7316
hit ratio:0.248724,time:7491
hit ratio:0.249029,time:7666
hit ratio:0.249103,time:7837
hit ratio:0.249113,time:8007
hit ratio:0.249162,time:8178
hit ratio:0.24921,time:8349
hit ratio:0.249263,time:8516
hit ratio:0.249366,time:8681
hit ratio:0.249506,time:8845
hit ratio:0.249571,time:9009
hit ratio:0.24962,time:9172
hit ratio:0.249555,time:9334
hit ratio:0.249557,time:9496
hit ratio:0.249605,time:9657
hit ratio:0.249611,time:9814
hit ratio:0.249658,time:9973
hit ratio:0.249709,time:10129
hit ratio:0.249798,time:10286
hit ratio:0.249767,time:10445
hit ratio:0.249811,time:10605
hit ratio:0.249705,time:10762
hit ratio:0.249646,time:10919
hit ratio:0.249603,time:11079
hit ratio:0.249433,time:11239
hit ratio:0.249362,time:11400
hit ratio:0.249289,time:11561
hit ratio:0.249215,time:11723
hit ratio:0.249206,time:11887
hit ratio:0.249184,time:12048
hit ratio:0.24904,time:12212
hit ratio:0.248886,time:12372
hit ratio:0.248768,time:12532
hit ratio:0.248715,time:12691
hit ratio:0.248566,time:12851
hit ratio:0.248478,time:13008
hit ratio:0.248358,time:13164
hit ratio:0.24824,time:13319
hit ratio:0.24817,time:13473
hit ratio:0.248049,time:13626
hit ratio:0.248002,time:13781
hit ratio:0.24793,time:13935
hit ratio:0.247856,time:14090
hit ratio:0.247778,time:14240
hit ratio:0.247662,time:14391
hit ratio:0.247545,time:14542
hit ratio:0.247381,time:14693
hit ratio:0.247199,time:14845
hit ratio:0.247064,time:15000
hit ratio:0.246885,time:15155
hit ratio:0.246679,time:15315
hit ratio:0.246525,time:15478
hit ratio:0.246349,time:15635
hit ratio:0.246233,time:15800
hit ratio:0.246123,time:15951
hit ratio:0.245985,time:16104
hit ratio:0.245857,time:16256
hit ratio:0.245736,time:16407
hit ratio:0.24565,time:16558
hit ratio:0.245516,time:16710
hit ratio:0.245382,time:16862
hit ratio:0.245216,time:17015
hit ratio:0.245109,time:17165
hit ratio:0.24502,time:17314
hit ratio:0.24492,time:17467
hit ratio:0.244799,time:17619
hit ratio:0.244678,time:17771
hit ratio:0.244543,time:17923
hit ratio:0.244414,time:18073
hit ratio:0.244313,time:18222
hit ratio:0.244159,time:18371
hit ratio:0.244024,time:18519
hit ratio:0.243853,time:18668
hit ratio:0.243743,time:18816
hit ratio:0.243617,time:18963
hit ratio:0.243524,time:19111
hit ratio:0.243373,time:19259
hit ratio:0.243179,time:19424
hit ratio:0.2431,time:19573
hit ratio:0.243017,time:19721
hit ratio:0.242914,time:19869
hit ratio:0.242821,time:20018
hit ratio:0.242699,time:20166
hit ratio:0.242528,time:20317
hit ratio:0.242396,time:20466
hit ratio:0.24228,time:20617
hit ratio:0.242207,time:20768
hit ratio:0.242133,time:20917
hit ratio:0.242063,time:21067
hit ratio:0.241967,time:21218
hit ratio:0.241887,time:21371
hit ratio:0.241788,time:21522
hit ratio:0.241721,time:21674
hit ratio:0.241588,time:21829
hit ratio:0.241494,time:21984
hit ratio:0.241392,time:22139
hit ratio:0.241277,time:22294
hit ratio:0.241148,time:22451
hit ratio:0.241025,time:22609
hit ratio:0.24092,time:22769
hit ratio:0.240877,time:22930
hit ratio:0.240819,time:23093
hit ratio:0.240727,time:23255
hit ratio:0.240626,time:23418
hit ratio:0.240499,time:23585
hit ratio:0.24038,time:23752
hit ratio:0.240276,time:23919
hit ratio:0.240144,time:24091
hit ratio:0.24001,time:24264
hit ratio:0.239924,time:24439
hit ratio:0.239815,time:24616
hit ratio:0.239685,time:24797
hit ratio:0.23955,time:24982
hit ratio:0.239412,time:25166
hit ratio:0.239284,time:25353
hit ratio:0.23914,time:25544
hit ratio:0.239022,time:25738
hit ratio:0.238874,time:25937
hit ratio:0.238787,time:26138
hit ratio:0.238752,time:26343
hit ratio:0.238738,time:26572
hit ratio:0.238706,time:26778
hit ratio:0.238644,time:27002
hit ratio:0.238567,time:27235
hit ratio:0.23851,time:27478
hit ratio:0.238466,time:27729
hit ratio:0.238406,time:27987
hit ratio:0.238307,time:28264
hit ratio:0.238213,time:28554
hit ratio:0.238054,time:28853
hit ratio:0.237909,time:29163
hit ratio:0.237775,time:29494
hit ratio:0.237606,time:29848
hit ratio:0.237438,time:30215
hit ratio:0.237253,time:30605
hit ratio:0.237069,time:31018
hit ratio:0.236878,time:31456
hit ratio:0.236698,time:31942
hit ratio:0.236498,time:32465
hit ratio:0.236257,time:33040
hit ratio:0.235986,time:33673
hit ratio:0.235741,time:34375
hit ratio:0.235473,time:35152
hit ratio:0.235202,time:36005
hit ratio:0.234961,time:37013
hit ratio:0.234705,time:38144
hit ratio:0.234427,time:39435
hit ratio:0.234137,time:40952
hit ratio:0.233834,time:42716
hit ratio:0.233568,time:44761
hit ratio:0.233271,time:46894
hit ratio:0.23299,time:48872
hit ratio:0.232692,time:50470
hit ratio:0.232452,time:51687
hit ratio:0.232219,time:52613
hit ratio:0.231993,time:53355
hit ratio:0.231785,time:53987
hit ratio:0.231582,time:54559
hit ratio:0.23141,time:55052
hit ratio:0.231274,time:55493
hit ratio:0.231139,time:55891
hit ratio:0.230982,time:56275
hit ratio:0.230837,time:56645
hit ratio:0.230675,time:56996
hit ratio:0.230529,time:57329
hit ratio:0.23037,time:57658
hit ratio:0.230216,time:57979
hit ratio:0.230101,time:58293
hit ratio:0.229959,time:58600
hit ratio:0.229835,time:58904
hit ratio:0.22974,time:59204
hit ratio:0.22971,time:59501
hit ratio:0.229686,time:59793
hit ratio:0.229674,time:60086
hit ratio:0.229696,time:60378
hit ratio:0.229704,time:60666
hit ratio:0.229702,time:60994
hit ratio:0.229682,time:61361
hit ratio:0.229584,time:63846
hit ratio:0.229524,time:64520
hit ratio:0.229558,time:64796
hit ratio:0.229627,time:65044
hit ratio:0.229695,time:65290
hit ratio:0.22977,time:65537
hit ratio:0.229848,time:65785
hit ratio:0.229972,time:66027
hit ratio:0.23012,time:66266
hit ratio:0.230246,time:66502
hit ratio:0.230395,time:66739
hit ratio:0.23052,time:66971
hit ratio:0.230613,time:67201
hit ratio:0.230728,time:67431
hit ratio:0.230869,time:67658
hit ratio:0.231013,time:67887
hit ratio:0.231155,time:68112
hit ratio:0.231293,time:68339
hit ratio:0.23142,time:68563
hit ratio:0.231525,time:68789
