Cache Initialized. size: 512MB
alloc failed. 218,3341776155824235211,317,24620
alloc failed. 286,3341776155824235211,317,52364
alloc failed. 702,8660032563896415927,203,9223372036854775807
alloc failed. 710,12338193624465263886,138,9223372036854775807
hit ratio:0.18508,time:716
alloc failed. 863,2796213817282257923,82,5019480
alloc failed. 892,13866942968859578475,160,278101
hit ratio:0.208815,time:944
hit ratio:0.21936,time:1130
alloc failed. 1275,17806976439405088252,44,9223372036854775807
hit ratio:0.224973,time:1320
hit ratio:0.228446,time:1514
hit ratio:0.230595,time:1701
hit ratio:0.232073,time:1889
hit ratio:0.232266,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.233403,time:2263
hit ratio:0.234277,time:2449
hit ratio:0.235049,time:2632
hit ratio:0.236115,time:2819
hit ratio:0.237281,time:3010
hit ratio:0.238186,time:3207
hit ratio:0.239193,time:3400
hit ratio:0.239931,time:3592
hit ratio:0.240275,time:3785
hit ratio:0.240847,time:3976
hit ratio:0.241389,time:4166
hit ratio:0.241823,time:4351
hit ratio:0.242015,time:4541
hit ratio:0.242271,time:4730
hit ratio:0.242773,time:4921
hit ratio:0.243482,time:5115
hit ratio:0.244318,time:5307
hit ratio:0.244818,time:5496
hit ratio:0.24542,time:5685
hit ratio:0.245881,time:5870
hit ratio:0.246463,time:6054
hit ratio:0.246989,time:6237
hit ratio:0.247254,time:6419
hit ratio:0.247705,time:6602
hit ratio:0.247968,time:6781
hit ratio:0.248216,time:6961
hit ratio:0.248453,time:7139
hit ratio:0.248509,time:7316
hit ratio:0.248699,time:7491
hit ratio:0.249004,time:7666
hit ratio:0.249082,time:7837
hit ratio:0.2491,time:8007
hit ratio:0.249142,time:8178
hit ratio:0.249192,time:8349
hit ratio:0.249244,time:8516
hit ratio:0.249343,time:8681
hit ratio:0.249482,time:8845
hit ratio:0.249542,time:9009
hit ratio:0.249584,time:9172
hit ratio:0.249532,time:9334
hit ratio:0.249535,time:9496
hit ratio:0.249586,time:9657
hit ratio:0.249588,time:9814
hit ratio:0.249636,time:9973
hit ratio:0.249689,time:10129
hit ratio:0.249791,time:10286
hit ratio:0.249762,time:10445
hit ratio:0.249813,time:10605
hit ratio:0.249704,time:10762
hit ratio:0.24964,time:10919
hit ratio:0.249596,time:11079
hit ratio:0.249421,time:11239
hit ratio:0.249347,time:11400
hit ratio:0.249279,time:11561
hit ratio:0.249207,time:11723
hit ratio:0.249194,time:11887
hit ratio:0.249178,time:12048
hit ratio:0.24903,time:12212
hit ratio:0.248876,time:12372
hit ratio:0.248752,time:12532
hit ratio:0.248703,time:12691
hit ratio:0.248557,time:12851
hit ratio:0.248471,time:13008
hit ratio:0.248348,time:13164
hit ratio:0.248233,time:13319
hit ratio:0.248167,time:13473
hit ratio:0.248043,time:13626
hit ratio:0.247997,time:13781
hit ratio:0.247922,time:13935
hit ratio:0.247846,time:14090
hit ratio:0.247761,time:14240
hit ratio:0.247648,time:14391
hit ratio:0.247536,time:14542
hit ratio:0.247371,time:14693
hit ratio:0.247187,time:14845
hit ratio:0.247053,time:15000
hit ratio:0.246872,time:15155
hit ratio:0.24667,time:15315
hit ratio:0.246522,time:15478
hit ratio:0.246346,time:15635
hit ratio:0.246226,time:15800
hit ratio:0.246115,time:15951
hit ratio:0.245981,time:16104
hit ratio:0.24586,time:16256
hit ratio:0.24574,time:16407
hit ratio:0.245651,time:16558
hit ratio:0.245516,time:16710
hit ratio:0.245378,time:16862
hit ratio:0.245214,time:17015
hit ratio:0.245103,time:17165
hit ratio:0.245014,time:17314
hit ratio:0.244916,time:17467
hit ratio:0.244794,time:17619
hit ratio:0.244665,time:17771
hit ratio:0.244537,time:17923
hit ratio:0.244402,time:18073
hit ratio:0.244297,time:18222
hit ratio:0.244142,time:18371
hit ratio:0.244012,time:18519
hit ratio:0.243841,time:18668
hit ratio:0.243735,time:18816
hit ratio:0.243606,time:18963
hit ratio:0.243515,time:19111
hit ratio:0.243362,time:19259
hit ratio:0.243169,time:19424
hit ratio:0.243098,time:19573
hit ratio:0.243008,time:19721
hit ratio:0.242907,time:19869
hit ratio:0.242817,time:20018
hit ratio:0.242699,time:20166
hit ratio:0.242531,time:20317
hit ratio:0.242396,time:20466
hit ratio:0.24228,time:20617
hit ratio:0.242203,time:20768
hit ratio:0.242126,time:20917
hit ratio:0.242057,time:21067
hit ratio:0.24196,time:21218
hit ratio:0.241878,time:21371
hit ratio:0.241783,time:21522
hit ratio:0.241715,time:21674
hit ratio:0.24158,time:21829
hit ratio:0.241483,time:21984
hit ratio:0.241377,time:22139
hit ratio:0.241264,time:22294
hit ratio:0.241138,time:22451
hit ratio:0.241017,time:22609
hit ratio:0.240911,time:22769
hit ratio:0.240868,time:22930
hit ratio:0.24081,time:23093
hit ratio:0.240719,time:23255
hit ratio:0.240621,time:23418
hit ratio:0.240494,time:23585
hit ratio:0.240377,time:23752
hit ratio:0.240271,time:23919
hit ratio:0.240138,time:24091
hit ratio:0.240003,time:24264
hit ratio:0.239915,time:24439
hit ratio:0.239806,time:24616
hit ratio:0.239676,time:24797
hit ratio:0.239542,time:24982
hit ratio:0.239403,time:25166
hit ratio:0.239274,time:25353
hit ratio:0.239129,time:25544
hit ratio:0.239012,time:25738
hit ratio:0.238863,time:25937
hit ratio:0.238775,time:26138
hit ratio:0.238739,time:26343
hit ratio:0.238723,time:26572
hit ratio:0.238688,time:26778
hit ratio:0.238628,time:27002
hit ratio:0.23855,time:27235
hit ratio:0.238493,time:27478
hit ratio:0.238449,time:27729
hit ratio:0.238385,time:27987
hit ratio:0.238288,time:28264
hit ratio:0.238195,time:28554
hit ratio:0.238037,time:28853
hit ratio:0.237895,time:29163
hit ratio:0.23776,time:29494
hit ratio:0.237594,time:29848
hit ratio:0.237429,time:30215
hit ratio:0.237243,time:30605
hit ratio:0.237061,time:31018
hit ratio:0.23687,time:31456
hit ratio:0.236691,time:31942
hit ratio:0.23649,time:32465
hit ratio:0.236247,time:33040
hit ratio:0.235977,time:33673
hit ratio:0.235732,time:34375
hit ratio:0.235463,time:35152
hit ratio:0.235192,time:36005
hit ratio:0.234948,time:37013
hit ratio:0.234696,time:38144
hit ratio:0.234418,time:39435
hit ratio:0.23413,time:40952
hit ratio:0.23383,time:42716
hit ratio:0.233564,time:44761
hit ratio:0.233266,time:46894
hit ratio:0.232984,time:48872
hit ratio:0.232686,time:50470
hit ratio:0.232446,time:51687
hit ratio:0.232215,time:52613
hit ratio:0.231989,time:53355
hit ratio:0.231781,time:53987
hit ratio:0.231578,time:54559
hit ratio:0.231405,time:55052
hit ratio:0.231271,time:55493
hit ratio:0.231138,time:55891
hit ratio:0.230983,time:56275
hit ratio:0.230839,time:56645
hit ratio:0.230675,time:56996
hit ratio:0.230531,time:57329
hit ratio:0.230371,time:57658
hit ratio:0.230216,time:57979
hit ratio:0.230102,time:58293
hit ratio:0.229959,time:58600
hit ratio:0.229835,time:58904
hit ratio:0.229737,time:59204
hit ratio:0.229706,time:59501
hit ratio:0.229683,time:59793
hit ratio:0.22967,time:60086
hit ratio:0.229692,time:60378
hit ratio:0.229701,time:60666
hit ratio:0.229699,time:60994
hit ratio:0.22968,time:61361
hit ratio:0.229582,time:63846
hit ratio:0.229523,time:64520
hit ratio:0.229556,time:64796
hit ratio:0.229626,time:65044
hit ratio:0.229695,time:65290
hit ratio:0.22977,time:65537
hit ratio:0.229848,time:65785
hit ratio:0.229969,time:66027
hit ratio:0.230117,time:66266
hit ratio:0.230241,time:66502
hit ratio:0.230388,time:66739
hit ratio:0.230515,time:66971
hit ratio:0.230608,time:67201
hit ratio:0.230724,time:67431
hit ratio:0.230865,time:67658
hit ratio:0.231009,time:67887
hit ratio:0.23115,time:68112
hit ratio:0.231288,time:68339
hit ratio:0.231416,time:68563
hit ratio:0.231519,time:68789
hit ratio:0.231634,time:69016
