Cache Initialized. size: 8GB
time,id,size
hit ratio:0.23806,time:716
hit ratio:0.305035,time:944
hit ratio:0.346203,time:1130
hit ratio:0.375135,time:1320
hit ratio:0.398014,time:1514
hit ratio:0.412035,time:1701
hit ratio:0.421233,time:1889
hit ratio:0.426781,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.431767,time:2263
hit ratio:0.43602,time:2449
hit ratio:0.440185,time:2632
hit ratio:0.444078,time:2819
hit ratio:0.448225,time:3010
hit ratio:0.451999,time:3207
hit ratio:0.455505,time:3400
hit ratio:0.458611,time:3592
hit ratio:0.461443,time:3785
hit ratio:0.464013,time:3976
hit ratio:0.466373,time:4166
hit ratio:0.468708,time:4351
hit ratio:0.470777,time:4541
hit ratio:0.47276,time:4730
hit ratio:0.474729,time:4921
hit ratio:0.476931,time:5115
hit ratio:0.479062,time:5307
hit ratio:0.4809,time:5496
hit ratio:0.482619,time:5685
hit ratio:0.484124,time:5870
hit ratio:0.485921,time:6054
hit ratio:0.487525,time:6237
hit ratio:0.48891,time:6419
hit ratio:0.490376,time:6602
hit ratio:0.491715,time:6781
hit ratio:0.492935,time:6961
hit ratio:0.494099,time:7139
hit ratio:0.495094,time:7316
hit ratio:0.496188,time:7491
hit ratio:0.4974,time:7666
hit ratio:0.498295,time:7837
hit ratio:0.499088,time:8007
hit ratio:0.499834,time:8178
hit ratio:0.500634,time:8349
hit ratio:0.501349,time:8516
hit ratio:0.502075,time:8681
hit ratio:0.502894,time:8845
hit ratio:0.503585,time:9009
hit ratio:0.504262,time:9172
hit ratio:0.504808,time:9334
hit ratio:0.505315,time:9496
hit ratio:0.505868,time:9657
hit ratio:0.506339,time:9814
hit ratio:0.506814,time:9973
hit ratio:0.507305,time:10129
hit ratio:0.507811,time:10286
hit ratio:0.508219,time:10445
hit ratio:0.508608,time:10605
hit ratio:0.508875,time:10762
hit ratio:0.50916,time:10919
hit ratio:0.509353,time:11079
hit ratio:0.509444,time:11239
hit ratio:0.509612,time:11400
hit ratio:0.509773,time:11561
hit ratio:0.509903,time:11723
hit ratio:0.510103,time:11887
hit ratio:0.510284,time:12048
hit ratio:0.510463,time:12212
hit ratio:0.510496,time:12372
hit ratio:0.51057,time:12532
hit ratio:0.510687,time:12691
hit ratio:0.510717,time:12851
hit ratio:0.510757,time:13008
hit ratio:0.510796,time:13164
hit ratio:0.510732,time:13319
hit ratio:0.510736,time:13473
hit ratio:0.510694,time:13626
hit ratio:0.510687,time:13781
hit ratio:0.510681,time:13935
hit ratio:0.510661,time:14090
hit ratio:0.510577,time:14240
hit ratio:0.510513,time:14391
hit ratio:0.510454,time:14542
hit ratio:0.510289,time:14693
hit ratio:0.510168,time:14845
hit ratio:0.510108,time:15000
hit ratio:0.510004,time:15155
hit ratio:0.509824,time:15315
hit ratio:0.509685,time:15478
hit ratio:0.509569,time:15635
hit ratio:0.509517,time:15800
hit ratio:0.509397,time:15951
hit ratio:0.509317,time:16104
hit ratio:0.509249,time:16256
hit ratio:0.509213,time:16407
hit ratio:0.50916,time:16558
hit ratio:0.509053,time:16710
hit ratio:0.508972,time:16862
hit ratio:0.50886,time:17015
hit ratio:0.50875,time:17165
hit ratio:0.508644,time:17314
hit ratio:0.508493,time:17467
hit ratio:0.508342,time:17619
hit ratio:0.50824,time:17771
hit ratio:0.508102,time:17923
hit ratio:0.50799,time:18073
hit ratio:0.507896,time:18222
