Cache Initialized. size: 8GB
hit ratio:0.23806,time:716
hit ratio:0.305035,time:944
hit ratio:0.346203,time:1130
hit ratio:0.375135,time:1320
hit ratio:0.398014,time:1514
hit ratio:0.412035,time:1701
hit ratio:0.421233,time:1889
hit ratio:0.426781,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.431769,time:2263
hit ratio:0.436023,time:2449
hit ratio:0.440188,time:2632
hit ratio:0.444086,time:2819
hit ratio:0.448233,time:3010
hit ratio:0.452012,time:3207
hit ratio:0.455508,time:3400
hit ratio:0.458602,time:3592
hit ratio:0.461436,time:3785
hit ratio:0.464019,time:3976
hit ratio:0.466374,time:4166
hit ratio:0.468708,time:4351
hit ratio:0.470778,time:4541
hit ratio:0.472775,time:4730
hit ratio:0.474749,time:4921
hit ratio:0.476936,time:5115
hit ratio:0.479066,time:5307
hit ratio:0.480902,time:5496
hit ratio:0.482622,time:5685
hit ratio:0.48413,time:5870
hit ratio:0.485927,time:6054
hit ratio:0.487536,time:6237
hit ratio:0.488921,time:6419
hit ratio:0.490387,time:6602
hit ratio:0.491735,time:6781
hit ratio:0.492949,time:6961
hit ratio:0.494155,time:7139
hit ratio:0.495125,time:7316
hit ratio:0.496242,time:7491
hit ratio:0.497482,time:7666
hit ratio:0.498404,time:7837
hit ratio:0.499223,time:8007
hit ratio:0.499982,time:8178
hit ratio:0.500804,time:8349
hit ratio:0.501547,time:8516
hit ratio:0.50231,time:8681
hit ratio:0.503117,time:8845
hit ratio:0.50386,time:9009
hit ratio:0.504542,time:9172
hit ratio:0.505124,time:9334
hit ratio:0.505632,time:9496
hit ratio:0.506179,time:9657
hit ratio:0.506644,time:9814
hit ratio:0.50715,time:9973
hit ratio:0.507633,time:10129
hit ratio:0.508129,time:10286
hit ratio:0.508528,time:10445
hit ratio:0.508921,time:10605
hit ratio:0.509184,time:10762
hit ratio:0.509459,time:10919
hit ratio:0.509651,time:11079
hit ratio:0.509746,time:11239
hit ratio:0.509912,time:11400
hit ratio:0.510074,time:11561
hit ratio:0.510206,time:11723
hit ratio:0.510415,time:11887
hit ratio:0.510598,time:12048
hit ratio:0.510793,time:12212
hit ratio:0.510817,time:12372
hit ratio:0.51091,time:12532
hit ratio:0.511042,time:12691
hit ratio:0.511066,time:12851
hit ratio:0.511125,time:13008
hit ratio:0.511154,time:13164
hit ratio:0.511093,time:13319
hit ratio:0.511077,time:13473
hit ratio:0.511041,time:13626
hit ratio:0.511028,time:13781
hit ratio:0.511018,time:13935
hit ratio:0.510993,time:14090
hit ratio:0.510922,time:14240
hit ratio:0.510852,time:14391
hit ratio:0.510797,time:14542
hit ratio:0.510634,time:14693
hit ratio:0.510515,time:14845
hit ratio:0.510458,time:15000
hit ratio:0.510364,time:15155
hit ratio:0.510184,time:15315
hit ratio:0.510048,time:15478
hit ratio:0.509944,time:15635
hit ratio:0.509887,time:15800
hit ratio:0.509761,time:15951
hit ratio:0.509683,time:16104
hit ratio:0.50963,time:16256
hit ratio:0.509603,time:16407
hit ratio:0.509549,time:16558
hit ratio:0.509425,time:16710
hit ratio:0.509351,time:16862
hit ratio:0.509242,time:17015
hit ratio:0.509139,time:17165
hit ratio:0.509039,time:17314
hit ratio:0.50889,time:17467
hit ratio:0.508736,time:17619
hit ratio:0.508644,time:17771
hit ratio:0.508511,time:17923
hit ratio:0.508405,time:18073
hit ratio:0.50832,time:18222
hit ratio:0.508216,time:18371
