Cache Initialized. size: 2GB
time,id,size
alloc failed. 702,8660032563896415927,203,9223372036854775807
alloc failed. 710,12338193624465263886,138,9223372036854775807
hit ratio:0.23554,time:716
alloc failed. 863,2796213817282257923,82,5019480
alloc failed. 892,13866942968859578475,160,278101
hit ratio:0.275655,time:944
hit ratio:0.295853,time:1130
alloc failed. 1275,17806976439405088252,44,9223372036854775807
hit ratio:0.307445,time:1320
hit ratio:0.31545,time:1514
hit ratio:0.320852,time:1701
hit ratio:0.325136,time:1889
hit ratio:0.327707,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.33076,time:2263
hit ratio:0.333374,time:2449
hit ratio:0.335884,time:2632
hit ratio:0.338391,time:2819
hit ratio:0.340905,time:3010
hit ratio:0.342976,time:3207
hit ratio:0.345081,time:3400
hit ratio:0.346817,time:3592
hit ratio:0.348173,time:3785
hit ratio:0.349382,time:3976
hit ratio:0.350402,time:4166
hit ratio:0.35139,time:4351
hit ratio:0.352112,time:4541
hit ratio:0.352893,time:4730
hit ratio:0.353765,time:4921
hit ratio:0.354863,time:5115
hit ratio:0.356032,time:5307
hit ratio:0.356918,time:5496
hit ratio:0.357763,time:5685
hit ratio:0.358484,time:5870
hit ratio:0.359369,time:6054
hit ratio:0.360167,time:6237
hit ratio:0.360692,time:6419
hit ratio:0.361491,time:6602
hit ratio:0.362078,time:6781
hit ratio:0.362554,time:6961
hit ratio:0.363022,time:7139
hit ratio:0.363309,time:7316
hit ratio:0.363681,time:7491
hit ratio:0.364211,time:7666
hit ratio:0.364485,time:7837
hit ratio:0.364707,time:8007
hit ratio:0.364917,time:8178
hit ratio:0.365111,time:8349
hit ratio:0.365302,time:8516
hit ratio:0.365548,time:8681
hit ratio:0.36589,time:8845
hit ratio:0.366126,time:9009
hit ratio:0.366278,time:9172
hit ratio:0.366325,time:9334
hit ratio:0.366383,time:9496
hit ratio:0.366475,time:9657
hit ratio:0.366574,time:9814
hit ratio:0.366715,time:9973
hit ratio:0.366865,time:10129
hit ratio:0.366984,time:10286
hit ratio:0.367006,time:10445
hit ratio:0.367076,time:10605
hit ratio:0.367009,time:10762
hit ratio:0.366991,time:10919
hit ratio:0.36692,time:11079
hit ratio:0.366767,time:11239
hit ratio:0.36671,time:11400
hit ratio:0.366666,time:11561
hit ratio:0.366606,time:11723
hit ratio:0.366584,time:11887
hit ratio:0.366564,time:12048
hit ratio:0.366462,time:12212
hit ratio:0.366268,time:12372
hit ratio:0.366142,time:12532
hit ratio:0.366106,time:12691
hit ratio:0.365984,time:12851
hit ratio:0.365933,time:13008
hit ratio:0.365818,time:13164
hit ratio:0.365718,time:13319
hit ratio:0.36564,time:13473
hit ratio:0.365494,time:13626
hit ratio:0.365394,time:13781
hit ratio:0.365291,time:13935
hit ratio:0.3652,time:14090
hit ratio:0.365111,time:14240
hit ratio:0.365006,time:14391
hit ratio:0.364879,time:14542
hit ratio:0.364695,time:14693
hit ratio:0.364501,time:14845
hit ratio:0.364363,time:15000
hit ratio:0.364178,time:15155
hit ratio:0.363931,time:15315
hit ratio:0.36383,time:15478
hit ratio:0.36367,time:15635
hit ratio:0.363571,time:15800
hit ratio:0.363459,time:15951
hit ratio:0.363346,time:16104
hit ratio:0.363242,time:16256
hit ratio:0.363111,time:16407
hit ratio:0.363014,time:16558
hit ratio:0.362881,time:16710
hit ratio:0.36275,time:16862
hit ratio:0.36258,time:17015
hit ratio:0.362471,time:17165
hit ratio:0.362375,time:17314
hit ratio:0.362234,time:17467
hit ratio:0.362097,time:17619
hit ratio:0.361996,time:17771
hit ratio:0.361876,time:17923
hit ratio:0.361725,time:18073
hit ratio:0.361605,time:18222
hit ratio:0.361443,time:18371
hit ratio:0.361321,time:18519
hit ratio:0.361156,time:18668
hit ratio:0.361041,time:18816
hit ratio:0.360924,time:18963
hit ratio:0.360829,time:19111
hit ratio:0.360677,time:19259
hit ratio:0.360506,time:19424
hit ratio:0.360404,time:19573
hit ratio:0.360297,time:19721
hit ratio:0.360192,time:19869
hit ratio:0.360105,time:20018
hit ratio:0.359985,time:20166
hit ratio:0.359812,time:20317
hit ratio:0.359686,time:20466
hit ratio:0.359581,time:20617
hit ratio:0.359502,time:20768
hit ratio:0.359442,time:20917
hit ratio:0.359376,time:21067
hit ratio:0.359266,time:21218
hit ratio:0.359179,time:21371
hit ratio:0.359086,time:21522
hit ratio:0.359017,time:21674
hit ratio:0.358894,time:21829
hit ratio:0.358804,time:21984
hit ratio:0.358707,time:22139
hit ratio:0.358617,time:22294
hit ratio:0.358505,time:22451
hit ratio:0.358385,time:22609
hit ratio:0.358284,time:22769
hit ratio:0.358236,time:22930
hit ratio:0.358177,time:23093
hit ratio:0.358078,time:23255
hit ratio:0.357984,time:23418
hit ratio:0.357859,time:23585
hit ratio:0.357754,time:23752
hit ratio:0.357629,time:23919
hit ratio:0.357494,time:24091
hit ratio:0.357382,time:24264
hit ratio:0.35729,time:24439
hit ratio:0.357176,time:24616
hit ratio:0.357038,time:24797
hit ratio:0.356901,time:24982
hit ratio:0.356754,time:25166
hit ratio:0.356621,time:25353
hit ratio:0.356479,time:25544
hit ratio:0.356354,time:25738
hit ratio:0.356201,time:25937
hit ratio:0.356066,time:26138
hit ratio:0.355985,time:26343
hit ratio:0.355957,time:26572
hit ratio:0.355887,time:26778
hit ratio:0.355807,time:27002
hit ratio:0.355713,time:27235
hit ratio:0.35564,time:27478
hit ratio:0.355582,time:27729
hit ratio:0.355494,time:27987
hit ratio:0.355364,time:28264
hit ratio:0.355231,time:28554
hit ratio:0.35506,time:28853
hit ratio:0.354876,time:29163
hit ratio:0.354721,time:29494
hit ratio:0.354537,time:29848
hit ratio:0.354332,time:30215
hit ratio:0.354099,time:30605
hit ratio:0.353864,time:31018
hit ratio:0.353628,time:31456
hit ratio:0.353377,time:31942
hit ratio:0.353127,time:32465
hit ratio:0.352846,time:33040
hit ratio:0.352542,time:33673
hit ratio:0.352245,time:34375
hit ratio:0.351932,time:35152
hit ratio:0.351609,time:36005
hit ratio:0.351315,time:37013
hit ratio:0.350994,time:38144
hit ratio:0.350673,time:39435
hit ratio:0.350329,time:40952
hit ratio:0.349991,time:42716
hit ratio:0.349668,time:44761
hit ratio:0.34934,time:46894
hit ratio:0.349009,time:48872
hit ratio:0.348675,time:50470
hit ratio:0.348378,time:51687
hit ratio:0.348123,time:52613
hit ratio:0.347903,time:53355
hit ratio:0.347703,time:53987
hit ratio:0.347507,time:54559
hit ratio:0.347333,time:55052
hit ratio:0.347216,time:55493
hit ratio:0.34709,time:55891
hit ratio:0.34694,time:56275
hit ratio:0.346787,time:56645
hit ratio:0.346617,time:56996
hit ratio:0.346454,time:57329
hit ratio:0.346304,time:57658
hit ratio:0.34614,time:57979
hit ratio:0.346014,time:58293
hit ratio:0.345867,time:58600
hit ratio:0.345748,time:58904
hit ratio:0.345649,time:59204
hit ratio:0.345602,time:59501
hit ratio:0.345555,time:59793
hit ratio:0.345508,time:60086
hit ratio:0.345504,time:60378
hit ratio:0.345495,time:60666
hit ratio:0.345458,time:60994
hit ratio:0.345418,time:61361
hit ratio:0.345292,time:63846
hit ratio:0.345112,time:64520
hit ratio:0.345048,time:64796
hit ratio:0.345037,time:65044
hit ratio:0.345044,time:65290
hit ratio:0.345057,time:65537
hit ratio:0.345087,time:65785
hit ratio:0.345166,time:66027
hit ratio:0.345282,time:66266
hit ratio:0.345383,time:66502
hit ratio:0.34551,time:66739
hit ratio:0.345612,time:66971
hit ratio:0.345699,time:67201
hit ratio:0.345794,time:67431
hit ratio:0.3459,time:67658
hit ratio:0.346044,time:67887
hit ratio:0.346181,time:68112
hit ratio:0.346328,time:68339
hit ratio:0.346444,time:68563
hit ratio:0.346545,time:68789
hit ratio:0.346664,time:69016
hit ratio:0.346791,time:69248
hit ratio:0.347043,time:69471
