Cache Initialized. size: 4GB
time,id,size
hit ratio:0.23806,time:716
hit ratio:0.305035,time:944
hit ratio:0.3354,time:1130
alloc failed. 1275,17806976439405088252,44,9223372036854775807
hit ratio:0.350295,time:1320
hit ratio:0.36066,time:1514
hit ratio:0.368495,time:1701
hit ratio:0.374897,time:1889
hit ratio:0.379231,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.383559,time:2263
hit ratio:0.387225,time:2449
hit ratio:0.390797,time:2632
hit ratio:0.393997,time:2819
hit ratio:0.397238,time:3010
hit ratio:0.400116,time:3207
hit ratio:0.402841,time:3400
hit ratio:0.40523,time:3592
hit ratio:0.407342,time:3785
hit ratio:0.409376,time:3976
hit ratio:0.411063,time:4166
hit ratio:0.412799,time:4351
hit ratio:0.414284,time:4541
hit ratio:0.415833,time:4730
hit ratio:0.417408,time:4921
hit ratio:0.419129,time:5115
hit ratio:0.420837,time:5307
hit ratio:0.422247,time:5496
hit ratio:0.423545,time:5685
hit ratio:0.424739,time:5870
hit ratio:0.426133,time:6054
hit ratio:0.427375,time:6237
hit ratio:0.428313,time:6419
hit ratio:0.429373,time:6602
hit ratio:0.430292,time:6781
hit ratio:0.431059,time:6961
hit ratio:0.431821,time:7139
hit ratio:0.432382,time:7316
hit ratio:0.43303,time:7491
hit ratio:0.433803,time:7666
hit ratio:0.434314,time:7837
hit ratio:0.434705,time:8007
hit ratio:0.435082,time:8178
hit ratio:0.435485,time:8349
hit ratio:0.435752,time:8516
hit ratio:0.436059,time:8681
hit ratio:0.436426,time:8845
hit ratio:0.436746,time:9009
hit ratio:0.43704,time:9172
hit ratio:0.437202,time:9334
hit ratio:0.437345,time:9496
hit ratio:0.437525,time:9657
hit ratio:0.437647,time:9814
hit ratio:0.437788,time:9973
hit ratio:0.437967,time:10129
hit ratio:0.438149,time:10286
hit ratio:0.438242,time:10445
hit ratio:0.438348,time:10605
hit ratio:0.438302,time:10762
hit ratio:0.438292,time:10919
hit ratio:0.438272,time:11079
hit ratio:0.438141,time:11239
hit ratio:0.438095,time:11400
hit ratio:0.438034,time:11561
hit ratio:0.437967,time:11723
hit ratio:0.437957,time:11887
hit ratio:0.437973,time:12048
hit ratio:0.437934,time:12212
hit ratio:0.437779,time:12372
hit ratio:0.437702,time:12532
hit ratio:0.43765,time:12691
hit ratio:0.437503,time:12851
hit ratio:0.437426,time:13008
hit ratio:0.437313,time:13164
hit ratio:0.437157,time:13319
hit ratio:0.437057,time:13473
hit ratio:0.436904,time:13626
hit ratio:0.436775,time:13781
hit ratio:0.436675,time:13935
hit ratio:0.43658,time:14090
hit ratio:0.436449,time:14240
hit ratio:0.436303,time:14391
hit ratio:0.436188,time:14542
hit ratio:0.43598,time:14693
hit ratio:0.435784,time:14845
hit ratio:0.435634,time:15000
hit ratio:0.435447,time:15155
hit ratio:0.435188,time:15315
hit ratio:0.435029,time:15478
hit ratio:0.434859,time:15635
hit ratio:0.434758,time:15800
hit ratio:0.434616,time:15951
hit ratio:0.434529,time:16104
hit ratio:0.434443,time:16256
hit ratio:0.434343,time:16407
hit ratio:0.434252,time:16558
hit ratio:0.434128,time:16710
hit ratio:0.433996,time:16862
hit ratio:0.433838,time:17015
hit ratio:0.433731,time:17165
hit ratio:0.433627,time:17314
hit ratio:0.433496,time:17467
hit ratio:0.433363,time:17619
hit ratio:0.433243,time:17771
hit ratio:0.433087,time:17923
hit ratio:0.432943,time:18073
hit ratio:0.432831,time:18222
hit ratio:0.432677,time:18371
hit ratio:0.43255,time:18519
hit ratio:0.432405,time:18668
hit ratio:0.432279,time:18816
hit ratio:0.432142,time:18963
hit ratio:0.432047,time:19111
hit ratio:0.431882,time:19259
hit ratio:0.431747,time:19424
hit ratio:0.43168,time:19573
hit ratio:0.431585,time:19721
hit ratio:0.431484,time:19869
hit ratio:0.431386,time:20018
hit ratio:0.431268,time:20166
hit ratio:0.431089,time:20317
hit ratio:0.430944,time:20466
hit ratio:0.430831,time:20617
hit ratio:0.430747,time:20768
hit ratio:0.430682,time:20917
hit ratio:0.430623,time:21067
hit ratio:0.430524,time:21218
hit ratio:0.430433,time:21371
hit ratio:0.430369,time:21522
hit ratio:0.430304,time:21674
hit ratio:0.430164,time:21829
hit ratio:0.430079,time:21984
hit ratio:0.429976,time:22139
hit ratio:0.429872,time:22294
hit ratio:0.429785,time:22451
hit ratio:0.429671,time:22609
hit ratio:0.429581,time:22769
hit ratio:0.429548,time:22930
hit ratio:0.429491,time:23093
hit ratio:0.429387,time:23255
hit ratio:0.429291,time:23418
hit ratio:0.429178,time:23585
hit ratio:0.429075,time:23752
hit ratio:0.428946,time:23919
hit ratio:0.428805,time:24091
hit ratio:0.428691,time:24264
hit ratio:0.428586,time:24439
hit ratio:0.428485,time:24616
hit ratio:0.428367,time:24797
hit ratio:0.428239,time:24982
