Cache Initialized. size: 512MB
time,id,size
alloc failed. 218,3341776155824235211,317,24620
alloc failed. 286,3341776155824235211,317,52364
alloc failed. 702,8660032563896415927,203,9223372036854775807
alloc failed. 710,12338193624465263886,138,9223372036854775807
hit ratio:0.18512,time:716
alloc failed. 863,2796213817282257923,82,5019480
alloc failed. 892,13866942968859578475,160,278101
hit ratio:0.20868,time:944
hit ratio:0.219307,time:1130
alloc failed. 1275,17806976439405088252,44,9223372036854775807
hit ratio:0.224967,time:1320
hit ratio:0.228444,time:1514
hit ratio:0.23057,time:1701
hit ratio:0.232081,time:1889
hit ratio:0.232329,time:2077
alloc failed. 2221,2671699068127559114,63,9788987
hit ratio:0.233476,time:2263
hit ratio:0.234328,time:2449
hit ratio:0.235129,time:2632
hit ratio:0.236216,time:2819
hit ratio:0.237325,time:3010
hit ratio:0.23822,time:3207
hit ratio:0.239194,time:3400
hit ratio:0.239909,time:3592
hit ratio:0.240239,time:3785
hit ratio:0.240796,time:3976
hit ratio:0.241349,time:4166
hit ratio:0.241804,time:4351
hit ratio:0.242007,time:4541
hit ratio:0.242245,time:4730
hit ratio:0.242767,time:4921
hit ratio:0.243482,time:5115
hit ratio:0.244316,time:5307
hit ratio:0.24483,time:5496
hit ratio:0.245431,time:5685
hit ratio:0.245877,time:5870
hit ratio:0.246456,time:6054
hit ratio:0.246988,time:6237
hit ratio:0.247262,time:6419
hit ratio:0.247705,time:6602
hit ratio:0.247973,time:6781
hit ratio:0.248204,time:6961
hit ratio:0.248451,time:7139
hit ratio:0.248495,time:7316
hit ratio:0.248683,time:7491
hit ratio:0.248981,time:7666
hit ratio:0.24906,time:7837
hit ratio:0.249059,time:8007
hit ratio:0.249106,time:8178
hit ratio:0.24917,time:8349
hit ratio:0.249209,time:8516
hit ratio:0.249313,time:8681
hit ratio:0.249456,time:8845
hit ratio:0.249515,time:9009
hit ratio:0.249559,time:9172
hit ratio:0.249494,time:9334
hit ratio:0.249501,time:9496
hit ratio:0.249543,time:9657
hit ratio:0.249554,time:9814
hit ratio:0.249608,time:9973
hit ratio:0.249671,time:10129
hit ratio:0.249767,time:10286
hit ratio:0.249738,time:10445
hit ratio:0.249785,time:10605
hit ratio:0.249677,time:10762
hit ratio:0.249613,time:10919
hit ratio:0.249561,time:11079
hit ratio:0.249388,time:11239
hit ratio:0.249318,time:11400
hit ratio:0.249255,time:11561
hit ratio:0.249186,time:11723
hit ratio:0.249171,time:11887
hit ratio:0.24915,time:12048
hit ratio:0.24901,time:12212
hit ratio:0.24885,time:12372
hit ratio:0.248727,time:12532
hit ratio:0.248684,time:12691
hit ratio:0.248531,time:12851
hit ratio:0.248448,time:13008
hit ratio:0.24833,time:13164
hit ratio:0.248213,time:13319
hit ratio:0.24815,time:13473
hit ratio:0.24803,time:13626
hit ratio:0.247981,time:13781
hit ratio:0.247909,time:13935
hit ratio:0.247832,time:14090
hit ratio:0.247748,time:14240
hit ratio:0.24763,time:14391
hit ratio:0.247516,time:14542
hit ratio:0.247348,time:14693
hit ratio:0.247168,time:14845
hit ratio:0.247031,time:15000
hit ratio:0.246853,time:15155
hit ratio:0.246651,time:15315
hit ratio:0.2465,time:15478
hit ratio:0.246324,time:15635
hit ratio:0.246213,time:15800
hit ratio:0.246106,time:15951
hit ratio:0.245974,time:16104
hit ratio:0.245851,time:16256
hit ratio:0.245731,time:16407
hit ratio:0.245645,time:16558
hit ratio:0.245508,time:16710
hit ratio:0.245378,time:16862
hit ratio:0.245212,time:17015
hit ratio:0.245105,time:17165
hit ratio:0.245019,time:17314
hit ratio:0.244922,time:17467
hit ratio:0.2448,time:17619
hit ratio:0.244677,time:17771
hit ratio:0.244549,time:17923
hit ratio:0.244416,time:18073
hit ratio:0.244313,time:18222
hit ratio:0.244159,time:18371
hit ratio:0.244026,time:18519
hit ratio:0.243855,time:18668
hit ratio:0.243751,time:18816
hit ratio:0.243622,time:18963
hit ratio:0.243526,time:19111
hit ratio:0.243376,time:19259
hit ratio:0.243183,time:19424
hit ratio:0.243105,time:19573
hit ratio:0.24302,time:19721
hit ratio:0.242916,time:19869
hit ratio:0.242829,time:20018
hit ratio:0.242704,time:20166
hit ratio:0.242538,time:20317
hit ratio:0.242404,time:20466
hit ratio:0.242291,time:20617
hit ratio:0.242215,time:20768
hit ratio:0.242137,time:20917
hit ratio:0.242064,time:21067
hit ratio:0.241966,time:21218
hit ratio:0.241883,time:21371
hit ratio:0.241786,time:21522
hit ratio:0.24172,time:21674
hit ratio:0.241585,time:21829
hit ratio:0.241488,time:21984
hit ratio:0.24139,time:22139
hit ratio:0.241276,time:22294
hit ratio:0.241149,time:22451
hit ratio:0.241026,time:22609
hit ratio:0.240922,time:22769
hit ratio:0.240878,time:22930
hit ratio:0.240821,time:23093
hit ratio:0.240732,time:23255
hit ratio:0.240634,time:23418
hit ratio:0.240505,time:23585
hit ratio:0.240384,time:23752
hit ratio:0.240282,time:23919
hit ratio:0.240149,time:24091
hit ratio:0.240013,time:24264
hit ratio:0.239923,time:24439
hit ratio:0.239815,time:24616
hit ratio:0.239685,time:24797
hit ratio:0.239549,time:24982
hit ratio:0.239411,time:25166
hit ratio:0.239289,time:25353
hit ratio:0.239142,time:25544
hit ratio:0.239028,time:25738
hit ratio:0.238877,time:25937
hit ratio:0.238792,time:26138
hit ratio:0.238758,time:26343
hit ratio:0.238741,time:26572
hit ratio:0.238705,time:26778
hit ratio:0.238641,time:27002
hit ratio:0.238564,time:27235
hit ratio:0.238509,time:27478
hit ratio:0.238462,time:27729
hit ratio:0.238399,time:27987
hit ratio:0.2383,time:28264
hit ratio:0.238205,time:28554
hit ratio:0.238046,time:28853
hit ratio:0.237902,time:29163
hit ratio:0.237768,time:29494
hit ratio:0.237602,time:29848
hit ratio:0.237432,time:30215
hit ratio:0.237245,time:30605
hit ratio:0.237062,time:31018
hit ratio:0.236874,time:31456
hit ratio:0.236694,time:31942
hit ratio:0.236492,time:32465
hit ratio:0.236252,time:33040
hit ratio:0.235982,time:33673
hit ratio:0.235735,time:34375
hit ratio:0.235467,time:35152
hit ratio:0.235195,time:36005
hit ratio:0.234952,time:37013
hit ratio:0.234697,time:38144
hit ratio:0.234418,time:39435
hit ratio:0.234127,time:40952
hit ratio:0.233826,time:42716
hit ratio:0.233559,time:44761
hit ratio:0.233258,time:46894
hit ratio:0.232978,time:48872
hit ratio:0.232678,time:50470
hit ratio:0.232436,time:51687
hit ratio:0.232207,time:52613
hit ratio:0.231979,time:53355
hit ratio:0.23177,time:53987
hit ratio:0.231564,time:54559
hit ratio:0.231391,time:55052
hit ratio:0.231257,time:55493
hit ratio:0.231122,time:55891
hit ratio:0.230965,time:56275
hit ratio:0.230821,time:56645
hit ratio:0.230657,time:56996
hit ratio:0.230512,time:57329
hit ratio:0.230353,time:57658
hit ratio:0.230199,time:57979
hit ratio:0.230083,time:58293
hit ratio:0.22994,time:58600
hit ratio:0.229817,time:58904
hit ratio:0.22972,time:59204
hit ratio:0.22969,time:59501
hit ratio:0.229665,time:59793
hit ratio:0.229654,time:60086
hit ratio:0.229675,time:60378
hit ratio:0.229684,time:60666
hit ratio:0.229682,time:60994
hit ratio:0.229662,time:61361
hit ratio:0.229566,time:63846
hit ratio:0.229504,time:64520
hit ratio:0.229539,time:64796
hit ratio:0.229609,time:65044
hit ratio:0.229677,time:65290
hit ratio:0.229751,time:65537
hit ratio:0.229831,time:65785
hit ratio:0.229952,time:66027
hit ratio:0.230101,time:66266
hit ratio:0.230225,time:66502
hit ratio:0.230376,time:66739
hit ratio:0.2305,time:66971
hit ratio:0.230592,time:67201
hit ratio:0.230708,time:67431
hit ratio:0.23085,time:67658
hit ratio:0.230996,time:67887
hit ratio:0.231134,time:68112
hit ratio:0.231272,time:68339
hit ratio:0.231401,time:68563
hit ratio:0.231504,time:68789
hit ratio:0.231618,time:69016
