Cache Initialized. size: 8GB
hit ratio:0.22723,time:752
hit ratio:0.292875,time:1502
hit ratio:0.334857,time:2269
hit ratio:0.36719,time:3058
hit ratio:0.386784,time:3887
hit ratio:0.396632,time:4691
hit ratio:0.404219,time:5499
hit ratio:0.411218,time:6288
hit ratio:0.41693,time:7069
hit ratio:0.421813,time:7850
hit ratio:0.425154,time:8632
hit ratio:0.427628,time:9403
hit ratio:0.429883,time:10171
hit ratio:0.432426,time:10958
hit ratio:0.434163,time:11710
hit ratio:0.434856,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.435059,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.435212,time:13989
hit ratio:0.435518,time:14779
hit ratio:0.435757,time:15563
hit ratio:0.435796,time:16326
hit ratio:0.435803,time:17096
hit ratio:0.436196,time:17882
hit ratio:0.436475,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.436535,time:19404
hit ratio:0.436705,time:20166
hit ratio:0.437081,time:20916
hit ratio:0.437877,time:21684
hit ratio:0.438809,time:22433
hit ratio:0.439833,time:23194
hit ratio:0.44102,time:23950
hit ratio:0.442158,time:24700
hit ratio:0.443262,time:25449
hit ratio:0.44432,time:26192
hit ratio:0.445347,time:26922
hit ratio:0.446497,time:27632
hit ratio:0.447537,time:28328
hit ratio:0.448519,time:29007
hit ratio:0.449641,time:29670
hit ratio:0.450637,time:30328
hit ratio:0.451644,time:30962
hit ratio:0.452863,time:31590
hit ratio:0.453943,time:32207
hit ratio:0.454935,time:32829
hit ratio:0.456036,time:33441
hit ratio:0.457185,time:34046
hit ratio:0.45816,time:34657
hit ratio:0.459143,time:35265
hit ratio:0.460157,time:35879
hit ratio:0.461208,time:36490
hit ratio:0.462073,time:37103
hit ratio:0.462827,time:37709
hit ratio:0.463591,time:38320
hit ratio:0.464294,time:38931
hit ratio:0.464904,time:39552
hit ratio:0.465401,time:40180
hit ratio:0.465872,time:40816
hit ratio:0.466237,time:41477
hit ratio:0.466526,time:42155
hit ratio:0.466708,time:42853
hit ratio:0.466851,time:43587
hit ratio:0.466886,time:44347
hit ratio:0.466694,time:45128
hit ratio:0.466627,time:45948
hit ratio:0.466439,time:46824
hit ratio:0.466228,time:47725
hit ratio:0.465894,time:48696
hit ratio:0.465702,time:49747
hit ratio:0.465332,time:50827
hit ratio:0.464831,time:51970
hit ratio:0.464311,time:53199
hit ratio:0.463717,time:54518
hit ratio:0.462953,time:55860
hit ratio:0.46201,time:57231
hit ratio:0.461274,time:58841
hit ratio:0.460451,time:60573
hit ratio:0.459936,time:62284
hit ratio:0.459163,time:64128
hit ratio:0.458218,time:65924
hit ratio:0.457137,time:67552
hit ratio:0.456136,time:69081
hit ratio:0.45525,time:70500
hit ratio:0.454598,time:71838
hit ratio:0.454094,time:73063
hit ratio:0.453611,time:74185
hit ratio:0.453276,time:75243
hit ratio:0.453033,time:76275
hit ratio:0.452938,time:77261
hit ratio:0.45289,time:78215
hit ratio:0.452934,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.452964,time:80051
hit ratio:0.453028,time:80948
hit ratio:0.45307,time:81839
hit ratio:0.453156,time:82705
hit ratio:0.453308,time:83577
hit ratio:0.453409,time:84442
hit ratio:0.453552,time:85308
hit ratio:0.453772,time:86174
hit ratio:0.453968,time:87040
hit ratio:0.454132,time:87900
hit ratio:0.454341,time:88767
hit ratio:0.454606,time:89637
hit ratio:0.454867,time:90508
hit ratio:0.455157,time:91374
hit ratio:0.455477,time:92227
hit ratio:0.455772,time:93075
hit ratio:0.456114,time:93916
hit ratio:0.456372,time:94749
hit ratio:0.456658,time:95584
hit ratio:0.456913,time:96405
hit ratio:0.45719,time:97227
hit ratio:0.457521,time:98056
hit ratio:0.457888,time:98877
hit ratio:0.458231,time:99690
hit ratio:0.458521,time:100502
hit ratio:0.45884,time:101312
hit ratio:0.459177,time:102104
hit ratio:0.459491,time:102901
hit ratio:0.459769,time:103693
hit ratio:0.460008,time:104476
hit ratio:0.460274,time:105238
hit ratio:0.460541,time:105994
hit ratio:0.460794,time:106743
hit ratio:0.461076,time:107474
hit ratio:0.461379,time:108170
hit ratio:0.461662,time:108872
hit ratio:0.461924,time:109577
alloc failed. 110263,18446744072161380024,1047,74289992
hit ratio:0.462235,time:110283
hit ratio:0.462596,time:110970
hit ratio:0.462888,time:111643
hit ratio:0.463109,time:112307
hit ratio:0.463401,time:112970
hit ratio:0.46371,time:113627
hit ratio:0.464063,time:114270
hit ratio:0.464485,time:114894
hit ratio:0.464868,time:115510
hit ratio:0.465221,time:116124
hit ratio:0.465587,time:116724
hit ratio:0.465947,time:117305
hit ratio:0.466261,time:117897
hit ratio:0.466645,time:118476
hit ratio:0.467077,time:119042
hit ratio:0.467477,time:119593
hit ratio:0.46783,time:120143
hit ratio:0.468224,time:120686
hit ratio:0.468671,time:121213
hit ratio:0.469083,time:121753
hit ratio:0.469459,time:122295
hit ratio:0.469815,time:122833
hit ratio:0.470206,time:123358
hit ratio:0.470599,time:123891
hit ratio:0.470928,time:124445
hit ratio:0.47124,time:125010
alloc failed. 125051,864074957,635,9223372036854775807
hit ratio:0.471575,time:125566
hit ratio:0.471901,time:126120
hit ratio:0.472204,time:126691
hit ratio:0.472441,time:127291
hit ratio:0.472672,time:127896
hit ratio:0.472872,time:128525
hit ratio:0.473035,time:129168
hit ratio:0.473204,time:129821
