Cache Initialized. size: 8GB
hit ratio:0.22723,time:752
hit ratio:0.292875,time:1502
hit ratio:0.334857,time:2269
hit ratio:0.36719,time:3058
hit ratio:0.389428,time:3887
hit ratio:0.402278,time:4691
hit ratio:0.411024,time:5499
hit ratio:0.418425,time:6288
hit ratio:0.424156,time:7069
hit ratio:0.429841,time:7850
hit ratio:0.435401,time:8632
hit ratio:0.440198,time:9403
hit ratio:0.44482,time:10171
hit ratio:0.449447,time:10958
hit ratio:0.453247,time:11710
hit ratio:0.456203,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.458794,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.461403,time:13989
hit ratio:0.463872,time:14779
hit ratio:0.466199,time:15563
hit ratio:0.468293,time:16326
hit ratio:0.470101,time:17096
hit ratio:0.47248,time:17882
hit ratio:0.474595,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.476339,time:19404
hit ratio:0.478201,time:20166
hit ratio:0.480113,time:20916
hit ratio:0.482385,time:21684
hit ratio:0.484678,time:22433
hit ratio:0.486946,time:23194
hit ratio:0.489295,time:23950
hit ratio:0.491561,time:24700
hit ratio:0.49371,time:25449
hit ratio:0.49577,time:26192
hit ratio:0.497838,time:26922
hit ratio:0.499987,time:27632
hit ratio:0.502089,time:28328
hit ratio:0.50409,time:29007
hit ratio:0.506145,time:29670
hit ratio:0.507987,time:30328
hit ratio:0.509926,time:30962
hit ratio:0.512028,time:31590
hit ratio:0.513964,time:32207
hit ratio:0.515827,time:32829
hit ratio:0.517729,time:33441
hit ratio:0.519605,time:34046
hit ratio:0.521336,time:34657
hit ratio:0.523094,time:35265
hit ratio:0.524831,time:35879
hit ratio:0.526568,time:36490
hit ratio:0.528076,time:37103
hit ratio:0.529552,time:37709
hit ratio:0.530979,time:38320
hit ratio:0.532319,time:38931
hit ratio:0.533622,time:39552
hit ratio:0.534793,time:40180
hit ratio:0.535891,time:40816
hit ratio:0.536911,time:41477
hit ratio:0.537826,time:42155
hit ratio:0.538668,time:42853
hit ratio:0.539482,time:43587
hit ratio:0.540125,time:44347
hit ratio:0.54055,time:45128
hit ratio:0.541095,time:45948
hit ratio:0.541522,time:46824
hit ratio:0.541855,time:47725
hit ratio:0.54207,time:48696
hit ratio:0.54242,time:49747
hit ratio:0.542549,time:50827
hit ratio:0.542578,time:51970
hit ratio:0.542534,time:53199
hit ratio:0.542367,time:54518
hit ratio:0.54195,time:55860
hit ratio:0.541324,time:57231
hit ratio:0.540892,time:58841
hit ratio:0.540359,time:60573
hit ratio:0.540156,time:62284
hit ratio:0.539703,time:64128
hit ratio:0.539124,time:65924
hit ratio:0.538417,time:67552
hit ratio:0.537803,time:69081
hit ratio:0.537304,time:70500
hit ratio:0.537023,time:71838
hit ratio:0.536891,time:73063
hit ratio:0.536846,time:74185
hit ratio:0.536935,time:75243
hit ratio:0.537143,time:76275
hit ratio:0.537465,time:77261
hit ratio:0.537778,time:78215
hit ratio:0.538139,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.538508,time:80051
hit ratio:0.538874,time:80948
hit ratio:0.53924,time:81839
hit ratio:0.539625,time:82705
hit ratio:0.540138,time:83577
hit ratio:0.540545,time:84442
hit ratio:0.541001,time:85308
hit ratio:0.5415,time:86174
hit ratio:0.541986,time:87040
hit ratio:0.542433,time:87900
hit ratio:0.542967,time:88767
hit ratio:0.543489,time:89637
hit ratio:0.544013,time:90508
hit ratio:0.544569,time:91374
hit ratio:0.54513,time:92227
hit ratio:0.545629,time:93075
hit ratio:0.54615,time:93916
hit ratio:0.546617,time:94749
hit ratio:0.547109,time:95584
hit ratio:0.547586,time:96405
hit ratio:0.548096,time:97227
hit ratio:0.548626,time:98056
hit ratio:0.549189,time:98877
hit ratio:0.549703,time:99690
hit ratio:0.550202,time:100502
hit ratio:0.550692,time:101312
hit ratio:0.551182,time:102104
hit ratio:0.551642,time:102901
hit ratio:0.552039,time:103693
hit ratio:0.552422,time:104476
hit ratio:0.552839,time:105238
hit ratio:0.553234,time:105994
hit ratio:0.553638,time:106743
hit ratio:0.554098,time:107474
hit ratio:0.554519,time:108170
hit ratio:0.554937,time:108872
hit ratio:0.555315,time:109577
alloc failed. 110263,18446744072161380024,1047,74289992
hit ratio:0.555746,time:110283
hit ratio:0.556212,time:110970
hit ratio:0.55663,time:111643
hit ratio:0.556973,time:112307
hit ratio:0.557366,time:112970
hit ratio:0.557802,time:113627
hit ratio:0.558237,time:114270
hit ratio:0.558756,time:114894
hit ratio:0.559239,time:115510
hit ratio:0.559699,time:116124
hit ratio:0.560142,time:116724
hit ratio:0.560568,time:117305
hit ratio:0.560974,time:117897
hit ratio:0.561431,time:118476
hit ratio:0.561935,time:119042
hit ratio:0.562408,time:119593
hit ratio:0.562851,time:120143
hit ratio:0.563318,time:120686
hit ratio:0.563808,time:121213
hit ratio:0.56428,time:121753
hit ratio:0.564721,time:122295
hit ratio:0.565155,time:122833
hit ratio:0.565632,time:123358
hit ratio:0.566078,time:123891
hit ratio:0.566478,time:124445
hit ratio:0.566865,time:125010
alloc failed. 125051,864074957,635,9223372036854775807
hit ratio:0.567258,time:125566
hit ratio:0.567665,time:126120
hit ratio:0.568058,time:126691
hit ratio:0.568401,time:127291
hit ratio:0.568713,time:127896
hit ratio:0.569015,time:128525
hit ratio:0.569259,time:129168
hit ratio:0.569511,time:129821
