Marginal Hits init. Cache Initialized. size: 8GB
hit ratio:0.48727,time:7710
hit ratio:0.56519,time:15369
hit ratio:0.60718,time:22865
hit ratio:0.64111,time:29868
hit ratio:0.669538,time:35757
hit ratio:0.689915,time:41617
hit ratio:0.703096,time:49476
hit ratio:0.708136,time:63427
hit ratio:0.713418,time:76804
hit ratio:0.723848,time:85573
hit ratio:0.734234,time:93951
hit ratio:0.744057,time:101981
hit ratio:0.752722,time:109270
hit ratio:0.759501,time:115722
hit ratio:0.764339,time:121278
alloc failed. 125193,1468515267,956,9223372036854775807
hit ratio:0.768407,time:126523
hit ratio:0.771098,time:132814
hit ratio:0.771882,time:142947
alloc failed. 148012,1980819638,631,1832405
alloc failed. 148106,1980819638,631,1832490
alloc failed. 148121,1980819638,631,1832540
alloc failed. 148129,1980819638,631,1832612
alloc failed. 148143,1980819638,631,1835687
hit ratio:0.770445,time:158775
hit ratio:0.771317,time:168569
hit ratio:0.772725,time:176494
hit ratio:0.774596,time:184211
hit ratio:0.77673,time:191277
hit ratio:0.778939,time:197792
hit ratio:0.781123,time:203436
hit ratio:0.78357,time:208283
hit ratio:0.785859,time:213378
hit ratio:0.78757,time:219268
hit ratio:0.787941,time:228704
hit ratio:0.786579,time:243916
hit ratio:0.786712,time:253697
hit ratio:0.787218,time:261113
hit ratio:0.787602,time:268259
hit ratio:0.787923,time:275278
hit ratio:0.788387,time:282238
hit ratio:0.788533,time:288492
hit ratio:0.788959,time:294161
hit ratio:0.789533,time:299576
hit ratio:0.790099,time:305886
hit ratio:0.789735,time:315703
hit ratio:0.788017,time:330986
hit ratio:0.787234,time:340546
hit ratio:0.786806,time:348479
hit ratio:0.786384,time:355509
hit ratio:0.786228,time:362426
hit ratio:0.786256,time:369550
hit ratio:0.78641,time:376203
hit ratio:0.786785,time:382084
hit ratio:0.787084,time:387854
hit ratio:0.786749,time:395074
hit ratio:0.784483,time:407637
hit ratio:0.782191,time:422022
hit ratio:0.781247,time:430751
hit ratio:0.780509,time:438172
hit ratio:0.77994,time:445437
hit ratio:0.77933,time:452477
hit ratio:0.779048,time:459483
hit ratio:0.779055,time:465718
hit ratio:0.779289,time:471292
hit ratio:0.779495,time:477013
hit ratio:0.778873,time:485619
hit ratio:0.777326,time:501261
hit ratio:0.776789,time:512324
hit ratio:0.77667,time:520335
hit ratio:0.776607,time:527959
hit ratio:0.776637,time:535507
alloc failed. 538842,18446744071882913588,208,9223372036854775807
hit ratio:0.776649,time:542930
hit ratio:0.776846,time:549568
hit ratio:0.777239,time:555430
hit ratio:0.777699,time:561489
hit ratio:0.77779,time:569514
hit ratio:0.776932,time:584161
hit ratio:0.776484,time:597152
hit ratio:0.776695,time:606037
hit ratio:0.776878,time:614361
hit ratio:0.776863,time:622176
hit ratio:0.776085,time:628884
hit ratio:0.775773,time:635165
hit ratio:0.775519,time:640673
hit ratio:0.775393,time:646064
hit ratio:0.775054,time:651824
alloc failed. 652817,726974998,441,9223372036854775807
hit ratio:0.774387,time:659407
hit ratio:0.773049,time:670670
hit ratio:0.771937,time:681056
hit ratio:0.771357,time:689144
hit ratio:0.770787,time:696339
hit ratio:0.77035,time:703204
hit ratio:0.769991,time:710104
hit ratio:0.770477,time:717169
