Cache Initialized. size: 512MB
alloc failed. 2937,18446744072509434065,1962608,39946
alloc failed. 2944,18446744072509434065,1962608,40038
alloc failed. 2952,18446744072509434065,1962608,9223372036854775807
alloc failed. 5200,18446744073064433766,1252282,9223372036854775807
alloc failed. 7516,18446744073402992348,2700,1112172
hit ratio:0.37213,time:7710
alloc failed. 9185,18446744073529930311,3384,3598157
hit ratio:0.37426,time:15369
hit ratio:0.377,time:22865
hit ratio:0.388783,time:29868
hit ratio:0.401976,time:35757
hit ratio:0.410175,time:41617
alloc failed. 42424,547057252,1615,6711220
hit ratio:0.410903,time:49476
hit ratio:0.403681,time:63427
hit ratio:0.396762,time:76804
alloc failed. 85443,18446744072836262267,2114,9223372036854775807
alloc failed. 85449,1303631299,2127,9223372036854775807
alloc failed. 85463,18446744073097321877,2137,9223372036854775807
alloc failed. 85484,2031546215,1322,9223372036854775807
hit ratio:0.39628,time:85573
hit ratio:0.397373,time:93951
hit ratio:0.399612,time:101981
hit ratio:0.401379,time:109270
hit ratio:0.404026,time:115722
hit ratio:0.407426,time:121278
alloc failed. 124941,1113369980,1294,9223372036854775807
alloc failed. 124950,406950144,1146,9223372036854775807
alloc failed. 125193,1468515267,956,9223372036854775807
hit ratio:0.411021,time:126523
hit ratio:0.412336,time:132814
hit ratio:0.410637,time:142947
alloc failed. 148012,1980819638,631,1832405
hit ratio:0.405525,time:158775
hit ratio:0.404464,time:168569
hit ratio:0.404123,time:176494
hit ratio:0.40472,time:184211
hit ratio:0.405432,time:191277
hit ratio:0.40637,time:197792
hit ratio:0.407267,time:203436
hit ratio:0.409122,time:208283
hit ratio:0.410231,time:213378
hit ratio:0.410183,time:219268
hit ratio:0.408485,time:228704
hit ratio:0.40468,time:243916
hit ratio:0.402671,time:253697
hit ratio:0.401099,time:261113
hit ratio:0.399765,time:268259
hit ratio:0.398833,time:275278
hit ratio:0.398134,time:282238
hit ratio:0.397279,time:288492
hit ratio:0.397246,time:294161
hit ratio:0.397522,time:299576
hit ratio:0.397462,time:305886
hit ratio:0.396389,time:315703
hit ratio:0.393693,time:330986
hit ratio:0.39224,time:340546
hit ratio:0.391612,time:348479
hit ratio:0.390542,time:355509
hit ratio:0.389757,time:362426
hit ratio:0.389261,time:369550
hit ratio:0.389319,time:376203
hit ratio:0.389715,time:382084
hit ratio:0.390238,time:387854
hit ratio:0.389955,time:395074
hit ratio:0.388058,time:407637
hit ratio:0.386093,time:422022
hit ratio:0.385233,time:430751
hit ratio:0.384347,time:438172
hit ratio:0.383587,time:445437
hit ratio:0.382734,time:452477
hit ratio:0.382475,time:459483
hit ratio:0.382749,time:465718
hit ratio:0.383408,time:471292
hit ratio:0.384132,time:477013
hit ratio:0.383692,time:485619
hit ratio:0.382449,time:501261
hit ratio:0.38207,time:512324
hit ratio:0.38189,time:520335
hit ratio:0.381636,time:527959
hit ratio:0.381465,time:535507
alloc failed. 538842,18446744071882913588,208,9223372036854775807
hit ratio:0.381253,time:542930
hit ratio:0.381321,time:549568
hit ratio:0.381664,time:555430
hit ratio:0.382118,time:561489
hit ratio:0.382019,time:569514
hit ratio:0.381014,time:584161
hit ratio:0.380553,time:597152
hit ratio:0.380559,time:606037
hit ratio:0.380483,time:614361
hit ratio:0.380169,time:622176
hit ratio:0.379237,time:628884
hit ratio:0.378696,time:635165
hit ratio:0.378299,time:640673
hit ratio:0.378075,time:646064
hit ratio:0.377699,time:651824
alloc failed. 652817,726974998,441,9223372036854775807
hit ratio:0.37679,time:659407
hit ratio:0.374957,time:670670
hit ratio:0.373782,time:681056
hit ratio:0.373275,time:689144
hit ratio:0.372634,time:696339
hit ratio:0.372067,time:703204
hit ratio:0.37156,time:710104
hit ratio:0.372386,time:717169
hit ratio:0.37317,time:723736
hit ratio:0.374072,time:729646
hit ratio:0.374875,time:735708
hit ratio:0.37537,time:743383
hit ratio:0.375504,time:757331
hit ratio:0.375486,time:770848
hit ratio:0.375981,time:779728
hit ratio:0.376202,time:787673
hit ratio:0.376463,time:794952
hit ratio:0.37688,time:802101
hit ratio:0.377391,time:808284
hit ratio:0.377929,time:813914
hit ratio:0.378415,time:819538
hit ratio:0.378826,time:825968
hit ratio:0.378585,time:836845
hit ratio:0.37849,time:852467
hit ratio:0.379337,time:860626
hit ratio:0.380178,time:867161
hit ratio:0.380976,time:873039
hit ratio:0.381771,time:878614
hit ratio:0.382974,time:883162
hit ratio:0.384018,time:887843
hit ratio:0.38491,time:893003
alloc failed. 897027,845834783,10,11284584
hit ratio:0.385778,time:897802
hit ratio:0.386627,time:902649
hit ratio:0.387313,time:907668
hit ratio:0.387873,time:913768
hit ratio:0.388767,time:922427
hit ratio:0.390099,time:932806
hit ratio:0.391406,time:940810
hit ratio:0.391466,time:950584
hit ratio:0.39139,time:958851
hit ratio:0.391345,time:966918
hit ratio:0.391389,time:974795
hit ratio:0.391552,time:982016
hit ratio:0.391879,time:988438
hit ratio:0.39218,time:995031
hit ratio:0.392256,time:1005286
hit ratio:0.391997,time:1026888
hit ratio:0.392264,time:1037343
hit ratio:0.392529,time:1045469
hit ratio:0.392522,time:1053510
hit ratio:0.392519,time:1061591
hit ratio:0.39285,time:1068574
hit ratio:0.393402,time:1074710
