Marginal Hits init.Cache Initialized. size: 8GB
hit ratio:0.48727,time:7710
hit ratio:0.56519,time:15369
hit ratio:0.60718,time:22865
hit ratio:0.64111,time:29868
hit ratio:0.669538,time:35757
hit ratio:0.689915,time:41617
hit ratio:0.703096,time:49476
hit ratio:0.708136,time:63427
hit ratio:0.713418,time:76804
hit ratio:0.723848,time:85573
hit ratio:0.734234,time:93951
hit ratio:0.744057,time:101981
hit ratio:0.752722,time:109270
hit ratio:0.759747,time:115722
hit ratio:0.765257,time:121278
alloc failed. 125193,1468515267,956,9223372036854775807
hit ratio:0.770156,time:126523
hit ratio:0.773487,time:132814
hit ratio:0.774841,time:142947
alloc failed. 148012,1980819638,631,1832405
alloc failed. 148106,1980819638,631,1832490
alloc failed. 148121,1980819638,631,1832540
alloc failed. 148129,1980819638,631,1832612
alloc failed. 148143,1980819638,631,1835687
hit ratio:0.774129,time:158775
hit ratio:0.775385,time:168569
hit ratio:0.776991,time:176494
hit ratio:0.779108,time:184211
hit ratio:0.781374,time:191277
hit ratio:0.783687,time:197792
hit ratio:0.785987,time:203436
hit ratio:0.788494,time:208283
hit ratio:0.790817,time:213378
hit ratio:0.792565,time:219268
hit ratio:0.793084,time:228704
hit ratio:0.792037,time:243916
hit ratio:0.792309,time:253697
hit ratio:0.793074,time:261113
hit ratio:0.793905,time:268259
hit ratio:0.794817,time:275278
hit ratio:0.795886,time:282238
hit ratio:0.796788,time:288492
hit ratio:0.797911,time:294161
hit ratio:0.799118,time:299576
hit ratio:0.800344,time:305886
hit ratio:0.800575,time:315703
hit ratio:0.799442,time:330986
hit ratio:0.799419,time:340546
hit ratio:0.799516,time:348479
hit ratio:0.79947,time:355509
hit ratio:0.799627,time:362426
hit ratio:0.800068,time:369550
hit ratio:0.800716,time:376203
hit ratio:0.801572,time:382084
hit ratio:0.80245,time:387854
hit ratio:0.802714,time:395074
hit ratio:0.801224,time:407637
hit ratio:0.799789,time:422022
hit ratio:0.799689,time:430751
hit ratio:0.799643,time:438172
hit ratio:0.799655,time:445437
hit ratio:0.799595,time:452477
hit ratio:0.799891,time:459483
hit ratio:0.800482,time:465718
hit ratio:0.801201,time:471292
hit ratio:0.801894,time:477013
hit ratio:0.801799,time:485619
hit ratio:0.800836,time:501261
hit ratio:0.800863,time:512324
hit ratio:0.801282,time:520335
hit ratio:0.801715,time:527959
hit ratio:0.802133,time:535507
alloc failed. 538842,18446744071882913588,208,9223372036854775807
hit ratio:0.802556,time:542930
hit ratio:0.803144,time:549568
hit ratio:0.803939,time:555430
hit ratio:0.804717,time:561489
hit ratio:0.805163,time:569514
hit ratio:0.804738,time:584161
hit ratio:0.80478,time:597152
hit ratio:0.805412,time:606037
hit ratio:0.805969,time:614361
hit ratio:0.806209,time:622176
hit ratio:0.805723,time:628884
hit ratio:0.805758,time:635165
hit ratio:0.805888,time:640673
hit ratio:0.806146,time:646064
hit ratio:0.806155,time:651824
alloc failed. 652817,726974998,441,9223372036854775807
hit ratio:0.80586,time:659407
hit ratio:0.804807,time:670670
hit ratio:0.804068,time:681056
hit ratio:0.803886,time:689144
hit ratio:0.803715,time:696339
hit ratio:0.803657,time:703204
hit ratio:0.803601,time:710104
hit ratio:0.804449,time:717169
