Hits Per Slab Rebalancing init. Cache Initialized. size: 32GB
hit ratio:0.22723,time:752
hit ratio:0.292875,time:1502
hit ratio:0.334857,time:2269
hit ratio:0.36719,time:3058
hit ratio:0.393678,time:3887
hit ratio:0.416513,time:4691
hit ratio:0.43591,time:5499
hit ratio:0.45304,time:6288
hit ratio:0.467267,time:7069
hit ratio:0.480535,time:7850
hit ratio:0.492839,time:8632
hit ratio:0.503506,time:9403
hit ratio:0.513258,time:10171
hit ratio:0.522626,time:10958
hit ratio:0.530755,time:11710
hit ratio:0.53775,time:12459
hit ratio:0.544011,time:13218
hit ratio:0.550136,time:13989
hit ratio:0.555947,time:14779
hit ratio:0.561342,time:15563
hit ratio:0.566362,time:16326
hit ratio:0.570902,time:17096
hit ratio:0.575873,time:17882
hit ratio:0.580347,time:18651
hit ratio:0.584313,time:19404
hit ratio:0.588259,time:20166
hit ratio:0.592259,time:20916
hit ratio:0.596351,time:21684
hit ratio:0.600384,time:22433
hit ratio:0.604339,time:23194
hit ratio:0.608065,time:23950
hit ratio:0.61061,time:24700
hit ratio:0.61256,time:25449
hit ratio:0.614111,time:26192
hit ratio:0.615664,time:26922
hit ratio:0.61718,time:27632
hit ratio:0.61861,time:28328
hit ratio:0.619987,time:29007
hit ratio:0.621362,time:29670
hit ratio:0.622609,time:30328
hit ratio:0.623973,time:30962
hit ratio:0.625413,time:31590
hit ratio:0.626757,time:32207
hit ratio:0.62806,time:32829
hit ratio:0.629374,time:33441
hit ratio:0.63076,time:34046
hit ratio:0.631984,time:34657
hit ratio:0.633286,time:35265
hit ratio:0.63457,time:35879
hit ratio:0.635875,time:36490
hit ratio:0.637039,time:37103
hit ratio:0.638192,time:37709
hit ratio:0.639321,time:38320
hit ratio:0.640494,time:38931
hit ratio:0.641612,time:39552
hit ratio:0.64261,time:40180
hit ratio:0.643582,time:40816
hit ratio:0.644509,time:41477
hit ratio:0.645327,time:42155
hit ratio:0.646112,time:42853
hit ratio:0.646902,time:43587
hit ratio:0.647585,time:44347
hit ratio:0.648023,time:45128
hit ratio:0.648583,time:45948
hit ratio:0.649039,time:46824
hit ratio:0.649416,time:47725
hit ratio:0.649717,time:48696
hit ratio:0.650146,time:49747
hit ratio:0.650382,time:50827
hit ratio:0.650492,time:51970
hit ratio:0.650558,time:53199
hit ratio:0.650425,time:54518
hit ratio:0.650063,time:55860
hit ratio:0.649485,time:57231
hit ratio:0.649013,time:58841
hit ratio:0.648368,time:60573
hit ratio:0.647993,time:62284
hit ratio:0.647447,time:64128
hit ratio:0.646763,time:65924
hit ratio:0.645933,time:67552
hit ratio:0.645189,time:69081
hit ratio:0.644544,time:70500
hit ratio:0.644044,time:71838
hit ratio:0.643682,time:73063
hit ratio:0.643405,time:74185
hit ratio:0.643246,time:75243
hit ratio:0.643199,time:76275
hit ratio:0.643248,time:77261
hit ratio:0.64336,time:78215
hit ratio:0.643508,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.643648,time:80051
hit ratio:0.643808,time:80948
hit ratio:0.643963,time:81839
hit ratio:0.64413,time:82705
hit ratio:0.644446,time:83577
hit ratio:0.644734,time:84442
hit ratio:0.645057,time:85308
hit ratio:0.645408,time:86174
hit ratio:0.645776,time:87040
hit ratio:0.646121,time:87900
hit ratio:0.646565,time:88767
hit ratio:0.647005,time:89637
hit ratio:0.647456,time:90508
hit ratio:0.647959,time:91374
hit ratio:0.648475,time:92227
hit ratio:0.64894,time:93075
hit ratio:0.649476,time:93916
hit ratio:0.649949,time:94749
hit ratio:0.650452,time:95584
hit ratio:0.650931,time:96405
hit ratio:0.651452,time:97227
hit ratio:0.652014,time:98056
hit ratio:0.652595,time:98877
hit ratio:0.65314,time:99690
hit ratio:0.653679,time:100502
hit ratio:0.654217,time:101312
hit ratio:0.654779,time:102104
hit ratio:0.655322,time:102901
hit ratio:0.655839,time:103693
hit ratio:0.656339,time:104476
hit ratio:0.656864,time:105238
hit ratio:0.657365,time:105994
hit ratio:0.657833,time:106743
hit ratio:0.658342,time:107474
hit ratio:0.658835,time:108170
hit ratio:0.659299,time:108872
hit ratio:0.659721,time:109577
alloc failed. 110263,18446744072161380024,1047,74289992
hit ratio:0.660187,time:110283
hit ratio:0.660689,time:110970
hit ratio:0.661106,time:111643
hit ratio:0.66147,time:112307
hit ratio:0.661894,time:112970
hit ratio:0.662311,time:113627
hit ratio:0.662737,time:114270
hit ratio:0.66323,time:114894
hit ratio:0.663701,time:115510
hit ratio:0.664162,time:116124
hit ratio:0.664607,time:116724
hit ratio:0.665043,time:117305
hit ratio:0.66546,time:117897
hit ratio:0.665915,time:118476
hit ratio:0.666411,time:119042
hit ratio:0.666928,time:119593
hit ratio:0.667404,time:120143
hit ratio:0.667896,time:120686
hit ratio:0.668402,time:121213
hit ratio:0.66891,time:121753
hit ratio:0.669401,time:122295
hit ratio:0.66987,time:122833
hit ratio:0.670364,time:123358
hit ratio:0.670837,time:123891
hit ratio:0.671275,time:124445
hit ratio:0.671669,time:125010
alloc failed. 125051,864074957,635,9223372036854775807
hit ratio:0.672072,time:125566
hit ratio:0.672473,time:126120
hit ratio:0.672882,time:126691
hit ratio:0.673246,time:127291
hit ratio:0.673597,time:127896
hit ratio:0.673935,time:128525
hit ratio:0.674216,time:129168
hit ratio:0.674504,time:129821
hit ratio:0.674762,time:130476
hit ratio:0.674953,time:131153
hit ratio:0.675145,time:131866
