Cache Initialized. size: 512MB
time,id,size
alloc failed. 318,18446744073342685186,861837,7968941
alloc failed. 578,18446744073478564988,1670717,31898023
alloc failed. 595,1324475889,1365361,224169
hit ratio:0.13588,time:752
alloc failed. 812,302475319,1774,1033473
alloc failed. 931,1897812618,2014,427677
alloc failed. 1048,517129054,2626,69072033
alloc failed. 1179,18446744071803150329,3165,23482565
hit ratio:0.13679,time:1502
hit ratio:0.13489,time:2269
alloc failed. 2937,18446744072509434065,1962608,385691
hit ratio:0.13442,time:3058
hit ratio:0.134376,time:3887
hit ratio:0.135183,time:4691
hit ratio:0.13576,time:5499
hit ratio:0.136083,time:6288
hit ratio:0.135916,time:7069
hit ratio:0.135857,time:7850
hit ratio:0.135981,time:8632
hit ratio:0.135797,time:9403
hit ratio:0.135838,time:10171
hit ratio:0.136001,time:10958
hit ratio:0.135811,time:11710
hit ratio:0.135324,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.134869,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.134535,time:13989
hit ratio:0.134334,time:14779
hit ratio:0.134224,time:15563
hit ratio:0.134167,time:16326
hit ratio:0.134015,time:17096
hit ratio:0.134341,time:17882
hit ratio:0.134398,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.134367,time:19404
hit ratio:0.134529,time:20166
hit ratio:0.134883,time:20916
hit ratio:0.135453,time:21684
hit ratio:0.136217,time:22433
hit ratio:0.136939,time:23194
hit ratio:0.137677,time:23950
hit ratio:0.13832,time:24700
hit ratio:0.13917,time:25449
hit ratio:0.139816,time:26192
hit ratio:0.140531,time:26922
hit ratio:0.141227,time:27632
hit ratio:0.141918,time:28328
hit ratio:0.142511,time:29007
hit ratio:0.143222,time:29670
hit ratio:0.14383,time:30328
hit ratio:0.144483,time:30962
hit ratio:0.145331,time:31590
hit ratio:0.146028,time:32207
hit ratio:0.146636,time:32829
hit ratio:0.147314,time:33441
hit ratio:0.148007,time:34046
hit ratio:0.148526,time:34657
hit ratio:0.149057,time:35265
hit ratio:0.149668,time:35879
hit ratio:0.150328,time:36490
hit ratio:0.150813,time:37103
hit ratio:0.151271,time:37709
hit ratio:0.151682,time:38320
hit ratio:0.151984,time:38931
hit ratio:0.15227,time:39552
hit ratio:0.152473,time:40180
hit ratio:0.152614,time:40816
hit ratio:0.152759,time:41477
hit ratio:0.152934,time:42155
hit ratio:0.153014,time:42853
hit ratio:0.153103,time:43587
hit ratio:0.15312,time:44347
hit ratio:0.153005,time:45128
hit ratio:0.152987,time:45948
hit ratio:0.15296,time:46824
hit ratio:0.152967,time:47725
hit ratio:0.152891,time:48696
hit ratio:0.152942,time:49747
hit ratio:0.152921,time:50827
hit ratio:0.152845,time:51970
hit ratio:0.152753,time:53199
hit ratio:0.152737,time:54518
hit ratio:0.152612,time:55860
hit ratio:0.152348,time:57231
hit ratio:0.152354,time:58841
hit ratio:0.152383,time:60573
hit ratio:0.15277,time:62284
hit ratio:0.152797,time:64128
hit ratio:0.15257,time:65924
hit ratio:0.152245,time:67552
hit ratio:0.151946,time:69081
hit ratio:0.151705,time:70500
hit ratio:0.151536,time:71838
hit ratio:0.151452,time:73063
hit ratio:0.15137,time:74185
hit ratio:0.151326,time:75243
hit ratio:0.151291,time:76275
hit ratio:0.151337,time:77261
hit ratio:0.151366,time:78215
hit ratio:0.15142,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.151456,time:80051
hit ratio:0.151502,time:80948
hit ratio:0.151491,time:81839
hit ratio:0.151496,time:82705
hit ratio:0.151557,time:83577
hit ratio:0.151544,time:84442
hit ratio:0.151509,time:85308
hit ratio:0.151536,time:86174
hit ratio:0.151557,time:87040
hit ratio:0.151529,time:87900
hit ratio:0.151527,time:88767
hit ratio:0.151538,time:89637
hit ratio:0.151534,time:90508
hit ratio:0.151558,time:91374
hit ratio:0.151577,time:92227
hit ratio:0.151596,time:93075
hit ratio:0.151615,time:93916
hit ratio:0.151595,time:94749
hit ratio:0.1516,time:95584
hit ratio:0.151555,time:96405
hit ratio:0.15151,time:97227
hit ratio:0.151505,time:98056
hit ratio:0.151511,time:98877
hit ratio:0.1515,time:99690
hit ratio:0.151489,time:100502
hit ratio:0.151526,time:101312
hit ratio:0.151622,time:102104
hit ratio:0.151649,time:102901
hit ratio:0.15164,time:103693
hit ratio:0.151633,time:104476
hit ratio:0.151646,time:105238
hit ratio:0.151655,time:105994
hit ratio:0.151693,time:106743
hit ratio:0.151734,time:107474
hit ratio:0.151835,time:108170
hit ratio:0.151929,time:108872
