Marginal Hits init. Cache Initialized. size: 512MB
alloc failed. 318,18446744073342685186,861837,7968941
alloc failed. 578,18446744073478564988,1670717,31898023
alloc failed. 595,1324475889,1365361,224169
hit ratio:0.13591,time:752
alloc failed. 812,302475319,1774,1033473
alloc failed. 931,1897812618,2014,427677
alloc failed. 1048,517129054,2626,69072033
alloc failed. 1179,18446744071803150329,3165,23482565
hit ratio:0.13678,time:1502
hit ratio:0.134883,time:2269
alloc failed. 2937,18446744072509434065,1962608,385691
hit ratio:0.13443,time:3058
hit ratio:0.134384,time:3887
hit ratio:0.13519,time:4691
hit ratio:0.135766,time:5499
hit ratio:0.136089,time:6288
hit ratio:0.135921,time:7069
hit ratio:0.135861,time:7850
hit ratio:0.135985,time:8632
hit ratio:0.135801,time:9403
hit ratio:0.135842,time:10171
hit ratio:0.136004,time:10958
hit ratio:0.135814,time:11710
hit ratio:0.135327,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.134872,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.134538,time:13989
hit ratio:0.134337,time:14779
hit ratio:0.134227,time:15563
hit ratio:0.13417,time:16326
hit ratio:0.134017,time:17096
hit ratio:0.134344,time:17882
hit ratio:0.1344,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.134369,time:19404
hit ratio:0.134531,time:20166
hit ratio:0.134884,time:20916
hit ratio:0.135455,time:21684
hit ratio:0.136219,time:22433
hit ratio:0.136941,time:23194
hit ratio:0.137679,time:23950
hit ratio:0.138321,time:24700
hit ratio:0.139172,time:25449
hit ratio:0.139817,time:26192
hit ratio:0.140532,time:26922
hit ratio:0.141228,time:27632
hit ratio:0.141919,time:28328
hit ratio:0.142512,time:29007
hit ratio:0.143223,time:29670
hit ratio:0.143831,time:30328
hit ratio:0.144484,time:30962
hit ratio:0.145332,time:31590
hit ratio:0.146029,time:32207
hit ratio:0.146637,time:32829
hit ratio:0.147315,time:33441
hit ratio:0.148008,time:34046
hit ratio:0.148527,time:34657
hit ratio:0.149058,time:35265
hit ratio:0.149669,time:35879
hit ratio:0.150329,time:36490
hit ratio:0.150814,time:37103
hit ratio:0.151273,time:37709
hit ratio:0.151684,time:38320
hit ratio:0.151985,time:38931
hit ratio:0.152271,time:39552
hit ratio:0.152474,time:40180
hit ratio:0.152616,time:40816
hit ratio:0.15276,time:41477
hit ratio:0.152935,time:42155
hit ratio:0.153015,time:42853
hit ratio:0.153104,time:43587
hit ratio:0.153121,time:44347
hit ratio:0.153006,time:45128
hit ratio:0.152988,time:45948
hit ratio:0.152961,time:46824
hit ratio:0.152968,time:47725
hit ratio:0.152892,time:48696
hit ratio:0.152943,time:49747
hit ratio:0.152922,time:50827
hit ratio:0.152846,time:51970
hit ratio:0.152754,time:53199
hit ratio:0.152738,time:54518
hit ratio:0.152613,time:55860
hit ratio:0.152349,time:57231
hit ratio:0.152355,time:58841
hit ratio:0.152384,time:60573
hit ratio:0.152771,time:62284
hit ratio:0.152798,time:64128
hit ratio:0.152571,time:65924
hit ratio:0.152246,time:67552
hit ratio:0.151947,time:69081
hit ratio:0.151706,time:70500
hit ratio:0.151537,time:71838
hit ratio:0.151453,time:73063
hit ratio:0.151371,time:74185
hit ratio:0.151327,time:75243
hit ratio:0.151292,time:76275
hit ratio:0.151338,time:77261
hit ratio:0.151367,time:78215
hit ratio:0.151421,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.151457,time:80051
hit ratio:0.151503,time:80948
hit ratio:0.151492,time:81839
hit ratio:0.151497,time:82705
hit ratio:0.151558,time:83577
hit ratio:0.151544,time:84442
hit ratio:0.15151,time:85308
hit ratio:0.151537,time:86174
hit ratio:0.151558,time:87040
hit ratio:0.15153,time:87900
hit ratio:0.151528,time:88767
hit ratio:0.151539,time:89637
hit ratio:0.151535,time:90508
hit ratio:0.151559,time:91374
hit ratio:0.151578,time:92227
hit ratio:0.151597,time:93075
hit ratio:0.151616,time:93916
hit ratio:0.151596,time:94749
hit ratio:0.151601,time:95584
hit ratio:0.151556,time:96405
hit ratio:0.151511,time:97227
hit ratio:0.151506,time:98056
hit ratio:0.151512,time:98877
hit ratio:0.151501,time:99690
hit ratio:0.15149,time:100502
hit ratio:0.151527,time:101312
hit ratio:0.151623,time:102104
hit ratio:0.15165,time:102901
hit ratio:0.151641,time:103693
hit ratio:0.151634,time:104476
hit ratio:0.151647,time:105238
hit ratio:0.151656,time:105994
hit ratio:0.151694,time:106743
hit ratio:0.151735,time:107474
hit ratio:0.151836,time:108170
hit ratio:0.15193,time:108872
