FreeMem Rebalancing init. Cache Initialized. size: 16GB
hit ratio:0.22723,time:752
hit ratio:0.292875,time:1502
hit ratio:0.334857,time:2269
hit ratio:0.36719,time:3058
hit ratio:0.393678,time:3887
hit ratio:0.416513,time:4691
hit ratio:0.43591,time:5499
hit ratio:0.45304,time:6288
hit ratio:0.467267,time:7069
hit ratio:0.480535,time:7850
hit ratio:0.492839,time:8632
hit ratio:0.502815,time:9403
hit ratio:0.509642,time:10171
hit ratio:0.515226,time:10958
hit ratio:0.519081,time:11710
hit ratio:0.521921,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.524054,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.525984,time:13989
hit ratio:0.527865,time:14779
hit ratio:0.529574,time:15563
hit ratio:0.531071,time:16326
hit ratio:0.532381,time:17096
hit ratio:0.53432,time:17882
hit ratio:0.536011,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.537361,time:19404
hit ratio:0.538879,time:20166
hit ratio:0.540601,time:20916
hit ratio:0.542643,time:21684
hit ratio:0.544778,time:22433
hit ratio:0.546932,time:23194
hit ratio:0.549269,time:23950
hit ratio:0.551509,time:24700
hit ratio:0.553587,time:25449
hit ratio:0.555669,time:26192
hit ratio:0.557821,time:26922
hit ratio:0.559959,time:27632
hit ratio:0.562031,time:28328
hit ratio:0.564079,time:29007
hit ratio:0.566084,time:29670
hit ratio:0.567942,time:30328
hit ratio:0.569915,time:30962
hit ratio:0.571999,time:31590
hit ratio:0.573954,time:32207
hit ratio:0.575859,time:32829
hit ratio:0.577732,time:33441
hit ratio:0.579627,time:34046
hit ratio:0.581371,time:34657
hit ratio:0.583155,time:35265
hit ratio:0.584912,time:35879
hit ratio:0.586659,time:36490
hit ratio:0.588198,time:37103
hit ratio:0.589683,time:37709
hit ratio:0.591185,time:38320
hit ratio:0.592592,time:38931
hit ratio:0.593957,time:39552
hit ratio:0.595173,time:40180
hit ratio:0.596326,time:40816
hit ratio:0.597409,time:41477
hit ratio:0.598411,time:42155
hit ratio:0.599335,time:42853
hit ratio:0.600251,time:43587
hit ratio:0.601048,time:44347
hit ratio:0.601618,time:45128
hit ratio:0.602332,time:45948
hit ratio:0.602869,time:46824
hit ratio:0.6033,time:47725
hit ratio:0.603652,time:48696
hit ratio:0.604143,time:49747
hit ratio:0.604426,time:50827
hit ratio:0.604621,time:51970
hit ratio:0.604785,time:53199
hit ratio:0.604796,time:54518
hit ratio:0.604593,time:55860
hit ratio:0.604159,time:57231
hit ratio:0.603878,time:58841
hit ratio:0.603467,time:60573
hit ratio:0.603354,time:62284
hit ratio:0.60304,time:64128
hit ratio:0.602618,time:65924
hit ratio:0.602055,time:67552
hit ratio:0.601606,time:69081
hit ratio:0.601273,time:70500
hit ratio:0.601158,time:71838
hit ratio:0.601193,time:73063
hit ratio:0.601347,time:74185
hit ratio:0.601596,time:75243
hit ratio:0.601987,time:76275
hit ratio:0.602506,time:77261
hit ratio:0.603052,time:78215
hit ratio:0.603601,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.604139,time:80051
hit ratio:0.604694,time:80948
hit ratio:0.605238,time:81839
hit ratio:0.605784,time:82705
hit ratio:0.606471,time:83577
hit ratio:0.607071,time:84442
hit ratio:0.60772,time:85308
hit ratio:0.608382,time:86174
hit ratio:0.609037,time:87040
hit ratio:0.609656,time:87900
hit ratio:0.610349,time:88767
hit ratio:0.611048,time:89637
hit ratio:0.611757,time:90508
hit ratio:0.6125,time:91374
hit ratio:0.613242,time:92227
hit ratio:0.613938,time:93075
hit ratio:0.614662,time:93916
hit ratio:0.615339,time:94749
hit ratio:0.616035,time:95584
hit ratio:0.616722,time:96405
hit ratio:0.617432,time:97227
hit ratio:0.618195,time:98056
hit ratio:0.618982,time:98877
hit ratio:0.619701,time:99690
hit ratio:0.620438,time:100502
hit ratio:0.621149,time:101312
hit ratio:0.621836,time:102104
hit ratio:0.622502,time:102901
hit ratio:0.623116,time:103693
hit ratio:0.623713,time:104476
hit ratio:0.624337,time:105238
hit ratio:0.624945,time:105994
hit ratio:0.625532,time:106743
hit ratio:0.626185,time:107474
hit ratio:0.626791,time:108170
hit ratio:0.627387,time:108872
hit ratio:0.627951,time:109577
alloc failed. 110263,18446744072161380024,1047,74289992
hit ratio:0.628578,time:110283
hit ratio:0.629226,time:110970
hit ratio:0.629837,time:111643
hit ratio:0.630387,time:112307
hit ratio:0.63097,time:112970
hit ratio:0.631574,time:113627
hit ratio:0.632191,time:114270
hit ratio:0.632864,time:114894
hit ratio:0.633508,time:115510
hit ratio:0.634127,time:116124
hit ratio:0.634732,time:116724
hit ratio:0.635317,time:117305
hit ratio:0.63588,time:117897
hit ratio:0.63649,time:118476
hit ratio:0.637132,time:119042
hit ratio:0.637782,time:119593
hit ratio:0.638393,time:120143
hit ratio:0.639018,time:120686
hit ratio:0.639666,time:121213
hit ratio:0.640301,time:121753
hit ratio:0.640904,time:122295
hit ratio:0.641485,time:122833
hit ratio:0.642104,time:123358
hit ratio:0.64269,time:123891
hit ratio:0.643228,time:124445
hit ratio:0.64374,time:125010
alloc failed. 125051,864074957,635,9223372036854775807
hit ratio:0.644261,time:125566
hit ratio:0.644777,time:126120
hit ratio:0.64529,time:126691
hit ratio:0.64577,time:127291
hit ratio:0.646218,time:127896
hit ratio:0.646656,time:128525
hit ratio:0.647033,time:129168
