Hits Per Slab Rebalancing init. Cache Initialized. size: 16GB
hit ratio:0.22723,time:752
hit ratio:0.292875,time:1502
hit ratio:0.334857,time:2269
hit ratio:0.36719,time:3058
hit ratio:0.393678,time:3887
hit ratio:0.416513,time:4691
hit ratio:0.43591,time:5499
hit ratio:0.45304,time:6288
hit ratio:0.467267,time:7069
hit ratio:0.480535,time:7850
hit ratio:0.492839,time:8632
hit ratio:0.502815,time:9403
hit ratio:0.509642,time:10171
hit ratio:0.515226,time:10958
hit ratio:0.519081,time:11710
hit ratio:0.521921,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.524058,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.525989,time:13989
hit ratio:0.527869,time:14779
hit ratio:0.529583,time:15563
hit ratio:0.531079,time:16326
hit ratio:0.532386,time:17096
hit ratio:0.534322,time:17882
hit ratio:0.536013,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.537365,time:19404
hit ratio:0.538882,time:20166
hit ratio:0.540603,time:20916
hit ratio:0.542646,time:21684
hit ratio:0.544784,time:22433
hit ratio:0.546934,time:23194
hit ratio:0.549259,time:23950
hit ratio:0.551493,time:24700
hit ratio:0.553572,time:25449
hit ratio:0.555656,time:26192
hit ratio:0.557808,time:26922
hit ratio:0.559938,time:27632
hit ratio:0.562012,time:28328
hit ratio:0.564057,time:29007
hit ratio:0.566063,time:29670
hit ratio:0.567927,time:30328
hit ratio:0.569905,time:30962
hit ratio:0.571983,time:31590
hit ratio:0.573934,time:32207
hit ratio:0.575842,time:32829
hit ratio:0.57772,time:33441
hit ratio:0.57961,time:34046
hit ratio:0.581364,time:34657
hit ratio:0.583148,time:35265
hit ratio:0.584906,time:35879
hit ratio:0.586662,time:36490
hit ratio:0.588218,time:37103
hit ratio:0.58973,time:37709
hit ratio:0.591253,time:38320
hit ratio:0.592699,time:38931
hit ratio:0.594105,time:39552
hit ratio:0.595359,time:40180
hit ratio:0.596552,time:40816
hit ratio:0.59769,time:41477
hit ratio:0.59872,time:42155
hit ratio:0.599674,time:42853
hit ratio:0.600653,time:43587
hit ratio:0.601483,time:44347
hit ratio:0.602107,time:45128
hit ratio:0.602831,time:45948
hit ratio:0.603375,time:46824
hit ratio:0.603851,time:47725
hit ratio:0.604222,time:48696
hit ratio:0.604749,time:49747
hit ratio:0.605055,time:50827
hit ratio:0.605273,time:51970
hit ratio:0.605442,time:53199
hit ratio:0.605483,time:54518
hit ratio:0.6053,time:55860
hit ratio:0.604872,time:57231
hit ratio:0.604598,time:58841
hit ratio:0.604187,time:60573
hit ratio:0.604076,time:62284
hit ratio:0.603774,time:64128
hit ratio:0.603383,time:65924
hit ratio:0.602835,time:67552
hit ratio:0.60239,time:69081
hit ratio:0.602065,time:70500
hit ratio:0.601951,time:71838
hit ratio:0.601999,time:73063
hit ratio:0.602148,time:74185
hit ratio:0.602407,time:75243
hit ratio:0.602799,time:76275
hit ratio:0.603308,time:77261
hit ratio:0.603822,time:78215
hit ratio:0.604386,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.604944,time:80051
hit ratio:0.605496,time:80948
hit ratio:0.606057,time:81839
hit ratio:0.606621,time:82705
hit ratio:0.607313,time:83577
hit ratio:0.607931,time:84442
hit ratio:0.608593,time:85308
hit ratio:0.609291,time:86174
hit ratio:0.609967,time:87040
hit ratio:0.610599,time:87900
hit ratio:0.611301,time:88767
hit ratio:0.612005,time:89637
hit ratio:0.612715,time:90508
hit ratio:0.613472,time:91374
hit ratio:0.614223,time:92227
hit ratio:0.614926,time:93075
hit ratio:0.615661,time:93916
hit ratio:0.616352,time:94749
hit ratio:0.61705,time:95584
hit ratio:0.617748,time:96405
hit ratio:0.618468,time:97227
hit ratio:0.619223,time:98056
hit ratio:0.620018,time:98877
hit ratio:0.620743,time:99690
hit ratio:0.621479,time:100502
hit ratio:0.62219,time:101312
hit ratio:0.622885,time:102104
hit ratio:0.623551,time:102901
hit ratio:0.624161,time:103693
hit ratio:0.624764,time:104476
hit ratio:0.625399,time:105238
hit ratio:0.626003,time:105994
hit ratio:0.626603,time:106743
hit ratio:0.627265,time:107474
hit ratio:0.627875,time:108170
hit ratio:0.628479,time:108872
hit ratio:0.62905,time:109577
alloc failed. 110263,18446744072161380024,1047,74289992
hit ratio:0.629679,time:110283
hit ratio:0.630334,time:110970
hit ratio:0.630958,time:111643
hit ratio:0.631516,time:112307
hit ratio:0.632097,time:112970
hit ratio:0.632705,time:113627
hit ratio:0.633315,time:114270
hit ratio:0.633986,time:114894
hit ratio:0.634632,time:115510
hit ratio:0.635256,time:116124
hit ratio:0.635855,time:116724
hit ratio:0.636451,time:117305
hit ratio:0.637019,time:117897
hit ratio:0.637627,time:118476
hit ratio:0.638279,time:119042
hit ratio:0.638943,time:119593
hit ratio:0.639557,time:120143
hit ratio:0.640191,time:120686
hit ratio:0.640838,time:121213
hit ratio:0.64148,time:121753
hit ratio:0.642087,time:122295
hit ratio:0.642676,time:122833
hit ratio:0.643295,time:123358
hit ratio:0.643886,time:123891
hit ratio:0.64444,time:124445
hit ratio:0.644957,time:125010
alloc failed. 125051,864074957,635,9223372036854775807
hit ratio:0.645478,time:125566
hit ratio:0.645997,time:126120
hit ratio:0.64651,time:126691
hit ratio:0.646989,time:127291
hit ratio:0.647442,time:127896
hit ratio:0.64788,time:128525
hit ratio:0.648255,time:129168
