FreeMem Rebalancing init. Cache Initialized. size: 256MB
alloc failed. 49,18446744072053118689,1019737,3597941
alloc failed. 75,479917855,616427,127042
alloc failed. 93,18446744071934168961,1088120,71851
alloc failed. 318,18446744073342685186,861837,7968941
alloc failed. 578,18446744073478564988,1670717,31898023
alloc failed. 595,1324475889,1365361,224169
hit ratio:0.1207,time:752
alloc failed. 812,302475319,1774,1033473
alloc failed. 931,1897812618,2014,427677
alloc failed. 1048,517129054,2626,69072033
alloc failed. 1179,18446744071803150329,3165,23482565
hit ratio:0.12644,time:1502
hit ratio:0.125323,time:2269
alloc failed. 2937,18446744072509434065,1962608,385691
hit ratio:0.125113,time:3058
hit ratio:0.125236,time:3887
hit ratio:0.126248,time:4691
hit ratio:0.126954,time:5499
hit ratio:0.127418,time:6288
hit ratio:0.127453,time:7069
hit ratio:0.127363,time:7850
hit ratio:0.127585,time:8632
hit ratio:0.127521,time:9403
hit ratio:0.127508,time:10171
hit ratio:0.127737,time:10958
hit ratio:0.127824,time:11710
hit ratio:0.12753,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.127166,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.127044,time:13989
hit ratio:0.126954,time:14779
hit ratio:0.127058,time:15563
hit ratio:0.127189,time:16326
hit ratio:0.127212,time:17096
hit ratio:0.127625,time:17882
hit ratio:0.127707,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.127881,time:19404
hit ratio:0.128177,time:20166
hit ratio:0.128552,time:20916
hit ratio:0.129132,time:21684
hit ratio:0.129955,time:22433
hit ratio:0.130675,time:23194
hit ratio:0.131445,time:23950
hit ratio:0.132177,time:24700
hit ratio:0.13309,time:25449
hit ratio:0.133839,time:26192
hit ratio:0.134659,time:26922
hit ratio:0.135445,time:27632
hit ratio:0.136254,time:28328
hit ratio:0.136982,time:29007
hit ratio:0.137777,time:29670
hit ratio:0.138512,time:30328
hit ratio:0.13929,time:30962
hit ratio:0.140218,time:31590
hit ratio:0.14107,time:32207
hit ratio:0.141812,time:32829
hit ratio:0.1426,time:33441
hit ratio:0.143414,time:34046
hit ratio:0.144098,time:34657
hit ratio:0.144733,time:35265
hit ratio:0.145482,time:35879
hit ratio:0.146256,time:36490
hit ratio:0.146879,time:37103
hit ratio:0.147474,time:37709
hit ratio:0.148009,time:38320
hit ratio:0.148405,time:38931
hit ratio:0.148775,time:39552
hit ratio:0.149027,time:40180
hit ratio:0.149227,time:40816
hit ratio:0.149441,time:41477
hit ratio:0.149663,time:42155
hit ratio:0.149835,time:42853
hit ratio:0.150014,time:43587
hit ratio:0.150088,time:44347
hit ratio:0.15001,time:45128
hit ratio:0.149991,time:45948
hit ratio:0.149986,time:46824
hit ratio:0.150012,time:47725
hit ratio:0.149948,time:48696
hit ratio:0.149985,time:49747
hit ratio:0.149956,time:50827
hit ratio:0.149863,time:51970
hit ratio:0.149744,time:53199
hit ratio:0.149716,time:54518
hit ratio:0.149562,time:55860
hit ratio:0.149291,time:57231
hit ratio:0.149262,time:58841
hit ratio:0.149273,time:60573
hit ratio:0.149665,time:62284
hit ratio:0.149681,time:64128
hit ratio:0.149431,time:65924
hit ratio:0.149074,time:67552
hit ratio:0.148753,time:69081
hit ratio:0.148457,time:70500
hit ratio:0.148257,time:71838
hit ratio:0.148139,time:73063
hit ratio:0.148055,time:74185
hit ratio:0.148006,time:75243
hit ratio:0.14796,time:76275
hit ratio:0.147964,time:77261
hit ratio:0.147941,time:78215
hit ratio:0.147969,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.147974,time:80051
hit ratio:0.147969,time:80948
hit ratio:0.14793,time:81839
hit ratio:0.147904,time:82705
hit ratio:0.147938,time:83577
hit ratio:0.147881,time:84442
hit ratio:0.147825,time:85308
hit ratio:0.147819,time:86174
hit ratio:0.147818,time:87040
hit ratio:0.14777,time:87900
hit ratio:0.147741,time:88767
hit ratio:0.147724,time:89637
hit ratio:0.147695,time:90508
hit ratio:0.147683,time:91374
hit ratio:0.147679,time:92227
hit ratio:0.14767,time:93075
hit ratio:0.147664,time:93916
hit ratio:0.147623,time:94749
hit ratio:0.147621,time:95584
hit ratio:0.147575,time:96405
hit ratio:0.147532,time:97227
hit ratio:0.147527,time:98056
hit ratio:0.147508,time:98877
hit ratio:0.147495,time:99690
hit ratio:0.147468,time:100502
hit ratio:0.14751,time:101312
hit ratio:0.147608,time:102104
hit ratio:0.147632,time:102901
hit ratio:0.147627,time:103693
hit ratio:0.147624,time:104476
hit ratio:0.147639,time:105238
