Marginal Hits init.Cache Initialized. size: 32GB
hit ratio:0.22723,time:752
hit ratio:0.292875,time:1502
hit ratio:0.334857,time:2269
hit ratio:0.36719,time:3058
hit ratio:0.393678,time:3887
hit ratio:0.416513,time:4691
hit ratio:0.43591,time:5499
hit ratio:0.45304,time:6288
hit ratio:0.467267,time:7069
hit ratio:0.480535,time:7850
hit ratio:0.492839,time:8632
hit ratio:0.503506,time:9403
hit ratio:0.513258,time:10171
hit ratio:0.522626,time:10958
hit ratio:0.530755,time:11710
hit ratio:0.53775,time:12459
hit ratio:0.544011,time:13218
hit ratio:0.550136,time:13989
hit ratio:0.555947,time:14779
hit ratio:0.561342,time:15563
hit ratio:0.566362,time:16326
hit ratio:0.570902,time:17096
hit ratio:0.575873,time:17882
hit ratio:0.580347,time:18651
hit ratio:0.584313,time:19404
hit ratio:0.588259,time:20166
hit ratio:0.592259,time:20916
hit ratio:0.596351,time:21684
hit ratio:0.600384,time:22433
hit ratio:0.604339,time:23194
hit ratio:0.608112,time:23950
hit ratio:0.611033,time:24700
hit ratio:0.613352,time:25449
hit ratio:0.615316,time:26192
hit ratio:0.617293,time:26922
hit ratio:0.619232,time:27632
hit ratio:0.621025,time:28328
hit ratio:0.62283,time:29007
hit ratio:0.624598,time:29670
hit ratio:0.626161,time:30328
hit ratio:0.627805,time:30962
hit ratio:0.629526,time:31590
hit ratio:0.631133,time:32207
hit ratio:0.632695,time:32829
hit ratio:0.634208,time:33441
hit ratio:0.635764,time:34046
hit ratio:0.637146,time:34657
hit ratio:0.638597,time:35265
hit ratio:0.64003,time:35879
hit ratio:0.641473,time:36490
hit ratio:0.642747,time:37103
hit ratio:0.643985,time:37709
hit ratio:0.645226,time:38320
hit ratio:0.646466,time:38931
hit ratio:0.647636,time:39552
hit ratio:0.648694,time:40180
hit ratio:0.649755,time:40816
hit ratio:0.650747,time:41477
hit ratio:0.651664,time:42155
hit ratio:0.652494,time:42853
hit ratio:0.653354,time:43587
hit ratio:0.654119,time:44347
hit ratio:0.654664,time:45128
hit ratio:0.655316,time:45948
hit ratio:0.655834,time:46824
hit ratio:0.656259,time:47725
hit ratio:0.656596,time:48696
hit ratio:0.657075,time:49747
hit ratio:0.657372,time:50827
hit ratio:0.657573,time:51970
hit ratio:0.657747,time:53199
hit ratio:0.657768,time:54518
hit ratio:0.65763,time:55860
hit ratio:0.657268,time:57231
hit ratio:0.657043,time:58841
hit ratio:0.65666,time:60573
hit ratio:0.656567,time:62284
hit ratio:0.6563,time:64128
hit ratio:0.655946,time:65924
hit ratio:0.655449,time:67552
hit ratio:0.655054,time:69081
hit ratio:0.654775,time:70500
hit ratio:0.654659,time:71838
hit ratio:0.65468,time:73063
hit ratio:0.654754,time:74185
hit ratio:0.654969,time:75243
hit ratio:0.65528,time:76275
hit ratio:0.655726,time:77261
hit ratio:0.656205,time:78215
hit ratio:0.656718,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.657248,time:80051
hit ratio:0.657768,time:80948
hit ratio:0.658296,time:81839
hit ratio:0.658826,time:82705
hit ratio:0.659489,time:83577
hit ratio:0.660108,time:84442
hit ratio:0.660749,time:85308
hit ratio:0.661406,time:86174
hit ratio:0.662046,time:87040
hit ratio:0.662653,time:87900
hit ratio:0.663343,time:88767
hit ratio:0.664041,time:89637
hit ratio:0.664745,time:90508
hit ratio:0.665468,time:91374
hit ratio:0.666206,time:92227
hit ratio:0.666899,time:93075
hit ratio:0.66764,time:93916
hit ratio:0.668328,time:94749
hit ratio:0.669036,time:95584
hit ratio:0.669728,time:96405
hit ratio:0.670449,time:97227
hit ratio:0.671208,time:98056
hit ratio:0.671995,time:98877
hit ratio:0.672736,time:99690
hit ratio:0.673486,time:100502
hit ratio:0.674219,time:101312
hit ratio:0.674932,time:102104
hit ratio:0.675622,time:102901
hit ratio:0.676283,time:103693
hit ratio:0.676933,time:104476
hit ratio:0.677629,time:105238
hit ratio:0.6783,time:105994
hit ratio:0.678973,time:106743
hit ratio:0.679673,time:107474
hit ratio:0.680334,time:108170
hit ratio:0.680996,time:108872
hit ratio:0.681625,time:109577
alloc failed. 110263,18446744072161380024,1047,74289992
hit ratio:0.682292,time:110283
hit ratio:0.682985,time:110970
hit ratio:0.683655,time:111643
hit ratio:0.684272,time:112307
hit ratio:0.684911,time:112970
hit ratio:0.685552,time:113627
hit ratio:0.686207,time:114270
hit ratio:0.686913,time:114894
hit ratio:0.6876,time:115510
hit ratio:0.688266,time:116124
hit ratio:0.688926,time:116724
hit ratio:0.689574,time:117305
hit ratio:0.690186,time:117897
hit ratio:0.690841,time:118476
hit ratio:0.691515,time:119042
hit ratio:0.692209,time:119593
hit ratio:0.692869,time:120143
hit ratio:0.693527,time:120686
hit ratio:0.694204,time:121213
hit ratio:0.694888,time:121753
hit ratio:0.695535,time:122295
hit ratio:0.696173,time:122833
hit ratio:0.696826,time:123358
hit ratio:0.697452,time:123891
hit ratio:0.698043,time:124445
hit ratio:0.698598,time:125010
alloc failed. 125051,864074957,635,9223372036854775807
hit ratio:0.699166,time:125566
hit ratio:0.699717,time:126120
hit ratio:0.70027,time:126691
hit ratio:0.700801,time:127291
hit ratio:0.701308,time:127896
hit ratio:0.701808,time:128525
hit ratio:0.70225,time:129168
hit ratio:0.702693,time:129821
hit ratio:0.703094,time:130476
hit ratio:0.703452,time:131153
hit ratio:0.703805,time:131866
hit ratio:0.704169,time:132608
