FreeMem Rebalancing init. Cache Initialized. size: 512MB
alloc failed. 318,18446744073342685186,861837,7968941
alloc failed. 355,18446744072772321884,807186,205554
alloc failed. 578,18446744073478564988,1670717,31898023
alloc failed. 595,1324475889,1365361,224169
hit ratio:0.15367,time:752
alloc failed. 812,302475319,1774,1033473
alloc failed. 931,1897812618,2014,427677
alloc failed. 1048,517129054,2626,69072033
alloc failed. 1179,18446744071803150329,3165,23482565
hit ratio:0.167245,time:1502
hit ratio:0.17267,time:2269
alloc failed. 2937,18446744072509434065,1962608,385691
hit ratio:0.176035,time:3058
hit ratio:0.178358,time:3887
hit ratio:0.18086,time:4691
hit ratio:0.182659,time:5499
hit ratio:0.184005,time:6288
hit ratio:0.184423,time:7069
hit ratio:0.184778,time:7850
hit ratio:0.185494,time:8632
hit ratio:0.185795,time:9403
hit ratio:0.186138,time:10171
hit ratio:0.186595,time:10958
hit ratio:0.186784,time:11710
hit ratio:0.186609,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.186391,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.186273,time:13989
hit ratio:0.186364,time:14779
hit ratio:0.186608,time:15563
hit ratio:0.186779,time:16326
hit ratio:0.186845,time:17096
hit ratio:0.187404,time:17882
hit ratio:0.187629,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.187862,time:19404
hit ratio:0.188262,time:20166
hit ratio:0.188791,time:20916
hit ratio:0.189493,time:21684
hit ratio:0.190527,time:22433
hit ratio:0.191459,time:23194
hit ratio:0.192456,time:23950
hit ratio:0.193357,time:24700
hit ratio:0.194464,time:25449
hit ratio:0.195432,time:26192
hit ratio:0.196461,time:26922
hit ratio:0.197514,time:27632
hit ratio:0.198538,time:28328
hit ratio:0.199476,time:29007
hit ratio:0.200562,time:29670
hit ratio:0.201467,time:30328
hit ratio:0.202485,time:30962
hit ratio:0.203667,time:31590
hit ratio:0.204687,time:32207
hit ratio:0.205653,time:32829
hit ratio:0.206644,time:33441
hit ratio:0.207707,time:34046
hit ratio:0.208556,time:34657
hit ratio:0.209369,time:35265
hit ratio:0.210309,time:35879
hit ratio:0.211228,time:36490
hit ratio:0.212028,time:37103
hit ratio:0.212764,time:37709
hit ratio:0.213448,time:38320
hit ratio:0.213983,time:38931
hit ratio:0.21453,time:39552
hit ratio:0.214893,time:40180
hit ratio:0.215206,time:40816
hit ratio:0.215483,time:41477
hit ratio:0.215797,time:42155
hit ratio:0.216009,time:42853
hit ratio:0.216249,time:43587
hit ratio:0.216354,time:44347
hit ratio:0.216287,time:45128
hit ratio:0.216304,time:45948
hit ratio:0.216279,time:46824
hit ratio:0.216291,time:47725
hit ratio:0.216199,time:48696
hit ratio:0.216202,time:49747
hit ratio:0.216119,time:50827
hit ratio:0.215917,time:51970
hit ratio:0.215723,time:53199
hit ratio:0.215541,time:54518
hit ratio:0.215241,time:55860
hit ratio:0.214771,time:57231
hit ratio:0.214561,time:58841
hit ratio:0.214403,time:60573
hit ratio:0.214586,time:62284
hit ratio:0.21442,time:64128
hit ratio:0.214001,time:65924
hit ratio:0.213459,time:67552
hit ratio:0.212993,time:69081
hit ratio:0.212536,time:70500
hit ratio:0.212247,time:71838
hit ratio:0.212045,time:73063
hit ratio:0.211868,time:74185
hit ratio:0.211753,time:75243
hit ratio:0.211642,time:76275
hit ratio:0.211641,time:77261
hit ratio:0.211604,time:78215
hit ratio:0.211631,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.211629,time:80051
hit ratio:0.211643,time:80948
hit ratio:0.21163,time:81839
hit ratio:0.211621,time:82705
hit ratio:0.211682,time:83577
hit ratio:0.211665,time:84442
hit ratio:0.211661,time:85308
hit ratio:0.211708,time:86174
hit ratio:0.211747,time:87040
hit ratio:0.211734,time:87900
hit ratio:0.211755,time:88767
hit ratio:0.211822,time:89637
hit ratio:0.211858,time:90508
hit ratio:0.211913,time:91374
hit ratio:0.211974,time:92227
hit ratio:0.212025,time:93075
hit ratio:0.212086,time:93916
hit ratio:0.212093,time:94749
hit ratio:0.212147,time:95584
hit ratio:0.212176,time:96405
hit ratio:0.21217,time:97227
hit ratio:0.212225,time:98056
hit ratio:0.212254,time:98877
hit ratio:0.212292,time:99690
hit ratio:0.212335,time:100502
hit ratio:0.212425,time:101312
hit ratio:0.212585,time:102104
hit ratio:0.212669,time:102901
hit ratio:0.212709,time:103693
hit ratio:0.212755,time:104476
hit ratio:0.212813,time:105238
hit ratio:0.212876,time:105994
hit ratio:0.21297,time:106743
hit ratio:0.213075,time:107474
