Hits Per Slab Rebalancing init. Cache Initialized. size: 256MB
alloc failed. 578,18446744073478564988,1670717,3264309
alloc failed. 792,1949653978,421683,275292
alloc failed. 1252,18446744073488791029,937900,26331
alloc failed. 2606,18446744072520037448,1651720,7672726
alloc failed. 2937,18446744072509434065,1962608,39946
alloc failed. 5200,18446744073064433766,1252282,9223372036854775807
alloc failed. 7516,18446744073402992348,2700,1112172
hit ratio:0.27272,time:7710
alloc failed. 9185,18446744073529930311,3384,3598157
hit ratio:0.26732,time:15369
hit ratio:0.26955,time:22865
hit ratio:0.280878,time:29868
hit ratio:0.293374,time:35757
hit ratio:0.301433,time:41617
alloc failed. 42424,547057252,1615,6711220
hit ratio:0.302326,time:49476
hit ratio:0.296975,time:63427
hit ratio:0.291287,time:76804
alloc failed. 85443,18446744072836262267,2114,9223372036854775807
alloc failed. 85449,1303631299,2127,9223372036854775807
alloc failed. 85463,18446744073097321877,2137,9223372036854775807
alloc failed. 85480,33910357,2223,9223372036854775807
alloc failed. 85484,2031546215,1322,9223372036854775807
hit ratio:0.290209,time:85573
hit ratio:0.289882,time:93951
hit ratio:0.29033,time:101981
hit ratio:0.290852,time:109270
hit ratio:0.292514,time:115722
hit ratio:0.294963,time:121278
alloc failed. 124941,1113369980,1294,9223372036854775807
alloc failed. 124950,406950144,1146,9223372036854775807
alloc failed. 125193,1468515267,956,9223372036854775807
hit ratio:0.297831,time:126523
hit ratio:0.29889,time:132814
hit ratio:0.297243,time:142947
alloc failed. 148012,1980819638,631,1832405
hit ratio:0.292997,time:158775
hit ratio:0.29179,time:168569
hit ratio:0.290937,time:176494
hit ratio:0.290767,time:184211
hit ratio:0.290867,time:191277
hit ratio:0.291262,time:197792
hit ratio:0.291834,time:203436
hit ratio:0.293417,time:208283
hit ratio:0.2941,time:213378
hit ratio:0.293737,time:219268
hit ratio:0.292214,time:228704
hit ratio:0.289151,time:243916
hit ratio:0.28727,time:253697
hit ratio:0.285576,time:261113
hit ratio:0.283926,time:268259
hit ratio:0.28263,time:275278
hit ratio:0.281583,time:282238
hit ratio:0.28058,time:288492
hit ratio:0.280351,time:294161
hit ratio:0.280388,time:299576
hit ratio:0.280164,time:305886
hit ratio:0.279348,time:315703
hit ratio:0.277299,time:330986
hit ratio:0.276135,time:340546
hit ratio:0.275418,time:348479
hit ratio:0.274286,time:355509
hit ratio:0.273417,time:362426
hit ratio:0.272799,time:369550
hit ratio:0.272676,time:376203
hit ratio:0.272881,time:382084
hit ratio:0.273181,time:387854
hit ratio:0.272828,time:395074
hit ratio:0.271368,time:407637
hit ratio:0.269933,time:422022
hit ratio:0.269144,time:430751
hit ratio:0.268285,time:438172
hit ratio:0.267517,time:445437
hit ratio:0.266699,time:452477
hit ratio:0.266345,time:459483
hit ratio:0.26654,time:465718
hit ratio:0.267094,time:471292
