Cache Initialized. size: 8GB
hit ratio:0.48727,time:7710
hit ratio:0.56519,time:15369
hit ratio:0.60718,time:22865
hit ratio:0.64111,time:29868
hit ratio:0.669538,time:35757
hit ratio:0.689915,time:41617
hit ratio:0.703096,time:49476
hit ratio:0.708136,time:63427
hit ratio:0.713418,time:76804
hit ratio:0.723848,time:85573
hit ratio:0.734234,time:93951
hit ratio:0.744057,time:101981
hit ratio:0.752722,time:109270
hit ratio:0.759501,time:115722
hit ratio:0.764339,time:121278
alloc failed. 125193,1468515267,956,9223372036854775807
hit ratio:0.768408,time:126523
hit ratio:0.771106,time:132814
hit ratio:0.771896,time:142947
alloc failed. 148012,1980819638,631,1832405
alloc failed. 148106,1980819638,631,1832490
alloc failed. 148121,1980819638,631,1832540
alloc failed. 148129,1980819638,631,1832612
alloc failed. 148143,1980819638,631,1835687
hit ratio:0.770465,time:158775
hit ratio:0.771333,time:168569
hit ratio:0.772743,time:176494
hit ratio:0.774615,time:184211
hit ratio:0.776747,time:191277
hit ratio:0.778953,time:197792
hit ratio:0.781132,time:203436
hit ratio:0.783576,time:208283
hit ratio:0.785867,time:213378
hit ratio:0.787575,time:219268
hit ratio:0.787945,time:228704
hit ratio:0.786577,time:243916
hit ratio:0.786711,time:253697
hit ratio:0.787219,time:261113
hit ratio:0.787601,time:268259
hit ratio:0.787926,time:275278
hit ratio:0.788392,time:282238
hit ratio:0.788538,time:288492
hit ratio:0.788964,time:294161
hit ratio:0.789538,time:299576
hit ratio:0.790106,time:305886
hit ratio:0.789741,time:315703
hit ratio:0.788024,time:330986
hit ratio:0.787241,time:340546
hit ratio:0.786813,time:348479
hit ratio:0.78639,time:355509
hit ratio:0.786234,time:362426
hit ratio:0.78626,time:369550
hit ratio:0.786414,time:376203
hit ratio:0.786789,time:382084
hit ratio:0.787087,time:387854
hit ratio:0.786752,time:395074
hit ratio:0.784485,time:407637
hit ratio:0.782194,time:422022
hit ratio:0.781251,time:430751
hit ratio:0.780513,time:438172
hit ratio:0.779945,time:445437
hit ratio:0.779334,time:452477
hit ratio:0.779053,time:459483
hit ratio:0.779059,time:465718
hit ratio:0.779294,time:471292
hit ratio:0.7795,time:477013
hit ratio:0.778878,time:485619
hit ratio:0.777331,time:501261
hit ratio:0.776793,time:512324
hit ratio:0.776674,time:520335
hit ratio:0.77661,time:527959
hit ratio:0.77664,time:535507
alloc failed. 538842,18446744071882913588,208,9223372036854775807
hit ratio:0.776654,time:542930
hit ratio:0.776851,time:549568
hit ratio:0.777243,time:555430
hit ratio:0.777703,time:561489
hit ratio:0.777793,time:569514
hit ratio:0.776938,time:584161
hit ratio:0.776491,time:597152
hit ratio:0.7767,time:606037
hit ratio:0.776884,time:614361
hit ratio:0.776868,time:622176
hit ratio:0.776091,time:628884
hit ratio:0.775779,time:635165
hit ratio:0.775525,time:640673
hit ratio:0.775399,time:646064
hit ratio:0.775059,time:651824
alloc failed. 652817,726974998,441,9223372036854775807
hit ratio:0.774394,time:659407
hit ratio:0.773055,time:670670
hit ratio:0.771938,time:681056
hit ratio:0.771359,time:689144
hit ratio:0.770792,time:696339
hit ratio:0.770356,time:703204
hit ratio:0.769997,time:710104
hit ratio:0.770481,time:717169
