Hits Per Slab Rebalancing init. Cache Initialized. size: 8GB
hit ratio:0.48727,time:7710
hit ratio:0.56519,time:15369
hit ratio:0.60718,time:22865
hit ratio:0.64111,time:29868
hit ratio:0.669538,time:35757
hit ratio:0.689915,time:41617
hit ratio:0.703096,time:49476
hit ratio:0.708136,time:63427
hit ratio:0.713418,time:76804
hit ratio:0.723848,time:85573
hit ratio:0.734234,time:93951
hit ratio:0.744057,time:101981
hit ratio:0.752722,time:109270
hit ratio:0.759501,time:115722
hit ratio:0.764339,time:121278
alloc failed. 125193,1468515267,956,9223372036854775807
hit ratio:0.768407,time:126523
hit ratio:0.771104,time:132814
hit ratio:0.771887,time:142947
alloc failed. 148012,1980819638,631,1832405
alloc failed. 148106,1980819638,631,1832490
alloc failed. 148121,1980819638,631,1832540
alloc failed. 148129,1980819638,631,1832612
hit ratio:0.770434,time:158775
hit ratio:0.7713,time:168569
hit ratio:0.772703,time:176494
hit ratio:0.774571,time:184211
hit ratio:0.776708,time:191277
hit ratio:0.77892,time:197792
hit ratio:0.781104,time:203436
hit ratio:0.78355,time:208283
hit ratio:0.785839,time:213378
hit ratio:0.787553,time:219268
hit ratio:0.787921,time:228704
hit ratio:0.786557,time:243916
hit ratio:0.786692,time:253697
hit ratio:0.787207,time:261113
hit ratio:0.787598,time:268259
hit ratio:0.78792,time:275278
hit ratio:0.788386,time:282238
hit ratio:0.788524,time:288492
hit ratio:0.788946,time:294161
hit ratio:0.789519,time:299576
hit ratio:0.790084,time:305886
hit ratio:0.789719,time:315703
hit ratio:0.788002,time:330986
hit ratio:0.78722,time:340546
hit ratio:0.786791,time:348479
hit ratio:0.78637,time:355509
hit ratio:0.786215,time:362426
hit ratio:0.786245,time:369550
hit ratio:0.786401,time:376203
hit ratio:0.78678,time:382084
hit ratio:0.78708,time:387854
hit ratio:0.786743,time:395074
hit ratio:0.784475,time:407637
hit ratio:0.782182,time:422022
hit ratio:0.781239,time:430751
hit ratio:0.7805,time:438172
hit ratio:0.779931,time:445437
hit ratio:0.779318,time:452477
hit ratio:0.779036,time:459483
hit ratio:0.779043,time:465718
hit ratio:0.77928,time:471292
hit ratio:0.779488,time:477013
hit ratio:0.778869,time:485619
hit ratio:0.777319,time:501261
hit ratio:0.77678,time:512324
hit ratio:0.776661,time:520335
hit ratio:0.776598,time:527959
hit ratio:0.776627,time:535507
alloc failed. 538842,18446744071882913588,208,9223372036854775807
hit ratio:0.776641,time:542930
hit ratio:0.776838,time:549568
hit ratio:0.777231,time:555430
hit ratio:0.777692,time:561489
hit ratio:0.777784,time:569514
hit ratio:0.776929,time:584161
hit ratio:0.776482,time:597152
hit ratio:0.776692,time:606037
hit ratio:0.776876,time:614361
hit ratio:0.776861,time:622176
hit ratio:0.776082,time:628884
hit ratio:0.77577,time:635165
hit ratio:0.775515,time:640673
hit ratio:0.775389,time:646064
hit ratio:0.775049,time:651824
alloc failed. 652817,726974998,441,9223372036854775807
hit ratio:0.774382,time:659407
hit ratio:0.773045,time:670670
hit ratio:0.771933,time:681056
hit ratio:0.771355,time:689144
hit ratio:0.770786,time:696339
hit ratio:0.770349,time:703204
hit ratio:0.76999,time:710104
hit ratio:0.770475,time:717169
hit ratio:0.771028,time:723736
