LruTailAge Rebalancing init. Cache Initialized. size: 8GB
hit ratio:0.48727,time:7710
hit ratio:0.56519,time:15369
hit ratio:0.60718,time:22865
hit ratio:0.64111,time:29868
hit ratio:0.669538,time:35757
hit ratio:0.689915,time:41617
hit ratio:0.703096,time:49476
hit ratio:0.708136,time:63427
hit ratio:0.713418,time:76804
hit ratio:0.723848,time:85573
hit ratio:0.734234,time:93951
hit ratio:0.744057,time:101981
hit ratio:0.752722,time:109270
hit ratio:0.759501,time:115722
hit ratio:0.764339,time:121278
alloc failed. 125193,1468515267,956,9223372036854775807
hit ratio:0.768403,time:126523
hit ratio:0.771095,time:132814
hit ratio:0.771883,time:142947
alloc failed. 148012,1980819638,631,1832405
alloc failed. 148106,1980819638,631,1832490
alloc failed. 148121,1980819638,631,1832540
alloc failed. 148129,1980819638,631,1832612
alloc failed. 148143,1980819638,631,1835687
hit ratio:0.770448,time:158775
hit ratio:0.771324,time:168569
hit ratio:0.772737,time:176494
hit ratio:0.774611,time:184211
hit ratio:0.776744,time:191277
hit ratio:0.77895,time:197792
hit ratio:0.781129,time:203436
hit ratio:0.783573,time:208283
hit ratio:0.785863,time:213378
hit ratio:0.787573,time:219268
hit ratio:0.78794,time:228704
hit ratio:0.786577,time:243916
hit ratio:0.786711,time:253697
hit ratio:0.787217,time:261113
hit ratio:0.7876,time:268259
hit ratio:0.787921,time:275278
hit ratio:0.788385,time:282238
hit ratio:0.788531,time:288492
hit ratio:0.788957,time:294161
hit ratio:0.789531,time:299576
hit ratio:0.790101,time:305886
hit ratio:0.789736,time:315703
hit ratio:0.788017,time:330986
hit ratio:0.787235,time:340546
hit ratio:0.786808,time:348479
hit ratio:0.786386,time:355509
hit ratio:0.78623,time:362426
hit ratio:0.786257,time:369550
hit ratio:0.786409,time:376203
hit ratio:0.786785,time:382084
hit ratio:0.787083,time:387854
hit ratio:0.786746,time:395074
hit ratio:0.78448,time:407637
hit ratio:0.782188,time:422022
hit ratio:0.781246,time:430751
hit ratio:0.780508,time:438172
hit ratio:0.77994,time:445437
hit ratio:0.779329,time:452477
hit ratio:0.779048,time:459483
hit ratio:0.779054,time:465718
hit ratio:0.779289,time:471292
hit ratio:0.779495,time:477013
hit ratio:0.778873,time:485619
hit ratio:0.777325,time:501261
hit ratio:0.776788,time:512324
hit ratio:0.776669,time:520335
hit ratio:0.776605,time:527959
hit ratio:0.776635,time:535507
alloc failed. 538842,18446744071882913588,208,9223372036854775807
hit ratio:0.776649,time:542930
hit ratio:0.776846,time:549568
hit ratio:0.777239,time:555430
hit ratio:0.7777,time:561489
hit ratio:0.777791,time:569514
hit ratio:0.776933,time:584161
hit ratio:0.776487,time:597152
hit ratio:0.776696,time:606037
hit ratio:0.776881,time:614361
hit ratio:0.776865,time:622176
hit ratio:0.776087,time:628884
hit ratio:0.775775,time:635165
hit ratio:0.77552,time:640673
hit ratio:0.775394,time:646064
hit ratio:0.775055,time:651824
alloc failed. 652817,726974998,441,9223372036854775807
hit ratio:0.77439,time:659407
hit ratio:0.773051,time:670670
hit ratio:0.771938,time:681056
hit ratio:0.771359,time:689144
hit ratio:0.770791,time:696339
hit ratio:0.770354,time:703204
hit ratio:0.769995,time:710104
hit ratio:0.77048,time:717169
