LruTailAge Rebalancing init. Cache Initialized. size: 512MB
alloc failed. 2937,18446744072509434065,1962608,39946
alloc failed. 2944,18446744072509434065,1962608,40038
alloc failed. 2952,18446744072509434065,1962608,9223372036854775807
alloc failed. 5200,18446744073064433766,1252282,9223372036854775807
alloc failed. 7516,18446744073402992348,2700,1112172
hit ratio:0.37207,time:7710
alloc failed. 9185,18446744073529930311,3384,3598157
hit ratio:0.374255,time:15369
hit ratio:0.376983,time:22865
hit ratio:0.388772,time:29868
hit ratio:0.401968,time:35757
hit ratio:0.41017,time:41617
alloc failed. 42424,547057252,1615,6711220
hit ratio:0.410889,time:49476
hit ratio:0.403669,time:63427
hit ratio:0.396751,time:76804
alloc failed. 85443,18446744072836262267,2114,9223372036854775807
alloc failed. 85449,1303631299,2127,9223372036854775807
alloc failed. 85463,18446744073097321877,2137,9223372036854775807
alloc failed. 85484,2031546215,1322,9223372036854775807
hit ratio:0.396275,time:85573
hit ratio:0.397366,time:93951
hit ratio:0.399605,time:101981
hit ratio:0.401374,time:109270
hit ratio:0.40402,time:115722
hit ratio:0.407421,time:121278
alloc failed. 124941,1113369980,1294,9223372036854775807
alloc failed. 124950,406950144,1146,9223372036854775807
alloc failed. 125193,1468515267,956,9223372036854775807
hit ratio:0.411011,time:126523
hit ratio:0.412326,time:132814
hit ratio:0.410629,time:142947
alloc failed. 148012,1980819638,631,1832405
hit ratio:0.405518,time:158775
hit ratio:0.404458,time:168569
hit ratio:0.404116,time:176494
hit ratio:0.404714,time:184211
hit ratio:0.405427,time:191277
hit ratio:0.406365,time:197792
hit ratio:0.407262,time:203436
hit ratio:0.409118,time:208283
hit ratio:0.410226,time:213378
hit ratio:0.410179,time:219268
hit ratio:0.408481,time:228704
hit ratio:0.404676,time:243916
hit ratio:0.402667,time:253697
hit ratio:0.401095,time:261113
hit ratio:0.399762,time:268259
hit ratio:0.398829,time:275278
hit ratio:0.398131,time:282238
hit ratio:0.397275,time:288492
hit ratio:0.397243,time:294161
hit ratio:0.397518,time:299576
hit ratio:0.397459,time:305886
hit ratio:0.396386,time:315703
hit ratio:0.39369,time:330986
hit ratio:0.392237,time:340546
hit ratio:0.391609,time:348479
hit ratio:0.390539,time:355509
hit ratio:0.389754,time:362426
hit ratio:0.389258,time:369550
hit ratio:0.389316,time:376203
hit ratio:0.389713,time:382084
hit ratio:0.390236,time:387854
hit ratio:0.389953,time:395074
hit ratio:0.388056,time:407637
hit ratio:0.38609,time:422022
hit ratio:0.38523,time:430751
hit ratio:0.384345,time:438172
hit ratio:0.383585,time:445437
hit ratio:0.382732,time:452477
hit ratio:0.382473,time:459483
hit ratio:0.382747,time:465718
hit ratio:0.383406,time:471292
hit ratio:0.38413,time:477013
hit ratio:0.38369,time:485619
hit ratio:0.382447,time:501261
hit ratio:0.382068,time:512324
hit ratio:0.381888,time:520335
hit ratio:0.381634,time:527959
hit ratio:0.381464,time:535507
alloc failed. 538842,18446744071882913588,208,9223372036854775807
hit ratio:0.38125,time:542930
hit ratio:0.381318,time:549568
hit ratio:0.381662,time:555430
hit ratio:0.382115,time:561489
hit ratio:0.382016,time:569514
hit ratio:0.381011,time:584161
hit ratio:0.38055,time:597152
hit ratio:0.380556,time:606037
hit ratio:0.380481,time:614361
hit ratio:0.380166,time:622176
hit ratio:0.379234,time:628884
hit ratio:0.378693,time:635165
hit ratio:0.378297,time:640673
hit ratio:0.378073,time:646064
hit ratio:0.377697,time:651824
alloc failed. 652817,726974998,441,9223372036854775807
hit ratio:0.376788,time:659407
hit ratio:0.374955,time:670670
hit ratio:0.37378,time:681056
hit ratio:0.373273,time:689144
hit ratio:0.372632,time:696339
hit ratio:0.372065,time:703204
hit ratio:0.371558,time:710104
hit ratio:0.372384,time:717169
hit ratio:0.373168,time:723736
hit ratio:0.37407,time:729646
hit ratio:0.374873,time:735708
hit ratio:0.375368,time:743383
hit ratio:0.375502,time:757331
hit ratio:0.375484,time:770848
hit ratio:0.375979,time:779728
hit ratio:0.3762,time:787673
hit ratio:0.376461,time:794952
hit ratio:0.376878,time:802101
hit ratio:0.377389,time:808284
hit ratio:0.377927,time:813914
hit ratio:0.378414,time:819538
hit ratio:0.378824,time:825968
hit ratio:0.378583,time:836845
hit ratio:0.378489,time:852467
hit ratio:0.379336,time:860626
hit ratio:0.380176,time:867161
hit ratio:0.380974,time:873039
hit ratio:0.381769,time:878614
hit ratio:0.382972,time:883162
hit ratio:0.384016,time:887843
hit ratio:0.384908,time:893003
alloc failed. 897027,845834783,10,11284584
hit ratio:0.385776,time:897802
hit ratio:0.386625,time:902649
hit ratio:0.38731,time:907668
hit ratio:0.38787,time:913768
hit ratio:0.388765,time:922427
hit ratio:0.390096,time:932806
hit ratio:0.391404,time:940810
hit ratio:0.391464,time:950584
hit ratio:0.391388,time:958851
hit ratio:0.391343,time:966918
hit ratio:0.391387,time:974795
hit ratio:0.39155,time:982016
hit ratio:0.391877,time:988438
hit ratio:0.392178,time:995031
hit ratio:0.392254,time:1005286
hit ratio:0.391995,time:1026888
hit ratio:0.392262,time:1037343
hit ratio:0.392527,time:1045469
hit ratio:0.39252,time:1053510
hit ratio:0.392517,time:1061591
hit ratio:0.392848,time:1068574
hit ratio:0.3934,time:1074710
hit ratio:0.393925,time:1080970
hit ratio:0.393995,time:1090610
hit ratio:0.393532,time:1111564
hit ratio:0.393466,time:1122707
hit ratio:0.393441,time:1131397
hit ratio:0.393403,time:1139781
hit ratio:0.393433,time:1147819
hit ratio:0.393635,time:1155234
hit ratio:0.393999,time:1161835
hit ratio:0.39434,time:1168785
hit ratio:0.394343,time:1180983
hit ratio:0.394242,time:1202433
hit ratio:0.394552,time:1211236
hit ratio:0.39461,time:1218851
hit ratio:0.394427,time:1226221
hit ratio:0.394182,time:1233782
hit ratio:0.394459,time:1241507
hit ratio:0.394881,time:1248396
hit ratio:0.395215,time:1255425
hit ratio:0.395272,time:1265942
hit ratio:0.395061,time:1287421
hit ratio:0.395329,time:1298505
hit ratio:0.395552,time:1307633
hit ratio:0.395732,time:1316222
hit ratio:0.395993,time:1324214
alloc failed. 1330544,18446744072236561540,826,9223372036854775807
hit ratio:0.3964,time:1331159
hit ratio:0.396811,time:1337643
hit ratio:0.397095,time:1345087
hit ratio:0.397087,time:1360747
hit ratio:0.397152,time:1378849
hit ratio:0.39734,time:1388458
hit ratio:0.397405,time:1396676
hit ratio:0.397582,time:1404054
hit ratio:0.397781,time:1410829
hit ratio:0.398036,time:1416680
hit ratio:0.398306,time:1422201
hit ratio:0.398506,time:1428359
hit ratio:0.398431,time:1438735
hit ratio:0.398065,time:1459268
hit ratio:0.39798,time:1469518
hit ratio:0.397869,time:1477742
hit ratio:0.3979,time:1485054
hit ratio:0.397785,time:1492699
hit ratio:0.397855,time:1499767
hit ratio:0.398046,time:1505993
hit ratio:0.398232,time:1512257
hit ratio:0.398193,time:1520978
hit ratio:0.397745,time:1541582
hit ratio:0.397654,time:1553378
hit ratio:0.397621,time:1561426
hit ratio:0.397471,time:1569224
hit ratio:0.397361,time:1577002
hit ratio:0.397403,time:1584445
hit ratio:0.397584,time:1590933
hit ratio:0.397743,time:1597057
hit ratio:0.397793,time:1604898
hit ratio:0.397553,time:1623739
alloc failed. 1633052,1006225697,4479623,9223372036854775807
hit ratio:0.397499,time:1638425
hit ratio:0.397422,time:1647016
hit ratio:0.397432,time:1655001
hit ratio:0.3974,time:1662904
hit ratio:0.39753,time:1670343
hit ratio:0.397745,time:1677043
hit ratio:0.398028,time:1683322
hit ratio:0.398116,time:1691392
hit ratio:0.397942,time:1711137
hit ratio:0.397945,time:1724900
hit ratio:0.398033,time:1733074
hit ratio:0.398181,time:1740802
hit ratio:0.398157,time:1748667
hit ratio:0.398183,time:1756498
hit ratio:0.398368,time:1763393
hit ratio:0.398615,time:1769929
hit ratio:0.398721,time:1778132
hit ratio:0.398564,time:1797770
hit ratio:0.398502,time:1811649
EOF
hit ratio:0.398489,time:1814399
num_requests:21029271,throughput:11.5902reqs/sec,
