LruTailAge Rebalancing init. Cache Initialized. size: 8GB
hit ratio:0.48727,time:7710
hit ratio:0.56519,time:15369
hit ratio:0.60718,time:22865
hit ratio:0.64111,time:29868
hit ratio:0.669538,time:35757
hit ratio:0.689915,time:41617
hit ratio:0.703096,time:49476
hit ratio:0.708136,time:63427
hit ratio:0.713418,time:76804
hit ratio:0.723848,time:85573
hit ratio:0.734234,time:93951
hit ratio:0.744057,time:101981
hit ratio:0.752722,time:109270
hit ratio:0.759746,time:115722
hit ratio:0.765266,time:121278
alloc failed. 125193,1468515267,956,9223372036854775807
hit ratio:0.770144,time:126523
hit ratio:0.773449,time:132814
hit ratio:0.774809,time:142947
alloc failed. 148012,1980819638,631,1832405
alloc failed. 148106,1980819638,631,1832490
alloc failed. 148121,1980819638,631,1832540
alloc failed. 148129,1980819638,631,1832612
alloc failed. 148143,1980819638,631,1835687
hit ratio:0.774108,time:158775
hit ratio:0.775365,time:168569
hit ratio:0.776971,time:176494
hit ratio:0.77909,time:184211
hit ratio:0.781367,time:191277
hit ratio:0.783671,time:197792
hit ratio:0.785973,time:203436
hit ratio:0.788461,time:208283
hit ratio:0.790754,time:213378
hit ratio:0.792472,time:219268
hit ratio:0.792928,time:228704
hit ratio:0.791703,time:243916
hit ratio:0.791601,time:253697
hit ratio:0.791837,time:261113
hit ratio:0.792106,time:268259
hit ratio:0.792501,time:275278
hit ratio:0.792953,time:282238
hit ratio:0.793183,time:288492
hit ratio:0.793725,time:294161
hit ratio:0.7944,time:299576
hit ratio:0.795069,time:305886
hit ratio:0.794744,time:315703
hit ratio:0.792972,time:330986
hit ratio:0.792251,time:340546
hit ratio:0.791819,time:348479
hit ratio:0.791347,time:355509
hit ratio:0.791092,time:362426
hit ratio:0.790993,time:369550
hit ratio:0.791066,time:376203
hit ratio:0.791414,time:382084
hit ratio:0.791726,time:387854
hit ratio:0.791401,time:395074
hit ratio:0.789198,time:407637
hit ratio:0.786943,time:422022
hit ratio:0.78614,time:430751
hit ratio:0.785532,time:438172
hit ratio:0.785025,time:445437
hit ratio:0.784379,time:452477
hit ratio:0.78402,time:459483
hit ratio:0.784009,time:465718
hit ratio:0.784216,time:471292
hit ratio:0.784448,time:477013
hit ratio:0.783848,time:485619
hit ratio:0.782332,time:501261
hit ratio:0.781865,time:512324
hit ratio:0.781792,time:520335
hit ratio:0.781767,time:527959
hit ratio:0.781786,time:535507
alloc failed. 538842,18446744071882913588,208,9223372036854775807
hit ratio:0.781778,time:542930
hit ratio:0.781932,time:549568
hit ratio:0.782354,time:555430
hit ratio:0.782827,time:561489
hit ratio:0.782938,time:569514
hit ratio:0.782127,time:584161
hit ratio:0.781716,time:597152
hit ratio:0.781964,time:606037
hit ratio:0.782224,time:614361
hit ratio:0.782242,time:622176
hit ratio:0.78145,time:628884
hit ratio:0.781124,time:635165
hit ratio:0.780822,time:640673
hit ratio:0.780668,time:646064
hit ratio:0.780335,time:651824
alloc failed. 652817,726974998,441,9223372036854775807
hit ratio:0.779698,time:659407
hit ratio:0.778435,time:670670
hit ratio:0.777382,time:681056
hit ratio:0.776858,time:689144
hit ratio:0.77636,time:696339
hit ratio:0.775939,time:703204
hit ratio:0.775573,time:710104
hit ratio:0.776019,time:717169
