Cache Initialized. size: 512MB
alloc failed. 2937,18446744072509434065,1962608,39946
alloc failed. 2944,18446744072509434065,1962608,40038
alloc failed. 2952,18446744072509434065,1962608,9223372036854775807
alloc failed. 5200,18446744073064433766,1252282,9223372036854775807
alloc failed. 7516,18446744073402992348,2700,1112172
hit ratio:0.39246,time:7710
alloc failed. 9185,18446744073529930311,3384,3598157
hit ratio:0.41994,time:15369
hit ratio:0.438153,time:22865
hit ratio:0.45735,time:29868
hit ratio:0.474622,time:35757
hit ratio:0.486518,time:41617
alloc failed. 42424,547057252,1615,6711220
hit ratio:0.489916,time:49476
hit ratio:0.483878,time:63427
hit ratio:0.478053,time:76804
alloc failed. 85443,18446744072836262267,2114,9223372036854775807
alloc failed. 85449,1303631299,2127,9223372036854775807
alloc failed. 85463,18446744073097321877,2137,9223372036854775807
alloc failed. 85484,2031546215,1322,9223372036854775807
hit ratio:0.478569,time:85573
hit ratio:0.48025,time:93951
hit ratio:0.483081,time:101981
hit ratio:0.485665,time:109270
hit ratio:0.488547,time:115722
hit ratio:0.492424,time:121278
alloc failed. 124941,1113369980,1294,9223372036854775807
alloc failed. 124950,406950144,1146,9223372036854775807
alloc failed. 125193,1468515267,956,9223372036854775807
hit ratio:0.496252,time:126523
hit ratio:0.497789,time:132814
hit ratio:0.496589,time:142947
alloc failed. 148012,1980819638,631,1832405
hit ratio:0.491805,time:158775
hit ratio:0.490838,time:168569
hit ratio:0.490569,time:176494
hit ratio:0.491386,time:184211
hit ratio:0.492299,time:191277
hit ratio:0.493395,time:197792
hit ratio:0.494408,time:203436
hit ratio:0.496374,time:208283
hit ratio:0.497713,time:213378
hit ratio:0.497849,time:219268
hit ratio:0.496356,time:228704
hit ratio:0.492585,time:243916
hit ratio:0.490583,time:253697
hit ratio:0.488856,time:261113
hit ratio:0.487653,time:268259
hit ratio:0.486839,time:275278
hit ratio:0.486168,time:282238
hit ratio:0.485449,time:288492
hit ratio:0.485435,time:294161
hit ratio:0.485821,time:299576
hit ratio:0.485896,time:305886
hit ratio:0.484876,time:315703
hit ratio:0.482164,time:330986
hit ratio:0.480718,time:340546
hit ratio:0.479906,time:348479
hit ratio:0.47892,time:355509
hit ratio:0.478166,time:362426
hit ratio:0.4778,time:369550
hit ratio:0.477914,time:376203
hit ratio:0.478486,time:382084
hit ratio:0.479122,time:387854
hit ratio:0.479019,time:395074
hit ratio:0.477306,time:407637
hit ratio:0.475389,time:422022
hit ratio:0.474465,time:430751
hit ratio:0.473651,time:438172
hit ratio:0.472899,time:445437
hit ratio:0.472133,time:452477
hit ratio:0.47193,time:459483
hit ratio:0.472249,time:465718
hit ratio:0.472953,time:471292
hit ratio:0.473714,time:477013
hit ratio:0.473356,time:485619
hit ratio:0.472046,time:501261
hit ratio:0.471626,time:512324
hit ratio:0.471398,time:520335
hit ratio:0.471107,time:527959
hit ratio:0.471019,time:535507
alloc failed. 538842,18446744071882913588,208,9223372036854775807
hit ratio:0.470828,time:542930
hit ratio:0.470939,time:549568
hit ratio:0.471369,time:555430
hit ratio:0.471904,time:561489
hit ratio:0.471896,time:569514
hit ratio:0.470973,time:584161
hit ratio:0.470506,time:597152
hit ratio:0.470494,time:606037
