LruTailAge Rebalancing init. Cache Initialized. size: 512MB
alloc failed. 2937,18446744072509434065,1962608,39946
alloc failed. 2944,18446744072509434065,1962608,40038
alloc failed. 2952,18446744072509434065,1962608,9223372036854775807
alloc failed. 5200,18446744073064433766,1252282,9223372036854775807
alloc failed. 7516,18446744073402992348,2700,1112172
hit ratio:0.3931,time:7710
alloc failed. 9185,18446744073529930311,3384,3598157
hit ratio:0.419845,time:15369
hit ratio:0.438197,time:22865
hit ratio:0.457547,time:29868
hit ratio:0.474662,time:35757
hit ratio:0.486588,time:41617
alloc failed. 42424,547057252,1615,6711220
hit ratio:0.489847,time:49476
hit ratio:0.483879,time:63427
hit ratio:0.478074,time:76804
alloc failed. 85443,18446744072836262267,2114,9223372036854775807
alloc failed. 85449,1303631299,2127,9223372036854775807
alloc failed. 85463,18446744073097321877,2137,9223372036854775807
alloc failed. 85484,2031546215,1322,9223372036854775807
hit ratio:0.478603,time:85573
hit ratio:0.480325,time:93951
hit ratio:0.483144,time:101981
hit ratio:0.485677,time:109270
hit ratio:0.488598,time:115722
hit ratio:0.492356,time:121278
alloc failed. 124941,1113369980,1294,9223372036854775807
alloc failed. 124950,406950144,1146,9223372036854775807
alloc failed. 125193,1468515267,956,9223372036854775807
hit ratio:0.49617,time:126523
hit ratio:0.497688,time:132814
hit ratio:0.496444,time:142947
alloc failed. 148012,1980819638,631,1832405
hit ratio:0.491714,time:158775
hit ratio:0.490764,time:168569
hit ratio:0.490526,time:176494
hit ratio:0.491353,time:184211
hit ratio:0.49225,time:191277
hit ratio:0.493329,time:197792
hit ratio:0.494362,time:203436
hit ratio:0.496316,time:208283
hit ratio:0.497658,time:213378
hit ratio:0.497778,time:219268
hit ratio:0.496322,time:228704
hit ratio:0.492567,time:243916
hit ratio:0.490556,time:253697
hit ratio:0.488858,time:261113
hit ratio:0.487653,time:268259
hit ratio:0.486833,time:275278
hit ratio:0.486128,time:282238
hit ratio:0.485413,time:288492
hit ratio:0.485412,time:294161
hit ratio:0.485804,time:299576
hit ratio:0.485888,time:305886
hit ratio:0.484884,time:315703
hit ratio:0.482172,time:330986
hit ratio:0.480704,time:340546
hit ratio:0.47991,time:348479
hit ratio:0.478884,time:355509
hit ratio:0.478141,time:362426
hit ratio:0.477794,time:369550
hit ratio:0.477868,time:376203
hit ratio:0.478453,time:382084
hit ratio:0.479065,time:387854
hit ratio:0.478961,time:395074
hit ratio:0.477273,time:407637
hit ratio:0.475359,time:422022
hit ratio:0.474433,time:430751
hit ratio:0.473613,time:438172
hit ratio:0.472854,time:445437
hit ratio:0.472083,time:452477
hit ratio:0.4719,time:459483
hit ratio:0.472238,time:465718
hit ratio:0.472943,time:471292
hit ratio:0.47371,time:477013
hit ratio:0.473337,time:485619
hit ratio:0.472038,time:501261
hit ratio:0.471628,time:512324
hit ratio:0.47141,time:520335
hit ratio:0.471114,time:527959
hit ratio:0.471032,time:535507
alloc failed. 538842,18446744071882913588,208,9223372036854775807
hit ratio:0.470818,time:542930
hit ratio:0.470948,time:549568
hit ratio:0.471378,time:555430
hit ratio:0.471927,time:561489
hit ratio:0.471913,time:569514
hit ratio:0.471001,time:584161
hit ratio:0.47054,time:597152
hit ratio:0.470534,time:606037
hit ratio:0.470486,time:614361
hit ratio:0.47021,time:622176
hit ratio:0.469371,time:628884
hit ratio:0.468919,time:635165
hit ratio:0.468571,time:640673
hit ratio:0.468459,time:646064
hit ratio:0.468178,time:651824
alloc failed. 652817,726974998,441,9223372036854775807
hit ratio:0.46731,time:659407
hit ratio:0.465476,time:670670
hit ratio:0.46418,time:681056
hit ratio:0.463583,time:689144
hit ratio:0.462943,time:696339
hit ratio:0.462366,time:703204
hit ratio:0.461862,time:710104
hit ratio:0.462626,time:717169
hit ratio:0.463413,time:723736
hit ratio:0.46429,time:729646
hit ratio:0.465149,time:735708
hit ratio:0.465728,time:743383
hit ratio:0.465832,time:757331
hit ratio:0.46579,time:770848
hit ratio:0.46627,time:779728
hit ratio:0.466518,time:787673
hit ratio:0.466822,time:794952
hit ratio:0.467261,time:802101
hit ratio:0.467807,time:808284
hit ratio:0.468399,time:813914
hit ratio:0.468944,time:819538
hit ratio:0.469442,time:825968
hit ratio:0.46926,time:836845
hit ratio:0.469077,time:852467
hit ratio:0.469837,time:860626
hit ratio:0.470581,time:867161
hit ratio:0.471325,time:873039
hit ratio:0.472155,time:878614
hit ratio:0.473277,time:883162
hit ratio:0.474297,time:887843
hit ratio:0.475174,time:893003
alloc failed. 897027,845834783,10,11284584
hit ratio:0.476056,time:897802
hit ratio:0.476958,time:902649
hit ratio:0.477692,time:907668
hit ratio:0.478331,time:913768
hit ratio:0.479268,time:922427
hit ratio:0.480555,time:932806
hit ratio:0.481792,time:940810
hit ratio:0.48173,time:950584
hit ratio:0.481662,time:958851
hit ratio:0.481636,time:966918
hit ratio:0.481717,time:974795
hit ratio:0.481932,time:982016
hit ratio:0.482323,time:988438
hit ratio:0.482687,time:995031
hit ratio:0.482836,time:1005286
hit ratio:0.482603,time:1026888
hit ratio:0.48281,time:1037343
hit ratio:0.483048,time:1045469
hit ratio:0.483076,time:1053510
hit ratio:0.483109,time:1061591
hit ratio:0.483411,time:1068574
hit ratio:0.483948,time:1074710
hit ratio:0.484502,time:1080970
hit ratio:0.484584,time:1090610
hit ratio:0.484143,time:1111564
hit ratio:0.484099,time:1122707
hit ratio:0.48409,time:1131397
hit ratio:0.484089,time:1139781
hit ratio:0.484166,time:1147819
hit ratio:0.48439,time:1155234
hit ratio:0.484784,time:1161835
hit ratio:0.485164,time:1168785
hit ratio:0.485218,time:1180983
hit ratio:0.485117,time:1202433
hit ratio:0.485387,time:1211236
hit ratio:0.485453,time:1218851
hit ratio:0.485311,time:1226221
hit ratio:0.48514,time:1233782
hit ratio:0.485432,time:1241507
hit ratio:0.485881,time:1248396
hit ratio:0.486288,time:1255425
hit ratio:0.486378,time:1265942
hit ratio:0.486218,time:1287421
hit ratio:0.486513,time:1298505
hit ratio:0.486779,time:1307633
hit ratio:0.487012,time:1316222
hit ratio:0.487317,time:1324214
alloc failed. 1330544,18446744072236561540,826,9223372036854775807
hit ratio:0.487772,time:1331159
hit ratio:0.488226,time:1337643
hit ratio:0.488564,time:1345087
hit ratio:0.488619,time:1360747
hit ratio:0.488732,time:1378849
hit ratio:0.488975,time:1388458
hit ratio:0.489083,time:1396676
hit ratio:0.489313,time:1404054
hit ratio:0.489542,time:1410829
hit ratio:0.489844,time:1416680
hit ratio:0.490163,time:1422201
hit ratio:0.490425,time:1428359
hit ratio:0.490407,time:1438735
hit ratio:0.490035,time:1459268
hit ratio:0.489953,time:1469518
hit ratio:0.489864,time:1477742
hit ratio:0.489842,time:1485054
hit ratio:0.489751,time:1492699
hit ratio:0.489834,time:1499767
hit ratio:0.490046,time:1505993
hit ratio:0.490264,time:1512257
hit ratio:0.490283,time:1520978
hit ratio:0.489858,time:1541582
hit ratio:0.489752,time:1553378
hit ratio:0.489703,time:1561426
hit ratio:0.489563,time:1569224
hit ratio:0.489484,time:1577002
hit ratio:0.489546,time:1584445
hit ratio:0.489742,time:1590933
hit ratio:0.489936,time:1597057
hit ratio:0.490047,time:1604898
hit ratio:0.48985,time:1623739
alloc failed. 1633052,1006225697,4479623,9223372036854775807
hit ratio:0.489764,time:1638425
hit ratio:0.489697,time:1647016
hit ratio:0.4897,time:1655001
hit ratio:0.489687,time:1662904
hit ratio:0.489806,time:1670343
hit ratio:0.49003,time:1677043
hit ratio:0.490326,time:1683322
hit ratio:0.490451,time:1691392
hit ratio:0.490298,time:1711137
hit ratio:0.490283,time:1724900
hit ratio:0.490335,time:1733074
hit ratio:0.490454,time:1740802
hit ratio:0.490443,time:1748667
hit ratio:0.490478,time:1756498
hit ratio:0.490668,time:1763393
hit ratio:0.490917,time:1769929
hit ratio:0.491064,time:1778132
hit ratio:0.490916,time:1797770
hit ratio:0.490836,time:1811649
EOF
hit ratio:0.490816,time:1814399
num_requests:21029271,throughput:11.5902reqs/sec,
