Marginal Hits Rebalancing init. Cache Initialized. size: 512MB
alloc failed. 2937,18446744072509434065,1962608,39946
alloc failed. 2944,18446744072509434065,1962608,40038
alloc failed. 2952,18446744072509434065,1962608,9223372036854775807
alloc failed. 5200,18446744073064433766,1252282,9223372036854775807
alloc failed. 7516,18446744073402992348,2700,1112172
hit ratio:0.39256,time:7710
alloc failed. 9185,18446744073529930311,3384,3598157
hit ratio:0.419545,time:15369
hit ratio:0.438147,time:22865
hit ratio:0.457337,time:29868
hit ratio:0.474612,time:35757
hit ratio:0.486365,time:41617
alloc failed. 42424,547057252,1615,6711220
hit ratio:0.489781,time:49476
hit ratio:0.483849,time:63427
hit ratio:0.478052,time:76804
alloc failed. 85443,18446744072836262267,2114,9223372036854775807
alloc failed. 85449,1303631299,2127,9223372036854775807
alloc failed. 85463,18446744073097321877,2137,9223372036854775807
alloc failed. 85484,2031546215,1322,9223372036854775807
hit ratio:0.478522,time:85573
hit ratio:0.480235,time:93951
hit ratio:0.483072,time:101981
hit ratio:0.485657,time:109270
hit ratio:0.488564,time:115722
hit ratio:0.492416,time:121278
alloc failed. 124941,1113369980,1294,9223372036854775807
alloc failed. 124950,406950144,1146,9223372036854775807
alloc failed. 125193,1468515267,956,9223372036854775807
hit ratio:0.496246,time:126523
hit ratio:0.49781,time:132814
hit ratio:0.496543,time:142947
alloc failed. 148012,1980819638,631,1832405
hit ratio:0.491803,time:158775
hit ratio:0.490813,time:168569
hit ratio:0.490572,time:176494
hit ratio:0.491388,time:184211
hit ratio:0.492252,time:191277
hit ratio:0.493327,time:197792
hit ratio:0.494404,time:203436
hit ratio:0.496325,time:208283
hit ratio:0.497651,time:213378
hit ratio:0.497794,time:219268
hit ratio:0.496336,time:228704
hit ratio:0.49257,time:243916
hit ratio:0.490574,time:253697
hit ratio:0.488874,time:261113
hit ratio:0.48767,time:268259
hit ratio:0.486875,time:275278
hit ratio:0.486165,time:282238
hit ratio:0.485453,time:288492
hit ratio:0.485473,time:294161
hit ratio:0.48585,time:299576
hit ratio:0.485936,time:305886
hit ratio:0.484929,time:315703
hit ratio:0.482223,time:330986
hit ratio:0.480766,time:340546
hit ratio:0.479968,time:348479
hit ratio:0.478971,time:355509
hit ratio:0.478217,time:362426
hit ratio:0.477852,time:369550
hit ratio:0.477959,time:376203
hit ratio:0.478531,time:382084
hit ratio:0.479152,time:387854
hit ratio:0.479041,time:395074
hit ratio:0.477335,time:407637
hit ratio:0.475422,time:422022
hit ratio:0.474497,time:430751
hit ratio:0.473705,time:438172
hit ratio:0.472946,time:445437
hit ratio:0.472197,time:452477
hit ratio:0.472013,time:459483
hit ratio:0.47234,time:465718
hit ratio:0.47303,time:471292
hit ratio:0.473782,time:477013
hit ratio:0.473396,time:485619
hit ratio:0.472085,time:501261
hit ratio:0.471669,time:512324
hit ratio:0.471449,time:520335
hit ratio:0.471147,time:527959
hit ratio:0.471055,time:535507
alloc failed. 538842,18446744071882913588,208,9223372036854775807
hit ratio:0.470856,time:542930
hit ratio:0.470973,time:549568
hit ratio:0.471416,time:555430
hit ratio:0.471945,time:561489
hit ratio:0.471943,time:569514
hit ratio:0.471019,time:584161
hit ratio:0.470542,time:597152
hit ratio:0.470518,time:606037
hit ratio:0.470482,time:614361
hit ratio:0.47019,time:622176
hit ratio:0.469363,time:628884
hit ratio:0.468917,time:635165
hit ratio:0.468568,time:640673
hit ratio:0.468455,time:646064
hit ratio:0.468188,time:651824
alloc failed. 652817,726974998,441,9223372036854775807
hit ratio:0.467332,time:659407
hit ratio:0.465493,time:670670
hit ratio:0.464208,time:681056
hit ratio:0.463615,time:689144
hit ratio:0.462968,time:696339
hit ratio:0.46241,time:703204
hit ratio:0.46192,time:710104
hit ratio:0.462692,time:717169
hit ratio:0.463462,time:723736
hit ratio:0.464325,time:729646
hit ratio:0.465175,time:735708
hit ratio:0.465775,time:743383
hit ratio:0.465884,time:757331
hit ratio:0.46584,time:770848
hit ratio:0.466299,time:779728
hit ratio:0.466551,time:787673
hit ratio:0.466852,time:794952
hit ratio:0.4673,time:802101
hit ratio:0.46784,time:808284
hit ratio:0.468426,time:813914
hit ratio:0.468986,time:819538
hit ratio:0.469488,time:825968
hit ratio:0.46931,time:836845
hit ratio:0.469126,time:852467
hit ratio:0.469886,time:860626
hit ratio:0.47064,time:867161
hit ratio:0.471382,time:873039
hit ratio:0.472213,time:878614
hit ratio:0.473333,time:883162
hit ratio:0.47435,time:887843
hit ratio:0.475231,time:893003
alloc failed. 897027,845834783,10,11284584
hit ratio:0.476106,time:897802
hit ratio:0.477012,time:902649
hit ratio:0.477734,time:907668
hit ratio:0.478387,time:913768
hit ratio:0.479317,time:922427
hit ratio:0.480607,time:932806
