Cache Initialized. size: 8GB
time,id,size
hit ratio:0.48727,time:7710
hit ratio:0.56519,time:15369
hit ratio:0.60718,time:22865
hit ratio:0.64111,time:29868
hit ratio:0.669538,time:35757
hit ratio:0.689915,time:41617
hit ratio:0.703096,time:49476
hit ratio:0.708136,time:63427
hit ratio:0.713418,time:76804
hit ratio:0.723848,time:85573
hit ratio:0.734234,time:93951
hit ratio:0.744057,time:101981
hit ratio:0.752722,time:109270
hit ratio:0.759746,time:115722
hit ratio:0.765266,time:121278
alloc failed. 125193,1468515267,956,9223372036854775807
hit ratio:0.770145,time:126523
hit ratio:0.773461,time:132814
hit ratio:0.774831,time:142947
alloc failed. 148012,1980819638,631,1832405
alloc failed. 148106,1980819638,631,1832490
alloc failed. 148121,1980819638,631,1832540
alloc failed. 148129,1980819638,631,1832612
alloc failed. 148143,1980819638,631,1835687
hit ratio:0.774153,time:158775
hit ratio:0.775409,time:168569
hit ratio:0.777019,time:176494
hit ratio:0.779135,time:184211
hit ratio:0.781412,time:191277
hit ratio:0.783713,time:197792
hit ratio:0.786014,time:203436
hit ratio:0.788498,time:208283
hit ratio:0.790792,time:213378
hit ratio:0.792508,time:219268
hit ratio:0.792956,time:228704
hit ratio:0.791729,time:243916
hit ratio:0.791627,time:253697
hit ratio:0.791863,time:261113
hit ratio:0.792127,time:268259
hit ratio:0.792517,time:275278
hit ratio:0.79297,time:282238
hit ratio:0.793201,time:288492
hit ratio:0.793743,time:294161
hit ratio:0.794421,time:299576
hit ratio:0.795089,time:305886
hit ratio:0.794765,time:315703
hit ratio:0.792993,time:330986
hit ratio:0.792271,time:340546
hit ratio:0.791839,time:348479
hit ratio:0.791366,time:355509
hit ratio:0.791111,time:362426
hit ratio:0.791012,time:369550
hit ratio:0.791083,time:376203
hit ratio:0.791428,time:382084
hit ratio:0.79174,time:387854
hit ratio:0.791417,time:395074
hit ratio:0.789213,time:407637
hit ratio:0.786958,time:422022
hit ratio:0.786153,time:430751
hit ratio:0.785546,time:438172
hit ratio:0.785038,time:445437
hit ratio:0.784392,time:452477
hit ratio:0.784032,time:459483
hit ratio:0.784022,time:465718
hit ratio:0.784229,time:471292
hit ratio:0.78446,time:477013
hit ratio:0.783862,time:485619
hit ratio:0.782346,time:501261
hit ratio:0.781878,time:512324
hit ratio:0.781804,time:520335
hit ratio:0.78178,time:527959
hit ratio:0.781798,time:535507
alloc failed. 538842,18446744071882913588,208,9223372036854775807
hit ratio:0.781792,time:542930
hit ratio:0.781945,time:549568
hit ratio:0.782366,time:555430
hit ratio:0.782837,time:561489
hit ratio:0.782948,time:569514
hit ratio:0.782137,time:584161
hit ratio:0.781727,time:597152
hit ratio:0.781974,time:606037
hit ratio:0.782235,time:614361
hit ratio:0.782253,time:622176
hit ratio:0.781461,time:628884
hit ratio:0.781134,time:635165
hit ratio:0.780832,time:640673
hit ratio:0.780677,time:646064
hit ratio:0.780345,time:651824
alloc failed. 652817,726974998,441,9223372036854775807
hit ratio:0.779706,time:659407
hit ratio:0.778445,time:670670
hit ratio:0.777392,time:681056
hit ratio:0.776867,time:689144
hit ratio:0.776369,time:696339
hit ratio:0.775947,time:703204
hit ratio:0.775581,time:710104
hit ratio:0.776028,time:717169
