Cache Initialized. size: 32GB
hit ratio:0.75528,time:18189
hit ratio:0.758585,time:21021
hit ratio:0.771157,time:22604
hit ratio:0.775962,time:23830
hit ratio:0.779334,time:24897
hit ratio:0.783657,time:25919
hit ratio:0.780867,time:26876
hit ratio:0.774089,time:27738
hit ratio:0.773422,time:28533
hit ratio:0.778785,time:29064
hit ratio:0.782691,time:29592
hit ratio:0.785789,time:30023
hit ratio:0.785021,time:30630
hit ratio:0.782725,time:31031
hit ratio:0.778813,time:31302
hit ratio:0.777554,time:31587
hit ratio:0.774608,time:31830
hit ratio:0.772362,time:32146
hit ratio:0.769842,time:32440
hit ratio:0.77061,time:32730
hit ratio:0.771515,time:33020
hit ratio:0.770943,time:33350
hit ratio:0.771042,time:33639
hit ratio:0.769812,time:33924
hit ratio:0.769366,time:34163
hit ratio:0.769614,time:34400
hit ratio:0.768234,time:34721
hit ratio:0.766482,time:35066
hit ratio:0.76517,time:35315
hit ratio:0.765156,time:35528
hit ratio:0.765391,time:35746
hit ratio:0.765789,time:35973
hit ratio:0.76621,time:36207
hit ratio:0.76677,time:36435
hit ratio:0.767549,time:36679
hit ratio:0.768269,time:36924
hit ratio:0.768819,time:37160
hit ratio:0.76931,time:37396
hit ratio:0.769744,time:37616
hit ratio:0.76996,time:37844
hit ratio:0.770334,time:38090
hit ratio:0.770757,time:38314
hit ratio:0.770941,time:38510
hit ratio:0.770711,time:38717
hit ratio:0.770547,time:38920
hit ratio:0.770301,time:39130
hit ratio:0.770154,time:39348
alloc failed. 39363,1399852362244757605,515,9223372036854775807
hit ratio:0.769863,time:39568
hit ratio:0.769781,time:39775
hit ratio:0.769539,time:39999
hit ratio:0.769644,time:40219
hit ratio:0.769608,time:40457
hit ratio:0.769826,time:40679
hit ratio:0.770111,time:40899
hit ratio:0.770595,time:41106
hit ratio:0.771135,time:41306
hit ratio:0.771528,time:41502
hit ratio:0.772003,time:41702
hit ratio:0.772393,time:41924
hit ratio:0.772737,time:42155
hit ratio:0.77317,time:42411
hit ratio:0.773539,time:42688
hit ratio:0.773931,time:43008
hit ratio:0.7741,time:43381
hit ratio:0.773996,time:43781
hit ratio:0.773837,time:44273
hit ratio:0.77355,time:44928
hit ratio:0.77333,time:45574
hit ratio:0.7732,time:46169
hit ratio:0.772472,time:46868
hit ratio:0.771774,time:47632
hit ratio:0.77145,time:48402
hit ratio:0.770944,time:49090
hit ratio:0.770804,time:49766
hit ratio:0.770725,time:50510
hit ratio:0.770629,time:51321
hit ratio:0.771148,time:51998
hit ratio:0.772655,time:52442
hit ratio:0.774193,time:52925
hit ratio:0.775256,time:53504
hit ratio:0.776099,time:54086
hit ratio:0.777187,time:54697
hit ratio:0.778239,time:55237
hit ratio:0.780128,time:55417
hit ratio:0.781922,time:55577
hit ratio:0.783574,time:55742
hit ratio:0.784622,time:56002
hit ratio:0.785639,time:56245
hit ratio:0.786557,time:56515
hit ratio:0.787059,time:56859
hit ratio:0.787678,time:57190
hit ratio:0.788343,time:57581
hit ratio:0.78904,time:58073
hit ratio:0.789996,time:58553
hit ratio:0.791039,time:58975
hit ratio:0.791959,time:59454
hit ratio:0.792559,time:59903
hit ratio:0.793269,time:60334
hit ratio:0.794068,time:60780
hit ratio:0.794872,time:61208
hit ratio:0.795753,time:61714
hit ratio:0.796739,time:62308
hit ratio:0.797701,time:62828
hit ratio:0.798508,time:63254
hit ratio:0.799399,time:63603
hit ratio:0.800287,time:63949
hit ratio:0.801081,time:64299
hit ratio:0.801873,time:64638
hit ratio:0.802693,time:64969
hit ratio:0.803589,time:65336
hit ratio:0.804568,time:65627
hit ratio:0.805563,time:65870
hit ratio:0.806577,time:66118
hit ratio:0.807662,time:66372
hit ratio:0.808472,time:66723
hit ratio:0.809302,time:67135
hit ratio:0.810272,time:67420
hit ratio:0.811019,time:67881
hit ratio:0.811892,time:68339
hit ratio:0.81316,time:68506
hit ratio:0.81445,time:68642
hit ratio:0.815732,time:68775
hit ratio:0.816958,time:68922
hit ratio:0.817763,time:69287
hit ratio:0.818366,time:69705
hit ratio:0.818697,time:70151
hit ratio:0.819327,time:70544
hit ratio:0.820177,time:70854
hit ratio:0.820934,time:71161
hit ratio:0.821835,time:71419
hit ratio:0.822691,time:71705
hit ratio:0.82352,time:72004
hit ratio:0.824431,time:72237
hit ratio:0.825342,time:72515
hit ratio:0.826141,time:72861
hit ratio:0.827059,time:73119
hit ratio:0.828104,time:73281
hit ratio:0.829172,time:73402
hit ratio:0.830175,time:73560
hit ratio:0.831144,time:73726
hit ratio:0.832097,time:73861
hit ratio:0.83297,time:74039
hit ratio:0.833705,time:74313
hit ratio:0.83452,time:74516
hit ratio:0.835221,time:74793
hit ratio:0.835779,time:75160
hit ratio:0.836445,time:75421
hit ratio:0.837206,time:75634
hit ratio:0.837737,time:75950
hit ratio:0.838401,time:76167
hit ratio:0.839127,time:76341
hit ratio:0.839903,time:76486
hit ratio:0.840642,time:76640
hit ratio:0.841305,time:76816
hit ratio:0.841928,time:77017
hit ratio:0.842614,time:77192
hit ratio:0.843249,time:77369
hit ratio:0.843851,time:77572
hit ratio:0.844452,time:77782
hit ratio:0.844985,time:77973
hit ratio:0.845555,time:78138
hit ratio:0.846189,time:78270
hit ratio:0.846878,time:78396
hit ratio:0.847532,time:78535
hit ratio:0.848123,time:78687
hit ratio:0.848638,time:78861
hit ratio:0.84917,time:79061
hit ratio:0.849675,time:79303
hit ratio:0.850135,time:79583
hit ratio:0.85059,time:79842
hit ratio:0.850866,time:80227
hit ratio:0.85093,time:80763
hit ratio:0.850797,time:81477
hit ratio:0.850474,time:82221
hit ratio:0.85017,time:82927
hit ratio:0.849909,time:83694
hit ratio:0.849749,time:84501
hit ratio:0.849678,time:85306
hit ratio:0.849598,time:86179
hit ratio:0.849438,time:87248
hit ratio:0.849351,time:88374
hit ratio:0.849318,time:89443
hit ratio:0.849242,time:90633
hit ratio:0.8492,time:91839
hit ratio:0.849108,time:92839
hit ratio:0.848772,time:93747
hit ratio:0.848487,time:94776
hit ratio:0.848133,time:95887
hit ratio:0.847993,time:97113
hit ratio:0.847816,time:98244
hit ratio:0.847519,time:99309
hit ratio:0.847121,time:100500
hit ratio:0.846795,time:101661
hit ratio:0.84658,time:102715
hit ratio:0.846525,time:103708
hit ratio:0.846571,time:104736
hit ratio:0.846524,time:105586
hit ratio:0.84663,time:106382
hit ratio:0.846677,time:107122
hit ratio:0.846671,time:107885
hit ratio:0.846543,time:108840
hit ratio:0.846505,time:109734
hit ratio:0.846429,time:110568
hit ratio:0.846306,time:111455
hit ratio:0.846215,time:112180
hit ratio:0.845983,time:112698
hit ratio:0.845683,time:113004
hit ratio:0.845396,time:113342
hit ratio:0.845016,time:113740
