Marginal Hits init. Cache Initialized. size: 32GB
hit ratio:0.75528,time:18189
hit ratio:0.758585,time:21021
hit ratio:0.771157,time:22604
hit ratio:0.775962,time:23830
hit ratio:0.779334,time:24897
hit ratio:0.783657,time:25919
hit ratio:0.780867,time:26876
hit ratio:0.774089,time:27738
hit ratio:0.77341,time:28533
hit ratio:0.778773,time:29064
hit ratio:0.782678,time:29592
hit ratio:0.785776,time:30023
hit ratio:0.785009,time:30630
hit ratio:0.782715,time:31031
hit ratio:0.778797,time:31302
hit ratio:0.777536,time:31587
hit ratio:0.77459,time:31830
hit ratio:0.772346,time:32146
hit ratio:0.769822,time:32440
hit ratio:0.770589,time:32730
hit ratio:0.771494,time:33020
hit ratio:0.770923,time:33350
hit ratio:0.771022,time:33639
hit ratio:0.769792,time:33924
hit ratio:0.769345,time:34163
hit ratio:0.769593,time:34400
hit ratio:0.768211,time:34721
hit ratio:0.76646,time:35066
hit ratio:0.76515,time:35315
hit ratio:0.765137,time:35528
hit ratio:0.765375,time:35746
hit ratio:0.765774,time:35973
hit ratio:0.766198,time:36207
hit ratio:0.766762,time:36435
hit ratio:0.767543,time:36679
hit ratio:0.768268,time:36924
hit ratio:0.768822,time:37160
hit ratio:0.769316,time:37396
hit ratio:0.769756,time:37616
hit ratio:0.769981,time:37844
hit ratio:0.770359,time:38090
hit ratio:0.770786,time:38314
hit ratio:0.770975,time:38510
hit ratio:0.770752,time:38717
hit ratio:0.770593,time:38920
hit ratio:0.770353,time:39130
hit ratio:0.770209,time:39348
alloc failed. 39363,1399852362244757605,515,9223372036854775807
hit ratio:0.769921,time:39568
hit ratio:0.769841,time:39775
hit ratio:0.769599,time:39999
hit ratio:0.769708,time:40219
hit ratio:0.76968,time:40457
hit ratio:0.769901,time:40679
hit ratio:0.770186,time:40899
hit ratio:0.770673,time:41106
hit ratio:0.771217,time:41306
hit ratio:0.771613,time:41502
hit ratio:0.772092,time:41702
hit ratio:0.772484,time:41924
hit ratio:0.772831,time:42155
hit ratio:0.773265,time:42411
hit ratio:0.773636,time:42688
hit ratio:0.774031,time:43008
hit ratio:0.774204,time:43381
hit ratio:0.774101,time:43781
hit ratio:0.773947,time:44273
hit ratio:0.77366,time:44928
hit ratio:0.77344,time:45574
hit ratio:0.773311,time:46169
hit ratio:0.772588,time:46868
hit ratio:0.771892,time:47632
hit ratio:0.771573,time:48402
hit ratio:0.771071,time:49090
hit ratio:0.770934,time:49766
hit ratio:0.770858,time:50510
hit ratio:0.770764,time:51321
hit ratio:0.771286,time:51998
hit ratio:0.772792,time:52442
hit ratio:0.774331,time:52925
hit ratio:0.775393,time:53504
hit ratio:0.776237,time:54086
hit ratio:0.777324,time:54697
hit ratio:0.778379,time:55237
hit ratio:0.780266,time:55417
hit ratio:0.78206,time:55577
hit ratio:0.783711,time:55742
hit ratio:0.78476,time:56002
hit ratio:0.785778,time:56245
hit ratio:0.786695,time:56515
hit ratio:0.787198,time:56859
hit ratio:0.787817,time:57190
hit ratio:0.788479,time:57581
hit ratio:0.789175,time:58073
hit ratio:0.790132,time:58553
hit ratio:0.791175,time:58975
hit ratio:0.792096,time:59454
hit ratio:0.792696,time:59903
hit ratio:0.793406,time:60334
hit ratio:0.794205,time:60780
hit ratio:0.795008,time:61208
hit ratio:0.795888,time:61714
hit ratio:0.796872,time:62308
hit ratio:0.797833,time:62828
hit ratio:0.798639,time:63254
hit ratio:0.799528,time:63603
hit ratio:0.800417,time:63949
hit ratio:0.80121,time:64299
hit ratio:0.802002,time:64638
hit ratio:0.802823,time:64969
hit ratio:0.803718,time:65336
hit ratio:0.804698,time:65627
hit ratio:0.805692,time:65870
hit ratio:0.806706,time:66118
hit ratio:0.80779,time:66372
hit ratio:0.8086,time:66723
hit ratio:0.80943,time:67135
hit ratio:0.810401,time:67420
hit ratio:0.811147,time:67881
hit ratio:0.81202,time:68339
hit ratio:0.813288,time:68506
hit ratio:0.814577,time:68642
hit ratio:0.815858,time:68775
hit ratio:0.817082,time:68922
hit ratio:0.817888,time:69287
hit ratio:0.81849,time:69705
hit ratio:0.818822,time:70151
hit ratio:0.819452,time:70544
hit ratio:0.820303,time:70854
hit ratio:0.82106,time:71161
hit ratio:0.821961,time:71419
hit ratio:0.822817,time:71705
hit ratio:0.823647,time:72004
hit ratio:0.824556,time:72237
hit ratio:0.825468,time:72515
hit ratio:0.826265,time:72861
hit ratio:0.827183,time:73119
hit ratio:0.828228,time:73281
hit ratio:0.829294,time:73402
hit ratio:0.830296,time:73560
hit ratio:0.831265,time:73726
hit ratio:0.832218,time:73861
hit ratio:0.833091,time:74039
hit ratio:0.833825,time:74313
hit ratio:0.834639,time:74516
hit ratio:0.83534,time:74793
hit ratio:0.835898,time:75160
hit ratio:0.836564,time:75421
hit ratio:0.837325,time:75634
hit ratio:0.837856,time:75950
hit ratio:0.83852,time:76167
hit ratio:0.839246,time:76341
hit ratio:0.840021,time:76486
hit ratio:0.84076,time:76640
hit ratio:0.841422,time:76816
hit ratio:0.842045,time:77017
hit ratio:0.842731,time:77192
hit ratio:0.843366,time:77369
hit ratio:0.843967,time:77572
hit ratio:0.844569,time:77782
hit ratio:0.845101,time:77973
hit ratio:0.845671,time:78138
hit ratio:0.846305,time:78270
hit ratio:0.846994,time:78396
hit ratio:0.847648,time:78535
hit ratio:0.848238,time:78687
hit ratio:0.848753,time:78861
hit ratio:0.849285,time:79061
hit ratio:0.849791,time:79303
hit ratio:0.850251,time:79583
hit ratio:0.850706,time:79842
hit ratio:0.850982,time:80227
hit ratio:0.851047,time:80763
hit ratio:0.850915,time:81477
hit ratio:0.850595,time:82221
hit ratio:0.850293,time:82927
hit ratio:0.850033,time:83694
hit ratio:0.849875,time:84501
hit ratio:0.849803,time:85306
hit ratio:0.849724,time:86179
hit ratio:0.849566,time:87248
hit ratio:0.849479,time:88374
hit ratio:0.849447,time:89443
hit ratio:0.849372,time:90633
hit ratio:0.84933,time:91839
hit ratio:0.84924,time:92839
hit ratio:0.848905,time:93747
hit ratio:0.848621,time:94776
hit ratio:0.848268,time:95887
hit ratio:0.848127,time:97113
hit ratio:0.847951,time:98244
hit ratio:0.847656,time:99309
hit ratio:0.847259,time:100500
hit ratio:0.846934,time:101661
hit ratio:0.846719,time:102715
hit ratio:0.846664,time:103708
hit ratio:0.846709,time:104736
hit ratio:0.846663,time:105586
hit ratio:0.84677,time:106382
hit ratio:0.846817,time:107122
hit ratio:0.846813,time:107885
hit ratio:0.846685,time:108840
hit ratio:0.846648,time:109734
hit ratio:0.846573,time:110568
hit ratio:0.846449,time:111455
hit ratio:0.846358,time:112180
hit ratio:0.846128,time:112698
hit ratio:0.845829,time:113004
hit ratio:0.845542,time:113342
hit ratio:0.845163,time:113740
