Marginal Hits init. Cache Initialized. size: 8GB
alloc failed. 17957,10660007414015541166,704,95573
alloc failed. 17957,10660007414015541166,704,871374
hit ratio:0.75332,time:18189
alloc failed. 20061,14418139917491533242,698,703721
hit ratio:0.73163,time:21021
hit ratio:0.729697,time:22604
hit ratio:0.730353,time:23830
hit ratio:0.73243,time:24897
hit ratio:0.736458,time:25919
hit ratio:0.733116,time:26876
hit ratio:0.727135,time:27738
hit ratio:0.727399,time:28533
hit ratio:0.733282,time:29064
hit ratio:0.737813,time:29592
hit ratio:0.741816,time:30023
hit ratio:0.741425,time:30630
hit ratio:0.739246,time:31031
hit ratio:0.735143,time:31302
hit ratio:0.734023,time:31587
hit ratio:0.730954,time:31830
hit ratio:0.728727,time:32146
hit ratio:0.725585,time:32440
hit ratio:0.726093,time:32730
hit ratio:0.727055,time:33020
hit ratio:0.726161,time:33350
hit ratio:0.725936,time:33639
hit ratio:0.72387,time:33924
hit ratio:0.722831,time:34163
hit ratio:0.722868,time:34400
hit ratio:0.721303,time:34721
hit ratio:0.719355,time:35066
hit ratio:0.717558,time:35315
hit ratio:0.716932,time:35528
hit ratio:0.716503,time:35746
hit ratio:0.716623,time:35973
hit ratio:0.717156,time:36207
hit ratio:0.717849,time:36435
hit ratio:0.718735,time:36679
hit ratio:0.719499,time:36924
hit ratio:0.719815,time:37160
hit ratio:0.71982,time:37396
hit ratio:0.719823,time:37616
hit ratio:0.719845,time:37844
hit ratio:0.720273,time:38090
hit ratio:0.720751,time:38314
hit ratio:0.720911,time:38510
hit ratio:0.720446,time:38717
hit ratio:0.720228,time:38920
hit ratio:0.719952,time:39130
hit ratio:0.719806,time:39348
alloc failed. 39363,1399852362244757605,515,9223372036854775807
hit ratio:0.719513,time:39568
hit ratio:0.719277,time:39775
hit ratio:0.71883,time:39999
hit ratio:0.718831,time:40219
hit ratio:0.718766,time:40457
hit ratio:0.718907,time:40679
hit ratio:0.719085,time:40899
hit ratio:0.719481,time:41106
hit ratio:0.719888,time:41306
hit ratio:0.720217,time:41502
hit ratio:0.720731,time:41702
hit ratio:0.721272,time:41924
hit ratio:0.721702,time:42155
hit ratio:0.722367,time:42411
hit ratio:0.722971,time:42688
hit ratio:0.723666,time:43008
hit ratio:0.724218,time:43381
hit ratio:0.724454,time:43781
hit ratio:0.724419,time:44273
hit ratio:0.724315,time:44928
hit ratio:0.724168,time:45574
hit ratio:0.724239,time:46169
hit ratio:0.723578,time:46868
hit ratio:0.722979,time:47632
hit ratio:0.722656,time:48402
hit ratio:0.722093,time:49090
hit ratio:0.721904,time:49766
hit ratio:0.721706,time:50510
hit ratio:0.72145,time:51321
hit ratio:0.721833,time:51998
hit ratio:0.723461,time:52442
hit ratio:0.725104,time:52925
hit ratio:0.726132,time:53504
hit ratio:0.726883,time:54086
hit ratio:0.727901,time:54697
hit ratio:0.728773,time:55237
hit ratio:0.729901,time:55417
hit ratio:0.730856,time:55577
hit ratio:0.731512,time:55742
hit ratio:0.731838,time:56002
hit ratio:0.732361,time:56245
hit ratio:0.732836,time:56515
hit ratio:0.732819,time:56859
hit ratio:0.732655,time:57190
hit ratio:0.732899,time:57581
hit ratio:0.733288,time:58073
hit ratio:0.733989,time:58553
hit ratio:0.734656,time:58975
hit ratio:0.735158,time:59454
hit ratio:0.735283,time:59903
hit ratio:0.73561,time:60334
hit ratio:0.735968,time:60780
hit ratio:0.736306,time:61208
hit ratio:0.736796,time:61714
hit ratio:0.737416,time:62308
hit ratio:0.738091,time:62828
hit ratio:0.738448,time:63254
hit ratio:0.738932,time:63603
hit ratio:0.739367,time:63949
hit ratio:0.739727,time:64299
hit ratio:0.740006,time:64638
hit ratio:0.740326,time:64969
hit ratio:0.740796,time:65336
hit ratio:0.741521,time:65627
hit ratio:0.742392,time:65870
hit ratio:0.743328,time:66118
hit ratio:0.744369,time:66372
hit ratio:0.745015,time:66723
hit ratio:0.745646,time:67135
hit ratio:0.74662,time:67420
hit ratio:0.747152,time:67881
hit ratio:0.747899,time:68339
hit ratio:0.749429,time:68506
hit ratio:0.751011,time:68642
hit ratio:0.752556,time:68775
hit ratio:0.754025,time:68922
hit ratio:0.754754,time:69287
hit ratio:0.75514,time:69705
hit ratio:0.755231,time:70151
hit ratio:0.755733,time:70544
hit ratio:0.756507,time:70854
hit ratio:0.757244,time:71161
hit ratio:0.758261,time:71419
hit ratio:0.759183,time:71705
hit ratio:0.760081,time:72004
hit ratio:0.76111,time:72237
hit ratio:0.762159,time:72515
hit ratio:0.763023,time:72861
hit ratio:0.764083,time:73119
hit ratio:0.765393,time:73281
hit ratio:0.766759,time:73402
hit ratio:0.768028,time:73560
hit ratio:0.769267,time:73726
hit ratio:0.7705,time:73861
hit ratio:0.771581,time:74039
hit ratio:0.772456,time:74313
hit ratio:0.773467,time:74516
hit ratio:0.774297,time:74793
hit ratio:0.774911,time:75160
hit ratio:0.775711,time:75421
hit ratio:0.776695,time:75634
hit ratio:0.777345,time:75950
hit ratio:0.778197,time:76167
hit ratio:0.779129,time:76341
hit ratio:0.780131,time:76486
hit ratio:0.781072,time:76640
hit ratio:0.781925,time:76816
hit ratio:0.782717,time:77017
hit ratio:0.783567,time:77192
hit ratio:0.784339,time:77369
hit ratio:0.78507,time:77572
hit ratio:0.785818,time:77782
hit ratio:0.786518,time:77973
hit ratio:0.787273,time:78138
hit ratio:0.788118,time:78270
hit ratio:0.789041,time:78396
hit ratio:0.789892,time:78535
hit ratio:0.79065,time:78687
hit ratio:0.791326,time:78861
hit ratio:0.792012,time:79061
hit ratio:0.792646,time:79303
hit ratio:0.793198,time:79583
hit ratio:0.793746,time:79842
hit ratio:0.794048,time:80227
hit ratio:0.794141,time:80763
hit ratio:0.793989,time:81477
hit ratio:0.793532,time:82221
hit ratio:0.793048,time:82927
hit ratio:0.792636,time:83694
hit ratio:0.792392,time:84501
hit ratio:0.792184,time:85306
hit ratio:0.792049,time:86179
hit ratio:0.791833,time:87248
hit ratio:0.791638,time:88374
hit ratio:0.791428,time:89443
hit ratio:0.791203,time:90633
hit ratio:0.791158,time:91839
hit ratio:0.791035,time:92839
hit ratio:0.790661,time:93747
hit ratio:0.790353,time:94776
hit ratio:0.790029,time:95887
hit ratio:0.789925,time:97113
hit ratio:0.789794,time:98244
hit ratio:0.789561,time:99309
hit ratio:0.789173,time:100500
hit ratio:0.788827,time:101661
hit ratio:0.788648,time:102715
hit ratio:0.788583,time:103708
hit ratio:0.788606,time:104736
hit ratio:0.788505,time:105586
hit ratio:0.788498,time:106382
hit ratio:0.788455,time:107122
hit ratio:0.788347,time:107885
hit ratio:0.788028,time:108840
hit ratio:0.787823,time:109734
hit ratio:0.787538,time:110568
hit ratio:0.787183,time:111455
hit ratio:0.786786,time:112180
hit ratio:0.786338,time:112698
hit ratio:0.785913,time:113004
hit ratio:0.78552,time:113342
hit ratio:0.785032,time:113740
hit ratio:0.784402,time:113932
hit ratio:0.783653,time:114137
hit ratio:0.782871,time:114370
hit ratio:0.782249,time:114597
hit ratio:0.781653,time:114850
hit ratio:0.781137,time:115090
hit ratio:0.780645,time:115414
hit ratio:0.78025,time:115661
hit ratio:0.779745,time:115827
hit ratio:0.779216,time:115967
hit ratio:0.778718,time:116092
hit ratio:0.778279,time:116205
hit ratio:0.777875,time:116308
hit ratio:0.777559,time:116410
hit ratio:0.77728,time:116506
hit ratio:0.777047,time:116598
hit ratio:0.776791,time:116689
hit ratio:0.776529,time:116786
hit ratio:0.776255,time:116883
hit ratio:0.775962,time:116981
hit ratio:0.775682,time:117081
hit ratio:0.775405,time:117184
hit ratio:0.775108,time:117288
hit ratio:0.774784,time:117394
hit ratio:0.77446,time:117503
hit ratio:0.774151,time:117606
hit ratio:0.773796,time:117715
hit ratio:0.773542,time:117826
hit ratio:0.773189,time:117928
hit ratio:0.772852,time:118033
hit ratio:0.772558,time:118148
hit ratio:0.77225,time:118269
hit ratio:0.771925,time:118391
hit ratio:0.771602,time:118507
hit ratio:0.771272,time:118622
hit ratio:0.770915,time:118733
hit ratio:0.77056,time:118830
hit ratio:0.770232,time:118937
hit ratio:0.769867,time:119046
hit ratio:0.769533,time:119154
hit ratio:0.769166,time:119259
hit ratio:0.768776,time:119368
hit ratio:0.768413,time:119472
hit ratio:0.768116,time:119572
hit ratio:0.767807,time:119678
hit ratio:0.767497,time:119792
hit ratio:0.76722,time:119901
hit ratio:0.766939,time:120014
hit ratio:0.766647,time:120124
hit ratio:0.766357,time:120230
hit ratio:0.766138,time:120332
hit ratio:0.76588,time:120427
hit ratio:0.765601,time:120519
hit ratio:0.765389,time:120609
hit ratio:0.765178,time:120697
hit ratio:0.764989,time:120783
hit ratio:0.764795,time:120872
hit ratio:0.764581,time:120963
hit ratio:0.764356,time:121063
hit ratio:0.764139,time:121160
hit ratio:0.763911,time:121264
hit ratio:0.763692,time:121382
hit ratio:0.763444,time:121509
hit ratio:0.763241,time:121633
hit ratio:0.763026,time:121759
hit ratio:0.762778,time:121891
hit ratio:0.762526,time:122018
hit ratio:0.762278,time:122151
hit ratio:0.761968,time:122271
hit ratio:0.761662,time:122376
hit ratio:0.761372,time:122480
hit ratio:0.761126,time:122573
hit ratio:0.760905,time:122664
hit ratio:0.760693,time:122750
hit ratio:0.760456,time:122835
hit ratio:0.760268,time:122920
hit ratio:0.760102,time:123012
hit ratio:0.75992,time:123105
hit ratio:0.759752,time:123197
hit ratio:0.759624,time:123294
hit ratio:0.759481,time:123395
hit ratio:0.759328,time:123494
hit ratio:0.759145,time:123599
hit ratio:0.75897,time:123704
hit ratio:0.758803,time:123807
hit ratio:0.758602,time:123912
hit ratio:0.758425,time:124016
hit ratio:0.758223,time:124112
hit ratio:0.75802,time:124210
hit ratio:0.757799,time:124309
hit ratio:0.757568,time:124409
hit ratio:0.757373,time:124510
hit ratio:0.757203,time:124610
hit ratio:0.757058,time:124712
hit ratio:0.756909,time:124819
hit ratio:0.756741,time:124923
hit ratio:0.756567,time:125025
hit ratio:0.756373,time:125142
hit ratio:0.756166,time:125268
hit ratio:0.755975,time:125385
hit ratio:0.755798,time:125509
hit ratio:0.755638,time:125649
hit ratio:0.755528,time:125808
hit ratio:0.75538,time:125956
hit ratio:0.755288,time:126084
hit ratio:0.75516,time:126220
hit ratio:0.754989,time:126366
hit ratio:0.754815,time:126524
hit ratio:0.754623,time:126682
hit ratio:0.754418,time:126858
hit ratio:0.754242,time:127052
hit ratio:0.754063,time:127263
hit ratio:0.753894,time:127472
hit ratio:0.753774,time:127680
hit ratio:0.753615,time:127891
hit ratio:0.753463,time:128085
hit ratio:0.753268,time:128285
hit ratio:0.753076,time:128481
hit ratio:0.752933,time:128704
hit ratio:0.752881,time:128971
hit ratio:0.752775,time:129300
hit ratio:0.752648,time:129680
hit ratio:0.752583,time:130099
hit ratio:0.752449,time:130570
hit ratio:0.752302,time:131133
hit ratio:0.752106,time:131829
hit ratio:0.751944,time:132565
hit ratio:0.751781,time:133440
hit ratio:0.75163,time:134340
hit ratio:0.751448,time:135166
hit ratio:0.751264,time:136081
hit ratio:0.751106,time:137037
hit ratio:0.751047,time:138157
hit ratio:0.751,time:139330
hit ratio:0.751104,time:140497
hit ratio:0.751215,time:141877
hit ratio:0.751281,time:143195
hit ratio:0.751338,time:144612
hit ratio:0.751404,time:146253
hit ratio:0.751551,time:147817
hit ratio:0.751763,time:149349
hit ratio:0.751966,time:150829
hit ratio:0.752131,time:152150
hit ratio:0.752283,time:153400
hit ratio:0.752426,time:154658
hit ratio:0.752511,time:155914
hit ratio:0.752602,time:157097
hit ratio:0.752724,time:158224
hit ratio:0.752819,time:159381
hit ratio:0.7529,time:160451
hit ratio:0.752899,time:161442
hit ratio:0.752945,time:162374
hit ratio:0.75296,time:163242
hit ratio:0.752802,time:164005
hit ratio:0.752698,time:164848
hit ratio:0.752587,time:165716
hit ratio:0.752474,time:166543
hit ratio:0.752419,time:167535
hit ratio:0.752354,time:168558
hit ratio:0.752246,time:169595
hit ratio:0.752212,time:170635
hit ratio:0.752149,time:171738
hit ratio:0.752154,time:172786
hit ratio:0.752196,time:173790
hit ratio:0.752121,time:175018
hit ratio:0.752126,time:176131
hit ratio:0.752075,time:177268
hit ratio:0.752032,time:178574
hit ratio:0.752033,time:179803
hit ratio:0.752084,time:181161
hit ratio:0.752123,time:182549
hit ratio:0.752133,time:184020
hit ratio:0.752168,time:185388
hit ratio:0.752111,time:186713
hit ratio:0.752067,time:187927
hit ratio:0.752015,time:189136
hit ratio:0.751887,time:190131
hit ratio:0.751648,time:190620
hit ratio:0.751385,time:191004
hit ratio:0.751183,time:191317
hit ratio:0.75105,time:191598
hit ratio:0.750889,time:191896
hit ratio:0.750732,time:192174
hit ratio:0.750567,time:192433
hit ratio:0.750397,time:192693
hit ratio:0.750251,time:192962
hit ratio:0.750147,time:193218
hit ratio:0.750014,time:193468
hit ratio:0.749884,time:193718
hit ratio:0.749725,time:193978
hit ratio:0.749581,time:194224
hit ratio:0.74939,time:194467
hit ratio:0.7492,time:194690
hit ratio:0.74902,time:194925
hit ratio:0.748837,time:195133
hit ratio:0.748601,time:195335
hit ratio:0.748414,time:195568
hit ratio:0.748207,time:195825
hit ratio:0.74805,time:196091
hit ratio:0.747872,time:196365
hit ratio:0.74772,time:196630
hit ratio:0.747576,time:196893
hit ratio:0.747444,time:197151
hit ratio:0.747349,time:197402
hit ratio:0.747247,time:197668
hit ratio:0.74714,time:197949
hit ratio:0.747009,time:198235
hit ratio:0.746904,time:198540
hit ratio:0.746817,time:198846
hit ratio:0.746719,time:199132
hit ratio:0.746587,time:199437
hit ratio:0.746467,time:199735
hit ratio:0.746382,time:200028
hit ratio:0.746276,time:200324
hit ratio:0.746133,time:200565
hit ratio:0.745966,time:200833
hit ratio:0.745881,time:201139
hit ratio:0.74585,time:201540
hit ratio:0.745796,time:201936
hit ratio:0.7457,time:202283
hit ratio:0.745579,time:202632
hit ratio:0.745461,time:202971
hit ratio:0.745353,time:203326
hit ratio:0.74529,time:203676
hit ratio:0.745239,time:204032
hit ratio:0.745115,time:204437
hit ratio:0.745018,time:204825
hit ratio:0.744895,time:205220
hit ratio:0.744793,time:205592
hit ratio:0.744678,time:205938
hit ratio:0.744543,time:206272
hit ratio:0.744435,time:206512
hit ratio:0.744314,time:206717
hit ratio:0.744196,time:206926
hit ratio:0.744136,time:207178
hit ratio:0.744072,time:207505
hit ratio:0.744014,time:207856
hit ratio:0.744019,time:208177
hit ratio:0.744011,time:208543
hit ratio:0.743935,time:208815
hit ratio:0.743873,time:209007
hit ratio:0.743804,time:209159
hit ratio:0.743786,time:209307
hit ratio:0.7438,time:209444
hit ratio:0.743838,time:209581
hit ratio:0.743865,time:209728
hit ratio:0.743918,time:209873
hit ratio:0.743947,time:210009
hit ratio:0.743949,time:210134
hit ratio:0.743958,time:210254
hit ratio:0.743988,time:210385
hit ratio:0.743999,time:210551
hit ratio:0.744023,time:210723
hit ratio:0.744029,time:210876
hit ratio:0.744018,time:211025
hit ratio:0.744022,time:211159
hit ratio:0.744056,time:211305
hit ratio:0.744127,time:211476
hit ratio:0.744172,time:211645
hit ratio:0.744209,time:211808
hit ratio:0.744259,time:211954
hit ratio:0.744272,time:212227
hit ratio:0.74424,time:212621
hit ratio:0.744203,time:212989
hit ratio:0.744127,time:213317
hit ratio:0.744089,time:213593
hit ratio:0.744109,time:213911
hit ratio:0.744108,time:214256
hit ratio:0.744082,time:214574
hit ratio:0.744095,time:214878
hit ratio:0.744084,time:215185
hit ratio:0.744046,time:215511
hit ratio:0.743963,time:215846
hit ratio:0.74394,time:216160
hit ratio:0.743928,time:216473
hit ratio:0.743876,time:216789
hit ratio:0.743808,time:217123
hit ratio:0.74373,time:217484
hit ratio:0.743661,time:217848
hit ratio:0.74364,time:218203
hit ratio:0.743673,time:218561
hit ratio:0.743754,time:218977
hit ratio:0.743852,time:219501
hit ratio:0.743948,time:220047
hit ratio:0.743985,time:220650
hit ratio:0.743952,time:221402
hit ratio:0.743964,time:222321
hit ratio:0.744027,time:223557
hit ratio:0.744092,time:225046
hit ratio:0.744187,time:226407
hit ratio:0.744285,time:227687
hit ratio:0.744365,time:229178
hit ratio:0.744534,time:231005
hit ratio:0.74468,time:232379
hit ratio:0.744823,time:233834
hit ratio:0.744941,time:235626
hit ratio:0.745106,time:237022
hit ratio:0.74526,time:238640
hit ratio:0.745416,time:240495
hit ratio:0.745475,time:241813
hit ratio:0.745278,time:242772
hit ratio:0.745351,time:244266
hit ratio:0.74538,time:245543
hit ratio:0.745379,time:246600
hit ratio:0.745323,time:247489
hit ratio:0.745141,time:248227
hit ratio:0.74503,time:248851
hit ratio:0.745028,time:249892
hit ratio:0.745062,time:250866
hit ratio:0.745076,time:251918
hit ratio:0.745064,time:252952
hit ratio:0.745052,time:253975
hit ratio:0.745033,time:254989
hit ratio:0.745043,time:256110
hit ratio:0.745088,time:257360
hit ratio:0.745096,time:258485
hit ratio:0.745096,time:259661
hit ratio:0.74512,time:260870
hit ratio:0.745146,time:262090
hit ratio:0.745146,time:263250
hit ratio:0.745293,time:263981
hit ratio:0.745624,time:264316
hit ratio:0.745948,time:264672
hit ratio:0.746271,time:265000
hit ratio:0.746566,time:265409
hit ratio:0.74685,time:265872
hit ratio:0.747137,time:266333
hit ratio:0.747413,time:266793
hit ratio:0.747545,time:267504
hit ratio:0.747666,time:268274
hit ratio:0.747757,time:269115
hit ratio:0.747813,time:269804
hit ratio:0.747922,time:270501
hit ratio:0.747991,time:271308
hit ratio:0.748094,time:272060
hit ratio:0.748231,time:272873
hit ratio:0.74838,time:273725
hit ratio:0.748537,time:274490
hit ratio:0.748679,time:275216
hit ratio:0.748814,time:276068
hit ratio:0.748908,time:276992
hit ratio:0.749007,time:277843
hit ratio:0.749069,time:278774
hit ratio:0.749085,time:279779
hit ratio:0.749085,time:280793
hit ratio:0.749084,time:281807
hit ratio:0.749057,time:282679
alloc failed. 283529,12824377023861574007,1166180352,67767899
hit ratio:0.749068,time:283587
hit ratio:0.749153,time:284650
hit ratio:0.749245,time:285753
hit ratio:0.749282,time:286759
hit ratio:0.74931,time:287474
hit ratio:0.749332,time:288036
hit ratio:0.74939,time:288485
hit ratio:0.749443,time:288802
hit ratio:0.749506,time:289039
hit ratio:0.749588,time:289235
hit ratio:0.749679,time:289410
hit ratio:0.749799,time:289581
hit ratio:0.749921,time:289746
hit ratio:0.750037,time:289913
hit ratio:0.750153,time:290082
hit ratio:0.750268,time:290241
hit ratio:0.750392,time:290397
hit ratio:0.750534,time:290545
hit ratio:0.750662,time:290696
hit ratio:0.750794,time:290848
hit ratio:0.750934,time:290990
hit ratio:0.751077,time:291132
hit ratio:0.751226,time:291272
hit ratio:0.751362,time:291415
hit ratio:0.751497,time:291557
hit ratio:0.751624,time:291703
hit ratio:0.751765,time:291853
hit ratio:0.751891,time:292009
hit ratio:0.752027,time:292162
hit ratio:0.752154,time:292313
hit ratio:0.752268,time:292471
