Cache Initialized. size: 8GB
alloc failed. 17957,10660007414015541166,704,95573
alloc failed. 17957,10660007414015541166,704,871374
hit ratio:0.75358,time:18189
alloc failed. 20061,14418139917491533242,698,703721
hit ratio:0.7326,time:21021
hit ratio:0.731477,time:22604
hit ratio:0.731883,time:23830
hit ratio:0.734144,time:24897
hit ratio:0.738375,time:25919
hit ratio:0.73514,time:26876
hit ratio:0.729198,time:27738
hit ratio:0.72942,time:28533
hit ratio:0.7353,time:29064
hit ratio:0.739738,time:29592
hit ratio:0.743738,time:30023
hit ratio:0.743437,time:30630
hit ratio:0.741326,time:31031
hit ratio:0.737277,time:31302
hit ratio:0.736172,time:31587
hit ratio:0.733158,time:31830
hit ratio:0.730951,time:32146
hit ratio:0.727818,time:32440
hit ratio:0.728338,time:32730
hit ratio:0.729292,time:33020
hit ratio:0.728422,time:33350
hit ratio:0.728239,time:33639
hit ratio:0.726175,time:33924
hit ratio:0.725148,time:34163
hit ratio:0.725179,time:34400
hit ratio:0.723584,time:34721
hit ratio:0.721642,time:35066
hit ratio:0.719887,time:35315
hit ratio:0.719297,time:35528
hit ratio:0.718877,time:35746
hit ratio:0.718981,time:35973
hit ratio:0.719516,time:36207
hit ratio:0.720203,time:36435
hit ratio:0.721068,time:36679
hit ratio:0.721825,time:36924
hit ratio:0.722149,time:37160
hit ratio:0.722161,time:37396
hit ratio:0.72216,time:37616
hit ratio:0.72219,time:37844
hit ratio:0.722616,time:38090
hit ratio:0.723093,time:38314
hit ratio:0.723255,time:38510
hit ratio:0.722786,time:38717
hit ratio:0.722556,time:38920
hit ratio:0.722279,time:39130
hit ratio:0.722141,time:39348
alloc failed. 39363,1399852362244757605,515,9223372036854775807
hit ratio:0.721846,time:39568
hit ratio:0.721619,time:39775
hit ratio:0.72117,time:39999
hit ratio:0.721161,time:40219
hit ratio:0.721085,time:40457
hit ratio:0.721211,time:40679
hit ratio:0.72138,time:40899
hit ratio:0.721776,time:41106
hit ratio:0.722177,time:41306
hit ratio:0.722495,time:41502
hit ratio:0.723005,time:41702
hit ratio:0.723545,time:41924
hit ratio:0.723955,time:42155
hit ratio:0.724607,time:42411
hit ratio:0.725193,time:42688
hit ratio:0.72587,time:43008
hit ratio:0.726396,time:43381
hit ratio:0.726604,time:43781
hit ratio:0.726547,time:44273
hit ratio:0.72643,time:44928
hit ratio:0.726268,time:45574
hit ratio:0.726311,time:46169
hit ratio:0.725651,time:46868
hit ratio:0.725033,time:47632
hit ratio:0.724707,time:48402
hit ratio:0.724135,time:49090
hit ratio:0.723938,time:49766
hit ratio:0.723736,time:50510
hit ratio:0.723489,time:51321
hit ratio:0.723864,time:51998
hit ratio:0.725483,time:52442
hit ratio:0.727117,time:52925
hit ratio:0.728143,time:53504
hit ratio:0.728882,time:54086
hit ratio:0.729887,time:54697
hit ratio:0.730753,time:55237
hit ratio:0.731879,time:55417
hit ratio:0.732827,time:55577
hit ratio:0.733479,time:55742
hit ratio:0.733813,time:56002
hit ratio:0.734351,time:56245
hit ratio:0.734836,time:56515
hit ratio:0.734832,time:56859
hit ratio:0.734685,time:57190
hit ratio:0.734947,time:57581
hit ratio:0.735336,time:58073
