Cache Initialized. size: 8GB
alloc failed. 17957,10660007414015541166,704,95573
alloc failed. 17957,10660007414015541166,704,871374
hit ratio:0.75358,time:18189
alloc failed. 20061,14418139917491533242,698,703721
hit ratio:0.730775,time:21021
hit ratio:0.73277,time:22604
hit ratio:0.735855,time:23830
hit ratio:0.739334,time:24897
hit ratio:0.744357,time:25919
hit ratio:0.7416,time:26876
hit ratio:0.736204,time:27738
hit ratio:0.736702,time:28533
hit ratio:0.742994,time:29064
hit ratio:0.747508,time:29592
hit ratio:0.75163,time:30023
hit ratio:0.751267,time:30630
hit ratio:0.749201,time:31031
hit ratio:0.745451,time:31302
hit ratio:0.744514,time:31587
hit ratio:0.741682,time:31830
hit ratio:0.739005,time:32146
hit ratio:0.735798,time:32440
hit ratio:0.736016,time:32730
hit ratio:0.736746,time:33020
hit ratio:0.73557,time:33350
hit ratio:0.735127,time:33639
hit ratio:0.732497,time:33924
hit ratio:0.730932,time:34163
hit ratio:0.730441,time:34400
hit ratio:0.72866,time:34721
hit ratio:0.726227,time:35066
hit ratio:0.723954,time:35315
hit ratio:0.72283,time:35528
hit ratio:0.722011,time:35746
hit ratio:0.721599,time:35973
hit ratio:0.721692,time:36207
hit ratio:0.721907,time:36435
hit ratio:0.7222,time:36679
hit ratio:0.722441,time:36924
hit ratio:0.722361,time:37160
hit ratio:0.721982,time:37396
hit ratio:0.721723,time:37616
hit ratio:0.721386,time:37844
hit ratio:0.72137,time:38090
hit ratio:0.721421,time:38314
hit ratio:0.721232,time:38510
hit ratio:0.720549,time:38717
hit ratio:0.71991,time:38920
hit ratio:0.719213,time:39130
hit ratio:0.718664,time:39348
alloc failed. 39363,1399852362244757605,515,9223372036854775807
hit ratio:0.717966,time:39568
hit ratio:0.71743,time:39775
hit ratio:0.716777,time:39999
hit ratio:0.716556,time:40219
hit ratio:0.716236,time:40457
hit ratio:0.716117,time:40679
hit ratio:0.716029,time:40899
hit ratio:0.716203,time:41106
hit ratio:0.716408,time:41306
hit ratio:0.716596,time:41502
hit ratio:0.71699,time:41702
hit ratio:0.717312,time:41924
hit ratio:0.717575,time:42155
hit ratio:0.717997,time:42411
hit ratio:0.718435,time:42688
hit ratio:0.718867,time:43008
hit ratio:0.719252,time:43381
hit ratio:0.719329,time:43781
hit ratio:0.719254,time:44273
hit ratio:0.719131,time:44928
hit ratio:0.719001,time:45574
hit ratio:0.719167,time:46169
hit ratio:0.718677,time:46868
hit ratio:0.718258,time:47632
hit ratio:0.718103,time:48402
hit ratio:0.717824,time:49090
hit ratio:0.71781,time:49766
hit ratio:0.717758,time:50510
hit ratio:0.71778,time:51321
hit ratio:0.718385,time:51998
hit ratio:0.720124,time:52442
hit ratio:0.721864,time:52925
hit ratio:0.723024,time:53504
hit ratio:0.723877,time:54086
hit ratio:0.724974,time:54697
hit ratio:0.725892,time:55237
hit ratio:0.727028,time:55417
hit ratio:0.728072,time:55577
hit ratio:0.728806,time:55742
hit ratio:0.729278,time:56002
hit ratio:0.730053,time:56245
hit ratio:0.730806,time:56515
hit ratio:0.731122,time:56859
hit ratio:0.731289,time:57190
hit ratio:0.731812,time:57581
hit ratio:0.732407,time:58073
hit ratio:0.733327,time:58553
hit ratio:0.734283,time:58975
hit ratio:0.735078,time:59454
hit ratio:0.735532,time:59903
hit ratio:0.736135,time:60334
hit ratio:0.736704,time:60780
hit ratio:0.737248,time:61208
hit ratio:0.737883,time:61714
hit ratio:0.738615,time:62308
hit ratio:0.739372,time:62828
hit ratio:0.739764,time:63254
hit ratio:0.740209,time:63603
hit ratio:0.74053,time:63949
hit ratio:0.740881,time:64299
hit ratio:0.741097,time:64638
hit ratio:0.741359,time:64969
hit ratio:0.741755,time:65336
hit ratio:0.742495,time:65627
hit ratio:0.743394,time:65870
hit ratio:0.744353,time:66118
hit ratio:0.74542,time:66372
hit ratio:0.746112,time:66723
hit ratio:0.746807,time:67135
hit ratio:0.747912,time:67420
hit ratio:0.74861,time:67881
hit ratio:0.749495,time:68339
hit ratio:0.751089,time:68506
hit ratio:0.752734,time:68642
hit ratio:0.754332,time:68775
hit ratio:0.755851,time:68922
hit ratio:0.756725,time:69287
hit ratio:0.757321,time:69705
hit ratio:0.757633,time:70151
hit ratio:0.75829,time:70544
hit ratio:0.759216,time:70854
hit ratio:0.760085,time:71161
hit ratio:0.761219,time:71419
hit ratio:0.762281,time:71705
hit ratio:0.763307,time:72004
hit ratio:0.764441,time:72237
hit ratio:0.765581,time:72515
hit ratio:0.766559,time:72861
hit ratio:0.767696,time:73119
hit ratio:0.769057,time:73281
hit ratio:0.770474,time:73402
hit ratio:0.771804,time:73560
hit ratio:0.77308,time:73726
hit ratio:0.774366,time:73861
hit ratio:0.77553,time:74039
hit ratio:0.776508,time:74313
hit ratio:0.777591,time:74516
hit ratio:0.778523,time:74793
hit ratio:0.779251,time:75160
hit ratio:0.780149,time:75421
hit ratio:0.7812,time:75634
hit ratio:0.781974,time:75950
hit ratio:0.782911,time:76167
hit ratio:0.783923,time:76341
hit ratio:0.784974,time:76486
hit ratio:0.785976,time:76640
hit ratio:0.7869,time:76816
hit ratio:0.787773,time:77017
hit ratio:0.788673,time:77192
hit ratio:0.789519,time:77369
hit ratio:0.790332,time:77572
hit ratio:0.79114,time:77782
hit ratio:0.791916,time:77973
hit ratio:0.792726,time:78138
hit ratio:0.793614,time:78270
hit ratio:0.794572,time:78396
hit ratio:0.795471,time:78535
hit ratio:0.796289,time:78687
hit ratio:0.797023,time:78861
hit ratio:0.79775,time:79061
hit ratio:0.798448,time:79303
hit ratio:0.799075,time:79583
hit ratio:0.799686,time:79842
hit ratio:0.80006,time:80227
hit ratio:0.800236,time:80763
hit ratio:0.800168,time:81477
hit ratio:0.799827,time:82221
hit ratio:0.799451,time:82927
hit ratio:0.799145,time:83694
hit ratio:0.798997,time:84501
hit ratio:0.798888,time:85306
hit ratio:0.79883,time:86179
hit ratio:0.798691,time:87248
hit ratio:0.798584,time:88374
hit ratio:0.798481,time:89443
hit ratio:0.798356,time:90633
hit ratio:0.798383,time:91839
hit ratio:0.798345,time:92839
hit ratio:0.798062,time:93747
hit ratio:0.797824,time:94776
hit ratio:0.797583,time:95887
hit ratio:0.797563,time:97113
hit ratio:0.797506,time:98244
hit ratio:0.797355,time:99309
hit ratio:0.797046,time:100500
hit ratio:0.796795,time:101661
hit ratio:0.796676,time:102715
hit ratio:0.796684,time:103708
hit ratio:0.796768,time:104736
hit ratio:0.796766,time:105586
hit ratio:0.796825,time:106382
hit ratio:0.796873,time:107122
hit ratio:0.796862,time:107885
hit ratio:0.796644,time:108840
hit ratio:0.796525,time:109734
hit ratio:0.796344,time:110568
hit ratio:0.796062,time:111455
hit ratio:0.795763,time:112180
hit ratio:0.795419,time:112698
hit ratio:0.795082,time:113004
hit ratio:0.794783,time:113342
hit ratio:0.794397,time:113740
hit ratio:0.79389,time:113932
hit ratio:0.79328,time:114137
hit ratio:0.792646,time:114370
hit ratio:0.792123,time:114597
hit ratio:0.791631,time:114850
hit ratio:0.791198,time:115090
hit ratio:0.790758,time:115414
hit ratio:0.790425,time:115661
hit ratio:0.789993,time:115827
hit ratio:0.789543,time:115967
hit ratio:0.789104,time:116092
hit ratio:0.78871,time:116205
hit ratio:0.788349,time:116308
hit ratio:0.788047,time:116410
hit ratio:0.787786,time:116506
hit ratio:0.78757,time:116598
hit ratio:0.787326,time:116689
hit ratio:0.787062,time:116786
hit ratio:0.786768,time:116883
hit ratio:0.786472,time:116981
hit ratio:0.786181,time:117081
hit ratio:0.785881,time:117184
hit ratio:0.785548,time:117288
hit ratio:0.785219,time:117394
hit ratio:0.784915,time:117503
hit ratio:0.784602,time:117606
hit ratio:0.784277,time:117715
hit ratio:0.784011,time:117826
hit ratio:0.783674,time:117928
hit ratio:0.783354,time:118033
hit ratio:0.783079,time:118148
hit ratio:0.782783,time:118269
hit ratio:0.782458,time:118391
hit ratio:0.78213,time:118507
hit ratio:0.781795,time:118622
hit ratio:0.781454,time:118733
