Cache Initialized. size: 512MB
hit ratio:0.84315,time:26
hit ratio:0.81816,time:51
hit ratio:0.808057,time:77
hit ratio:0.806225,time:103
hit ratio:0.79681,time:129
hit ratio:0.798095,time:155
hit ratio:0.805953,time:180
hit ratio:0.81003,time:206
hit ratio:0.809876,time:232
hit ratio:0.811853,time:258
hit ratio:0.817505,time:284
hit ratio:0.820062,time:309
hit ratio:0.819948,time:335
hit ratio:0.821812,time:361
hit ratio:0.825008,time:387
hit ratio:0.826649,time:413
hit ratio:0.826716,time:439
hit ratio:0.828631,time:464
hit ratio:0.830952,time:490
hit ratio:0.832559,time:516
hit ratio:0.833252,time:542
hit ratio:0.835058,time:568
hit ratio:0.836704,time:593
hit ratio:0.837799,time:619
hit ratio:0.838126,time:645
hit ratio:0.839573,time:671
hit ratio:0.840838,time:696
hit ratio:0.841915,time:722
hit ratio:0.843129,time:748
hit ratio:0.844039,time:774
hit ratio:0.845438,time:800
hit ratio:0.846211,time:826
hit ratio:0.846389,time:851
hit ratio:0.847011,time:877
hit ratio:0.847622,time:903
hit ratio:0.847991,time:929
hit ratio:0.84797,time:954
hit ratio:0.848405,time:980
hit ratio:0.849097,time:1006
hit ratio:0.8493,time:1032
hit ratio:0.849368,time:1058
hit ratio:0.849833,time:1083
hit ratio:0.850575,time:1109
hit ratio:0.850867,time:1135
hit ratio:0.850851,time:1161
hit ratio:0.851306,time:1187
hit ratio:0.851801,time:1212
hit ratio:0.85209,time:1238
hit ratio:0.852054,time:1264
hit ratio:0.852313,time:1290
hit ratio:0.852922,time:1315
hit ratio:0.85323,time:1341
hit ratio:0.853987,time:1367
hit ratio:0.854424,time:1393
hit ratio:0.854995,time:1418
hit ratio:0.855652,time:1444
hit ratio:0.85539,time:1470
hit ratio:0.855374,time:1496
hit ratio:0.855965,time:1522
hit ratio:0.856178,time:1548
hit ratio:0.856347,time:1574
hit ratio:0.856375,time:1599
hit ratio:0.856713,time:1625
hit ratio:0.857182,time:1651
hit ratio:0.857378,time:1677
hit ratio:0.857392,time:1703
hit ratio:0.857641,time:1728
hit ratio:0.857954,time:1754
hit ratio:0.858192,time:1780
hit ratio:0.858164,time:1806
hit ratio:0.85836,time:1832
hit ratio:0.858659,time:1857
hit ratio:0.858818,time:1883
hit ratio:0.858725,time:1909
hit ratio:0.85883,time:1935
hit ratio:0.859193,time:1960
hit ratio:0.859206,time:1986
hit ratio:0.859053,time:2012
hit ratio:0.859193,time:2038
hit ratio:0.859447,time:2064
hit ratio:0.859472,time:2090
hit ratio:0.859409,time:2115
hit ratio:0.859545,time:2141
hit ratio:0.859799,time:2167
hit ratio:0.859886,time:2193
hit ratio:0.859771,time:2219
hit ratio:0.859806,time:2244
hit ratio:0.859967,time:2270
hit ratio:0.859973,time:2296
hit ratio:0.859901,time:2322
hit ratio:0.860011,time:2348
hit ratio:0.86019,time:2373
hit ratio:0.860209,time:2399
hit ratio:0.860122,time:2425
hit ratio:0.860234,time:2451
hit ratio:0.860452,time:2477
hit ratio:0.860517,time:2502
hit ratio:0.860453,time:2528
hit ratio:0.860561,time:2554
hit ratio:0.860859,time:2580
hit ratio:0.860936,time:2606
hit ratio:0.860843,time:2631
hit ratio:0.860876,time:2657
hit ratio:0.86123,time:2683
hit ratio:0.861319,time:2709
hit ratio:0.861243,time:2735
hit ratio:0.861178,time:2761
hit ratio:0.861476,time:2786
hit ratio:0.861604,time:2812
hit ratio:0.861584,time:2838
hit ratio:0.861558,time:2864
hit ratio:0.861736,time:2890
hit ratio:0.861907,time:2916
hit ratio:0.861963,time:2941
hit ratio:0.861965,time:2967
hit ratio:0.862133,time:2993
hit ratio:0.862422,time:3019
hit ratio:0.862542,time:3045
hit ratio:0.862542,time:3070
hit ratio:0.862692,time:3096
hit ratio:0.86287,time:3122
hit ratio:0.862977,time:3148
hit ratio:0.862972,time:3174
hit ratio:0.863103,time:3200
hit ratio:0.863447,time:3225
hit ratio:0.863528,time:3251
hit ratio:0.863506,time:3277
hit ratio:0.863492,time:3303
hit ratio:0.863592,time:3329
hit ratio:0.86381,time:3354
hit ratio:0.863872,time:3380
hit ratio:0.863851,time:3406
hit ratio:0.863968,time:3432
hit ratio:0.864137,time:3458
hit ratio:0.86425,time:3484
hit ratio:0.864195,time:3509
hit ratio:0.864199,time:3535
hit ratio:0.864469,time:3561
hit ratio:0.864557,time:3587
hit ratio:0.86455,time:3613
hit ratio:0.864606,time:3638
hit ratio:0.864753,time:3664
hit ratio:0.864949,time:3690
hit ratio:0.865034,time:3716
hit ratio:0.865048,time:3742
hit ratio:0.865166,time:3768
hit ratio:0.865348,time:3793
hit ratio:0.865452,time:3819
hit ratio:0.865434,time:3845
hit ratio:0.86545,time:3871
hit ratio:0.865668,time:3897
hit ratio:0.86574,time:3923
hit ratio:0.865742,time:3949
hit ratio:0.865737,time:3974
hit ratio:0.865816,time:4000
hit ratio:0.866006,time:4026
hit ratio:0.866053,time:4052
hit ratio:0.86609,time:4078
hit ratio:0.866169,time:4103
hit ratio:0.866371,time:4129
hit ratio:0.866435,time:4155
hit ratio:0.866427,time:4181
hit ratio:0.866491,time:4207
hit ratio:0.866659,time:4233
hit ratio:0.866717,time:4258
hit ratio:0.866682,time:4284
hit ratio:0.866663,time:4310
hit ratio:0.866708,time:4336
hit ratio:0.866881,time:4362
hit ratio:0.866903,time:4388
hit ratio:0.866925,time:4413
hit ratio:0.866952,time:4439
hit ratio:0.867111,time:4465
hit ratio:0.867154,time:4491
hit ratio:0.867144,time:4517
hit ratio:0.867178,time:4542
hit ratio:0.867297,time:4568
hit ratio:0.86733,time:4594
hit ratio:0.867307,time:4620
hit ratio:0.867341,time:4646
hit ratio:0.867513,time:4671
hit ratio:0.86756,time:4697
hit ratio:0.867557,time:4723
hit ratio:0.867561,time:4749
hit ratio:0.867659,time:4775
hit ratio:0.867793,time:4801
hit ratio:0.867831,time:4826
hit ratio:0.86785,time:4852
hit ratio:0.867899,time:4878
hit ratio:0.868044,time:4904
hit ratio:0.86809,time:4930
hit ratio:0.868082,time:4955
hit ratio:0.868159,time:4981
hit ratio:0.868308,time:5007
hit ratio:0.86838,time:5033
hit ratio:0.868375,time:5058
hit ratio:0.868365,time:5084
hit ratio:0.868443,time:5110
hit ratio:0.8686,time:5136
hit ratio:0.868648,time:5162
hit ratio:0.868675,time:5187
hit ratio:0.868736,time:5213
hit ratio:0.868865,time:5239
hit ratio:0.868932,time:5265
hit ratio:0.868905,time:5291
hit ratio:0.868875,time:5316
hit ratio:0.868982,time:5342
hit ratio:0.869143,time:5368
hit ratio:0.869212,time:5394
hit ratio:0.869185,time:5420
hit ratio:0.869253,time:5445
hit ratio:0.869397,time:5471
hit ratio:0.869459,time:5497
hit ratio:0.86943,time:5523
hit ratio:0.86941,time:5549
hit ratio:0.869495,time:5574
hit ratio:0.869625,time:5600
hit ratio:0.869686,time:5626
hit ratio:0.869677,time:5652
hit ratio:0.869712,time:5677
hit ratio:0.869874,time:5703
hit ratio:0.869893,time:5729
hit ratio:0.869938,time:5755
hit ratio:0.869931,time:5780
hit ratio:0.869996,time:5806
hit ratio:0.870129,time:5832
hit ratio:0.870179,time:5858
hit ratio:0.870186,time:5884
hit ratio:0.870146,time:5909
hit ratio:0.870227,time:5935
hit ratio:0.870368,time:5961
hit ratio:0.870409,time:5987
hit ratio:0.870411,time:6013
hit ratio:0.870457,time:6038
hit ratio:0.870608,time:6064
hit ratio:0.870666,time:6090
hit ratio:0.870629,time:6116
hit ratio:0.870619,time:6141
hit ratio:0.870698,time:6167
hit ratio:0.870817,time:6193
hit ratio:0.87087,time:6219
hit ratio:0.870864,time:6245
hit ratio:0.870878,time:6271
hit ratio:0.871,time:6296
hit ratio:0.871071,time:6322
hit ratio:0.871104,time:6348
hit ratio:0.871101,time:6373
hit ratio:0.871156,time:6399
hit ratio:0.871276,time:6425
hit ratio:0.871316,time:6451
hit ratio:0.871308,time:6477
hit ratio:0.871292,time:6503
hit ratio:0.871352,time:6528
hit ratio:0.871479,time:6554
hit ratio:0.871523,time:6580
hit ratio:0.871526,time:6606
hit ratio:0.871563,time:6631
hit ratio:0.871711,time:6657
hit ratio:0.871714,time:6683
hit ratio:0.871711,time:6709
hit ratio:0.871712,time:6734
hit ratio:0.87175,time:6760
hit ratio:0.871872,time:6786
hit ratio:0.871898,time:6812
hit ratio:0.871877,time:6838
hit ratio:0.871849,time:6863
hit ratio:0.871895,time:6889
hit ratio:0.872009,time:6915
hit ratio:0.872047,time:6941
hit ratio:0.872044,time:6967
hit ratio:0.872043,time:6992
hit ratio:0.872142,time:7018
hit ratio:0.872192,time:7044
hit ratio:0.872229,time:7070
hit ratio:0.872224,time:7095
hit ratio:0.872278,time:7121
hit ratio:0.872387,time:7147
hit ratio:0.872426,time:7173
hit ratio:0.872402,time:7199
hit ratio:0.872381,time:7224
hit ratio:0.872439,time:7250
hit ratio:0.872554,time:7276
hit ratio:0.872589,time:7302
hit ratio:0.872576,time:7327
hit ratio:0.872579,time:7353
hit ratio:0.872656,time:7379
hit ratio:0.872722,time:7405
hit ratio:0.872766,time:7431
hit ratio:0.87276,time:7456
hit ratio:0.872795,time:7482
hit ratio:0.872905,time:7508
hit ratio:0.872927,time:7534
hit ratio:0.872919,time:7560
hit ratio:0.872891,time:7585
hit ratio:0.872937,time:7611
hit ratio:0.873049,time:7637
hit ratio:0.873076,time:7663
hit ratio:0.873059,time:7688
hit ratio:0.873044,time:7714
hit ratio:0.87312,time:7740
hit ratio:0.873204,time:7766
hit ratio:0.873215,time:7792
hit ratio:0.873213,time:7817
hit ratio:0.873242,time:7843
hit ratio:0.873354,time:7869
hit ratio:0.873377,time:7895
hit ratio:0.873357,time:7920
hit ratio:0.873318,time:7946
hit ratio:0.873354,time:7972
hit ratio:0.873455,time:7998
hit ratio:0.873471,time:8024
hit ratio:0.873449,time:8049
hit ratio:0.873454,time:8075
hit ratio:0.873539,time:8101
hit ratio:0.873549,time:8127
hit ratio:0.873564,time:8152
hit ratio:0.873546,time:8178
hit ratio:0.873585,time:8204
hit ratio:0.873679,time:8230
hit ratio:0.873697,time:8256
hit ratio:0.87367,time:8281
hit ratio:0.873659,time:8307
hit ratio:0.873719,time:8333
hit ratio:0.873772,time:8359
hit ratio:0.873796,time:8384
hit ratio:0.873787,time:8410
hit ratio:0.873819,time:8436
hit ratio:0.873927,time:8462
hit ratio:0.873949,time:8488
hit ratio:0.873919,time:8513
hit ratio:0.873885,time:8539
hit ratio:0.873915,time:8565
hit ratio:0.874005,time:8591
hit ratio:0.874028,time:8617
hit ratio:0.874004,time:8642
hit ratio:0.873992,time:8668
hit ratio:0.874072,time:8694
hit ratio:0.874096,time:8720
hit ratio:0.87412,time:8746
hit ratio:0.874103,time:8771
hit ratio:0.874132,time:8797
hit ratio:0.874224,time:8823
hit ratio:0.874248,time:8849
hit ratio:0.874223,time:8875
hit ratio:0.874192,time:8900
hit ratio:0.874223,time:8926
