Marginal Hits init. Cache Initialized. size: 32GB
hit ratio:0.23806,time:716
hit ratio:0.305035,time:944
hit ratio:0.346203,time:1130
hit ratio:0.375135,time:1320
hit ratio:0.39802,time:1514
hit ratio:0.416042,time:1701
hit ratio:0.43166,time:1889
hit ratio:0.44399,time:2077
hit ratio:0.455599,time:2263
hit ratio:0.465974,time:2449
hit ratio:0.475518,time:2632
hit ratio:0.484118,time:2819
hit ratio:0.492304,time:3010
hit ratio:0.49992,time:3207
hit ratio:0.507032,time:3400
hit ratio:0.513421,time:3592
hit ratio:0.519372,time:3785
hit ratio:0.524794,time:3976
hit ratio:0.529891,time:4166
hit ratio:0.534794,time:4351
hit ratio:0.539326,time:4541
hit ratio:0.543642,time:4730
hit ratio:0.547893,time:4921
hit ratio:0.552223,time:5115
hit ratio:0.556362,time:5307
hit ratio:0.560195,time:5496
hit ratio:0.563842,time:5685
hit ratio:0.56724,time:5870
hit ratio:0.57081,time:6054
hit ratio:0.574195,time:6237
hit ratio:0.577172,time:6419
hit ratio:0.579616,time:6602
hit ratio:0.581431,time:6781
hit ratio:0.583125,time:6961
hit ratio:0.584534,time:7139
hit ratio:0.585609,time:7316
hit ratio:0.586739,time:7491
hit ratio:0.5879,time:7666
hit ratio:0.588746,time:7837
hit ratio:0.589487,time:8007
hit ratio:0.590171,time:8178
hit ratio:0.590917,time:8349
hit ratio:0.591576,time:8516
hit ratio:0.592273,time:8681
hit ratio:0.593,time:8845
hit ratio:0.593672,time:9009
hit ratio:0.594338,time:9172
hit ratio:0.594951,time:9334
hit ratio:0.595488,time:9496
hit ratio:0.596149,time:9657
hit ratio:0.596678,time:9814
hit ratio:0.597229,time:9973
hit ratio:0.597785,time:10129
hit ratio:0.598397,time:10286
hit ratio:0.598887,time:10445
hit ratio:0.599374,time:10605
hit ratio:0.599774,time:10762
hit ratio:0.600234,time:10919
hit ratio:0.600633,time:11079
hit ratio:0.600921,time:11239
hit ratio:0.601282,time:11400
hit ratio:0.601632,time:11561
hit ratio:0.601967,time:11723
hit ratio:0.602377,time:11887
hit ratio:0.602815,time:12048
hit ratio:0.603222,time:12212
hit ratio:0.603453,time:12372
hit ratio:0.603699,time:12532
hit ratio:0.603897,time:12691
hit ratio:0.604003,time:12851
hit ratio:0.604125,time:13008
hit ratio:0.604272,time:13164
hit ratio:0.604304,time:13319
hit ratio:0.604376,time:13473
hit ratio:0.604399,time:13626
hit ratio:0.604416,time:13781
hit ratio:0.604485,time:13935
hit ratio:0.604526,time:14090
hit ratio:0.604534,time:14240
hit ratio:0.604532,time:14391
hit ratio:0.60455,time:14542
hit ratio:0.60447,time:14693
hit ratio:0.604406,time:14845
hit ratio:0.604424,time:15000
hit ratio:0.604413,time:15155
hit ratio:0.604322,time:15315
hit ratio:0.60432,time:15478
hit ratio:0.604282,time:15635
hit ratio:0.604323,time:15800
hit ratio:0.604361,time:15951
hit ratio:0.604408,time:16104
hit ratio:0.604487,time:16256
hit ratio:0.604528,time:16407
hit ratio:0.604574,time:16558
hit ratio:0.604593,time:16710
hit ratio:0.604596,time:16862
hit ratio:0.604603,time:17015
hit ratio:0.604617,time:17165
hit ratio:0.604618,time:17314
hit ratio:0.604584,time:17467
hit ratio:0.604525,time:17619
hit ratio:0.604492,time:17771
hit ratio:0.604433,time:17923
hit ratio:0.604381,time:18073
hit ratio:0.604365,time:18222
hit ratio:0.604299,time:18371
hit ratio:0.604252,time:18519
