Cache Initialized. size: 16GB
hit ratio:0.23806,time:716
hit ratio:0.305035,time:944
hit ratio:0.346203,time:1130
hit ratio:0.375135,time:1320
hit ratio:0.39802,time:1514
hit ratio:0.416042,time:1701
hit ratio:0.43166,time:1889
hit ratio:0.44399,time:2077
hit ratio:0.455599,time:2263
hit ratio:0.465974,time:2449
hit ratio:0.475518,time:2632
hit ratio:0.484118,time:2819
hit ratio:0.491596,time:3010
hit ratio:0.497318,time:3207
hit ratio:0.501972,time:3400
hit ratio:0.50561,time:3592
hit ratio:0.508791,time:3785
hit ratio:0.511504,time:3976
hit ratio:0.513867,time:4166
hit ratio:0.516101,time:4351
hit ratio:0.518067,time:4541
hit ratio:0.519912,time:4730
hit ratio:0.521897,time:4921
hit ratio:0.524041,time:5115
hit ratio:0.526184,time:5307
hit ratio:0.528117,time:5496
hit ratio:0.530009,time:5685
hit ratio:0.531767,time:5870
hit ratio:0.533752,time:6054
hit ratio:0.535631,time:6237
hit ratio:0.537224,time:6419
hit ratio:0.539001,time:6602
hit ratio:0.540609,time:6781
hit ratio:0.542207,time:6961
hit ratio:0.543756,time:7139
hit ratio:0.545037,time:7316
hit ratio:0.546411,time:7491
hit ratio:0.547877,time:7666
hit ratio:0.549048,time:7837
hit ratio:0.550106,time:8007
hit ratio:0.551097,time:8178
hit ratio:0.552139,time:8349
hit ratio:0.553097,time:8516
hit ratio:0.554031,time:8681
hit ratio:0.554991,time:8845
hit ratio:0.555896,time:9009
hit ratio:0.55676,time:9172
hit ratio:0.557561,time:9334
hit ratio:0.558255,time:9496
hit ratio:0.559067,time:9657
hit ratio:0.559721,time:9814
hit ratio:0.560419,time:9973
hit ratio:0.561091,time:10129
hit ratio:0.561801,time:10286
hit ratio:0.562392,time:10445
hit ratio:0.562986,time:10605
hit ratio:0.563464,time:10762
hit ratio:0.563936,time:10919
hit ratio:0.564341,time:11079
hit ratio:0.564649,time:11239
hit ratio:0.565037,time:11400
hit ratio:0.565388,time:11561
hit ratio:0.565749,time:11723
hit ratio:0.566179,time:11887
hit ratio:0.566591,time:12048
hit ratio:0.567013,time:12212
hit ratio:0.567262,time:12372
hit ratio:0.567618,time:12532
hit ratio:0.567956,time:12691
hit ratio:0.568205,time:12851
hit ratio:0.56848,time:13008
hit ratio:0.568739,time:13164
hit ratio:0.568916,time:13319
hit ratio:0.569142,time:13473
hit ratio:0.569335,time:13626
hit ratio:0.569537,time:13781
hit ratio:0.569759,time:13935
hit ratio:0.56996,time:14090
hit ratio:0.570141,time:14240
hit ratio:0.5703,time:14391
hit ratio:0.57049,time:14542
hit ratio:0.570562,time:14693
hit ratio:0.57065,time:14845
hit ratio:0.570826,time:15000
hit ratio:0.570952,time:15155
hit ratio:0.57099,time:15315
hit ratio:0.571092,time:15478
hit ratio:0.571199,time:15635
hit ratio:0.571382,time:15800
hit ratio:0.571473,time:15951
hit ratio:0.571612,time:16104
hit ratio:0.571775,time:16256
hit ratio:0.571947,time:16407
hit ratio:0.572095,time:16558
hit ratio:0.572204,time:16710
hit ratio:0.572322,time:16862
hit ratio:0.572431,time:17015
hit ratio:0.572531,time:17165
hit ratio:0.572635,time:17314
hit ratio:0.572704,time:17467
hit ratio:0.572737,time:17619
hit ratio:0.572826,time:17771
hit ratio:0.572865,time:17923
hit ratio:0.572919,time:18073
hit ratio:0.573002,time:18222
hit ratio:0.57306,time:18371
hit ratio:0.573128,time:18519
