Marginal Hits init.Cache Initialized. size: 16GB
hit ratio:0.23806,time:716
hit ratio:0.305035,time:944
hit ratio:0.346203,time:1130
hit ratio:0.375135,time:1320
hit ratio:0.39802,time:1514
hit ratio:0.416042,time:1701
hit ratio:0.43166,time:1889
hit ratio:0.44399,time:2077
hit ratio:0.455599,time:2263
hit ratio:0.465974,time:2449
hit ratio:0.475518,time:2632
hit ratio:0.484118,time:2819
hit ratio:0.491596,time:3010
hit ratio:0.497318,time:3207
hit ratio:0.501972,time:3400
hit ratio:0.50561,time:3592
hit ratio:0.508791,time:3785
hit ratio:0.511504,time:3976
hit ratio:0.513867,time:4166
hit ratio:0.516101,time:4351
hit ratio:0.518067,time:4541
hit ratio:0.519912,time:4730
hit ratio:0.521897,time:4921
hit ratio:0.524041,time:5115
hit ratio:0.526184,time:5307
hit ratio:0.528118,time:5496
hit ratio:0.53001,time:5685
hit ratio:0.531766,time:5870
hit ratio:0.533753,time:6054
hit ratio:0.535632,time:6237
hit ratio:0.537231,time:6419
hit ratio:0.539007,time:6602
hit ratio:0.540612,time:6781
hit ratio:0.542211,time:6961
hit ratio:0.54375,time:7139
hit ratio:0.545035,time:7316
hit ratio:0.546396,time:7491
hit ratio:0.54787,time:7666
hit ratio:0.549045,time:7837
hit ratio:0.550099,time:8007
hit ratio:0.551094,time:8178
hit ratio:0.552138,time:8349
hit ratio:0.553102,time:8516
hit ratio:0.554031,time:8681
hit ratio:0.555013,time:8845
hit ratio:0.555905,time:9009
hit ratio:0.556767,time:9172
hit ratio:0.557579,time:9334
hit ratio:0.558263,time:9496
hit ratio:0.559083,time:9657
hit ratio:0.559743,time:9814
hit ratio:0.560419,time:9973
hit ratio:0.561089,time:10129
hit ratio:0.561792,time:10286
hit ratio:0.5624,time:10445
hit ratio:0.563011,time:10605
hit ratio:0.56348,time:10762
hit ratio:0.563946,time:10919
hit ratio:0.564368,time:11079
hit ratio:0.564703,time:11239
hit ratio:0.5651,time:11400
hit ratio:0.565459,time:11561
hit ratio:0.565803,time:11723
hit ratio:0.566226,time:11887
hit ratio:0.566652,time:12048
hit ratio:0.567073,time:12212
hit ratio:0.567337,time:12372
hit ratio:0.567657,time:12532
hit ratio:0.567985,time:12691
hit ratio:0.568217,time:12851
hit ratio:0.568511,time:13008
hit ratio:0.568758,time:13164
hit ratio:0.568924,time:13319
hit ratio:0.569155,time:13473
hit ratio:0.56935,time:13626
hit ratio:0.569553,time:13781
hit ratio:0.569775,time:13935
hit ratio:0.569976,time:14090
hit ratio:0.570146,time:14240
hit ratio:0.570305,time:14391
hit ratio:0.570471,time:14542
hit ratio:0.570517,time:14693
hit ratio:0.570601,time:14845
hit ratio:0.570762,time:15000
hit ratio:0.570897,time:15155
hit ratio:0.570953,time:15315
hit ratio:0.571049,time:15478
hit ratio:0.571147,time:15635
hit ratio:0.571331,time:15800
hit ratio:0.571436,time:15951
hit ratio:0.57157,time:16104
hit ratio:0.571728,time:16256
hit ratio:0.571891,time:16407
hit ratio:0.57203,time:16558
hit ratio:0.572132,time:16710
hit ratio:0.572245,time:16862
hit ratio:0.572356,time:17015
hit ratio:0.572457,time:17165
hit ratio:0.572554,time:17314
hit ratio:0.572619,time:17467
hit ratio:0.57266,time:17619
hit ratio:0.572756,time:17771
hit ratio:0.572814,time:17923
hit ratio:0.572866,time:18073
hit ratio:0.572951,time:18222
hit ratio:0.573004,time:18371
