Cache Initialized. size: 2GB
hit ratio:0.36515,time:25453
hit ratio:0.359355,time:49815
hit ratio:0.332063,time:64134
hit ratio:0.306115,time:72093
hit ratio:0.294448,time:81260
hit ratio:0.287198,time:90964
hit ratio:0.294626,time:109615
hit ratio:0.300325,time:133642
hit ratio:0.299621,time:149787
hit ratio:0.292741,time:157904
hit ratio:0.287355,time:165951
hit ratio:0.283645,time:175815
hit ratio:0.281461,time:186871
hit ratio:0.287401,time:212422
hit ratio:0.288605,time:231589
hit ratio:0.286011,time:241650
hit ratio:0.282142,time:249175
hit ratio:0.280514,time:258811
hit ratio:0.278283,time:268120
hit ratio:0.281246,time:289706
hit ratio:0.282791,time:310828
hit ratio:0.282454,time:324133
hit ratio:0.279,time:330898
hit ratio:0.278025,time:340522
hit ratio:0.276265,time:349132
hit ratio:0.277657,time:364339
hit ratio:0.279664,time:387807
hit ratio:0.280932,time:406130
hit ratio:0.280007,time:416110
hit ratio:0.278415,time:424230
hit ratio:0.277867,time:435043
hit ratio:0.27914,time:454419
hit ratio:0.282934,time:486791
hit ratio:0.283001,time:501917
hit ratio:0.283311,time:518780
hit ratio:0.286426,time:550096
EOF
hit ratio:0.288268,time:569241
num_requests:3645877,throughput:6.4048reqs/sec,
