Hits Per Slab Rebalancing init. Cache Initialized. size: 32GB
hit ratio:0.36515,time:25453
hit ratio:0.373505,time:49815
hit ratio:0.35555,time:64134
hit ratio:0.338813,time:72093
hit ratio:0.328922,time:81260
hit ratio:0.329107,time:90964
hit ratio:0.348133,time:109615
hit ratio:0.37573,time:133642
hit ratio:0.373844,time:149787
hit ratio:0.372396,time:157904
hit ratio:0.383287,time:165951
hit ratio:0.384287,time:175815
hit ratio:0.397107,time:186871
hit ratio:0.412278,time:212422
hit ratio:0.420531,time:231589
hit ratio:0.417651,time:241650
hit ratio:0.426624,time:249175
hit ratio:0.421397,time:258811
hit ratio:0.423817,time:268120
hit ratio:0.42452,time:289706
hit ratio:0.427395,time:310828
hit ratio:0.425239,time:324133
hit ratio:0.427673,time:330898
hit ratio:0.424745,time:340522
hit ratio:0.427731,time:349132
hit ratio:0.429692,time:364339
hit ratio:0.436037,time:387807
hit ratio:0.435594,time:406130
hit ratio:0.433398,time:416110
hit ratio:0.437591,time:424230
hit ratio:0.438137,time:435043
hit ratio:0.442843,time:454419
hit ratio:0.450612,time:486791
hit ratio:0.45582,time:501917
hit ratio:0.458146,time:518780
hit ratio:0.463489,time:550096
EOF
hit ratio:0.467344,time:569241
num_requests:3645877,throughput:6.4048reqs/sec,
