Hits Per Slab Rebalancing init. Cache Initialized. size: 512MB
hit ratio:0.32657,time:25071
hit ratio:0.32888,time:52484
hit ratio:0.302203,time:65390
hit ratio:0.28268,time:74718
hit ratio:0.272238,time:84560
hit ratio:0.265802,time:94560
hit ratio:0.27787,time:119293
hit ratio:0.278753,time:141277
hit ratio:0.273654,time:151799
hit ratio:0.268791,time:160865
hit ratio:0.265045,time:170053
hit ratio:0.258132,time:176472
hit ratio:0.261288,time:193108
hit ratio:0.263489,time:216336
hit ratio:0.263824,time:232657
hit ratio:0.260707,time:241609
hit ratio:0.258898,time:251325
hit ratio:0.25726,time:261331
hit ratio:0.254113,time:268835
hit ratio:0.256046,time:288242
hit ratio:0.257243,time:309243
hit ratio:0.25642,time:322260
hit ratio:0.254956,time:331605
hit ratio:0.254213,time:341995
hit ratio:0.25197,time:349137
hit ratio:0.253637,time:366630
hit ratio:0.254988,time:389342
hit ratio:0.255936,time:406829
hit ratio:0.254865,time:417447
hit ratio:0.254157,time:428458
hit ratio:0.252359,time:436584
hit ratio:0.254547,time:461748
hit ratio:0.257032,time:488707
hit ratio:0.258433,time:508475
hit ratio:0.25898,time:528818
EOF
hit ratio:0.262187,time:563371
num_requests:3587707,throughput:6.36828reqs/sec,
