Hits Per Slab Rebalancing init. Cache Initialized. size: 256MB
alloc failed. 873925,115210544,733184,2258391
alloc failed. 877525,118266736,737280,9223372036854775807
hit ratio:0.80259,time:19410
hit ratio:0.747325,time:36078
hit ratio:0.764603,time:55104
hit ratio:0.768313,time:68987
hit ratio:0.778578,time:85754
hit ratio:0.756133,time:99983
hit ratio:0.759547,time:117155
hit ratio:0.766896,time:135439
hit ratio:0.771182,time:152058
hit ratio:0.775822,time:169932
hit ratio:0.769015,time:186003
hit ratio:0.772843,time:204521
hit ratio:0.776908,time:223394
hit ratio:0.780166,time:241218
hit ratio:0.781901,time:259379
hit ratio:0.777853,time:276090
hit ratio:0.779189,time:293665
hit ratio:0.778979,time:307934
hit ratio:0.779754,time:323219
hit ratio:0.781646,time:343025
hit ratio:0.776891,time:358925
hit ratio:0.777669,time:377402
hit ratio:0.777839,time:391690
hit ratio:0.778959,time:405377
hit ratio:0.780924,time:423866
hit ratio:0.777377,time:439446
hit ratio:0.77871,time:458368
hit ratio:0.778036,time:471806
hit ratio:0.778064,time:485151
hit ratio:0.779236,time:499120
hit ratio:0.780877,time:515050
hit ratio:0.777227,time:527546
hit ratio:0.778534,time:543745
hit ratio:0.778541,time:558396
hit ratio:0.778938,time:572324
EOF
hit ratio:0.779204,time:581588
num_requests:3558215,throughput:6.1181reqs/sec,
